Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Zandt	whos friend r u 2	Alliance	777.1	40	Aug 17	37:49	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Knight-Lieutenant's Silk Handwraps (23290)	Band of Forced Concentration (19403)	Band of Vaulted Secrets (21414)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
2	Ajara	Endurance	Alliance	769.0	40	Aug 10	49:35	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Dark Storm Gauntlets (21585)	Band of Vaulted Secrets (21414)	Ring of Spell Power (19147)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of the Brood Lord (19378)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
3	Reneveil	Gambit	Alliance	768.1	41	Aug 14	1:46:57	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Eyestalk Waist Cord (22730)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Eye of the Beast (13968)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
4	Brovas	Tempo	Alliance	768.0	40	Aug 8	57:57	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Marshal's Silk Footwraps (16437)	Rockfury Bracers (21186)	Knight-Lieutenant's Silk Handwraps (23290)	Ring of Spell Power (19147)	Band of Vaulted Secrets (21414)	Mind Quickening Gem (19339)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
5	Zand	whos friend r u	Alliance	768.0	40	Aug 6	35:25	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Netherwind Gloves (16913)	Band of Vaulted Secrets (21414)	Rune Band of Wizardry (22339)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
6	Koco	and he say me i noob LOL	Alliance	764.4	40	Aug 13	1:05:05	Field Marshal's Coronet (16441)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Enigma Robes (21343)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Knight-Lieutenant's Silk Walkers (23291)	Rockfury Bracers (21186)	Netherwind Gloves (16913)	Ring of the Fallen God (21709)	Signet Ring of the Bronze Dragonflight (21209)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
7	Trundlem	N/A	Unknown	763.9	40	Aug 15	34:37	Field Marshal's Coronet (16441)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Enigma Robes (21343)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Knight-Lieutenant's Silk Walkers (23291)	Rockfury Bracers (21186)	Netherwind Gloves (16913)	Band of Vaulted Secrets (21414)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Talon of Furious Concentration (21471)	Touch of Chaos (19861)
8	Hazi	and he say me i noob LOL	Alliance	750.1	40	Aug 13	1:05:05	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Lieutenant Commander's Silk Mantle (23319)	Enigma Robes (21343)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Knight-Lieutenant's Silk Walkers (23291)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Azuresong Mageblade (17103)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
9	Trundle	N/A	Unknown	749.2	40	Aug 8	39:17	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Netherwind Robes (16916)	Mana Igniting Cord (19136)	Leggings of the Festering Swarm (21676)	Knight-Lieutenant's Silk Walkers (23291)	Rockfury Bracers (21186)	Dark Storm Gauntlets (21585)	Band of Vaulted Secrets (21414)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
10	Masa	pneumonoultramicroscopic	Horde	748.6	40	Aug 14	50:05	Champion's Silk Cowl (23263)	Jeklik's Opaline Talisman (19923)	Champion's Silk Mantle (23264)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Maiden's Circle (13001)	Band of Servitude (22721)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Sharpened Silithid Femur (21622)	Tome of Fiery Arcana (19311)	Ivory Wand (15279)
11	Turbii	Magnum	Alliance	746.5	40	Aug 18	39:20	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Dark Storm Gauntlets (21585)	Ritssyn's Ring of Chaos (21836)	Ring of Spell Power (19147)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of the Devoured (22731)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
12	Swaggasaurus	Buds	Alliance	746.1	36	Aug 6	1:08:42	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Ring of the Fallen God (21709)	Ring of Spell Power (19147)	Mind Quickening Gem (19339)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
13	Maddey	atrocious	Horde	744.2	40	Aug 6	50:06	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Bloodvine Vest (19682)	Eyestalk Waist Cord (22730)	Bloodvine Leggings (19683)	Blood Guard's Silk Walkers (22860)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
14	Jonjónes	pneumonoultramicroscopic	Horde	743.3	40	Aug 6	55:55	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of Enlightenment (17109)	Champion's Silk Mantle (23264)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Netherwind Gloves (16913)	Band of Servitude (22721)	Rune Band of Wizardry (22339)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	High Warlord's Tome of Destruction (23468)	Glowstar Rod (15281)
15	Mindbot	Tide	Horde	743.0	40	Aug 6	51:37	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Blood Guard's Silk Walkers (22860)	Bracers of Arcane Accuracy (19374)	Gloves of the Hypnotic Flame (18808)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Mind Quickening Gem (19339)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
16	Äiti	N/A	Unknown	742.6	40	Aug 10	1:00:20	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Field Marshal's Silk Spaulders (16444)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Marshal's Silk Footwraps (16437)	Bracers of Arcane Accuracy (19374)	Netherwind Gloves (16913)	Ring of Spell Power (19147)	Band of Servitude (22721)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Touch of Chaos (19861)
17	Reefey	SQUAWK	Horde	742.5	40	Aug 13	1:15:38	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Blood Guard's Silk Walkers (22860)	Bracers of Arcane Accuracy (19374)	Gloves of the Hypnotic Flame (18808)	Band of Forced Concentration (19403)	Ring of Spell Power (19147)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of the Devoured (22731)	High Warlord's Spellblade (23466)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
18	Cclol	B R I C K E D	Alliance	741.0	40	Aug 9	44:28	Field Marshal's Coronet (16441)	Choker of the Fire Lord (18814)	Field Marshal's Silk Spaulders (16444)	Field Marshal's Silk Vestments (16443)	Ban'thok Sash (11662)	Marshal's Silk Leggings (16442)	Marshal's Silk Footwraps (16437)	Rockfury Bracers (21186)	Marshal's Silk Gloves (16440)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Fiery Arcana (19311)	Touch of Chaos (19861)
19	Oneofakind	pneumonoultramicroscopic	Horde	735.7	40	Aug 6	55:55	Champion's Silk Cowl (23263)	Jeklik's Opaline Talisman (19923)	Champion's Silk Mantle (23264)	Zandalar Illusionist's Robe (20034)	Mana Igniting Cord (19136)	Leggings of the Festering Swarm (21676)	Blood Guard's Silk Walkers (22860)	Zandalar Illusionist's Wraps (19846)	Netherwind Gloves (16913)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Mind Quickening Gem (19339)	Eye of the Beast (13968)	Cloak of the Hakkari Worshippers (22711)	Bloodcaller (19864)	Jin'do's Bag of Whammies (19891)	Dragon Finger (15282)
20	Bussebult	Gnomeboys	Alliance	731.0	40	Aug 14	51:25	Mish'undare, Circlet of the Mind Flayer (19375)	Charm of the Shifting Sands (21504)	Enigma Shoulderpads (21345)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Enigma Boots (21344)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Ring of the Fallen God (21709)	Band of Forced Concentration (19403)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
21	Dondorina	Faint	Alliance	726.6	34	Aug 7	52:41	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Lieutenant Commander's Silk Mantle (23319)	Enigma Robes (21343)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Knight-Lieutenant's Silk Walkers (23291)	Rockfury Bracers (21186)	Dark Storm Gauntlets (21585)	Ring of the Fallen God (21709)	Band of Forced Concentration (19403)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Talon of Furious Concentration (21471)	Bonecreeper Stylus (13938)
