Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Goyou	THREATCAPPED	Horde	493.2	41	Aug 17	1:26:59	Warlord's Silk Cowl (16533)	Charm of the Shifting Sands (21504)	Warlord's Silk Amice (16536)	Warlord's Silk Raiment (16535)	Ban'thok Sash (11662)	General's Silk Trousers (16534)	General's Silk Boots (16539)	Shackles of the Unscarred (21464)	General's Silk Handguards (16540)	Band of Servitude (22721)	Band of Vaulted Secrets (21414)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Talon of Furious Concentration (21471)	Touch of Chaos (19861)
2	祝君好很急	N/A	Unknown	472.9	40	Aug 7	1:33:09	Mish'undare, Circlet of the Mind Flayer (19375)	Charm of the Shifting Sands (21504)	Mantle of the Blackwing Cabal (19370)	Enigma Robes (21343)	Firemaw's Clutch (19400)	Netherwind Pants (16915)	Enigma Boots (21344)	Zandalar Illusionist's Wraps (19846)	Dark Storm Gauntlets (21585)	Signet Ring of the Bronze Dragonflight (21209)	Ring of the Fallen God (21709)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Bonecreeper Stylus (13938)
3	Khoutkitten	Equilibrium	Alliance	471.1	40	Aug 6	2:09:34	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Ringo's Blizzard Boots (19438)	Burrower Bracers (21611)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Mind Quickening Gem (19339)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
4	Dpsbot	Awakening	Alliance	466.1	40	Jul 23	2:29:01	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Netherwind Gloves (16913)	Ring of Spell Power (19147)	Band of Servitude (22721)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Touch of Chaos (19861)
5	迷人的小仓鼠	情义铁血	Alliance	460.8	39	Aug 10	1:29:14	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Netherwind Mantle (16917)	Netherwind Robes (16916)	Netherwind Belt (16818)	Netherwind Pants (16915)	Netherwind Boots (16912)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Master Dragonslayer's Orb (19366)	Touch of Chaos (19861)
6	Bucketofcoom	N/A	Unknown	445.6	40	Aug 10	1:16:26	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Netherwind Robes (16916)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Netherwind Bindings (16918)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Ring of the Desert Winds (21483)	Mind Quickening Gem (19339)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Therazane's Touch (19315)	Wand of Biting Cold (19108)
7	筱筱菜法	N/A	Unknown	442.7	38	Aug 10	1:30:48	Netherwind Crown (16914)	Choker of Enlightenment (17109)	Netherwind Mantle (16917)	Netherwind Robes (16916)	Netherwind Belt (16818)	Netherwind Pants (16915)	Netherwind Boots (16912)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Ring of the Fallen God (21709)	Signet Ring of the Bronze Dragonflight (21209)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
8	Bigwigs	天辰的蹦迪车队	Horde	433.1	40	Aug 10	1:16:34	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Netherwind Mantle (16917)	Netherwind Robes (16916)	Netherwind Belt (16818)	Netherwind Pants (16915)	Netherwind Boots (16912)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Band of Forced Concentration (19403)	Band of Vaulted Secrets (21414)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
9	萱萱妹	好好学习天天向上欣欣向荣	Horde	431.9	40	Aug 9	1:20:02	Warlord's Silk Cowl (16533)	Charm of the Shifting Sands (21504)	Warlord's Silk Amice (16536)	Warlord's Silk Raiment (16535)	Netherwind Belt (16818)	General's Silk Trousers (16534)	General's Silk Boots (16539)	Bracers of Arcane Accuracy (19374)	General's Silk Handguards (16540)	Band of Servitude (22721)	Signet Ring of the Bronze Dragonflight (21209)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of the Devoured (22731)	High Warlord's Spellblade (23466)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
10	晚曦阿丶	N/A	Unknown	426.9	40	Aug 14	1:32:28	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of Maz'Nadir (21468)	Netherwind Robes (16916)	Mana Igniting Cord (19136)	Leggings of the Black Blizzard (21461)	Boots of Epiphany (21600)	Shackles of the Unscarred (21464)	Netherwind Gloves (16913)	Ring of the Fallen God (21709)	Signet Ring of the Bronze Dragonflight (21206)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Staff of Dominance (18842)	N/A	Wand of Biting Cold (19108)
