Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Llama	based	Alliance	185.2	40	Aug 17	58:45	Zulian Headdress (22720)	Amulet of the Shifting Sands (21507)	Mantle of the Desert Crusade (21683)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Scrolls of Blinding Light (19343)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
2	나도딸피야	천국	Alliance	99.7	40	Aug 15	1:47:20	Zulian Headdress (22720)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Corehound Belt (19162)	Empowered Leggings (19385)	Betrayer's Boots (19897)	Bracers of Prosperity (18525)	Peacekeeper Gauntlets (20264)	Primalist's Seal (19863)	Primalist's Band (19920)	Shard of the Scale (17064)	Second Wind (11819)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
3	Retnoobution	Kult	Alliance	93.6	40	Aug 13	2:25:13	Zulian Headdress (22720)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Peacekeeper Gauntlets (20264)	Ring of Eternal Justice (21396)	Seal of the Archmagus (17110)	Talisman of Ephemeral Power (18820)	Second Wind (11819)	Hakkari Loa Cloak (19870)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
4	Magazta	whos friend r u	Alliance	68.0	40	Aug 6	35:25	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of the Redeemed Prophecy (21704)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Fordring's Seal (16058)	Scrolls of Blinding Light (19343)	Briarwood Reed (12930)	Hide of the Wild (18510)	Nightfall (19169)	N/A	Libram of Divinity (23201)
5	Lennartßladh	OILERS	Alliance	56.5	40	Aug 15	1:20:31	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Field Marshal's Lamellar Pauldrons (16476)	Robe of Volatile Power (19145)	Corehound Belt (19162)	Peacekeeper Leggings (20266)	Marshal's Lamellar Boots (16472)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Band of Servitude (22721)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18472)	Cloak of Clarity (21583)	Grand Marshal's Warhammer (23454)	Wormscale Blocker (21610)	Libram of Fervor (23203)
6	Wildride	whos friend r u 2	Alliance	54.5	40	Aug 10	36:51	Blooddrenched Mask (22718)	Onyxia Tooth Pendant (18404)	Darksoul Shoulders (19695)	Red Dragonscale Breastplate (15047)	Corehound Belt (19162)	Darksoul Leggings (19694)	Peacekeeper Boots (20265)	Zandalar Freethinker's Armguards (19827)	Storm Gauntlets (12632)	Primalist's Band (19920)	Cauterizing Band (19140)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Hide of the Wild (18510)	Nightfall (19169)	N/A	Libram of Divinity (23201)
7	Thesleepyrat	and he say me i noob LOL	Alliance	49.2	40	Aug 13	1:05:05	Zulian Headdress (22720)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of Epiphany (21600)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
8	Wuup	Not This Day	Alliance	39.8	38	Aug 13	48:13	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Animist's Spaulders (19928)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Lawbringer Boots (16859)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Fordring's Seal (16058)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18472)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Red Dragonscale Protector (19348)	Libram of Divinity (23201)
9	Evis	whos friend r u	Alliance	34.0	40	Aug 6	35:25	Judgment Crown (16955)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Judgment Breastplate (16958)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Judgment Sabatons (16957)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Ring of the Martyr (21620)	Cauterizing Band (19140)	Scrolls of Blinding Light (19343)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
10	Briarix	EXODUS	Alliance	33.5	40	Aug 14	50:37	Creeping Vine Helm (21669)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Boots of the Redeemed Prophecy (21704)	Judgment Bindings (16951)	Peacekeeper Gauntlets (20264)	Primalist's Band (19920)	Primalist's Seal (19863)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
