Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Trashbirb	N/A	Unknown	242.6	41	Aug 16	2:13:06	Avenger's Crown (21387)	Mark of C'Thun (22732)	Avenger's Pauldrons (21391)	Judgment Breastplate (16958)	Judgment Belt (16952)	Avenger's Legguards (21390)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Don Julio's Band (19325)	Signet Ring of the Bronze Dragonflight (21203)	Hand of Justice (11815)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Grand Marshal's Aegis (18825)	Libram of Hope (22401)
2	Pov	Omen	Alliance	208.6	35	Aug 13	1:52:48	Avenger's Crown (21387)	Choker of the Fire Lord (18814)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Judgment Belt (16952)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Signet Ring of the Bronze Dragonflight (21209)	Band of Servitude (22721)	Scrolls of Blinding Light (19343)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Elementium Reinforced Bulwark (19349)	Libram of Fervor (23203)
3	Dívinea	N/A	Unknown	127.9	40	Aug 16	2:38:25	Lightforge Helm (16727)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Zandalar Freethinker's Belt (19826)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Angelista's Touch (21695)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Onyxia Blood Talisman (18406)	Cloak of the Brood Lord (19378)	Flurry Axe (871)	Malistar's Defender (17106)	N/A
4	Cûpcake	N/A	Unknown	123.9	39	Aug 17	2:00:21	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Signet Ring of the Bronze Dragonflight (21208)	Ring of the Fallen God (21709)	Zandalarian Hero Charm (19950)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Flurry Axe (871)	Blessed Qiraji Bulwark (21269)	Libram of Hope (22401)
5	Draxam	N/A	Unknown	96.3	40	Aug 17	2:45:54	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Avenger's Pauldrons (21391)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Gauntlets of Steadfast Determination (21674)	Heavy Dark Iron Ring (18879)	Signet Ring of the Bronze Dragonflight (21197)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Cloak of the Golden Hive (21621)	Lok'amir il Romathis (19360)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
6	Bonfield	Ironforged	Alliance	89.6	40	Aug 13	1:46:27	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Girdle of the Fallen Crusader (19392)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Judgment Bindings (16951)	Gauntlets of Steadfast Determination (21674)	Band of Jin (19925)	Signet Ring of the Bronze Dragonflight (21204)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Sandstorm Cloak (21456)	Grand Marshal's Handaxe (18827)	Blessed Qiraji Bulwark (21269)	Libram of Hope (22401)
7	叹息丶之墙	N/A	Unknown	84.4	40	Aug 14	3:43:31	Judgment Crown (16955)	Mark of C'Thun (22732)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Archimtiros' Ring of Reckoning (19376)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Elementium Reinforced Bulwark (19349)	Libram of Fervor (23203)
8	Tabula	Face Down	Alliance	80.5	40	Aug 16	2:12:08	Avenger's Crown (21387)	Charm of the Shifting Sands (21504)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Judgment Belt (16952)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Ring of Spell Power (19147)	Band of Accuria (17063)	Zandalarian Hero Charm (19950)	Hand of Justice (11815)	Cloak of Consumption (19857)	Thunderfury, Blessed Blade of the Windseeker (19019)	Force Reactive Disk (18168)	Libram of Fervor (23203)
9	Zultan	Ironforged	Alliance	80.4	40	Jul 30	2:15:47	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Ring of Emperor Vek'lor (21601)	Styleen's Impeding Scarab (19431)	Neltharion's Tear (19379)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
10	遛鸟小萝莉	N/A	Unknown	39.9	40	Aug 7	3:14:33	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Angelista's Touch (21695)	Overlord's Crimson Band (19873)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Overlord's Embrace (19888)	Azuresong Mageblade (17103)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
