Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Lumpán	N/A	Unknown	502.4	39	Aug 10	1:35:47	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Vambraces of the Sadist (13400)	Sacrificial Gauntlets (22714)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Blackveil Cape (11626)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Fervor (23203)
2	Draake	Ruin	Alliance	406.5	40	Aug 13	1:31:46	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
3	Gales	Bulwark	Alliance	394.6	40	Aug 13	1:34:20	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Boots of the Vanguard (21493)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
4	Memedream	Endurance	Alliance	385.6	40	Aug 17	56:52	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Signet Ring of the Bronze Dragonflight (21204)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of the Golden Hive (21621)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
5	Dimemesal	Genesis	Alliance	379.5	38	Aug 10	54:31	Helm of Endless Rage (19372)	Amulet of the Darkmoon (19491)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Boots of the Vanguard (21493)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
6	Barbiee	The Company	Alliance	376.1	35	Aug 13	1:22:25	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Hive Defiler Wristguards (21618)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Hope (22401)
7	Arcann	NOC	Alliance	374.8	40	Aug 8	56:17	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Chromatic Boots (19387)	Hive Defiler Wristguards (21618)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
8	Hojreveal	Inside Out	Alliance	372.7	38	Aug 15	2:16:31	Crown of Destruction (18817)	Barbed Choker (21664)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Belt of Preserved Heads (20216)	Knight-Captain's Lamellar Leggings (23273)	Bloodmail Boots (14616)	Wristguards of Stability (19146)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Bonereaver's Edge (17076)	N/A	Libram of Hope (22401)
9	Saintanais	Mellon	Alliance	371.4	40	Aug 3	1:22:10	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cloak of the Shrouded Mists (17102)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
10	快快丶惩戒骑	SPEED	Alliance	370.8	40	Aug 8	1:23:25	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Ossirian's Binding (21463)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Bracers of Brutality (21457)	Flameguard Gauntlets (19143)	Ring of the Godslayer (21596)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Drake Fang Talisman (19406)	Windshear Cape (20691)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Hope (22401)
