Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Macdoogal	N/A	Unknown	151.8	40	Aug 8	43:32	Field Marshal's Headdress (17602)	Choker of the Fire Lord (18814)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Firemaw's Clutch (19400)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Burrower Bracers (21611)	Marshal's Satin Gloves (17608)	Zanzil's Seal (19893)	Ring of the Fallen God (21709)	Talisman of Ephemeral Power (18820)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Grand Marshal's Tome of Power (23452)	Bonecreeper Stylus (13938)
2	Hundredd	SQUAWK	Horde	139.5	40	Jul 22	1:50:32	Crystal Adorned Crown (19132)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Royal Seal of Eldre'Thalas (18469)	Zandalarian Hero Charm (19950)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
3	Buffstealer	B R I C K E D	Alliance	120.3	40	Jul 25	48:03	Field Marshal's Headdress (17602)	Star of Mystaria (12103)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Firemaw's Clutch (19400)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Abyssal Cloth Wristbands (20690)	Marshal's Satin Gloves (17608)	Elemental Focus Band (20682)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Grand Marshal's Tome of Power (23452)	Dragon's Touch (19367)
4	Judiz	critical	Horde	112.9	40	Aug 13	1:36:15	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Talisman of Ephemeral Power (18820)	Hide of the Wild (18510)	Benediction (18608)	N/A	Touch of Chaos (19861)
5	Altarz	based	Alliance	98.8	40	Aug 10	1:05:48	Dreamweave Circlet (10041)	Orb of the Darkmoon (19426)	Mantle of Maz'Nadir (21468)	Bloodvine Vest (19682)	Belt of Transcendence (16925)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Virtuous Bracers (22079)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Staff of the Shadow Flame (19356)	N/A	Dragon's Touch (19367)
6	Estellasled	rebind	Horde	98.0	40	Aug 15	1:28:07	Warlord's Satin Cowl (17623)	Jin'do's Evil Eye (19885)	Ternary Mantle (21694)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	General's Satin Leggings (17625)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	General's Satin Gloves (17620)	Band of Sulfuras (19138)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18469)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Dragon's Touch (19367)
7	Oxtos	Succumb	Alliance	95.2	40	Aug 9	1:24:43	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Zandalar Confessor's Mantle (19841)	Robes of Prophecy (16815)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Zandalar Confessor's Wraps (19843)	Gloves of Prophecy (16812)	Band of Servitude (22721)	Primalist's Seal (19863)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18469)	Hakkari Loa Cloak (19870)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Dragon's Touch (19367)
8	Darbee	The Imperium	Horde	94.0	40	Aug 18	1:12:18	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Gloves of the Messiah (21619)	Cauterizing Band (19140)	Band of Servitude (22721)	Darkmoon Card: Blue Dragon (19288)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Dragon Finger (15282)
9	Eliana	Animals	Alliance	87.8	40	Aug 3	2:08:41	Spellweaver's Turban (22267)	Choker of the Fire Lord (18814)	Elegant Mantle (10210)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Maleki's Footwraps (18735)	Tearfall Bracers (13409)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Band of Dark Dominion (19434)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
10	Thriserp	Friends You Cant Trust	Alliance	86.3	40	Aug 6	1:06:04	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of the Exalted (13346)	Belt of Transcendence (16925)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Gloves of Dark Wisdom (21462)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Royal Seal of Eldre'Thalas (18469)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Glowstar Rod (15281)
11	缔结	云淡风清	Horde	86.1	40	Jul 24	1:20:06	Halo of Transcendence (16921)	Choker of Enlightenment (17109)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Ritualistic Legguards (19899)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Band of Servitude (22721)	Band of Mending (22334)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hakkari Loa Cloak (19870)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
12	信仰暗牧	N/A	Unknown	80.8	40	Aug 7	3:14:33	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Ring of the Devoured (21681)	Rejuvenating Gem (19395)	Neltharion's Tear (19379)	Hide of the Wild (18510)	Benediction (18608)	N/A	Mar'li's Touch (19927)
13	Jaez	GAME BRED	Alliance	80.0	39	Jul 30	57:28	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Seal of the Archmagus (17110)	Band of Servitude (22721)	Royal Seal of Eldre'Thalas (18469)	Darkmoon Card: Blue Dragon (19288)	Hide of the Wild (18510)	Benediction (18608)	N/A	Essence Gatherer (19435)
14	Tikee	car with flames - Aggression	Alliance	77.9	40	Jul 25	58:34	Halo of Transcendence (16921)	Choker of the Fire Lord (18814)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Benediction (18608)	N/A	Wizard's Hand (15280)
15	Serys	N/A	Unknown	70.0	40	Aug 18	1:02:24	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Field Marshal's Satin Mantle (17604)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Gloves of Dark Wisdom (21462)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Sartura's Might (21666)	Ritssyn's Wand of Bad Mojo (22408)
16	Malevevia	Context	Horde	69.2	40	Aug 13	2:38:22	The Hexxer's Cover (19886)	Choker of Enlightenment (17109)	Mantle of Maz'Nadir (21468)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Shackles of the Unscarred (21464)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Signet Ring of the Bronze Dragonflight (21206)	Zandalarian Hero Charm (19950)	Eye of the Beast (13968)	Cloak of the Hakkari Worshippers (22711)	Anathema (18609)	N/A	Essence Gatherer (19435)
17	Skurb	lmao just jump	Alliance	69.2	40	Aug 10	39:25	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Field Marshal's Satin Mantle (17604)	Robes of Transcendence (16923)	Grasp of the Old God (21582)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Fordring's Seal (16058)	Rejuvenating Gem (19395)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Dragon Finger (15282)
18	Morrisx	not a good look	Alliance	68.4	40	Jul 30	43:07	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Hazza'rah's Charm of Healing (19958)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Grand Marshal's Tome of Restoration (23453)	Umbral Wand (5216)
19	Asphyix	not a good look	Alliance	67.9	40	Jul 28	45:48	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of the Exalted (13346)	Firemaw's Clutch (19400)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Primalist's Seal (19863)	Primalist's Band (19920)	Hazza'rah's Charm of Healing (19958)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Dragon Finger (15282)
20	Jadey	Karma	Alliance	67.7	40	Aug 10	31:33	Crystal Adorned Crown (19132)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Bracelets of Royal Redemption (21604)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18469)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Lunar Wand (15283)
21	Rappio	From The Trashes	Horde	66.3	40	Aug 13	2:54:09	Warlord's Satin Cowl (17623)	Anastari Heirloom (18728)	Warlord's Satin Mantle (17622)	Warlord's Satin Robes (17624)	Belt of Untapped Power (22716)	General's Satin Leggings (17625)	General's Satin Boots (17618)	Sublime Wristguards (18497)	General's Satin Gloves (17620)	Ring of Blackrock (19397)	Band of Servitude (22721)	Briarwood Reed (12930)	Darkmoon Card: Blue Dragon (19288)	Sapphiron Drape (17078)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
22	Devillord	based	Alliance	65.6	40	Aug 17	58:45	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Rejuvenating Gem (19395)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Benediction (18608)	N/A	Wand of Biting Cold (19108)
23	Moxlolol	goodnighting	Alliance	65.2	40	Aug 6	43:37	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Truefaith Vestments (14154)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Cloak of Clarity (21583)	Blessed Qiraji Augur Staff (21275)	N/A	Touch of Chaos (19861)
24	Enthusiast	Not This Day	Alliance	62.9	38	Aug 13	48:13	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Ring of the Martyr (21620)	Blessed Prayer Beads (19990)	Rejuvenating Gem (19395)	Cloak of Clarity (21583)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Lunar Wand (15283)
25	Ronwtf	all good	Horde	62.7	40	Aug 8	53:57	Warlord's Satin Cowl (17623)	Choker of the Fire Lord (18814)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	General's Satin Gloves (17620)	Band of Sulfuras (19138)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18469)	Darkmoon Card: Blue Dragon (19288)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	High Warlord's Tome of Mending (23469)	Dragon's Touch (19367)
26	Ullabella	Hanterbart	Alliance	62.2	40	Jul 18	1:39:47	Crystal Adorned Crown (19132)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Dragon Finger (15282)
27	Spirituals	N/A	Unknown	61.7	40	Aug 17	1:48:34	Field Marshal's Headdress (17602)	Amulet of the Shifting Sands (21507)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Girdle of Prophecy (16817)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Don Rodrigo's Band (21563)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Insignia of the Alliance (18862)	Cloak of the Hakkari Worshippers (22711)	Benediction (18608)	N/A	Essence Gatherer (19435)
28	Mielibtw	Spectrum	Alliance	60.0	36	Aug 3	54:40	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Truefaith Vestments (14154)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Darkmoon Card: Blue Dragon (19288)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Glowstar Rod (15281)
29	Floatingturd	feet	Horde	59.5	39	Aug 6	1:34:27	Champion's Satin Hood (23261)	Choker of Enlightenment (17109)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Leggings of Transcendence (16922)	General's Satin Boots (17618)	Bracelets of Royal Redemption (21604)	General's Satin Gloves (17620)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Hazza'rah's Charm of Healing (19958)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Shadow Wing Focus Staff (19355)	N/A	Dragon's Touch (19367)
30	Micitout	Hostile	Alliance	59.4	40	Jul 28	53:40	Halo of Transcendence (16921)	Choker of Enlightenment (17109)	Zandalar Confessor's Mantle (19841)	Field Marshal's Satin Vestments (17605)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Primalist's Band (19920)	Primalist's Seal (19863)	Royal Seal of Eldre'Thalas (18469)	Darkmoon Card: Blue Dragon (19288)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Essence Gatherer (19435)
31	Dbbq	log on throne	Alliance	58.4	40	Aug 18	46:26	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Truefaith Vestments (14154)	Grasp of the Old God (21582)	Leggings of Transcendence (16922)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Fordring's Seal (16058)	Hazza'rah's Charm of Healing (19958)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
32	Keyteor	Scuba Cops	Horde	57.8	40	Aug 15	43:18	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Benediction (18608)	N/A	Glowstar Rod (15281)
33	Zal	SQUAWK	Horde	56.9	40	Jul 22	1:50:32	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Fordring's Seal (16058)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Dragon Finger (15282)
34	Ferrero	N/A	Unknown	56.5	40	Jul 25	3:07:54	Warlord's Satin Cowl (17623)	The All-Seeing Eye of Zuldazar (19594)	Warlord's Satin Mantle (17622)	Warlord's Satin Robes (17624)	Firemaw's Clutch (19400)	General's Satin Leggings (17625)	General's Satin Boots (17618)	Zandalar Confessor's Wraps (19843)	General's Satin Gloves (17620)	Band of Dark Dominion (19434)	Eye of Orgrimmar (12545)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	High Warlord's Battle Mace (23464)	High Warlord's Tome of Mending (23469)	Dragon Finger (15282)
35	Hk	Via Dolorosa Pug	Horde	56.2	40	Aug 5	48:22	Halo of Transcendence (16921)	Choker of Enlightenment (17109)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	General's Satin Boots (17618)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Rosewine Circle (13178)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Dragon Finger (15282)
36	Mstr	N/A	Unknown	56.1	40	Aug 10	53:04	Field Marshal's Headdress (17602)	Jin'do's Evil Eye (19885)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Zandalar Confessor's Bindings (19842)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Zandalar Confessor's Wraps (19843)	Marshal's Satin Gloves (17608)	Vanadium Loop (11989)	Ring of the Heavens (12056)	Arena Grand Master (19024)	Mar'li's Eye (19930)	Cloak of the Savior (21470)	Will of Arlokk (19909)	N/A	Thoughtblighter (19967)
37	Zall	N/A	Unknown	55.7	40	Aug 17	47:49	Don Rigoberto's Lost Hat (21615)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Gloves of the Messiah (21619)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Hazza'rah's Charm of Healing (19958)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	High Warlord's Tome of Mending (23469)	Essence Gatherer (19435)
38	Rexxis	EXODUS	Alliance	54.7	40	Aug 14	50:37	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Ring of the Martyr (21620)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Lunar Wand (15283)
39	Flexia	Relapse	Horde	54.3	40	Aug 13	51:53	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Blessed Prayer Beads (19990)	Royal Seal of Eldre'Thalas (18469)	Cloak of Clarity (21583)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Dragon Finger (15282)
40	손동현	데스윙	Horde	52.8	40	Aug 8	1:52:55	Halo of Transcendence (16921)	The All-Seeing Eye of Zuldazar (19594)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Band of Servitude (22721)	Hazza'rah's Charm of Healing (19958)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Essence Gatherer (19435)
41	Jillary	WOODDEPARTMENT	Alliance	52.8	40	Aug 8	1:55:33	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Rosewine Circle (13178)	Royal Seal of Eldre'Thalas (18469)	Second Wind (11819)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Dragon's Touch (19367)
42	까미	서리1공	Alliance	52.6	40	Aug 18	1:45:13	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Band of Servitude (22721)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Touch of Chaos (19861)
43	Suriye	Neko	Alliance	52.6	40	Aug 17	1:50:07	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Field Marshal's Satin Mantle (17604)	Robes of the Exalted (13346)	Zandalar Confessor's Bindings (19842)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Zandalar Confessor's Wraps (19843)	Desert Bloom Gloves (20717)	Cauterizing Band (19140)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Glowstar Rod (15281)
