Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Enthozz	SQUAWK	Horde	929.6	41	Aug 13	1:26:51	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Nightslayer Shoulder Pads (16823)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Boots of the Shadow Flame (19381)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Don Julio's Band (19325)	Band of Accuria (17063)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of Concentrated Hatred (21701)	High Warlord's Blade (16345)	Maladath, Runed Blade of the Black Flight (19351)	Striker's Mark (17069)
2	Vampsinn	SQUAWK	Horde	912.4	41	Aug 13	1:26:51	Deathdealer's Helm (21360)	Prestor's Talisman of Connivery (19377)	Deathdealer's Spaulders (21361)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Boots of the Shadow Flame (19381)	Bloodfang Bracers (16911)	Nightslayer Gloves (16826)	Band of Accuria (17063)	Don Julio's Band (19325)	Earthstrike (21180)	Drake Fang Talisman (19406)	Puissant Cape (18541)	High Warlord's Blade (16345)	Maladath, Runed Blade of the Black Flight (19351)	Striker's Mark (17069)
3	Baklawaz	Progress	Horde	844.3	39	Aug 13	44:47	Darkmantle Cap (22005)	Onyxia Tooth Pendant (18404)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
4	Elektro	and he say me i noob LOL	Alliance	836.5	40	Aug 13	1:05:05	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Darkmantle Tunic (22009)	Belt of Never-Ending Agony (21586)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Signet Ring of the Bronze Dragonflight (21203)	Renataki's Charm of Trickery (19954)	Jom Gabbar (23570)	Cloak of Firemaw (19398)	Grand Marshal's Dirk (18838)	Blessed Qiraji Pugio (21244)	Striker's Mark (17069)
5	Akton	HESOYAM	Alliance	834.6	40	Aug 17	47:17	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Bloodfang Bracers (16911)	Darkmantle Gloves (22006)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Hand of Justice (11815)	Renataki's Charm of Trickery (19954)	Puissant Cape (18541)	Death's Sting (21126)	Blessed Qiraji Pugio (21244)	Striker's Mark (17069)
6	Kurissu	Smooth	Horde	824.0	40	Aug 11	1:39:00	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Boots of the Shadow Flame (19381)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Renataki's Charm of Trickery (19954)	Drake Fang Talisman (19406)	Cloak of Firemaw (19398)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
7	Brainletx	Malediction	Alliance	822.6	39	Aug 6	47:03	Deathdealer's Helm (21360)	Onyxia Tooth Pendant (18404)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Deathdealer's Leggings (21362)	Deathdealer's Boots (21359)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Renataki's Charm of Trickery (19954)	Cloak of Veiled Shadows (21406)	Grand Marshal's Dirk (18838)	Grand Marshal's Dirk (18838)	Dragonbreath Hand Cannon (19368)
8	Runic	HUGE	Alliance	818.8	40	Aug 13	35:58	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Darkmantle Spaulders (22008)	Bloodfang Chestpiece (16905)	Belt of Never-Ending Agony (21586)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Bloodfang Bracers (16911)	Darkmantle Gloves (22006)	Band of Accuria (17063)	Signet Ring of the Bronze Dragonflight (21204)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of Veiled Shadows (21406)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Striker's Mark (17069)
9	Phase	SQUAWK	Horde	815.3	40	Aug 6	1:16:22	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Boots of the Shadow Flame (19381)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Don Julio's Band (19325)	Band of Accuria (17063)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of Veiled Shadows (21406)	High Warlord's Blade (16345)	Maladath, Runed Blade of the Black Flight (19351)	Striker's Mark (17069)
10	Bgz	Iskall	Alliance	810.8	39	Aug 6	48:31	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Renataki's Charm of Trickery (19954)	Cape of the Black Baron (13340)	Grand Marshal's Dirk (18838)	Blessed Qiraji Pugio (21244)	Blackcrow (12651)
