Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Zèús	pneumonoultramicroscopic	Horde	577.4	40	Aug 6	55:55	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Stormcaller's Pauldrons (21376)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Stormcaller's Leggings (21375)	Stormcaller's Footguards (21373)	Bracers of Arcane Accuracy (19374)	Gloves of Ebru (21689)	Ring of the Fallen God (21709)	Band of Forced Concentration (19403)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Royal Scepter of Vek'lor (21597)	Totem of the Storm (23199)
2	Darmare	The Pond pug	Horde	540.9	40	Aug 11	1:11:22	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Neltharion's Tear (19379)	Natural Alignment Crystal (19344)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
3	Rilkor	N/A	Unknown	525.1	40	Aug 4	1:02:41	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of Enlightenment (17109)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Band of Forced Concentration (19403)	Natural Alignment Crystal (19344)	Talisman of Ephemeral Power (18820)	Cloak of the Devoured (22731)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
4	Sedroc	Pulse	Horde	501.2	39	Aug 14	42:46	Mish'undare, Circlet of the Mind Flayer (19375)	Nacreous Shell Necklace (22403)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Dark Storm Gauntlets (21585)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Blessed Qiraji Acolyte Staff (21273)	N/A	Totem of the Storm (23199)
5	Drymedarius	Someone Puiied	Horde	496.4	40	Aug 14	57:59	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Gloves of Ebru (21689)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	Totem of the Storm (23199)
6	Robinhoof	Fordi vi kan	Horde	489.4	41	Aug 7	1:33:49	The Hexxer's Cover (19886)	Charm of the Shifting Sands (21504)	Deep Earth Spaulders (18829)	Zandalar Augur's Hauberk (19828)	Ban'thok Sash (11662)	Leggings of Immersion (21698)	Bloodvine Boots (19684)	Shackles of the Unscarred (21464)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18471)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
7	Narapoia	Tide	Horde	476.7	40	Aug 6	51:37	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Blood Guard's Mail Vices (22867)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Totem of the Storm (23199)
8	Zeka	N/A	Unknown	469.8	40	Aug 15	50:42	Stormcaller's Diadem (21372)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Stormcaller's Leggings (21375)	Stormcaller's Footguards (21373)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ritssyn's Ring of Chaos (21836)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of the Devoured (22731)	Blessed Qiraji Acolyte Staff (21273)	N/A	Totem of the Storm (23199)
9	Prefoxd	N/A	Unknown	468.5	40	Aug 12	1:03:07	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10	Strm	livid	Horde	466.1	40	Aug 10	53:22	Green Lens (10504)	Charm of the Shifting Sands (21504)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Boots of Epiphany (21600)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18471)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Totem of the Storm (23199)
11	Guyondacouch	Impact	Horde	457.5	40	Aug 13	1:01:27	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Rune Band of Wizardry (22339)	Ring of the Fallen God (21709)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
12	Mainfinityy	DELETED	Horde	449.0	40	Aug 17	1:04:48	Mish'undare, Circlet of the Mind Flayer (19375)	Amulet of Vek'nilash (21608)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Zandalar Augur's Bracers (19830)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
