Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Muga	Unphased	Horde	525.7	40	Aug 10	1:07:21	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Runed Bloodstained Hauberk (19904)	Belt of Never-Ending Agony (21586)	General's Mail Leggings (16579)	Boots of the Fallen Prophet (21705)	Wristguards of True Flight (18812)	Gloves of Enforcement (21672)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Deathguard's Cloak (20068)	Dark Edge of Insanity (21134)	N/A	Totem of Rage (22395)
2	Phorquedtotm	critical	Horde	478.6	40	Jul 23	1:43:14	Crown of Destruction (18817)	Mark of Fordring (15411)	Warlord's Mail Spaulders (16580)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Scaled Sand Reaver Leggings (21651)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	Chromatic Gauntlets (19157)	Master Dragonslayer's Ring (19384)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Firemaw (19398)	High Warlord's Battle Axe (18831)	N/A	N/A
3	Shagly	livid	Horde	474.2	40	Aug 10	53:22	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Fetish of the Sand Reaver (21647)	Hand of Justice (11815)	Frostwolf Legionnaire's Cloak (19083)	Herald of Woe (19357)	N/A	N/A
4	Mocq	Relapse	Horde	433.1	40	Aug 6	48:16	Lizardscale Eyepatch (19945)	Mark of Fordring (15411)	Warlord's Mail Spaulders (16580)	Obsidian Plate Tunic (22191)	Therazane's Link (19380)	Abyssal Mail Legguards (20668)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	Chromatic Gauntlets (19157)	Don Julio's Band (19325)	Seal of Jin (19898)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	High Warlord's Battle Axe (18831)	N/A	N/A
5	Deffs	Tide	Horde	432.8	40	Aug 6	51:37	Crown of Destruction (18817)	Mark of Fordring (15411)	Mantle of Wicked Revenge (21665)	Runed Bloodstained Hauberk (19904)	Therazane's Link (19380)	Scaled Sand Reaver Leggings (21651)	Boots of the Vanguard (21493)	Qiraji Execution Bracers (21602)	Seafury Gauntlets (20257)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Might of the Tribe (22712)	Nightfall (19169)	N/A	N/A
6	Myllytys	wiggle	Horde	431.9	40	Aug 4	1:38:56	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Abyssal Mail Pauldrons (20680)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Abyssal Mail Legguards (20668)	Boots of the Fallen Prophet (21705)	Wristguards of Stability (19146)	Chromatic Gauntlets (19157)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Windshear Cape (20691)	High Warlord's Battle Axe (18831)	N/A	Totem of Rage (22395)
7	Nohappy	云淡风清	Horde	427.6	40	Aug 14	1:00:49	Crown of Destruction (18817)	The Eye of Hakkar (19856)	Warlord's Mail Spaulders (16580)	Warlord's Mail Armor (16577)	Therazane's Link (19380)	Abyssal Mail Legguards (20668)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	General's Mail Gauntlets (16574)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Nat Pagle's Broken Reel (19947)	Hand of Justice (11815)	Cloak of Concentrated Hatred (21701)	High Warlord's Battle Axe (18831)	N/A	Totem of Rage (22395)
8	Jay	HS Crew PUG	Horde	420.1	39	Aug 4	55:14	Crown of Destruction (18817)	The Eye of Hakkar (19856)	Taut Dragonhide Shoulderpads (19389)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Totem of Rage (22395)
9	Dbcl	Roots	Horde	412.2	40	Aug 13	1:12:15	Crown of Destruction (18817)	The Eye of Hakkar (19856)	Mantle of Wicked Revenge (21665)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Scaled Sand Reaver Leggings (21651)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	General's Mail Gauntlets (16574)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	High Warlord's Battle Axe (18831)	N/A	Totem of Rage (22395)
10	Skykang	Honor	Horde	405.9	40	Aug 13	1:12:24	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
