Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Lilmortal	SQUAWK	Horde	175.6	40	Aug 6	1:16:22	Helm of the Lifegiver (18870)	Choker of the Fire Lord (18814)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Ritualistic Legguards (19899)	Earthfury Boots (16837)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Ring of Blackrock (19397)	Primalist's Seal (19863)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Red Dragonscale Protector (19348)	Totem of Life (22396)
2	Raijinn	N/A	Unknown	138.1	39	Aug 2	3:13:03	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Earthfury Epaulets (16844)	Breastplate of Ten Storms (16950)	Belt of Ten Storms (16944)	Salamander Scale Pants (18875)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Gauntlets of Ten Storms (16948)	Primalist's Seal (19863)	Primalist's Band (19920)	Shard of the Scale (17064)	Mindtap Talisman (18371)	Cloak of the Savior (21470)	Lok'amir il Romathis (19360)	Malistar's Defender (17106)	N/A
3	Myllytys	wiggle	Horde	134.7	40	Jul 29	1:53:06	Helm of the Lifegiver (18870)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Warlord's Mail Armor (16577)	Barrage Girdle (18721)	General's Mail Leggings (16579)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Zandalarian Hero Charm (19950)	Cloak of the Savior (21470)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Totem of Rage (22395)
4	Freshright	SQUAWK	Horde	131.9	40	Aug 6	1:16:22	Helmet of Ten Storms (16947)	Wavefront Necklace (20685)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Pure Elementium Band (19382)	Ring of Blackrock (19397)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Totem of Sustaining (23200)
5	Stormrag	SQUAWK	Horde	124.2	41	Aug 13	1:26:51	Crystal Adorned Crown (19132)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Harmonious Gauntlets (18527)	Pure Elementium Band (19382)	Ring of the Martyr (21620)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Totem of Sustaining (23200)
6	Cursed	The Pond pug	Horde	107.8	40	Aug 7	1:14:57	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Natural Alignment Crystal (19344)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Red Dragonscale Protector (19348)	Totem of Rage (22395)
7	Monkey	SQUAWK	Horde	107.7	41	Aug 13	1:26:51	Crystal Adorned Crown (19132)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Primalist's Seal (19863)	Primalist's Band (19920)	Scarab Brooch (21625)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Totem of Sustaining (23200)
8	Dildus	SQUAWK	Horde	102.1	40	Aug 13	1:15:38	Don Rigoberto's Lost Hat (21615)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Earthfury Vestments (16841)	Corehound Belt (19162)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Wasphide Gauntlets (21617)	Pure Elementium Band (19382)	Fordring's Seal (16058)	Rejuvenating Gem (19395)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Red Dragonscale Protector (19348)	Egan's Blaster (13289)
9	Cultures	SQUAWK	Horde	94.5	41	Aug 13	1:26:51	Stormcaller's Diadem (21372)	Jin'do's Evil Eye (19885)	Stormcaller's Pauldrons (21376)	Stormcaller's Hauberk (21374)	Belt of Ten Storms (16944)	Stormcaller's Leggings (21375)	Stormcaller's Footguards (21373)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Pure Elementium Band (19382)	Ring of Blackrock (19397)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Totem of Sustaining (23200)
10	Burnslol	N/A	Unknown	91.5	40	Aug 5	1:22:39	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Lordly Armguards (13135)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Seal of Jin (19898)	Eye of the Beast (13968)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
11	Shocktacus	N/A	Unknown	90.5	40	Aug 5	1:29:31	Helm of the Lifegiver (18870)	Wavefront Necklace (20685)	Earthfury Epaulets (16844)	Zandalar Augur's Hauberk (19828)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Boots of Pure Thought (19437)	Bracers of Ten Storms (16943)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Primalist's Seal (19863)	Insignia of the Horde (18845)	Zandalarian Hero Charm (19950)	Hakkari Loa Cloak (19870)	Zulian Scepter of Rites (22713)	Malistar's Defender (17106)	Totem of Rage (22395)
12	늙고돈없고아프고	N/A	Unknown	87.3	40	Aug 9	3:58:48	Helmet of Ten Storms (16947)	Orb of the Darkmoon (19426)	Deep Earth Spaulders (18829)	Zandalar Augur's Hauberk (19828)	Firemaw's Clutch (19400)	Legplates of Ten Storms (16946)	General's Mail Boots (16573)	Zandalar Augur's Bracers (19830)	Slimy Scaled Gauntlets (21487)	Ring of Swarming Thought (21707)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18471)	Cloak of the Brood Lord (19378)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	Totem of the Storm (23199)
