Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Squeakx	SQUAWK	Horde	697.4	40	Aug 14	1:22:55	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Nemesis Spaulders (16932)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Sharpened Silithid Femur (21622)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
2	Kunn	whos friend r u	Alliance	677.3	40	Jul 27	46:44	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Ebony Flame Gloves (19407)	Ring of Unspoken Names (21417)	Band of Dark Dominion (19434)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Scepter of Interminable Focus (22329)	Touch of Chaos (19861)
3	Aouri	Drama Cabbage Pugs	Alliance	677.2	40	Aug 9	1:06:25	Doomcaller's Circlet (21337)	Charm of the Shifting Sands (21504)	Doomcaller's Mantle (21335)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Fel-Infused Leggings (19133)	Bloodvine Boots (19684)	Nemesis Bracers (16934)	Ebony Flame Gloves (19407)	Zanzil's Seal (19893)	Ring of Unspoken Names (21417)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Fang of the Mystics (17070)	Royal Scepter of Vek'lor (21597)	Skul's Ghastly Touch (13396)
4	Innate	can we skip this pack	Alliance	670.5	40	Aug 7	1:09:05	Nemesis Skullcap (16929)	Choker of the Fire Lord (18814)	Doomcaller's Mantle (21335)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Nemesis Gloves (16928)	Ring of the Fallen God (21709)	Band of Forced Concentration (19403)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
5	Opencoil	whos friend r u	Alliance	656.1	40	Aug 6	35:25	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Fel-Infused Leggings (19133)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Ebony Flame Gloves (19407)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Scepter of Interminable Focus (22329)	Wand of Qiraji Nobility (21603)
6	Ninja	whos friend r u	Alliance	655.2	40	Jul 30	40:09	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Ring of Unspoken Names (21417)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
7	Naengmyeon	my buffs	Alliance	652.3	38	Aug 6	1:49:00	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Eyestalk Waist Cord (22730)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Ring of Unspoken Names (21417)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
8	Idtapdat	Drama Cabbage Pugs	Alliance	647.1	40	Aug 17	1:05:58	Doomcaller's Circlet (21337)	Choker of the Fire Lord (18814)	Doomcaller's Mantle (21335)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Doomcaller's Trousers (21336)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Felcloth Gloves (18407)	Ring of Unspoken Names (21417)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Azuresong Mageblade (17103)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
9	Sensual	BLAST	Horde	641.3	40	Aug 18	1:07:21	Doomcaller's Circlet (21337)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Eyestalk Waist Cord (22730)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Ebony Flame Gloves (19407)	Ring of Unspoken Names (21417)	Ring of the Fallen God (21709)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
10	Pace	Drama	Alliance	639.1	38	Aug 4	59:20	Lieutenant Commander's Dreadweave Cowl (23310)	Amulet of Vek'nilash (21608)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Fel-Infused Leggings (19133)	Nemesis Boots (16927)	Bracers of Arcane Accuracy (19374)	Nemesis Gloves (16928)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Sharpened Silithid Femur (21622)	Therazane's Touch (19315)	Touch of Chaos (19861)
