Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Bubztwo	RTR	Horde	772.8	39	Aug 14	1:13:42	Conqueror's Crown (21329)	Onyxia Tooth Pendant (18404)	Conqueror's Spaulders (21330)	Conqueror's Breastplate (21331)	Onslaught Girdle (19137)	Conqueror's Legguards (21332)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of the Fallen God (21710)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
2	Inzaki	Regress	Horde	758.0	40	Aug 10	40:30	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Crul'shorukh, Edge of Chaos (19363)	High Warlord's Cleaver (18828)	Blastershot Launcher (17072)
3	Dorkel	something to think about	Horde	735.1	40	Aug 13	54:16	Helm of Endless Rage (19372)	Master Dragonslayer's Medallion (19383)	Warlord's Plate Shoulders (16544)	Conqueror's Breastplate (21331)	Triad Girdle (21692)	Conqueror's Legguards (21332)	General's Plate Boots (16545)	Bracelets of Wrath (16959)	Aged Core Leather Gloves (18823)	Archimtiros' Ring of Reckoning (19376)	Circle of Applied Force (19432)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of the Fallen God (21710)	Death's Sting (21126)	Blessed Qiraji Pugio (21244)	Dragonbreath Hand Cannon (19368)
4	Gamb	Gnomeboys	Alliance	730.2	39	Aug 5	49:53	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Mugger's Belt (18505)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of the Shrouded Mists (17102)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Blastershot Launcher (17072)
5	Arkada	based	Alliance	717.6	40	Aug 10	1:05:48	Conqueror's Crown (21329)	Pendant of the Qiraji Guardian (21700)	Field Marshal's Plate Shoulderguards (16480)	Conqueror's Breastplate (21331)	Zandalar Vindicator's Belt (19823)	Conqueror's Legguards (21332)	Marshal's Plate Boots (16483)	Bracelets of Wrath (16959)	Gauntlets of Steadfast Determination (21674)	Circle of Applied Force (19432)	Master Dragonslayer's Ring (19384)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of the Fallen God (21710)	Thunderfury, Blessed Blade of the Windseeker (19019)	Maladath, Runed Blade of the Black Flight (19351)	Blastershot Launcher (17072)
6	Pooqi	something to think about	Horde	714.0	40	Aug 14	56:04	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Conqueror's Breastplate (21331)	Triad Girdle (21692)	Conqueror's Legguards (21332)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of the Fallen God (21710)	High Warlord's Cleaver (18828)	Death's Sting (21126)	Bloodseeker (19107)
7	Trundlefury	N/A	Unknown	710.0	40	Aug 9	56:49	Field Marshal's Plate Helm (16478)	Pendant of the Qiraji Guardian (21700)	Field Marshal's Plate Shoulderguards (16480)	Conqueror's Breastplate (21331)	Onslaught Girdle (19137)	Conqueror's Legguards (21332)	Chromatic Boots (19387)	Bracers of Brutality (21457)	Marshal's Plate Gauntlets (16484)	Archimtiros' Ring of Reckoning (19376)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Drape of Unyielding Strength (21394)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Longsword (12584)	Crossbow of Imminent Doom (21459)
8	Obiwonagain	Smooth	Horde	699.9	40	Aug 18	1:33:56	Conqueror's Crown (21329)	Barbed Choker (21664)	Conqueror's Spaulders (21330)	Conqueror's Breastplate (21331)	Zandalar Vindicator's Belt (19823)	Conqueror's Legguards (21332)	Chromatic Boots (19387)	Bracers of Brutality (21457)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Earthstrike (21180)	Cloak of the Fallen God (21710)	High Warlord's Quickblade (23467)	High Warlord's Blade (16345)	Blastershot Launcher (17072)
9	Mimerie	The Club PUG	Alliance	698.9	40	Aug 1	59:18	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Satyr's Bow (18323)
10	Arystarkos	Gnomeboys	Alliance	698.4	40	Aug 7	51:10	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Band of Accuria (17063)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Firemaw (19398)	Thunderfury, Blessed Blade of the Windseeker (19019)	Grand Marshal's Swiftblade (23456)	Dragonbreath Hand Cannon (19368)
11	Damagedone	Dragon Snacks	Alliance	692.9	40	Aug 13	48:00	Conqueror's Crown (21329)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Conqueror's Breastplate (21331)	Onslaught Girdle (19137)	Conqueror's Legguards (21332)	Chromatic Boots (19387)	Bracers of Brutality (21457)	Marshal's Plate Gauntlets (16484)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Drape of Unyielding Strength (21394)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Longsword (12584)	Crossbow of Imminent Doom (21459)
