Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Gigimurin	Numenorian	Alliance	784.4	19	Jun 12	0:33	Mish'undare, Circlet of the Mind Flayer (19375)	Soul Corrupter's Necklace (19876)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Sublime Wristguards (18497)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	N/A
2	Mirya	N/A	Unknown	691.3	20	Jun 11	0:41	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Field Marshal's Dragonhide Spaulders (16449)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
3	Naapi	Gnomeboys	Alliance	609.7	20	May 30	0:31	The Hexxer's Cover (19886)	Orb of the Darkmoon (19426)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
4	Guydance	The Pond pug	Horde	607.6	20	May 8	0:21	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
5	Roardy	Omen	Alliance	557.4	20	May 9	0:39	Elegant Circlet (10219)	Orb of the Darkmoon (19426)	Field Marshal's Dragonhide Spaulders (16449)	Elegant Tunic (10218)	Adventurer's Belt (10259)	Bloodtinged Kilt (19895)	Waterspout Boots (18322)	Elegant Bracers (10213)	Bloodfire Talons (12464)	Band of Rumination (18103)	Cyclopean Band (11824)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Idol of Rejuvenation (22398)
6	Mbell	Vesuvius	Alliance	547.4	20	May 7	0:29	Bloodvine Goggles (19999)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Grand Marshal's Mageblade (23451)	Tome of Arcane Domination (19308)	N/A
7	Redsquared	N/A	Unknown	530.2	20	May 29	0:46	Cap of the Scarlet Savant (12752)	Pristine Enchanted South Seas Kelp (19613)	Warlord's Dragonhide Epaulets (16551)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Dragonslayer's Signet (18403)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	N/A
8	Amelio	N/A	Unknown	522.4	20	May 22	0:42	The Hexxer's Cover (19886)	Star of Mystaria (12103)	Burial Shawl (18681)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Hands of Power (13253)	Maiden's Circle (13001)	Zanzil's Band (19905)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Arcane Domination (19308)	N/A
9	Elysria	N/A	Unknown	506.5	17	Jun 9	0:49	The Hexxer's Cover (19886)	Choker of Enlightenment (17109)	Nightshade Spaulders (10228)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Band of Servitude (22721)	Eye of the Beast (13968)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Fire Runed Grimoire (19142)	N/A
10	Milal	N/A	Unknown	499.0	19	Jul 2	0:48	Mish'undare, Circlet of the Mind Flayer (19375)	Pristine Enchanted South Seas Kelp (19613)	Burial Shawl (18681)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Bloodtinged Gloves (19929)	Songstone of Ironforge (12543)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Jin'do's Judgment (19884)	N/A	Egan's Blaster (13289)
