Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	멜버른카우	N/A	Unknown	892.9	20	Jul 5	1:23	Blooddrenched Mask (22718)	Emberfury Talisman (12929)	Truestrike Shoulders (12927)	Legionnaire's Dragonhide Chestpiece (22877)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Blood Guard's Dragonhide Treads (22852)	Bracers of the Eclipse (18375)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Blackhand's Breadth (13965)	Rune of the Guard Captain (19120)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
2	Gumbootsoup	rat does backflip	Alliance	800.8	20	May 9	0:24	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Taut Dragonhide Belt (19396)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Blackmist Armguards (12966)	Marshal's Dragonhide Gauntlets (16448)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Mark of the Chosen (17774)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
3	东萍的微笑	N/A	Unknown	655.0	20	Jun 6	1:29	Blooddrenched Mask (22718)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Interlaced Shadow Jerkin (19439)	Taut Dragonhide Belt (19396)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Deepfury Bracers (13120)	Devilsaur Gauntlets (15063)	Myrmidon's Signet (2246)	Tarnished Elven Ring (18500)	Essence of the Pure Flame (18815)	Mark of Tyranny (13966)	Elementium Threaded Cloak (19386)	Draconic Maul (19358)	N/A	Egan's Blaster (13289)
4	Ultrah	C h e e k s	Alliance	586.8	20	May 9	0:38	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
5	Mooshe	N/A	Unknown	585.8	18	May 8	0:53	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Darkmoon Card: Maelstrom (19289)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
6	Robear	air fried	Horde	570.1	20	May 9	0:31	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Mark of Tyranny (13966)	Rune of the Guard Captain (19120)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
7	Ulvin	Myth	Horde	567.5	20	May 16	0:39	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Malfurion's Blessed Bulwark (19405)	Molten Belt (19163)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Heavy Dark Iron Ring (18879)	Archimtiros' Ring of Reckoning (19376)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
8	Blackbearpig	The Company	Alliance	565.2	20	Jul 4	0:43	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
9	Pawz	TL	Horde	558.5	20	May 10	0:29	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
10	Texshiftz	N/A	Unknown	553.4	20	May 9	0:41	Blooddrenched Mask (22718)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Plaguehound Leggings (18736)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Smoking Heart of the Mountain (11811)	Mark of Tyranny (13966)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
11	Lokus	Geisterjäger	Alliance	543.6	20	May 6	0:34	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Mark of Tyranny (13966)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
12	Zendruid	N/A	Unknown	541.0	19	Jun 25	0:52	Blooddrenched Mask (22718)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Blooddrenched Footpads (19906)	Blackmist Armguards (12966)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Counterattack Lodestone (18537)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
13	Tswifthistle	N/A	Unknown	537.8	20	Jun 29	0:44	Champion's Dragonhide Headguard (23253)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Blood Guard's Dragonhide Grips (22863)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
