Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Capricious	Almost Tryhards	Alliance	140.2	20	Jun 19	0:59	Stormrage Cover (16900)	Jeklik's Opaline Talisman (19923)	Stormrage Pauldrons (16902)	Zandalar Haruspex's Tunic (19838)	Corehound Belt (19162)	Stormrage Legguards (16901)	Animist's Boots (19892)	Stormrage Bracers (16904)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Maiden's Circle (13001)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Claw of Chromaggus (19347)	Brightly Glowing Stone (18523)	N/A
2	Femtaurmoo	N/A	Unknown	133.0	19	May 6	1:08	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Animist's Boots (19892)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Rejuvenating Gem (19395)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
3	Skyey	N/A	Unknown	130.1	17	May 11	1:31	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Salamander Scale Pants (18875)	Cenarion Boots (16829)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Cauterizing Band (19140)	Fordring's Seal (16058)	Rejuvenating Gem (19395)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	N/A
4	Pawsnclaws	Timeless	Alliance	126.4	16	Jun 15	0:40	Stormrage Cover (16900)	Jin'do's Evil Eye (19885)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Pure Elementium Band (19382)	Primalist's Seal (19863)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Arlokk's Hoodoo Stick (19922)	N/A
5	Kilimandarøs	N/A	Unknown	125.0	20	May 9	0:41	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Forest's Embrace (22272)	Corehound Belt (19162)	Empowered Leggings (19385)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Gloves of Restoration (18309)	Cauterizing Band (19140)	Fordring's Seal (16058)	Insignia of the Horde (18853)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Wushoolay's Poker (19965)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
6	Depu	N/A	Unknown	123.0	20	May 18	1:08	Zulian Headdress (22720)	Frostwolf Advisor's Pendant (19096)	Stormrage Pauldrons (16902)	Cenarion Vestments (16833)	Cenarion Belt (16828)	Cenarion Leggings (16835)	Wolfrunner Shoes (13101)	Stormrage Bracers (16904)	Ogreseer Fists (11665)	Seal of the Archmagus (17110)	Band of Sulfuras (19138)	Mar'li's Eye (19930)	Royal Seal of Eldre'Thalas (18470)	Onyxia Scale Cloak (15138)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
7	Moorkofwild	N/A	Unknown	121.4	20	Jun 22	1:01	Stormrage Cover (16900)	Choker of the Fire Lord (18814)	Stormrage Pauldrons (16902)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Stormrage Legguards (16901)	Bloodvine Boots (19684)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Thrall's Resolve (12544)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	Aurastone Hammer (17105)	Therazane's Touch (19315)	Idol of Rejuvenation (22398)
8	Chachasmooth	Gnomeboys	Alliance	120.9	20	Jul 8	0:38	Stormrage Cover (16900)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Cenarion Vestments (16833)	Stormrage Belt (16903)	Empowered Leggings (19385)	Cenarion Boots (16829)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Band of Mending (22334)	Band of Servitude (22721)	Royal Seal of Eldre'Thalas (18470)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
9	Torush	Semi Casual	Horde	118.4	20	May 27	0:41	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Fordring's Seal (16058)	Seal of the Archmagus (17110)	Royal Seal of Eldre'Thalas (18470)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Claw of Chromaggus (19347)	Lei of the Lifegiver (19312)	N/A
10	Corabitey	Neverland	Alliance	118.3	16	May 11	1:18	Stormrage Cover (16900)	Tempest Talisman (18317)	Wild Growth Spaulders (18810)	Knight-Captain's Dragonhide Chestpiece (23294)	Whipvine Cord (18327)	Stormrage Legguards (16901)	Waterspout Boots (18322)	Cenarion Bracers (16830)	Gloves of Restoration (18309)	Ring of Demonic Guile (18314)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Energetic Rod (18321)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
11	Nalany	Dinos	Alliance	116.4	20	Jun 4	0:36	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Cenarion Spaulders (16836)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Boots of the Full Moon (18507)	Zandalar Haruspex's Bracers (19840)	Stormrage Handguards (16899)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Royal Seal of Eldre'Thalas (18470)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Idol of Rejuvenation (22398)
12	Dinvarg	N/A	Unknown	115.9	19	Jun 1	0:43	Stormrage Cover (16900)	Jin'do's Evil Eye (19885)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Corehound Belt (19162)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Primalist's Seal (19863)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18470)	Zandalarian Hero Charm (19950)	Shroud of Pure Thought (19430)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
