Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	一韦鲁斯一	N/A	Unknown	1,832.8	20	May 11	1:22	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Dragonstalker's Spaulders (16937)	Knight-Captain's Chain Hauberk (23292)	Dragonstalker's Belt (16936)	Knight-Captain's Chain Legguards (23293)	Marshal's Chain Boots (16462)	Giantstalker's Bracers (16850)	Marshal's Chain Grips (16463)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Lok'delar, Stave of the Ancient Keepers (18715)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
2	골초백곰	N/A	Unknown	1,795.3	20	Jul 5	1:23	Dragonstalker's Helm (16939)	The Eye of Hakkar (19856)	Dragonstalker's Spaulders (16937)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Giantstalker's Boots (16849)	Zandalar Predator's Bracers (19833)	Giantstalker's Gloves (16852)	Band of Jin (19925)	Don Julio's Band (19325)	Zandalarian Hero Medallion (19949)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Warblade of the Hakkari (19865)	Fang of the Faceless (19859)	Rhok'delar, Longbow of the Ancient Keepers (18713)
3	党参	N/A	Unknown	1,535.4	20	Jun 6	1:29	Giantstalker's Helmet (16846)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Knight-Captain's Chain Hauberk (23292)	Giantstalker's Belt (16851)	Giantstalker's Leggings (16847)	Knight-Lieutenant's Chain Greaves (23278)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Seal of Jin (19898)	Band of Jin (19925)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Cloak of the Shrouded Mists (17102)	Zin'rokh, Destroyer of Worlds (19854)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
4	好嘛好嘛好嘛	N/A	Unknown	1,529.8	20	Jun 6	1:29	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Belt of Preserved Heads (20216)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Wristguards of True Flight (18812)	Marshal's Chain Grips (16463)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Devilsaur Eye (19991)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Barbarous Blade (18520)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
5	勺子二世	N/A	Unknown	1,240.0	20	May 11	1:22	Giantstalker's Helmet (16846)	Mark of Fordring (15411)	Giantstalker's Epaulets (16848)	Giantstalker's Breastplate (16845)	Giantstalker's Belt (16851)	Giantstalker's Leggings (16847)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Lok'delar, Stave of the Ancient Keepers (18715)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
6	Noxxh	HS Crew PUG	Horde	1,220.3	20	Jun 13	0:41	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Dragonstalker's Spaulders (16937)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Dragonstalker's Greaves (16941)	Dragonstalker's Bracers (16935)	Dragonstalker's Gauntlets (16940)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Brutality Blade (18832)	Fang of the Faceless (19859)	Ashjre'thul, Crossbow of Smiting (19361)
7	포수	N/A	Unknown	1,118.0	20	Jul 5	1:23	Blooddrenched Mask (22718)	Mark of Fordring (15411)	Wyrmtongue Shoulders (13358)	Blazewind Breastplate (11193)	Beaststalker's Belt (16680)	Potent Pants (15176)	Jangdor's Handcrafted Boots (9633)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Masons Fraternity Ring (9533)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Deep River Cloak (15789)	Force of the Hippogryph (9684)	Hunt Tracker Blade (15706)	Carapace Spine Crossbow (18738)
8	认真走形式	N/A	Unknown	1,105.1	20	Jun 20	1:58	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Zandalar Predator's Belt (19832)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Wristguards of True Flight (18812)	Marshal's Chain Grips (16463)	Band of Jin (19925)	Seal of Jin (19898)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Repeater (18836)
9	Sxx	N/A	Unknown	1,099.3	20	Jun 12	0:21	Champion's Chain Helm (23251)	Onyxia Tooth Pendant (18404)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	General's Chain Boots (16569)	Wristguards of True Flight (18812)	General's Chain Gloves (16571)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Devilsaur Eye (19991)	Cloak of the Shrouded Mists (17102)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Ashjre'thul, Crossbow of Smiting (19361)
10	嗜血的皇冠	N/A	Unknown	1,098.7	20	Jun 6	1:29	Helm of Fire (8348)	Amberglow Talisman (10824)	Spaulders of the Unseen (13116)	Ogre Forged Hauberk (18530)	Beaststalker's Belt (16680)	Devilsaur Leggings (15062)	Elven Chain Boots (13125)	Marksman Bands (18296)	Devilsaur Gauntlets (15063)	Assault Band (13095)	Tarnished Elven Ring (18500)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Dark Phantom Cape (13122)	Barbarous Blade (18520)	N/A	Bloodseeker (19107)
11	Vagnarul	N/A	Unknown	1,092.9	18	May 8	0:32	Champion's Chain Helm (23251)	Prestor's Talisman of Connivery (19377)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	General's Chain Boots (16569)	Wristguards of True Flight (18812)	General's Chain Gloves (16571)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Devilsaur Eye (19991)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
12	丨南山圣王丨	N/A	Unknown	1,079.2	20	May 11	1:22	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Dragonstalker's Spaulders (16937)	Giantstalker's Breastplate (16845)	Dragonstalker's Belt (16936)	Giantstalker's Leggings (16847)	Windreaver Greaves (13967)	Slashclaw Bracers (13211)	Giantstalker's Gloves (16852)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Stormpike Soldier's Cloak (19084)	Lok'delar, Stave of the Ancient Keepers (18715)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
13	Tommywiseau	RTR	Horde	1,013.3	20	May 30	0:26	Warlord's Chain Helmet (16566)	Prestor's Talisman of Connivery (19377)	Warlord's Chain Shoulders (16568)	Warlord's Chain Chestpiece (16565)	Dragonstalker's Belt (16936)	General's Chain Legguards (16567)	General's Chain Boots (16569)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Devilsaur Eye (19991)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Ashjre'thul, Crossbow of Smiting (19361)
14	Nachogirl	N/A	Unknown	1,002.0	17	Jun 14	0:38	Champion's Chain Helm (23251)	Prestor's Talisman of Connivery (19377)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	General's Chain Boots (16569)	Wristguards of True Flight (18812)	General's Chain Gloves (16571)	Seal of Jin (19898)	Band of Jin (19925)	Blackhand's Breadth (13965)	Devilsaur Eye (19991)	Cape of the Black Baron (13340)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
