Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Silkybutt	Numenorian	Alliance	1,318.3	19	Jun 12	0:33	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Knight-Lieutenant's Silk Walkers (23291)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Ring of Spell Power (19147)	Band of Servitude (22721)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of the Hakkari Worshippers (22711)	Azuresong Mageblade (17103)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
2	Danko	Iskall	Alliance	1,295.3	20	Jun 11	0:33	Field Marshal's Coronet (16441)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Netherwind Gloves (16913)	Zanzil's Seal (19893)	Band of Forced Concentration (19403)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Touch of Chaos (19861)
3	Miniwenti	Geisterjäger	Alliance	1,265.1	18	May 16	0:38	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Netherwind Bindings (16918)	Knight-Lieutenant's Silk Handwraps (23290)	Band of Servitude (22721)	Flaming Band (12926)	Briarwood Reed (12930)	Mind Quickening Gem (19339)	Sapphiron Drape (17078)	Staff of the Shadow Flame (19356)	N/A	Bonecreeper Stylus (13938)
4	Sleeze	Vibe	Alliance	1,206.2	15	Jun 17	1:11	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Arcanist Mantle (16797)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Netherwind Boots (16912)	Bracers of Arcane Accuracy (19374)	Netherwind Gloves (16913)	Band of Servitude (22721)	Band of Forced Concentration (19403)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of the Hakkari Worshippers (22711)	Staff of the Shadow Flame (19356)	N/A	Pyric Caduceus (11748)
5	Akimera	Unruhestifter	Horde	1,197.9	20	Jun 24	0:39	Warlord's Silk Cowl (16533)	Soul Corrupter's Necklace (19876)	Warlord's Silk Amice (16536)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Gloves of the Hypnotic Flame (18808)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Mind Quickening Gem (19339)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	High Warlord's Spellblade (23466)	Tome of Fiery Arcana (19311)	Wizard's Hand (15280)
6	Frozentroll	Not This Again	Horde	1,180.3	18	Jul 8	1:00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7	Pewpewer	N/A	Unknown	1,180.1	20	Jun 6	0:43	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Knight-Lieutenant's Silk Handwraps (23290)	Ring of Spell Power (19147)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
8	Sizzling	The Pond pug	Horde	1,179.9	20	Jun 14	0:22	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Blood Guard's Silk Walkers (22860)	Netherwind Bindings (16918)	Gloves of the Hypnotic Flame (18808)	Flaming Band (12926)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Nat Pagle's Broken Reel (19947)	Cloak of the Hakkari Worshippers (22711)	Staff of the Shadow Flame (19356)	N/A	Dragon's Touch (19367)
9	成都王阿姨	N/A	Unknown	1,176.1	39	Jun 16	1:04	Field Marshal's Coronet (16441)	Tempest Talisman (18317)	Field Marshal's Silk Spaulders (16444)	Field Marshal's Silk Vestments (16443)	Angelista's Grasp (19388)	Marshal's Silk Leggings (16442)	Marshal's Silk Footwraps (16437)	Zandalar Illusionist's Wraps (19846)	Marshal's Silk Gloves (16440)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Heliotrope Cloak (18496)	Staff of the Shadow Flame (19356)	N/A	Bonecreeper Stylus (13938)
10	Undeadlead	N/A	Unknown	1,173.1	19	May 23	0:23	Arcanist Crown (16795)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Gloves of the Hypnotic Flame (18808)	Flaming Band (12926)	Ring of Spell Power (19147)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Archivist Cape (13386)	High Warlord's Spellblade (23466)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
11	Fetalars	The Pond pug	Horde	1,171.2	20	Jun 14	0:22	Arcanist Crown (16795)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Arcanist Bindings (16799)	Blood Guard's Silk Handwraps (22870)	Zanzil's Seal (19893)	Band of Servitude (22721)	Mind Quickening Gem (19339)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Jin'do's Bag of Whammies (19891)	Glowstar Rod (15281)
