Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	一米不到	N/A	Unknown	1,865.2	20	Jun 6	1:29	Crimson Felt Hat (18727)	Soul Corrupter's Necklace (19876)	Netherwind Mantle (16917)	Bloodvine Vest (19682)	Netherwind Belt (16818)	Netherwind Pants (16915)	Ringo's Blizzard Boots (19438)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Bloodcaller (19864)	Spirit of Aquementas (11904)	Bonecreeper Stylus (13938)
2	喵伊喵	N/A	Unknown	1,467.2	20	May 11	1:22	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Ringo's Blizzard Boots (19438)	Bracers of Arcane Accuracy (19374)	Knight-Lieutenant's Silk Handwraps (23290)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of the Brood Lord (19378)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
3	한우엄마	N/A	Unknown	1,349.1	20	Jul 5	1:23	Warlord's Silk Cowl (16533)	Star of Mystaria (12103)	Warlord's Silk Amice (16536)	Warlord's Silk Raiment (16535)	Mana Igniting Cord (19136)	General's Silk Trousers (16534)	General's Silk Boots (16539)	Zandalar Illusionist's Wraps (19846)	General's Silk Handguards (16540)	Band of Servitude (22721)	Band of Forced Concentration (19403)	Eye of the Beast (13968)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of the Ice Lord (19310)	Touch of Chaos (19861)
4	萌萌的卡鲁	N/A	Unknown	1,335.9	20	Jun 6	1:29	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Netherwind Mantle (16917)	Netherwind Robes (16916)	Netherwind Belt (16818)	Netherwind Pants (16915)	Ringo's Blizzard Boots (19438)	Zandalar Illusionist's Wraps (19846)	Hands of Power (13253)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Touch of Chaos (19861)
5	屋下躲雨	N/A	Unknown	1,312.2	20	Jun 6	1:29	Crimson Felt Hat (18727)	Pebble of Kajaro (19599)	Zandalar Illusionist's Mantle (19845)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Zandalar Illusionist's Wraps (19846)	Netherwind Gloves (16913)	Ring of Blackrock (19397)	Dragonslayer's Signet (18403)	Eye of the Beast (13968)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	Jin'do's Judgment (19884)	N/A	Glowstar Rod (15281)
6	圣殿祭司	N/A	Unknown	1,287.1	20	May 11	1:22	Netherwind Crown (16914)	Star of Mystaria (12103)	Netherwind Mantle (16917)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Netherwind Boots (16912)	Netherwind Bindings (16918)	Shivery Handwraps (18693)	Songstone of Ironforge (12543)	Band of Sulfuras (19138)	Mind Quickening Gem (19339)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Staff of the Shadow Flame (19356)	N/A	Wand of Biting Cold (19108)
7	Magebotten	The Pond pug	Horde	1,169.3	20	May 8	0:21	Arcanist Crown (16795)	Star of Mystaria (12103)	Boreal Mantle (11782)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Ringo's Blizzard Boots (19438)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Mind Quickening Gem (19339)	Elegant Cloak (10212)	Staff of Dominance (18842)	N/A	Wand of Biting Cold (19108)
8	李砍刀三	N/A	Unknown	1,127.8	20	Jun 6	1:29	Dreamweave Circlet (10041)	Pebble of Kajaro (19600)	Zandalar Illusionist's Mantle (19845)	Zandalar Illusionist's Robe (20034)	Ban'thok Sash (11662)	Spiritshroud Leggings (12965)	Omnicast Boots (11822)	Zandalar Illusionist's Wraps (19846)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Fang of Venoxis (19903)	Fire Runed Grimoire (19142)	Crimson Shocker (17077)
9	Acyd	Numenorian	Alliance	1,086.8	19	Jun 12	0:33	Netherwind Crown (16914)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Ringo's Blizzard Boots (19438)	Arcanist Bindings (16799)	Netherwind Gloves (16913)	Band of Forced Concentration (19403)	Ring of Blackrock (19397)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of the Brood Lord (19378)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
10	无法抵抗你	N/A	Unknown	1,068.7	20	Jun 20	1:58	Netherwind Crown (16914)	Orb of the Darkmoon (19426)	Zandalar Illusionist's Mantle (19845)	Netherwind Robes (16916)	Netherwind Belt (16818)	Netherwind Pants (16915)	Netherwind Boots (16912)	Zandalar Illusionist's Wraps (19846)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Ring of Spell Power (19147)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
