Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	ßrittle	N/A	Unknown	119.3	16	May 16	1:12	Judgment Crown (16955)	Pendant of the Fallen Dragon (19371)	Lawbringer Spaulders (16856)	Field Marshal's Lamellar Chestplate (16473)	Corehound Belt (19162)	Lawbringer Legplates (16855)	Lawbringer Boots (16859)	Lawbringer Bracers (16857)	Lawbringer Gauntlets (16860)	Band of Sulfuras (19138)	Seal of the Archmagus (17110)	Shard of the Scale (17064)	Scrolls of Blinding Light (19343)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Malistar's Defender (17106)	N/A
2	Blackblade	N/A	Unknown	118.3	20	May 27	1:02	Judgment Crown (16955)	Choker of Enlightenment (17109)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Corehound Belt (19162)	Mystical Leggings (10177)	Boots of Pure Thought (19437)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Red Dragonscale Protector (19348)	Egan's Blaster (13289)
3	Feodyn	N/A	Unknown	108.6	20	May 4	0:54	Judgment Crown (16955)	Tempest Talisman (18317)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Eyestalk Cord (18391)	Judgment Legplates (16954)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Cyclopean Band (11824)	Emerald Flame Ring (18395)	Royal Seal of Eldre'Thalas (18472)	Briarwood Reed (12930)	Cloak of the Cosmos (18389)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
4	Huntyx	BigTime Heroes	Alliance	97.5	17	May 1	0:52	Insightful Hood (18490)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Carrot on a Stick (11122)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Azuresong Mageblade (17103)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
5	Luka	N/A	Unknown	95.5	20	May 7	0:52	Judgment Crown (16955)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Knight-Captain's Lamellar Breastplate (23272)	Corehound Belt (19162)	Ghoul Skin Leggings (18682)	Knight-Lieutenant's Lamellar Sabatons (23275)	Gallant's Wristguards (18459)	Judgment Gauntlets (16956)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Royal Seal of Eldre'Thalas (18472)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Zulian Scepter of Rites (22713)	Lei of the Lifegiver (19312)	N/A
6	Chethanks	Straight Outta Old Town	Alliance	88.6	20	Jun 16	0:57	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Animist's Boots (19892)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
7	Lysistratos	N/A	Unknown	85.5	17	May 2	1:07	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Knight-Captain's Lamellar Breastplate (23272)	Whipvine Cord (18327)	Judgment Legplates (16954)	Magma Tempered Boots (18824)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Songstone of Ironforge (12543)	Royal Seal of Eldre'Thalas (18472)	Shard of the Scale (17064)	Cloak of the Cosmos (18389)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
8	Holyseeker	N/A	Unknown	84.9	17	May 22	1:21	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Pure Elementium Band (19382)	Fordring's Seal (16058)	Scrolls of Blinding Light (19343)	Briarwood Reed (12930)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Arlokk's Hoodoo Stick (19922)	N/A
9	Teylyn	N/A	Unknown	83.1	19	Jun 20	1:02	Lawbringer Helm (16854)	Jeklik's Opaline Talisman (19923)	Living Shoulders (15061)	Robe of Volatile Power (19145)	Zandalar Freethinker's Belt (19826)	Peacekeeper Leggings (20266)	Betrayer's Boots (19897)	Zandalar Freethinker's Armguards (19827)	Elegant Gloves (10214)	Fordring's Seal (16058)	Cauterizing Band (19140)	Carrot on a Stick (11122)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Zulian Scepter of Rites (22713)	Lei of the Lifegiver (19312)	N/A
10	Theßigcheese	N/A	Unknown	79.8	20	May 11	0:46	Zulian Headdress (22720)	Choker of the Fire Lord (18814)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Judgment Legplates (16954)	Betrayer's Boots (19897)	Loomguard Armbraces (13969)	Lawbringer Gauntlets (16860)	Primalist's Band (19920)	Seal of the Archmagus (17110)	Scrolls of Blinding Light (19343)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
