Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Trashbirb	dear all	Alliance	582.1	16	May 18	1:06	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Band of Servitude (22721)	Heavy Dark Iron Ring (18879)	Talisman of Ephemeral Power (18820)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Force Reactive Disk (18168)	Libram of Hope (22401)
2	Efry	N/A	Unknown	477.6	20	Jun 13	0:38	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Judgment Spaulders (16953)	Zandalar Freethinker's Breastplate (19825)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Primal Batskin Bracers (19687)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Myrmidon's Signet (2246)	Hand of Justice (11815)	Darkmoon Card: Maelstrom (19289)	Might of the Tribe (22712)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	N/A
3	Сакросанкт	Р е в а н ш	Alliance	474.1	15	May 25	1:31	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Naglering (11669)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	N/A
4	Volnar	House Telvanni	Alliance	410.8	19	May 18	1:13	Judgment Crown (16955)	Eskhandar's Collar (18205)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Lawbringer Bracers (16857)	Marshal's Lamellar Gloves (16471)	Naglering (11669)	Overlord's Crimson Band (19873)	Hand of Justice (11815)	Force of Will (11810)	Stormpike Sage's Cloak (19086)	Flurry Axe (871)	Skullflame Shield (1168)	N/A
5	Bonfield	N/A	Unknown	400.5	20	May 2	1:08	Field Marshal's Lamellar Faceguard (16474)	Medallion of Steadfast Might (17065)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Deathbone Girdle (14620)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Flurry Axe (871)	Skullflame Shield (1168)	Egan's Blaster (13289)
6	Theodore	Azeroth Coffee Company	Alliance	395.3	19	Jun 19	1:01	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Marshal's Lamellar Legplates (16475)	Chromatic Boots (19387)	Vambraces of the Sadist (13400)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Bonereaver's Edge (17076)	N/A	Libram of Hope (22401)
7	Aedris	Gadgetzan Globetrotters	Alliance	389.1	20	Jul 8	0:54	Judgment Crown (16955)	Jeklik's Opaline Talisman (19923)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Zandalar Freethinker's Armguards (19827)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	Libram of Hope (22401)
8	Helbram	N/A	Unknown	388.2	19	May 17	0:56	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Band of Servitude (22721)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Grand Marshal's Claymore (18876)	N/A	Egan's Blaster (13289)
9	Tabula	N/A	Unknown	385.4	18	May 25	1:24	Field Marshal's Lamellar Faceguard (16474)	Master Dragonslayer's Medallion (19383)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Overlord's Onyx Band (19912)	Overlord's Crimson Band (19873)	Hand of Justice (11815)	Zandalarian Hero Charm (19950)	Dragon's Blood Cape (17107)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	N/A
10	Sarkomer	Sturm des Schicksals	Alliance	375.2	20	May 15	0:55	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Blackstone Ring (17713)	Don Julio's Band (19325)	Darkmoon Card: Maelstrom (19289)	Hand of Justice (11815)	Pale Moon Cloak (18734)	Grand Marshal's Claymore (18876)	N/A	N/A
