Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Pamper	Sappers on Pull	Alliance	758.1	20	May 8	0:26	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Death's Clutch (14503)	Savage Gladiator Chain (11726)	Girdle of the Fallen Crusader (19392)	Legguards of the Fallen Crusader (19402)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Sacrificial Gauntlets (22714)	Don Julio's Band (19325)	Painweaver Band (13098)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Obsidian Edged Blade (18822)	N/A	Libram of Hope (22401)
2	Swolevenger	Elysium	Alliance	688.3	20	Jun 30	0:39	Lizardscale Eyepatch (19945)	Pendant of Celerity (22340)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Knight-Lieutenant's Lamellar Sabatons (23275)	Vambraces of the Sadist (13400)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Seal of the Gurubashi Berserker (22722)	Tarnished Elven Ring (18500)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Shroud of Domination (22337)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	N/A
3	Póni	N/A	Unknown	661.2	20	Jul 8	0:31	Field Marshal's Lamellar Faceguard (16474)	The Eye of Hakkar (19856)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Grand Marshal's Claymore (18876)	N/A	N/A
4	Lerdina	Numenorian	Alliance	654.9	19	May 5	0:46	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Cloudkeeper Legplates (14554)	Bloodmail Boots (14616)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	The Untamed Blade (19334)	N/A	N/A
5	Aneran	Your Moms Your Dad	Alliance	615.4	19	Jun 5	0:51	Lionheart Helm (12640)	Amulet of the Darkmoon (19491)	Field Marshal's Lamellar Pauldrons (16476)	Savage Gladiator Chain (11726)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Seal of Jin (19898)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Hope (22401)
6	Mediocrates	Internet Dragon Slayers	Alliance	608.6	19	Jun 11	0:29	Judgment Crown (16955)	Onyxia Tooth Pendant (18404)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Onslaught Girdle (19137)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Vambraces of the Sadist (13400)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
7	Barbiee	The Company	Alliance	607.7	20	May 10	0:35	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Knight-Lieutenant's Lamellar Sabatons (23275)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Egan's Blaster (13289)
8	Naimo	N/A	Unknown	603.9	20	Jun 23	0:37	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Onslaught Girdle (19137)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Darkmoon Card: Maelstrom (19289)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	N/A
9	Hurmos	N/A	Unknown	603.8	20	May 19	0:42	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Devilsaur Leggings (15062)	Knight-Lieutenant's Lamellar Sabatons (23275)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Blackstone Ring (17713)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
10	Gales	N/A	Unknown	588.9	20	May 2	0:31	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Magni's Will (12548)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Egan's Blaster (13289)
11	Jaxo	N/A	Unknown	587.4	19	May 23	1:06	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Eldritch Reinforced Legplates (18380)	Knight-Lieutenant's Lamellar Sabatons (23275)	Vambraces of the Sadist (13400)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Painweaver Band (13098)	Scrolls of Blinding Light (19343)	Darkmoon Card: Maelstrom (19289)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
12	Entaree	Insurgency	Alliance	584.9	19	Jun 5	0:46	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Grand Marshal's Claymore (18876)	N/A	Libram of Hope (22401)
13	Izuvach	Impulse	Alliance	584.7	19	Jun 30	0:51	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Zandalar Freethinker's Breastplate (19825)	Girdle of the Fallen Crusader (19392)	Legguards of the Fallen Crusader (19402)	Knight-Lieutenant's Lamellar Sabatons (23275)	Vambraces of the Sadist (13400)	Marshal's Lamellar Gloves (16471)	Magni's Will (12548)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Hope (22401)
14	또오해원	N/A	Unknown	583.2	20	May 3	1:00	Lionheart Helm (12640)	Amulet of the Darkmoon (19491)	Field Marshal's Lamellar Pauldrons (16476)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Marshal's Lamellar Legplates (16475)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Puissant Cape (18541)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
15	Pungsav	Equilibrium	Alliance	577.2	20	May 8	0:39	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Legguards of the Fallen Crusader (19402)	Sapphiron's Scale Boots (13070)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Obsidian Edged Blade (18822)	N/A	N/A
16	Ganord	Sacred	Alliance	576.2	20	May 11	0:33	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Spaulders of Valor (16733)	Savage Gladiator Chain (11726)	Girdle of the Fallen Crusader (19392)	Legguards of the Fallen Crusader (19402)	Judgment Sabatons (16957)	Slashclaw Bracers (13211)	Storm Gauntlets (12632)	Magni's Will (12548)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Dark Phantom Cape (13122)	The Untamed Blade (19334)	N/A	Libram of Hope (22401)
