Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Stonedformxd	N/A	Unknown	326.7	19	Jul 3	0:57	Zulian Headdress (22720)	Jeklik's Opaline Talisman (19923)	Mantle of Prophecy (16816)	Robe of Everlasting Night (18385)	Whipvine Cord (18327)	Ritualistic Legguards (19899)	Boots of Prophecy (16811)	Zandalar Confessor's Wraps (19843)	Gloves of Prophecy (16812)	Primalist's Seal (19863)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Benediction (18608)	N/A	Mar'li's Touch (19927)
2	Riryna	N/A	Unknown	319.4	20	May 24	1:03	Lieutenant Commander's Satin Hood (23316)	Tooth of Gnarr (13141)	Mantle of Prophecy (16816)	Knight-Captain's Satin Tunic (23303)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hakkari Loa Cloak (19870)	Benediction (18608)	N/A	Stormrager (16997)
3	Sumata	blurry	Alliance	304.6	20	May 17	0:51	Field Marshal's Headdress (17602)	Jeklik's Opaline Talisman (19923)	Lieutenant Commander's Satin Mantle (23317)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bindings of Transcendence (16926)	Knight-Lieutenant's Satin Handwraps (23288)	Songstone of Ironforge (12543)	Ring of Blackrock (19397)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
4	Granda	Sauce	Horde	269.8	19	Jun 27	0:33	Warlord's Satin Cowl (17623)	Choker of Enlightenment (17109)	Warlord's Satin Mantle (17622)	Warlord's Satin Robes (17624)	Belt of Transcendence (16925)	General's Satin Leggings (17625)	General's Satin Boots (17618)	Sublime Wristguards (18497)	General's Satin Gloves (17620)	Band of Servitude (22721)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	High Warlord's Tome of Destruction (23468)	Dragon's Touch (19367)
5	Wielie	N/A	Unknown	247.8	18	May 31	1:03	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Robes of Prophecy (16815)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Seal of the Archmagus (17110)	Second Wind (11819)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Essence Gatherer (19435)
6	Snowpowder	N/A	Unknown	210.4	20	Jun 16	1:15	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of the Exalted (13346)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Primalist's Seal (19863)	Primalist's Band (19920)	Royal Seal of Eldre'Thalas (18469)	Darkmoon Card: Blue Dragon (19288)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Thoughtblighter (19967)
7	Stasya	FR	Alliance	204.8	18	May 19	1:09	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Field Marshal's Satin Mantle (17604)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Tearfall Bracers (13409)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Cauterizing Band (19140)	Rejuvenating Gem (19395)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
8	Kmowska	BumRushBandits	Horde	202.4	20	May 24	1:13	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Robes of the Exalted (13346)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Pure Thought (19437)	Vambraces of Prophecy (16819)	High Councillor's Gloves (10140)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Touch of Chaos (19861)
9	Goonyy	Big Yikes	Alliance	197.5	19	May 26	0:35	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Firemaw's Clutch (19400)	Leggings of Transcendence (16922)	Betrayer's Boots (19897)	Bindings of Transcendence (16926)	Gloves of Prophecy (16812)	Fordring's Seal (16058)	Cauterizing Band (19140)	Shard of the Scale (17064)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Essence Gatherer (19435)
10	Grizmund	N/A	Unknown	197.2	20	May 31	0:58	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Girdle of Prophecy (16817)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Vambraces of Prophecy (16819)	Handguards of Transcendence (16920)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
