Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Viraal	N/A	Unknown	765.2	20	Jul 7	0:30	Warlord's Satin Cowl (17623)	Choker of the Fire Lord (18814)	Warlord's Satin Mantle (17622)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Resplendent Bracelets (14320)	Ebony Flame Gloves (19407)	Band of Servitude (22721)	Band of Dark Dominion (19434)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
2	Monarchist	Goblinbl	Horde	665.9	20	May 18	0:41	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Master's Boots (10247)	Master's Bracers (10248)	Felcloth Gloves (18407)	Ring of Spell Power (19147)	Maiden's Circle (13001)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of the Hakkari Worshippers (22711)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
3	Karip	Eminence	Horde	658.7	19	May 6	0:45	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Champion's Satin Mantle (23262)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Legionnaire's Satin Legguards (22882)	Betrayer's Boots (19897)	High Councillor's Bracers (10136)	Ebony Flame Gloves (19407)	Eye of Orgrimmar (12545)	Band of Servitude (22721)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Anathema (18609)	N/A	Touch of Chaos (19861)
4	Solenia	N/A	Unknown	649.9	20	Jun 14	0:53	The Hexxer's Cover (19886)	Dark Advisor's Pendant (18691)	Field Marshal's Satin Mantle (17604)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Ebony Flame Gloves (19407)	Band of Servitude (22721)	Ring of Spell Power (19147)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Touch of Chaos (19861)
5	Zoah	Anathema	Alliance	644.4	20	May 10	0:38	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Robe of Winter Night (14136)	Firemaw's Clutch (19400)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Sublime Wristguards (18497)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Archivist Cape (13386)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
6	Nightcult	Mutiny	Alliance	626.3	18	May 9	0:35	Green Lens (10504)	Choker of the Fire Lord (18814)	Lieutenant Commander's Satin Mantle (23317)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Mystical Bracers (10173)	Knight-Lieutenant's Satin Handwraps (23288)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
7	Paradize	N/A	Unknown	600.3	19	May 10	0:38	The Hexxer's Cover (19886)	Choker of Enlightenment (17109)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Firemaw's Clutch (19400)	Flarecore Leggings (19165)	Maleki's Footwraps (18735)	High Councillor's Bracers (10136)	Ebony Flame Gloves (19407)	Ring of Spell Power (19147)	Dragonslayer's Signet (18403)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
8	Creamsalagi	FR	Alliance	596.4	20	Jun 11	0:36	The Hexxer's Cover (19886)	Choker of Enlightenment (17109)	Field Marshal's Satin Mantle (17604)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Fel-Infused Leggings (19133)	Snowblind Shoes (19131)	Elegant Bracers (10213)	Ebony Flame Gloves (19407)	Maiden's Circle (13001)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
9	Crepzine	The Pond pug	Horde	581.4	20	Jun 17	0:37	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Ebony Flame Gloves (19407)	Band of Servitude (22721)	Ring of Spell Power (19147)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Dragon's Touch (19367)
10	Jjigae	Roach Empire	Horde	580.8	20	Jun 13	0:28	The Hexxer's Cover (19886)	Dark Advisor's Pendant (18691)	Felcloth Shoulders (14112)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Felcloth Gloves (18407)	Underworld Band (1980)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
