Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Narapoia	Tide	Horde	732.2	13	May 7	0:48	Nightshade Helmet (10226)	Jeklik's Opaline Talisman (19923)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Peerless Bracers (15425)	Blood Guard's Mail Vices (22867)	Ring of Blackrock (19397)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Egan's Blaster (13289)
2	Baniro	N/A	Unknown	701.7	20	Jul 7	0:37	The Hexxer's Cover (19886)	Orb of the Darkmoon (19426)	Champion's Mail Pauldrons (23260)	Zandalar Augur's Hauberk (19828)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	General's Mail Boots (16573)	Zandalar Augur's Bracers (19830)	Blood Guard's Mail Vices (22867)	Band of Servitude (22721)	Eye of Orgrimmar (12545)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	N/A
3	Sedroc	N/A	Unknown	694.6	20	May 10	0:43	Helmet of Ten Storms (16947)	Soul Corrupter's Necklace (19876)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Blackrock (19397)	Eye of Orgrimmar (12545)	Natural Alignment Crystal (19344)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	N/A
4	Darmare	The Pond pug	Horde	692.2	20	May 18	0:36	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Mercurial Bracers (10156)	Hands of Power (13253)	Advisor's Ring (19518)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Adventurer's Cape (10258)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	Egan's Blaster (13289)
5	Vro	N/A	Unknown	679.3	19	May 6	0:55	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Blood Guard's Mail Vices (22867)	Maiden's Circle (13001)	Ring of Spell Power (19147)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	N/A
6	Guyondacouch	N/A	Unknown	665.8	19	May 11	0:39	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Mighty Armsplints (10147)	Hands of Power (13253)	Band of Servitude (22721)	Ring of Spell Power (19147)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	N/A
7	Zappiboi	N/A	Unknown	660.0	20	May 18	0:26	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of Enlightenment (17109)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	N/A
8	Unclerico	ICE	Horde	650.3	20	May 9	0:35	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Modest Armguards (18458)	Hands of Power (13253)	Ring of Spell Power (19147)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
9	Ffudge	Safety First	Horde	644.2	20	May 24	0:39	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Zandalar Augur's Hauberk (19828)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Zandalar Augur's Bracers (19830)	Hands of Power (13253)	Band of Servitude (22721)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	Egan's Blaster (13289)
10	Telia	N/A	Unknown	635.0	16	Jun 9	0:45	The Hexxer's Cover (19886)	Star of Mystaria (12103)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cinderhide Armsplints (11764)	Blood Guard's Mail Vices (22867)	Ring of Blackrock (19397)	Rune Band of Wizardry (22339)	Zandalarian Hero Charm (19950)	Natural Alignment Crystal (19344)	Cloak of the Hakkari Worshippers (22711)	Claw of Chromaggus (19347)	Draconian Aegis of the Legion (22336)	N/A
