Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Woodenspôrk	mutiny	Horde	945.7	20	May 15	0:39	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Chromatic Gauntlets (19157)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Darkmoon Card: Maelstrom (19289)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Draconic Maul (19358)	N/A	Egan's Blaster (13289)
2	Alkander	N/A	Unknown	914.6	18	Jun 21	0:43	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	General's Mail Leggings (16579)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	General's Mail Gauntlets (16574)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
3	Tescø	N/A	Unknown	879.1	20	May 23	0:44	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	High Warlord's Battle Axe (18831)	N/A	N/A
4	Hurtighund	N/A	Unknown	822.8	20	May 7	0:44	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Chromatic Gauntlets (19157)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Hand of Justice (11815)	Darkmoon Card: Maelstrom (19289)	Frostwolf Legionnaire's Cloak (19083)	Drake Talon Cleaver (19353)	N/A	Egan's Blaster (13289)
5	Bubbs	N/A	Unknown	818.0	20	May 9	0:39	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Cadaverous Armor (14637)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Pads of the Dread Wolf (13210)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
6	Deffs	Tide	Horde	812.5	20	Jun 11	0:29	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Runed Bloodstained Hauberk (19904)	Belt of Preserved Heads (20216)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Seafury Gauntlets (20257)	Band of Jin (19925)	Seal of Jin (19898)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Might of the Tribe (22712)	Nightfall (19169)	N/A	N/A
7	Beoring	N/A	Unknown	808.5	20	Jun 22	0:46	Bloodstained Coif (19875)	The Eye of Hakkar (19856)	Truestrike Shoulders (12927)	Runed Bloodstained Hauberk (19904)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Chromatic Gauntlets (19157)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
8	Orkvasjok	Eternal Sleep	Horde	791.9	18	Jun 3	1:02	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Lordly Armguards (13135)	General's Mail Gauntlets (16574)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	High Warlord's Battle Axe (18831)	N/A	N/A
9	Ttp	N/A	Unknown	775.2	20	May 25	0:36	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Runed Bloodstained Hauberk (19904)	Therazane's Link (19380)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of Stability (19146)	Storm Gauntlets (12632)	Circle of Applied Force (19432)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Drake Talon Cleaver (19353)	N/A	N/A
10	Dbcl	Roots	Horde	773.2	16	May 5	0:34	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Chromatic Gauntlets (19157)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	Egan's Blaster (13289)
