Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Mgkisa	Care Bear Stare	Horde	156.2	20	May 9	0:31	Helmet of Ten Storms (16947)	Tempest Talisman (18317)	Wild Growth Spaulders (18810)	Warlord's Mail Armor (16577)	Belt of Ten Storms (16944)	General's Mail Leggings (16579)	General's Mail Boots (16573)	Bracers of Ten Storms (16943)	General's Mail Gauntlets (16574)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Malistar's Defender (17106)	N/A
2	Braxyon	N/A	Unknown	113.7	20	Jun 12	0:37	Helm of the Lifegiver (18870)	Animated Chain Necklace (18723)	Warlord's Mail Spaulders (16580)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Empowered Leggings (19385)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Primalist's Seal (19863)	Second Wind (11819)	Zandalarian Hero Charm (19950)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
3	Xsited	N/A	Unknown	106.6	20	Jun 22	0:49	Zulian Headdress (22720)	Tooth of Gnarr (13141)	Wild Growth Spaulders (18810)	Earthfury Vestments (16841)	Corehound Belt (19162)	Empowered Leggings (19385)	Seafury Boots (20262)	Zandalar Augur's Bracers (19830)	Taut Dragonhide Gloves (19390)	Rosewine Circle (13178)	Ring of Blackrock (19397)	Royal Seal of Eldre'Thalas (18471)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Zulian Scepter of Rites (22713)	Lei of the Lifegiver (19312)	N/A
4	Weiwei	N/A	Unknown	104.4	20	Jul 2	1:02	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Epaulets of Ten Storms (16945)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	Shimmering Geta (19391)	Bracers of Ten Storms (16943)	Gloves of Restoration (18309)	Ring of Blackrock (19397)	Rosewine Circle (13178)	Second Wind (11819)	Shard of the Scale (17064)	Shroud of Pure Thought (19430)	Claw of Chromaggus (19347)	Malistar's Defender (17106)	N/A
5	Buttonfury	N/A	Unknown	104.0	20	May 3	1:00	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Corehound Belt (19162)	Primalist's Linked Legguards (19401)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Band of Rumination (18103)	Fordring's Seal (16058)	Shard of the Scale (17064)	Briarwood Reed (12930)	Hide of the Wild (18510)	Claw of Chromaggus (19347)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
6	Tötëmsöäkër	Ethereal	Horde	102.8	20	May 27	0:58	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Epaulets of Ten Storms (16945)	Breastplate of Ten Storms (16950)	Corehound Belt (19162)	Animist's Leggings (19877)	Merciful Greaves (18318)	Earthfury Bracers (16840)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Will of Arlokk (19909)	N/A	N/A
7	Bloodpasture	N/A	Unknown	98.6	19	Jun 6	0:59	Zulian Headdress (22720)	Choker of Enlightenment (17109)	Animist's Spaulders (19928)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Ritualistic Legguards (19899)	Greaves of Ten Storms (16949)	Zandalar Augur's Bracers (19830)	Gloves of Restoration (18309)	Band of the Hierophant (13096)	Blood of the Martyr (17045)	Zandalarian Hero Charm (19950)	Second Wind (11819)	Deep Woodlands Cloak (19121)	Zulian Scepter of Rites (22713)	Red Dragonscale Protector (19348)	N/A
8	Tshamadin	N/A	Unknown	97.1	18	May 8	1:00	Helm of the Lifegiver (18870)	Pendant of the Fallen Dragon (19371)	Royal Cap Spaulders (14548)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	Waterspout Boots (18322)	Bracers of Prosperity (18525)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Shard of the Scale (17064)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
9	Gergra	Tea Time	Horde	96.3	16	May 9	0:42	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Primalist's Linked Waistguard (19393)	Empowered Leggings (19385)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Natural Alignment Crystal (19344)	Deep Woodlands Cloak (19121)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
10	Hunumukuapua	N/A	Unknown	94.1	20	May 9	1:19	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Denwatcher's Shoulders (18494)	Earthfury Vestments (16841)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Dragonrider Boots (18102)	Modest Armguards (18458)	Ogreseer Fists (11665)	Eye of Orgrimmar (12545)	Fordring's Seal (16058)	Second Wind (11819)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Trindlehaven Staff (13161)	N/A	N/A
11	Vraja	N/A	Unknown	92.1	20	May 2	1:05	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Legplates of Ten Storms (16946)	General's Mail Boots (16573)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Shard of the Scale (17064)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
12	Smågodt	N/A	Unknown	90.5	20	May 18	0:35	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Animist's Spaulders (19928)	Warlord's Mail Armor (16577)	Eyestalk Cord (18391)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Bracers of Prosperity (18525)	Blood Guard's Mail Vices (22867)	Fordring's Seal (16058)	Band of Servitude (22721)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
13	Creamytotem	N/A	Unknown	89.4	20	May 31	0:56	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Fordring's Seal (16058)	Rosewine Circle (13178)	Rejuvenating Gem (19395)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
14	Stokeswf	N/A	Unknown	88.8	20	May 10	0:23	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Earthfury Epaulets (16844)	Breastplate of Ten Storms (16950)	Belt of Ten Storms (16944)	Earthfury Legguards (16843)	Merciful Greaves (18318)	Bracers of Prosperity (18525)	Gloves of Restoration (18309)	Eye of Orgrimmar (12545)	Band of Sulfuras (19138)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18471)	Hakkari Loa Cloak (19870)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	N/A
15	Svartorivigt	Legion	Horde	86.3	20	May 27	0:45	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Belt of Ten Storms (16944)	Empowered Leggings (19385)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Earthfury Gauntlets (16839)	Cauterizing Band (19140)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
16	Sukio	Parse Goblins	Horde	84.6	19	Jul 6	0:53	Zulian Headdress (22720)	Vision of Voodress (19607)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Earthfury Legguards (16843)	Earthfury Boots (16837)	Zandalar Augur's Bracers (19830)	Gauntlets of Ten Storms (16948)	Primalist's Seal (19863)	Blood of the Martyr (17045)	Royal Seal of Eldre'Thalas (18471)	Zandalarian Hero Charm (19950)	Hakkari Loa Cloak (19870)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
17	Dartum	N/A	Unknown	82.5	19	May 16	1:10	Helmet of Ten Storms (16947)	Choker of Enlightenment (17109)	Drakesfire Epaulets (13133)	Dreamwalker Armor (13123)	Zandalar Augur's Belt (19829)	Earthfury Legguards (16843)	Seafury Boots (20262)	Zandalar Augur's Bracers (19830)	Earthfury Gauntlets (16839)	Band of Rumination (18103)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Wushoolay's Poker (19965)	Observer's Shield (18485)	N/A
18	Ludaria	Perchance	Horde	81.7	17	Jun 27	1:10	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Black Brood Pauldrons (19373)	Mindsurge Robe (18532)	Feralsurge Girdle (18104)	Manastorm Leggings (18872)	Shimmering Geta (19391)	Bracers of Ten Storms (16943)	Gloves of Rapid Evolution (19369)	Rosewine Circle (13178)	Primalist's Band (19920)	Carrot on a Stick (11122)	Zandalarian Hero Charm (19950)	Shroud of Pure Thought (19430)	Aurastone Hammer (17105)	Malistar's Defender (17106)	N/A
19	Smarac	wiggle	Horde	81.7	20	Jul 1	0:46	Crimson Felt Hat (18727)	Animated Chain Necklace (18723)	Kentic Amice (11624)	Flowing Ritual Robes (20032)	Corehound Belt (19162)	Animist's Leggings (19877)	Animist's Boots (19892)	Loomguard Armbraces (13969)	Seafury Gauntlets (20257)	Band of Servitude (22721)	Fordring's Seal (16058)	Shard of the Splithooves (10659)	Eye of the Beast (13968)	Hide of the Wild (18510)	Wushoolay's Poker (19965)	Arlokk's Hoodoo Stick (19922)	N/A
20	暴炎	N/A	Unknown	81.0	20	Jun 11	1:08	Earthfury Helmet (16842)	Jin'do's Evil Eye (19885)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Earthfury Legguards (16843)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Primalist's Band (19920)	Primalist's Seal (19863)	Mar'li's Eye (19930)	Zandalarian Hero Charm (19950)	Cloak of the Cosmos (18389)	Sorcerous Dagger (18878)	Red Dragonscale Protector (19348)	Egan's Blaster (13289)
