Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	暗夜遗忘者	N/A	Unknown	2,151.9	20	Jun 6	1:29	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Field Marshal's Plate Shoulderguards (16480)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Blastershot Launcher (17072)
2	오뚜기전사	N/A	Unknown	2,074.9	20	Jul 5	1:23	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Crul'shorukh, Edge of Chaos (19363)	Chromatically Tempered Sword (19352)	Striker's Mark (17069)
3	Nihelix	RTR	Horde	2,038.0	20	May 30	0:26	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Seal of Jin (19898)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
4	囡囝囬囨团	N/A	Unknown	1,974.9	20	Jun 6	1:29	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Abyssal Mail Pauldrons (20680)	Breastplate of Bloodthirst (12757)	Zandalar Vindicator's Belt (19823)	Devilsaur Leggings (15062)	Windreaver Greaves (13967)	Battleborn Armbraces (12936)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Magni's Will (12548)	Diamond Flask (20130)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Dal'Rend's Sacred Charge (12940)	Dal'Rend's Tribal Guardian (12939)	Satyr's Bow (18323)
5	Silberrugge	Hammerfall	Alliance	1,901.0	18	May 7	0:39	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Bloodseeker (19107)
6	Sath	Sauce	Horde	1,877.0	20	May 8	0:27	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
7	Upsman	The Pond pug	Horde	1,855.5	20	Jun 11	0:17	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
8	Xeeh	HS Crew PUG	Horde	1,836.0	20	Jun 13	0:41	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Blastershot Launcher (17072)
9	Dunners	TL	Horde	1,820.6	20	May 11	0:22	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Omokk's Girth Restrainer (13959)	Legionnaire's Plate Leggings (22873)	Bloodmail Boots (14616)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Axe of the Deep Woods (811)	Flurry Axe (871)	Striker's Mark (17069)
10	Buzzwole	N/A	Unknown	1,784.5	20	May 2	0:31	Warlord's Plate Headpiece (16542)	Frostwolf Legionnaire's Pendant (19095)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Commander's Vambraces (10377)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Blackstone Ring (17713)	Diamond Flask (20130)	Blackhand's Breadth (13965)	Frostwolf Legionnaire's Cloak (19083)	Frostbite (19103)	Flurry Axe (871)	Bloodseeker (19107)
