Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Kallem	The Pond pug	Horde	2,193.0	20	Jun 12	0:31	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
2	Fieserlerry	N/A	Unknown	1,795.0	20	Jul 7	0:30	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
3	Icedunker	Surge	Alliance	1,773.9	20	May 7	0:32	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Savage Gladiator Chain (11726)	Belt of Preserved Heads (20216)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	Deathbringer (17068)	Crul'shorukh, Edge of Chaos (19363)	Striker's Mark (17069)
4	Stokeszerk	TL	Horde	1,759.1	20	May 10	0:29	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Band of Accuria (17063)	Don Julio's Band (19325)	Diamond Flask (20130)	Blackhand's Breadth (13965)	Cloak of Firemaw (19398)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Heartstriker (19350)
5	Sixx	N/A	Unknown	1,708.3	20	May 12	0:35	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Blackstone Ring (17713)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Might of the Tribe (22712)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
6	Indoorsman	Roots	Horde	1,671.7	16	May 5	0:34	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Omokk's Girth Restrainer (13959)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Deathbringer (17068)	Frostbite (19103)	Blackcrow (12651)
7	Nihelix	RTR	Horde	1,626.9	20	May 24	0:29	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Seal of Jin (19898)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
8	Haruto	Coffee	Horde	1,616.5	20	Jun 1	0:35	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Stoneskin Gargoyle Cape (13397)	Thunderfury, Blessed Blade of the Windseeker (19019)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
9	Dwa	HS Crew PUG	Horde	1,600.4	20	Jun 13	0:41	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Might of the Tribe (22712)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Blastershot Launcher (17072)
10	Drjik	N/A	Unknown	1,590.7	20	Jun 13	0:50	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Striker's Mark (17069)
