Rank,Name,Guild,Faction,DPS,Size,Date,Duration,Head,Neck,Shoulder,Chest,Waist,Legs,Feet,Wrist,Hands,Ring1,Ring2,Trinket1,Trinket2,Back,Weapon1,Weapon2,Ranged,Raid,Phase,Class,Specialisation
1,Stuba,The Pond pug,Horde,818.3,40,Jun-14,42:41:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Cyclone Spaulders (18528),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Eye of the Beast (13968),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
2,별빛섬광,서리1공,Alliance,788.9,40,Jul-07,50:09:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Forced Concentration (19403),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of the Brood Lord (19378),Lok'amir il Romathis (19360),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
3,Primuh,The Pond pug,Horde,759.7,40,Jun-14,42:41:00,High Councillor's Circlet (10139),Pristine Enchanted South Seas Kelp (19613),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
4,Mob,NeverDream,Alliance,759.3,40,Jun-22,29:49:00,Bloodvine Goggles (19999),Soul Corrupter's Necklace (19876),High Councillor's Mantle (10142),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Aurastone Hammer (17105),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
5,Guydance,The Pond pug,Horde,754.4,40,Jun-23,42:47:00,The Hexxer's Cover (19886),Soul Corrupter's Necklace (19876),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Rune Band of Wizardry (22339),Band of Servitude (22721),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
6,고독한미식가,서리3공,Alliance,746.9,40,Jun-30,50:00:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Burial Shawl (18681),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Sublime Wristguards (18497),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
7,Naapi,Gnomeboys,Alliance,735.6,40,May-15,34:13:00,The Hexxer's Cover (19886),Orb of the Darkmoon (19426),High Councillor's Mantle (10142),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Mighty Gauntlets (10149),Ring of Spell Power (19147),Band of Servitude (22721),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Aurastone Hammer (17105),Tome of Arcane Domination (19308),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
8,Bobwiley,The Imperium,Horde,684.1,40,Jun-20,32:15:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Adventurer's Bracers (10256),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Shadow Wing Focus Staff (19355),N/A,N/A,Blackwing Lair,4,Druid,Balance
9,Melbee,Dad Guild,Alliance,679.5,40,Jun-12,43:01:00,The Hexxer's Cover (19886),Pristine Enchanted South Seas Kelp (19613),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Tearfall Bracers (13409),Hands of Power (13253),Band of Forced Concentration (19403),Band of Servitude (22721),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
10,Baldwín,BLAST,Horde,678.4,40,May-15,31:48:00,Bloodvine Goggles (19999),Star of Mystaria (12103),Warlord's Dragonhide Epaulets (16551),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Maiden's Circle (13001),Maiden's Circle (13001),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
