# Quest Data for Battlegrounds - Alterac Valley
# Generated: 2025-08-18 17:00:32
# Total quests: 83
# Comment scrape timestamp: 2025-08-18 17:05:29

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7385	A Gallon of Blood	60 PvP	51	Horde		Battlegrounds	Stormpike Soldier's Blood (5)	You must strike down our enemies and bring to me their blood.	Primalist Thurloga	Primalist Thurloga	This is how it works. In the Frostwolf village is a small cave just to the left of the blacksmith. The primalist there accepts turnins of Stormpike Soldier's Blood, and once she gets enough she will begin walking towards the middle of the map. She's a level 60+ elite and has an entourage, so she CAN handle herself, but it's important to stay with her and keep her healed, because the Alliance wants her dead. Anyway, once she gets to the middle of the map, she will begin a summoning ritual. Once she and her assistants complete the ritual, a swirly pattern will appear at her feet. Now this is the important part: Ten Horde players must be there when this happens to right-click the swirly thing on the ground and stand still while the ritual completes. Think of it liked a warlock summon, where people have to right click the portal. This works the same way. If the primalist makes it to her spot and summons, and if ten Horde players assist her in summoning, she will summon Lok, who basically looks like a pale blue earth elemental. He will go to the center of the map and chill (pun intended) for ten minutes. During that time, he will attack any Alliance that get too close. He's VERY strong, but be careful that you don't let the Alliance kite him away. Each time he defeats an Alliance player, he will grow in size and power. After the allotted ten minutes, he will begin going on a rampage and destroying everything in his path. The Alliance will attempt to kite him, so it's very important that warriors, druids, mages.. anyone with an intercept stays with him. Lok is VERY powerful but he's rather stupid. As soon as one person has aggro from him, he will stay on that person until they're dead no matter where they take him. So, it's important to keep the Alliance from defeating him or letting him get pulled to some random corner of the map.	This is how it works. In the Frostwolf village is a small cave just to the left of the blacksmith. The primalist there accepts turnins of Stormpike Soldier's Blood, and once she gets enough she will begin walking towards the middle of the map. She's a level 60+ elite and has an entourage, so she CAN handle herself, but it's important to stay with her and keep her healed, because the Alliance wants her dead. Anyway, once she gets to the middle of the map, she will begin a summoning ritual. Once she and her assistants complete the ritual, a swirly pattern will appear at her feet. Now this is the important part: Ten Horde players must be there when this happens to right-click the swirly thing on the ground and stand still while the ritual completes. Think of it liked a warlock summon, where people have to right click the portal. This works the same way. If the primalist makes it to her spot and summons, and if ten Horde players assist her in summoning, she will summon Lok, who basically looks like a pale blue earth elemental. He will go to the center of the map and chill (pun intended) for ten minutes. During that time, he will attack any Alliance that get too close. He's VERY strong, but be careful that you don't let the Alliance kite him away. Each time he defeats an Alliance player, he will grow in size and power. After the allotted ten minutes, he will begin going on a rampage and destroying everything in his path. The Alliance will attempt to kite him, so it's very important that warriors, druids, mages.. anyone with an intercept stays with him. Lok is VERY powerful but he's rather stupid. As soon as one person has aggro from him, he will stay on that person until they're dead no matter where they take him. So, it's important to keep the Alliance from defeating him or letting him get pulled to some random corner of the map.	In the Frostwolf Keep (Horde HQ in AV), there is a cave with a number of shamans inside. The head shaman has a repeatable quest in which you turn in Blood gained from killing NPCs and Alliance players. Once a certain amount of blood has been turned in, the shamans travel to a ledge overlooking the Field of Strife (middle ground in AV) and begin to summon Lok'ohlar the Ice Lord, a huge, hulking boss. A significant number of players need to help with the summoning, however. It is better to wait for a certain time and then everyone with blood travel back and turn it all in at once.	In addition to the Frostwolf and Orgrimmar rep, you get +19 rep to each of the other horde cities.(+2 if you only turn in 1 Blood) Does not show in the combat log.	In patch 2.0.1 you get rep with Silvermoon city for handing in the blood. You can't see it in your combat log, but you actually get a bit.
/?quest=7362	Ally of the Tauren	60 PvP	51	Horde	6600 XP	Battlegrounds	You have been tasked with slaying opposing gnome players in Alterac Valley. Kill a gnome and return to Ravak Grimtotem at Frostwolf Keep with a Tuft of Gnome Hair. Tuft of Gnome Hair	I don't care where the hair comes from, <race>.	Ravak Grimtotem	Ravak Grimtotem	This quest, along with the other 'enemy parts' quests, was removed in patch 1.10 (http://www.worldofwarcraft.com/patchnotes/patch1p10.html)	In case you don't pay attention, which all of you obviously don't... It gives you rep with Thunder Bluff. 10 per tuft. Also, everyone in the BG will get 1 rep with Frostwolf.	6600 EXP when the quest is first given in. awesome EXP for someone whos just exploring the BG for fun :) increases rep with one of the factions, i forget which.	Has this been removed or not, because I haven't seen it.	N/A
/?quest=7081	Alterac Valley Graveyards	60 PvP	51	Alliance	6600 XP	Battlegrounds	Assault a graveyard, then return to Sergeant Durgen Stormpike in the Alterac Mountains. Graveyard Assaulted	<name>, you have not yet assaulted a graveyard. Return to me when this task is complete!	Sergeant Durgen Stormpike	Sergeant Durgen Stormpike	To complete this quest you don't even have to interact with anything, you just have to be in the general area of a graveyard when somebody assaults it. The graveyard does not have to change hands, just be assaulted once.	ok you need to look at 'category' again dude and make sure you're wearing ur glasses this time :P (joke)	This is feckin' easy on Server Bloodhoof - Alliance ALLWAYS win so the graveyards are nearly allways horde controlled... but the hordes never each far enuff to die and ress at they're graveyards... so the graveyards are just to pick and controll Shawn - 60 rogue Bloodhoof	Hardest quest ever. Notice the 'Category: The Undercity' You try doing this quest as an Alliance race....	This is an alterac valley BG quest. It is done within the instance. UC has nothing to do with it. Not sure where you saw that.
/?quest=7223	Armor Scraps	60 PvP	51	Alliance	6600 XP	Battlegrounds	Bring 20 Armor Scraps to Murgot Deepforge in Dun Baldar. Armor Scraps (20)	Did you bring any armor scraps, <name>?	Murgot Deepforge	Murgot Deepforge	This quest just gave me, with Patch 2.3, 9550 xp at level 51. So I guess, this is pretty worth doing once you have access to Alterac Valley.	With enough armor scraps you can upgrade the patrolling guards from green to experienced ... to champion status. The difference is their level, they dont get elite status from this quest, should you hope that ! Still, a champion guard is lvl 60 so quite a bit mor help than say some lvl 51. Armor scraps are dropped off players, when you kill them and loot their corpse. As I dont know how many other players brought scraps to the smithy I dont know exactly how many it took, but I'd wager for around 1000 scraps to go from veteran to champion.	I did this at level 51 and probably turned in around 200 armor scraps. The experience was nice and we did end up winning at the end.	I couöldnt find the aliances smith :( On my server the horde is almost at our entrance to AV and we may have one graveyard when I enter. Where should I look fo rhim?	N/A
/?quest=6846	Begin the Attack!	60	1	Alliance		Battlegrounds	My troops are supplied and ready to assault. We just need orders from Noreg Stormpike and I'll send them into the fray! Stormpike Assault Orders	N/A	Field Marshal Teravaine	Field Marshal Teravaine	N/A	N/A	N/A	N/A	N/A
/?quest=7281	Brotherly Love	60 Raid	51	Both	6600 XP	Battlegrounds	Travel into Stormpike territory and slay Commander Karl Philips. Return to Commander Louis Philips when the task is complete. Commander Karl Philips slain	How it must pain him to remain as one of the living while his beloved brother has ascended to perfection.	Commander Louis Philips	Commander Louis Philips	Commander Karl Philips is in Icewing Bunker. Make sure you are close by when he is pulled because you won't get credit for the kill/quest if you show up to fight when he's half dead.	I think they have the Alliance and Horde versions of this switched.	um so coords? where is he	N/A	N/A
/?quest=7282	Brotherly Love	60 Raid	51	Alliance	6600 XP	Battlegrounds	Travel into Frostwolf territory and slay Commander Louis Philips. Return to Commander Karl Philips when the task is complete. Commander Louis Philips slain	It is with heavy heart that I give such an order, soldier.	Commander Karl Philips	Commander Karl Philips	Commander Louis Philips is in Tower Point. Make sure you're close by when he is pulled or else you won't get credit for the kill/quest if you show up when he's half dead.	what is the location of commander karl phillips as cant seem to find him anywhere?	what is the location of commander karl phillips as cant find him anywhere to return the quest?	This quest is incorrect. It is started by Louis and you are tasked to kill Karl. They accidentaly wrote the same thing on the horde quest as the alliance one. Just go talk to Louis in Tower Point.	Commander Louis Philips gives this quest to the horde to kill Commander Karl Philips.
/?quest=6825	Call of Air - Guse's Fleet	60 PvP	51	Horde		Battlegrounds	We must prepare the new fleet of War Riders, <race>! My riders are set to make a strike on the central battlefield; but first, I must wet their appetites - preparing them for the assault. I need enough Stormpike Soldier Flesh to feed a fleet! Hundreds of pounds! Surely you can handle that, yes? Get going! Stormpike Soldier's Flesh	N/A	Wing Commander Guse	Wing Commander Guse	You need 90 Stormpike Soldier Flesh	[code]/click QuestFrameCompleteButton /click QuestFrameCompleteQuestButton[/code] Make that macro and right-click here then use that to deliver the item(s). For me it was one by one so.. was a lot of spamming to do! Ye you can find Gusse (commander) by the bats right outside the stronghold (Horde side)	she ends at: 49.8,85.5	Where do i turn these in after we get GUSE back from the IB place?	Does anyone know where exactly is Guse?
/?quest=6943	Call of Air - Ichman's Fleet	60 PvP	51	Alliance		Battlegrounds	Their spirits are low, soldier. After our last failed air strike against the Horde, they refuse to fly! It is up to you to bolster their morale. Return to the battlefield and strike at the heart of the Frostwolf's command. Take down their commanders and guardians. Return to me with as many of their medals as you can stuff in your pack! I promise you, when my gryphons see the bounty and smell the blood of our enemies, they will fly again! Go now! Frostwolf Commander's Medal	N/A	Wing Commander Ichman	Wing Commander Ichman	I know that each one turned in gives 5 rep, but does anyone have any idea how many need to be turned before he stops accepting?	N/A	N/A	N/A	N/A
/?quest=6826	Call of Air - Jeztor's Fleet	60 PvP	51	Horde		Battlegrounds	You've worked hard, <name>, but we have only just begun! My War Riders must taste in the flesh of their targets. This will ensure a surgical strike against our enemies! My fleet is the second most powerful in our air command. Thusly, they will strike at the more powerful of our adversaries. For this, then, they need the flesh of the Stormpike Lieutenants. Make haste, soldier! Stormpike Lieutenant's Flesh	N/A	Wing Commander Jeztor	Wing Commander Jeztor	Many people ask in game where Jeztor is. The easiest way to find him is to open your map in AV and at the top/right of the map you will see two huts. Jeztor is laying down in the south hut there. You must interact with him to send him back to the Horde base. If Jeztor arrives safely back at base you can turn in Stormpike Lieutenant's Flesh to get him up in the air. If you do not take a beacon and simply send him he will attack Stormpike Graveyard and the bridge which is always good for the Horde.	Jeztor is a female btw - undead. Runs to 49.85 in the horde camp to the south. If the alliance has control of some southern bases she'll fight them so an escort is a wise idea if you want her to make it to Frostwolf Keep.	Guse = 90 [url=http://classicdb.ch/?item=17326]Stormpike Soldier's Flesh[/url] Jeztor = 60 [url=http://classicdb.ch/?item=17327]Stormpike Lieutenant's Flesh[/url] Mulverick = 30 [url=http://classicdb.ch/?item=17328]Stormpike Commander's Flesh[/url]	N/A	N/A
