# Quest Data for Battlegrounds - Arathi Basin
# Generated: 2025-08-18 17:01:14
# Total quests: 78
# Comment scrape timestamp: 2025-08-18 17:06:32

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8080	Arathi Basin Mark of Honor!	59 PvP	50	Alliance	5650 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	N/A	N/A	N/A	N/A	N/A
/?quest=8154	Arathi Basin Mark of Honor!	49 PvP	40	Alliance	3900 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	hey	N/A	N/A	N/A	N/A
/?quest=8155	Arathi Basin Mark of Honor!	29 PvP	20	Alliance	2000 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	N/A	N/A	N/A	N/A	N/A
/?quest=8156	Arathi Basin Mark of Honor!	39 PvP	30	Alliance	3300 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	N/A	N/A	N/A	N/A	N/A
/?quest=8297	Arathi Basin Mark of Honor!	60 PvP	60	Alliance	6600 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	Just completed this quest twice.. first time I got a great increase to League of Arathor reputation and 5650xp at lvl 56.. second time I got slightly increased and 2800xp	Can anybody say what are the Rewards which you get with enough Reputation?	N/A	N/A	N/A
/?quest=8080	Arathi Basin Resources!	55 PvP	50	Alliance	5650 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	N/A	N/A	N/A	N/A	N/A
/?quest=8154	Arathi Basin Resources!	45 PvP	40	Alliance	3900 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	hey	N/A	N/A	N/A	N/A
/?quest=8155	Arathi Basin Resources!	25 PvP	20	Alliance	2000 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	N/A	N/A	N/A	N/A	N/A
/?quest=8156	Arathi Basin Resources!	35 PvP	30	Alliance	3300 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	N/A	N/A	N/A	N/A	N/A
/?quest=8297	Arathi Basin Resources!	60 PvP	60	Alliance	6600 XP	Battlegrounds	Win the battle for Arathi Basin, get an Arathi Resource Crate, and return it to Sergeant Maclear at Refuge Pointe. Arathi Resource Crate	Do you have the resource crate, <name>? The League of Arathor can't fight a decent battle without them...	Sergeant Maclear	Sergeant Maclear	Just completed this quest twice.. first time I got a great increase to League of Arathor reputation and 5650xp at lvl 56.. second time I got slightly increased and 2800xp	Can anybody say what are the Rewards which you get with enough Reputation?	N/A	N/A	N/A
/?quest=8262	Arathor Advanced Care Package	60 PvP	45	Alliance	650 XP | Item: Arathor Advanced Care Package	Battlegrounds	Additional requirements to obtain this quest: Your reputation with The League of Arathor must be at least Friendly	N/A	Samuel Hawke	Samuel Hawke	N/A	N/A	N/A	N/A	N/A
/?quest=8260	Arathor Basic Care Package	34 PvP	25	Alliance	270 XP | Item: Arathor Basic Care Package	Battlegrounds	Additional requirements to obtain this quest: Your reputation with The League of Arathor must be at least Friendly	N/A	Samuel Hawke	Samuel Hawke	310 xp in 2.3	confirmed, you get 270xp on lvl 29. the pack itself has 20 AB only silk bandages and rations... like a couple gold of rations if you bought em yourself. This was recieved for becoming FRIENDLY witht he defilers, i've not yet reached honoured. Also, the WSG group has the same thing and same reward for reaching friendly.	i gain 270xp on lvl29	N/A	N/A
/?quest=8261	Arathor Standard Care Package	44 PvP	35	Alliance	380 XP | Item: Arathor Standard Care Package	Battlegrounds	Additional requirements to obtain this quest: Your reputation with The League of Arathor must be at least Friendly	N/A	Samuel Hawke	Samuel Hawke	'Hey, you're not bad! You get a present!' Just walk up to the guy and talk to him when you're friendly with AB.	This is a gift you receive from one of the NPCs outside the Alliance (maybe even Horde) entrance to Arathi Basin. I received it after getting Friendly with the League of Arathor. I got a stack of bandages and bread (both only usable in the Battleground). I'm not sure if the gift varies depending on your level.	N/A	N/A	N/A
/?quest=8398	Claiming Arathi Basin	60 PvP	60	Alliance	3300 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8397	Claiming Arathi Basin	59 PvP	50	Alliance	3200 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8396	Claiming Arathi Basin	60 PvP	60	Alliance	6600 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	Where is he? He is not found when you come out of battle where you were before you entered the battle.	N/A	N/A	N/A	N/A
/?quest=8395	Claiming Arathi Basin	59 PvP	50	Alliance	6400 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8394	Claiming Arathi Basin	49 PvP	40	Alliance	4550 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8393	Claiming Arathi Basin	39 PvP	30	Alliance	3000 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8392	Claiming Arathi Basin	49 PvP	40	Alliance	2250 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8391	Claiming Arathi Basin	39 PvP	30	Alliance	1500 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	N/A	N/A	N/A	N/A	N/A
/?quest=8374	Claiming Arathi Basin	29 PvP	20	Alliance	2350 XP	Battlegrounds	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	where is the alliance brigadier general?	ye im wondering too where do I hand int the quest	N/A	N/A	N/A
