# Quest Data for Battlegrounds - Warsong Gulch
# Generated: 2025-08-18 17:00:52
# Total quests: 79
# Comment scrape timestamp: 2025-08-18 17:07:32

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8434	Battle of Warsong Gulch	59 PvP	50	Horde	3200 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	i have a question about battlegrounds. yesterday my 59 rouge was embarased by a horde 59 something. he could see me when i was in stealth and i could not see him. he could stun me, go stun someone else, come back and kill me, then go back and kill another good player. i was able to slow him only by blinding him but then he could disappear without damage while still in combat. i cant do these things. this horde character is way beyond normal 59 play. what was he and how do i combat someone who can see me when i cant see them? if blizzard allows someone to be far superior to a real good player then i would call it quits as i am not spending my time in the graveyard. need help. thank you. e-mail- jackam4321@aol.com	N/A	N/A	N/A	N/A
/?quest=8433	Battle of Warsong Gulch	49 PvP	40	Horde	2250 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	N/A	N/A	N/A	N/A	N/A
/?quest=8432	Battle of Warsong Gulch	39 PvP	30	Horde	1500 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	This is the repeatable version of [url=http://classicdb.ch/?quest=8427]Battle of Warsong Gulch[/url]. However this quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest is in the level 30-39 bracket, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] will not be possible.	N/A	N/A	N/A	N/A
/?quest=8431	Battle of Warsong Gulch	29 PvP	20	Horde	1200 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	This quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest is in the level 20-29 bracket, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] will not be possible.	N/A	N/A	N/A	N/A
/?quest=8430	Battle of Warsong Gulch	60 PvP	60	Horde	6600 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	i got 3300 exp and 50 Rep on the first turn in to :S	6600 Exp and 100 Rep to WO for first turn in. 3300 exp and 50 Rep to WO for each after.	This quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest was in the level 60 bracket of old day battlegrounds they are now level 60-69, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] is possible as once you reach 60 you can do Eye of the Storm. The alliance counterpart to this quest is [url=http://classicdb.ch/?quest=8403]Fight for Warsong Gulch[/url].	N/A	N/A
/?quest=8429	Battle of Warsong Gulch	59 PvP	50	Horde	6400 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	This quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest is in the level 50-59 bracket, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] will not be possible. Alliance counterpart to this quest is: [url=http://classicdb.ch/?quest=8402]Fight for Warsong Gulch[/url].	N/A	N/A	N/A	N/A
/?quest=8428	Battle of Warsong Gulch	49 PvP	40	Horde	4550 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	This quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest is in the level 40-49 bracket, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] will not be possible. The alliance counterpart of this quest is [url=http://classicdb.ch/?quest=8401]Fight for Warsong Gulch[/url].	N/A	N/A	N/A	N/A
/?quest=8427	Battle of Warsong Gulch	39 PvP	30	Horde	3000 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	This quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest is in the level 30-39 bracket, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] will not be possible. The alliance counter part to this quest is: [url=http://classicdb.ch/?quest=8400]Fight for Warsong Gulch[/url].	N/A	N/A	N/A	N/A
/?quest=8426	Battle of Warsong Gulch	29 PvP	20	Horde	2350 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	excuse me, but why is this quest included in this quest tree? it is compleatly out of place in topic, the side, everything? should this be revised?	Any idea, if I was to collect say 15 marks. and turn in 3 then goto level 20, may I turn in the other 12 for the maximum experience for the 2nd part of this quest (20-29)	yeah my accouunt is werid can someone tell me whats up i got a hunter lvl 26 and i for some reason cant do that daily quest anymore i mean there isnt even a ? or any type of ! over his head or anything	N/A	N/A
/?quest=8389	Battle of Warsong Gulch	19 PvP	10	Horde	725 XP	Battlegrounds	Bring 3 Warsong Marks of Honor to a Horde Warbringer outside the battlegrounds. Warsong Gulch Mark of Honor (3)	The battle in Warsong Gulch against the Silverwing Sentinels is of great importance. Under the guise of protecting a forest that doesn't belong to them, the Alliance seeks to deny the Horde one of our largest sources for lumber.Do not let this happen, <name>! Come back to me with proof of serving the Horde in a worthy manner!	Horde Warbringer	Horde Warbringer	Entrance is at 48,6 in Barrens.	do you need to do this one before you can to Race For Resources at arathi basin?	where is this dude? i dont know coordanates, wll how to use um anyway, send email to Hunt2girl@yahoo.com!	This quest is no longer in the game. It was when marks used to be turned in for honor. The new version of the quest is [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] which requires one mark from every battleground ([url=http://classicdb.ch/?item=20558]Warsong Gulch Mark of Honor[/url], [url=http://classicdb.ch/?item=20559]Arathi Basin Mark of Honor[/url], [url=http://classicdb.ch/?item=20560]Alterac Valley Mark of Honor[/url] and [url=http://classicdb.ch/?item=29024]Eye of the Storm Mark of honor[/url]). However, since this quest is in the level 10-19 bracket, completing [url=http://classicdb.ch/?quest=8367]For Great Honor[/url] will not be possible.	N/A
