# Quest Data for Classes - Druid
# Generated: 2025-08-18 16:57:38
# Total quests: 38
# Comment scrape timestamp: 2025-08-18 17:07:59

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=9053	A Better Ingredient	52 Dungeon	50	Both	6350 XP | Pick: [Grizzled Pelt, Forest's Embrace, Moonshadow Stave]	Classes	Retrieve a Putrid Vine from the guardian at the bottom of the Sunken Temple and return to Torwa Pathfinder. Putrid Vine	Have you recovered the vine?	Torwa Pathfinder	Torwa Pathfinder	well this is all kind off pointless... I mean this whole page its meant for people stuck on this quest not for a huge debate about crap. Well for those stuck on this quest you need to go to the Sunken Temple and do the East side (With all the serpents) you have to light 6 serpent statues in a certain order. This summons a huge troll boss at the bottom. the Putrid Vine drops from him.	The order of the statues is: (on mini map) 6 oclock - 12 oclock - 8 oclock - 4 oclock - 10 oclock - 2 oclock If you're doing it right ~ the statues will light up green as you go ~ I wrote them down exactly opposite by accident and was very frustrated. Hope this helps!	Okay, since this post is missing actual info about the quest, at least it was last I checked, the drop is off of the guardian in the basement, forget the mob's name. So, in the pool, below where the statues are.	All your opinions of the rewards are nice and have merit, but where does the vine drop?	Nimfo has it right, but in case you're not too keen on the clock analogy here's another way to get the statue locations in the right order: South, North, SouthWest, SouthEast, NorthWest, NorthEast
/?quest=27	A Lesson to Learn	16	16	Alliance	120 XP	Classes	Speak with Dendrite Starblaze in the village of Nighthaven, Moonglade.	N/A	Mathrengyl Bearwalker	Dendrite Starblaze	This quest starts at Mathrengyl Bearwalker in darnassus for alliance. https://classicdb.ch/?npc=4217. This quest starts at Turak Runetotem in Thunder Bluff for horde. https://classicdb.ch/?npc=3033 For Alliance And horde this ends at https://classicdb.ch/?npc=11802. Just use your teleport moonglade spell. Follow up: https://classicdb.ch/?quest=28	Maybe you have part of the quest completed.&nbsp Even though it starts with the Dendrite Starblaze, if teh quest is already going, you can kick off the other part of the quest by visiting Tajarri in Moonglade found at coordinates (36,40). Hope that helps.	The trainer you need to start this quest is Mathrengyl Bearwalker. THEN you can go to moonglade for your quests. He is at the top of the spiral stairs where the druid trainers are in Darnassas.	Important note: You become eligible for this quest at level 16.	I'm lvl 60 now and i just thougth i didnt need that form as i was lowbe.. and now when i really want to get it done as it would be nice to have in AB, i cant font the quest giver for it... Anyone that can come with some info on how this goes from the start.. like who to talk to and stuff like that..
/?quest=26	A Lesson to Learn	16	16	Horde	120 XP	Classes	Speak with Dendrite Starblaze in the village of Nighthaven, Moonglade.	N/A	Turak Runetotem	Dendrite Starblaze	Yes this quest is a pain, but it is doable and aquatic form can be really helpfull at times in the future.	Just hearth to Moonglade and you will see him slightly north on your minimap. (56,30)	How can a non-druid, herbalist alchemist obtain this pouch? Is it only for Druids? This pouch would be very handy for an herbalist, is there anyway for an Alliance toon to buy one?	Euhhh, I got that quest, but to get to Moonglade... Dam hard. Is there a better than passing by darkshore, than FelWood, and get up to Moonglade... Dam long and hard for a lvl 19.	who's that Trainer? is that Mathrengyl Bearwalker?
/?quest=5061	Aquatic Form	16	16	Alliance	1150 XP | Item: Aquarius Belt	Classes	Return to Darnassus and show Mathrengyl Bearwalker the Pendant of the Sea Lion. Pendant of the Sea Lion Provided Item: Pendant of the Sea Lion	Your return to Darnassus is not without heralding, though I will need proof of your lessons learned in Moonglade before I will teach you your aquatic form.Do you have the Pendant of the Sea Lion?	Dendrite Starblaze	Mathrengyl Bearwalker	'Goodbye, young druid. We shall speak again.' Empty promises ..	The series for this quest starts with https://classicdb.ch/?quest=27	Pendant of the Sea Lion more info at: https://classicdb.ch/?item=15885	where is the pendant	Yes, this is definately a druid only quest. I sure hope you were kidding Trubbert.
/?quest=31	Aquatic Form	16	16	Horde	1150 XP | Item: Aquarius Belt	Classes	Return to Thunder Bluff and show Turak Runetotem the Pendant of the Sea Lion. Pendant of the Sea Lion Provided Item: Pendant of the Sea Lion	Your return to Thunder Bluff is not without heralding, though I will need proof of your lessons learned in Moonglade before I will teach you your aquatic form.Do you have the Pendant of the Sea Lion?	Dendrite Starblaze	Turak Runetotem	To Find one of the pendants travel to silverpine forest south of the undercity. From there head towards the great sea. Once at the great sea swim directly towards the 'T' in the word great. Swim towards the T untill the fatigue bar shows up. Go back abit untill it disappears. GO straightdown, youll see the air bubbles with the chest next to it. For the second half simply got to the Sludge Fen North of crossroads. Swim to the bottom and look arounda bit. It's in the only openable chest. Once you have both go back to Moonglade, go to the Shrine of Remulos, and right click one of the pendants. they will join. GO back to Dendrite he will send you to thunder bluff where you can recieve your skill.	Yes, perhaps aquatic form may not be as good as the ones you listed, but it's still another form, and it's worth getting. It's a quest, you may as well do it, however hard it may be. It doesn't matter if it's 'inferior'. Certain items equipped by you are probably worse than others, but you still equip them, because they're still good. It's not just speed, the ability to breathe is very useful. Also note that BRD is almost completely underwater, so that's an example of where aquatic form is useful too. There are many quests which involve going underwater as well (for example, there are some in STV), and this form is really great for doing them. If you grind, it may not be as useful.	You guys know taht this page is for the HORDE faction right? There is another topic for the alliance equivalent. Anyways, first is in sludge fen - barrens (black oily water) and the 2nd is in silverpine 29,29 are the correct co-ords. I suggest all you alliance guys go to your aquatic form link on the previous page, instead of confusing my poor horde brethren.	This might help: [url=http://www.bookofwarcraft.com/guides/class/druid/druid-aquatic-form.htm]http://www.bookofwarcraft.com/guides/class/druid/druid-aquatic-form.htm[/url] It has a step by step walk through with maps and screenshots.	It might not be wise to use it for combat but just switch to it for a second and all of your breath comes back. Espiecally in pvp fights, or at arathi basin, when you're in the water and you and your opponnent start to lose breath you can just switch to water form and you get your breath back. After that just entangle your enemy till they lose their breath and die. It's a sinister way to kill someone but it's dang easy.
/?quest=5931	Back to Darnassus	10	10	Alliance	85 XP	Classes	Return to Darnassus and speak with Mathrengyl Bearwalker in the Cenarion Enclave.	N/A	Dendrite Starblaze	Mathrengyl Bearwalker	Druid only Flight Path is at about 44,45.	[b]44,45[/b] confirmed	When you port in to moonglade, go down the hill (NW) and then turn right to go over the bridge (by the moonwell). turn left at the moonwell and go through the vendor area (with Dargon), follow the path around to the right and then to the left. The gryph master is on your right. The coordinates are 44, 45	There is a flight path in Nighthaven which can be used only by druids. The best part is that it's free.	Confirmed 48,67
/?quest=5932	Back to Thunder Bluff	10	10	Horde	85 XP	Classes	Return to Thunder Bluff and speak with Turak Runetotem on the Elder Rise.	N/A	Dendrite Starblaze	Turak Runetotem	Coords on the flight master are 44,45 Hope this helps	The TB only only FP is at 44,45 The Regular Horde FP is at 32,66 Hope this clarifies things	There are a bunch of deer and rabbits in the town.&nbsp If you went into skinning/leather working, you can get a few extra light leathers along the way to the flightpath. Also, watching the little animals being crushed to death by your entangling roots is quite entertaining...wait, what?	There are two ways to get back to Thunderbluff: 1. If you have a hearth near Thunderbluff or at Thunderbluff use it 2. There is a Flight Path in Nighthaven near the Southwest corner that goes straight to Thunderbluff.	the flight master is in 44,45
/?quest=9052	Bloodpetal Poison	52	50	Both	5100 XP | Item: Major Healing Potion 2	Classes	Collect 8 Bloodcap and 8 Gorishi Stings, and return to Torwa Pathfinder in Un'Goro Crater. Gorishi Sting (8) Bloodcap (8)	Have you met with success?	Torwa Pathfinder	Torwa Pathfinder	I currently dinged 50 on a pvp server and this quest has gotten a littler easyer. PART 1 For the blood cap part simply run around the tar pits and any area that has the blood cap lookin things. Then you should see these little 'entangling root' looking things that you can pick. Inside is a 40% chance bloop cap and something else. PART 2 Travel to the slivering scar/terror run and then you will find Gorshsi Wasps, kill these and around a 50% drop rate you will get your stings. HINT: If you are takeing major damage in feral combat then use my stragagy. 1. find it 2. root it 3. star fire 4. moon fire 5. re root 6. star fire 7. re root 8. star fire repeat intill dead and then drink. put on some int gear as well to make it easyer. hope this helps stewy - altar of storms alliance	Gorishi Sting: 50, 76 (The Slithering Scar) Drops from Gorishi Wasp (low drop rate) Bloodcap: Drops from Bloodpetal Sprouts	This quest is a pre-req for [url=/quest=9051]Toxic Test[/url]	Since they added the 'sparklies' to quest-related objects in 2.3, these will sparkle for you *only if they have a Bloodcap*. Quite convenient, you don't even have to loot plants that don't have the quest item.	After hearing about the trouble with the drops, I checked the Blizzard Druid forums, and found this thread: [url=http://forums.worldofwarcraft.com/thread.html?topicId=32338890&postId=592285345&sid=119]http://forums.worldofwarcraft.com/thread.html?topicId=32338890&postId=592285345&sid=119[/url] In the thread, there was a suggestion to re-log, in case the stings weren't dropping for you. I had killed 15 wasps with no drops prior to relogging, and only needed to kill 10 wasps afterwards, to get my 8 stings. The statistical chance of this being just by coincidence is less than one tenth of a percent. I would recommend re-logging, just in case it helps, it helped me. Here is the thread for the post I made about this, on the bug forums: [url=http://forums.worldofwarcraft.com/thread.html?topicId=59253564&postId=592285384&sid=10]http://forums.worldofwarcraft.com/thread.html?topicId=59253564&postId=592285384&sid=10[/url]
/?quest=6001	Body and Heart	10	10	Alliance	850 XP	Classes	Use the Cenarion Moondust on the Moonkin Stone of Auberdine to bring forth Lunaclaw. From there, you must face Lunaclaw and earn the strength of body and heart it possesses. Speak with Mathrengyl Bearwalker in Darnassus when you are done. Face Lunaclaw and earn the strength of body and heart it possesses. Provided Item: Cenarion Moondust	N/A	Mathrengyl Bearwalker	Mathrengyl Bearwalker	The Correct Way for ALLIANCE. Get the quest, take boat or fly to auberdine. Head down the road due EAST! Stop at the first cave you see with moonkins. Go Inside, use the powder on the stone. Kill Lunaclaw, WAIT - SPEAK WITH THE SPIRIT. Your done, head back.	Easier with a friend, but not hard. Cave at 43,46 has a moonkin stone that you put the dust on. A level 12-13 will spawn outside and come in at you.	as Zodin commented here: https://classicdb.ch/?npc=12138z0z Lunaclaw seems to be much easier than the mobs outside. When summoned, Lunaclaw will not aggro the other mobs, so there is no need to clear. You can run into the cave, take the death from the other mobs, it's a relatively short run from the graveyard. Rez on the stone, be sure to buff yourself like I forgot to do, and summon Lunaclaw. Moonfire, (I tossed Rejuv on myself from the start) and Wrath, rinse and repeat until dead. I popped one Minor Health Pot but that was it. If I'd been buffed I may not have needed that. A relatively easy fight, once you get past the mobs guarding the cave.	As Alliance I always find this cave hard to find (ive made 3 druids), literally use the 43,46 coordinates, or you can run around all day finding the wrong caves.	Went through the purple portal in Darnassus then took a left and took the hyppogriff to Auberdine. There I headed directly east, killed a few Owls outside the cave (it was DIRECTLY east of Auberdine, at 43, 46) then ran in and used the dust. Luna spawned, I ran and lost aggro, came back and whipped him. I'm not twinked, I don't have good items save for the staff from some collection quest of which I never melee'd Luna, no need to. [b]Owl Killing:[/b] 1. Entangle 2. Moonfire 3. Wrath 4. Entangle 5. Wrath until dead. [b]Luna Killing:[/b] 1. Moonfire 2. Wrath until dead. Worked perfectly and with luna my health didn't even get half empty. Make sure you have Mark of the Wild and Thorns on (if you didn't already know that, don't play a druid).
/?quest=6002	Body and Heart	10	10	Horde	850 XP	Classes	Use the Cenarion Lunardust on the Moonkin Stone between Mulgore and the Barrens to bring forth Lunaclaw. From there, you must face Lunaclaw and earn the strength of body and heart it possesses. Speak with Turak Runetotem in Thunder Bluff when you are done. Face Lunaclaw and earn the strength of body and heart it possesses. Provided Item: Cenarion Lunardust	N/A	Turak Runetotem	Turak Runetotem	The moonkin stone is behind the very first building on the right as you cross from Mulgore into the Southern Barrens. The coordinates for the stone are 42,61. Sprinkle the Cenarion Lunardust on the stone by left-clicking the dust in your inventory. Lunaclaw will come at you from behind the tree. Pretty easy fight, even at level 10. Once you have defeated Lunaclaw, you will be able to speak to his spirit, which completes the quest. Go back to Thunder Bluff to get your first bear form.	just as you pass into the barrens there is a hut with a ork called Peon behind the hut is a large tree behind this tree is the moonstone	Easy quest, but not so easy to find. Right after you enter The Barrens, you see a teepee or house at your right, go up there, but before you go past the 'windmill', turn 45 degrees left and walk past the tree, you will see the stone.	Horde : 42,61 is the coordinates for the horde there is no cave with horde there is only the moonkin stone it is between two of those foothills it's a stone with a blue glow in the middle.	Please dont post alliance info here, this is the section for the horde counterpart of this quest. Post your helpful info under the alliance section please.
