# Quest Data for Classes - Hunter
# Generated: 2025-08-18 16:57:08
# Total quests: 42
# Comment scrape timestamp: 2025-08-18 17:08:28

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7635	A Proper String	60	60	Both	9950 XP | Item: Enchanted Black Dragon Sinew	Classes	Stoma the Ancient has asked that you bring him a Mature Black Dragon Sinew. Should you find this sinew, return it to Stoma in Felwood. Mature Black Dragon Sinew	I am certain that you will have little difficulty in finding and slaying a black dragon, <name>. Do not waste my time with idle chatter.	Stoma the Ancient	Stoma the Ancient	This is a drop from Onyxia, and used in the completion of the Hunter epic weapon quest. It has an approximately 20% drop rate, and can be looted even if you do not have the quest. If you are in a guild that is able to successfully down Onyxia, but you have not yet reached Majordomo, make sure that you are still handing these out to your hunters. This is a useless item for any other class. -Aeryn	only one hunter can pick this up per onyxia kill	Check out this page for detailed information about the quest: [url=http://www.wowwiki.com/Hunter_Quests]http://www.wowwiki.com/Hunter_Quests[/url] You can also find movies showing the fights on that page. I finished the quest today, and that guide really helped me doing it )	Haha... I think some people are misunderstanding the quests here. There are really 2 separate quests we're talking about.&nbsp One requires killing onyxia and the other involves killing 4 demons.&nbsp The Onyxia quest simply requires you to get the black dragon sinew, you can fight her in a raid group and you'll probably have to go many times to get the sinew.&nbsp The second quest involves 4 demons located in various parts of the world.&nbsp You have to fight these demons 1 on 1, any help from other people or from your pet will cause the demon to despawn.	bow is rhok'delar&nbsp and it pwns [url=http://i63.photobucket.com/albums/h152/pandusnex/tier2femalehunteredit.jpg]http://i63.photobucket.com/albums/h152/pandusnex/tier2femalehunteredit.jpg[/url]
/?quest=7633	An Introduction	60	60	Both		Classes	N/A	N/A	Vartrus the Ancient	Vartrus the Ancient	what are some noob quests i can do i would like to know plz	N/A	N/A	N/A	N/A
/?quest=7634	Ancient Sinew Wrapped Lamina	60	60	Both	10900 XP | Item: Ancient Sinew Wrapped Lamina	Classes	Hastat the Ancient has asked that you bring him a Mature Blue Dragon Sinew. Should you find this sinew, return it to Hastat in Felwood. Mature Blue Dragon Sinew	Welcome back, young <class>.	Hastat the Ancient	Hastat the Ancient	I just finished this quest today. It was quite a pain to figure out how to get this quest. Here's what you need to do: 1.) Go to Molten Core and get the [url=http://classicdb.ch/?item=18703]Ancient Petrified Leaf[/url] from [url=http://classicdb.ch/?object=179703]Cache of the Firelord[/url]. 2.) Right click the leaf to start [url=http://classicdb.ch/?quest=7632]The Ancient Leaf[/url] quest. 3.) Turn the quest in at [url=http://classicdb.ch/?npc=14524]Vartrus the Ancient[/url] in Felwood. 4.) Now speak with [url=http://classicdb.ch/?npc=14526]Hastat the Ancient[/url] (he's right next to Vartrus the Ancient) and get the [url=http://classicdb.ch/?quest=7634]Ancient Sinew Wrapped Lamina[/url] quest. 5.) Go to Azshara and kill [url=http://classicdb.ch/?npc=6109]Azuregos[/url]. 6.) Loot [url=http://classicdb.ch/?item=18704]Mature Blue Dragon Sinew[/url] from Azuregos. 7.) Return to Hastat the Ancient with the Mature Blue Dragon Sinew to finish the quest. Upon completion you will recieve the [url=http://classicdb.ch/?item=18714]Ancient Sinew Wrapped Lamina[/url] quiver. Notes: Obviously the hardest parts of this quest line are getting the Ancient Petrified Leaf and killing Azuregos. Good luck.	The Mature Blue Dragon Sinew used to make this quiver drops from Azuregos (https://classicdb.ch/?npc=6109), The Cobalt Scalebanes in Mazthoril, Winterspring (https://classicdb.ch/?item=18704) or a friendly guildmate. If your guild can easily take down Azuregos, I suggest not farming endless hours in Mazthoril. If you have extra gold floating around, these seem to go anywhere from 80g to 800g.	As I have said in another comment, quivers are not to be underestimated. This is the best quiver in-game by now (pre-expansion). Apart from giving you 15% ranged attack speed (yeah only ranged, why are you meleeing???) it also provides you with 18 slots to put in 3600 arrows of your choice. Now 3600 arrows may seem too much, but if you are venturing to a new instance with your guild, meaning a lot of wipes you will need the arrows cause you can't be back and forth to the nearest town to buy arrows,	For all those that don't know the Mature Blue Dragon Sinew can drop of the Blue Dragonkin in Winterspring, it's a low drop but it can drop there. Also Azuregos is killed far more frequently than Modomo is so there is a surplus of Sinew's around. I got my one cheap but still haven't gotten to MC yet. To anyone that's selling sinew's. Go hard and make your cash. Any hunter that wants one for their quest should really start the quest in MC first and then get their guild to help kill Azuregos for the sinew themselves. Soo much easyer and cheaper. For all those saying this is a priest / paladin / whatever class item. If you get one then you are a legend and deserve it. It'll take up one space in your inventory and it vendors for crap, if you can even get the quest to start it. Charlamayne	There ya go, full info on the hunter quests. http://tkasomething.com/avatarfaq.php
/?quest=8153	Courser Antlers	52	50	Both	5100 XP	Classes	Bring a pair of Perfect Courser Antlers to Ogtinc in Azshara. Ogtinc resides atop the cliffs northeast of the Ruins of Eldarath. Perfect Courser Antler (2)	Have you found the antlers?	Ogtinc	Ogtinc	The Mosshoof Coursers who drop these, are in the northern and southern region of Azshara. Basically just run north from where Ogtinc gives you the quest.	I recommend route between points (35,62) and (42,72). Until you make one run, you can turn back, as they have respawned	Level 56 Night Elf Hunter from the EU server Nordrassil. Please do yourself a favour, and disregard all previous comments and directions. In the vicinity of 55,25 (that is a little North of the Thalassian Base Camp) not only you will find Mosshoof Coursers in abudance, but most importantly there will be no Elite Level 55 Giants and Elite 52 Dragonkin around, as in Lake Mennar and vicinity. Had to kill about ten mobs to complete the quest. How to get to Thalassian Base Camp for those without Cosmos: Start at Talrendis Pt., follow the road to the Ruins of Eldarath, then turn North until you reach the mountains, and then turn -and proceed- towards the North-East (roughly 45 degree course) until you reach the Timbermaw Hold. Thalassian Base camp, is on an approximate bearing of 75 degrees or East North East of the Timbermaw Hold. On a side note, Thalassian comes from the Greek word 'Thalassa' meaning 'Sea'.	I killed about 100+ of the Coursers and no perfect antlers, got all broken. I wondered why so I went to thotbott to figure it out. There was really only one person who had a good strategy. Believe me this is how it's done. I thought the drop rate really sucked. Spent over an hour wasting my time on these and finally found the solution. So anyways here it is. Melee, Range whatever you want use your pet it doesn't matter just get the Mosshoof to the point where he enrages, it will say down in the text box and then use Scare Beast, I put my pet on Passive but I don't think it matters, but once he's feared range him and just kill him before the fear is over. It works. Tried it on the next two coursers and perfect antlers dropped both times. The key here is to not let him hit you or your pet when he enrages or his antlers will break. The Quest log even gives you a hint about this so it's not complete BS like some people would think. Ok well good luck to everyone.	The drop ist completely random. Stop posting these esoteric approaches like... I bite on my left side of my tongue and drink 5 drops of my own blood and then it drops with a 50% chance when using no melee weapons and holding breath for 35.3 seconds. Last nite I smoked at least 100 mosshoof geezas but not one crappy antler thing dropped. Well, it's a decent grinding area anyway, a few 60ies farming dreamfoil could gank you as usual but thats no big deal. If you please just avoid posting how lucky you were, this makes me eat my bow and each of my arrows... one by one. Oh, did I mention it? Like it was said in Good morning Vietnaaaam... These kind of quests suck the balls of a dead man dry.
/?quest=3092	Etched Note	1	1	Horde	40 XP	Classes	Read the Etched Note and speak to Lanka Farshot in Red Cloud Mesa. Etched Note Provided Item: Etched Note	Welcome to Camp Narache, <name>. I hear good things about you. Your bloodline is strong, and many of the elders consider you skilled already. But that we will test.The plains of Mulgore will be your home for sometime--you should do your best to learn it very well. One day you will travel to unfamilar lands to master greater skills. You must be ready.	Grull Hawkwind	Lanka Farshot	N/A	N/A	N/A	N/A	N/A
/?quest=3087	Etched Parchment	1	1	Horde	40 XP	Classes	Read the Etched Parchment and speak to Jen'shan in the Valley of Trials. Etched Parchment Provided Item: Etched Parchment	Ah, so you come at last. Good. Jen'shan be waitin' for you.Many tink it be an easy path, but Jen'shan tell you dat not true. Mastering da beasts of Durotar and beyond take as much skill as masterin' the arcane arts or speakin' to our ancestors.Firin' a bow or rifle may not be as dangerous to you as castin' a spell, but it sure be as dangerous to your enemy.	Gornek	Jen'shan	The Troll equivalent of this quest is [quest=3082 domain=classic] , which is not appearing on the list of Durotar quests at the moment.	N/A	N/A	N/A	N/A
/?quest=3108	Etched Rune	1	1	Alliance	40 XP	Classes	Read the Etched Rune and speak to Thorgas Grimson in Coldridge Valley. Etched Rune Provided Item: Etched Rune	Ya made it! Good to hear! Betcha didn't have to track me to find the place either. Haha!Our profession is pretty steeped in tradition, <name>. Learning the ways of the land. Learning to track a bear through the mountains. Even just surviving on wits alone takes a great deal of courage and cunning. Think you're capable?	Sten Stoutarm	Thorgas Grimson	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	Started by [url=https://classicdb.ch/npc=658/]Sten Stoutarm[/url]	N/A	N/A	N/A
/?quest=3117	Etched Sigil	1	1	Alliance	40 XP	Classes	Read the Etched Sigil and speak to Ayanna Everstride at the top of Aldrassil in Shadowglen. Etched Sigil Provided Item: Etched Sigil	You've arrived, and none too soon, <name>. Welcome to Shadowglen.I trust my sigil found you in good spirits and health?As I said previously, I am here to train you as a <class>; to tame beasts to aid you in battle; to use a bow with unerring accuracy; to respect the lands which we call home and also the lands beyond.	Conservator Ilthalaine	Ayanna Everstride	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	Is this quest only for the Night Elves?	The ramp you need to go up on is on the OUTSIDE of the building, on the west side.	N/A	N/A
/?quest=3082	Etched Tablet	1	1	Horde	40 XP	Classes	Speak to Jen'shan in the Valley of Trials. Etched Tablet Provided Item: Etched Tablet	Jen'shan see a mighty <class> before her and da spirits approve.Da path of da <class> is one of our oldest walks of life. Da Horde turned to us when they be just strugglin' to survive on Azeroth, and they ask us to teach them, to show them the secrets of many tings. They were strong already: strong in <class> ways; strong in <class> ways. But the <class> path not be their path... then.	Gornek	Jen'shan	lol if u cant fugure this out u suck!	N/A	N/A	N/A	N/A
/?quest=7636	Stave of the Ancients	60	60	Both	9950 XP | Item: Ancient Rune Etched Stave	Classes	You must find and destroy these four demonic corrupters: Simone the Seductress. Klinfran the Crazed. Solenor the Slayer. Artorius the Doombringer. Destroy these creatures and return to Vartrus the Ancient in Felwood with their heads. Refer to the Petrified Bark in your inventory for clues as to their whereabouts. You MUST complete this task by yourself. Simone's Head Klinfran's Head Solenor's Head Artorius's Head Provided Item: Petrified Bark	Do not be fooled by their disguises!	Vartrus the Ancient	Vartrus the Ancient	Few things: First, I found this to be a very helpful website: http://tkasomething.com/avatarfaq.php Second, watch those videos. They help so much more than a picture or text ever could. In doing these demons, be prepared to spend ALOT of time and a good deal of gold if you're not an alchemist. Shadow protection potions go for 20g per stack on my server, and you'll use three in the last fight. Also, be prepared to die alot. It happens, don't get fustrated. But one of the bigger needs for every fight is [b] MANA POTIONS [/b]. I picked up alchemy for this reason, and made stacks and stacks of the level 25 potions. Obviously it wasnt as effective as the major mana pots, and I got pretty low in mana after every fight, but I again, wasnt feeling like supporting a fairly inflated alchemy market. I usually popped a 25 mana pot at 75% and it restored me to about full, and had one or two more in the fights. [ul] [li] You'll spend a bunch of attempts on it. For the first boss (Doombringer in WS), you could take off your armor completely if you want. This boss is easy kiting (even though i'll take a few tries to get used to it.) You dont need a party or someone to clear the area on their mount, either, you can just clear a path of hostile units, [i]fight a demon on the road&nbsp [/i] (which I did alot. It made it so much easier, and demons would pretty much destroy any moron who tried to disrupt the fighting) [/li] [/ul]	I found this to be very helpful for the WS demon and a new Strat for the Burning Steppes demon. If you do this Quest post BC. the winterspring Demon you do not have to even Talk to him, Just Stand on the rocks at 58,20 Wait for him with Cheetah on, and the Area clear, as you see him get close(max range) just hit Serpent Sting and Start your run, Strafe shooting as you go, 1 rank 1 arcane shot at the end of the cooldown. hes easiest this way, and you can still loot the head of the demon. Burning Steppes demon has changed drastically from the way it once was. you can no longer use Scorpid sting, it has no effect on him anymore. they changed the way the Sting works, this will be an Endurance fight for any hunter. as you will burn Alot of mana laying traps and trying to keep him away, I suggest MM for Scattershot, and Aimed shot. All i did was this, speak with him to start the fight back away from him and lay a trap(freeze), doing the fight along the road is easiest get to max range, wait till you have about 12-14s on the trap cool down then Aimed shot him, use conccusive to slow/Stop him when your trap is up drop another freeze, rinse and repeat. it took me about 8 attempts this way and 2 unstable mana potions but i managed to do it. -- Dor	By far the most difficult quest I have ever done. Some quick tips are: Be dueling a warlock that you trust immensely while fighting Solenor, if you can keep him wing clipped, have aspect of the cheetah up at all times, you don't have to kill beetles. The reasoning for the warlock is for Curse of Recklessness (no fearing from Solenor). Simone's pet doesn't need to be killed, but you need to loot her head before he kills you. For Klinfran, if you are specced for Scatter Shot, you can kite to different ends of the Burning Steppes then use Scatter Shot and go the other way. He is leashed to only Burning Steppes, so no Redridge/BRM.	Solenor - A nice little tip for Solenor is when he starts off, drop a explosive trap and have him run into that. Then wing clip him and bolt outta there. The trap should to AoE damage to everything around him, and if you have curse of Recklessness on you, you shouldnt need to worry about the fears, so for the time the explosive trap lasts, you should have no problem with the bugs either. Just unload into him for when you can, but be sure you have a few mana pots on you and a shadow protection pot on you to keep the damage off you. Once the bugs start poping, and your trap wears off, when he's wing cliped git up volley rank 1 when you have all the bugs in a group. this should finish off the little suckers with use of the least mana as possible. This guy was the biggest pain for me personally, but that really just depends on what you're good at. Artorius - The main problem you WILL run into here, is getting around corners, and mana. So, when you start a turn, any turn at all, be sure to hit him in the face with a concussive shot, but dont get too far ahead of him in the process. Also, keep rank 1 arcane shot out like Kaenos said, and hit him with that every now and then between serpent stings to stay on his aggro list. I only shot him with the sting once every 3-5 seconds, because if you spam him, it will only stack up to 5 times, and your just wasting mana. The main thing to remember here besides the wait time on serpent sting is that rank 9 serpent sting DOESN'T work. One of my guildmates found this out the hard way, and only did minimal damage to him. This may have been updated in 2.0.1, but to the best of my knowledge, stick to sting rank 8. Simone - Basically easy to kill, i got her pet down first, and the killed her, but as long as you have nature protection pots and some mana pots on you just in case, you should be able to kite her around, even without killing her pet if you want to. Having another hunter follow you around with aspect of nature on is really good, because that allows you to keep aspect of the hawk on, which can really add to your DPS. Klinfran - Best thing to use here is rank one for wing clip. It gets the job done without wasting mana. The strat here can really be based on your weapon speed. Since each weapon has a specific attack speed (2.4s or whatever) once you scorpid sting him, you run up and attack him for 10 seconds. Your weapon can help time this, because if you have a 2.0 second attack speed, just hit him 5 times, wing clip and start running away. Try not to use raptor strike, because this fight is gonna be the longest one, and you will need the mana. When the fight starts off, hit him with concussive shot, frost trap, whatever you got to slow him down, and once he enrages hit him with scorpid. Then, start the attack cycle of running up, hitting him so many times, wing clip, run away, wait for enrage, and hit him with scorpid sting again. From there rince and repeat for roughly 7-10 minutes. Keep some mana pots with you for this fight specifically, and be sure to have a tuber or two for some health incase you slip up and he nails you once or twice. when you get far enough away from him after wing clipping him, you can hit him with an auto shot or two to add to some damage, but never try to aimed shot him. Also, don't use counterattack if it comes up. Imp wingclip can be helpful, but keep in mind you need to wait 10 seconds after you wing clip him for the enrage to come back up, and if you counterattack him, hes only stuck in place for 4 seconds, so he will be charging at you for 6 seconds, until he enrages, which most likely means hes gonna enrage within your minimum range. The most useful thing to use if this does happen though is scatter shot, then get away from him and hit him with a scorpid sting. You might get hit once or twice, but you should be able to survive 2-3 hits, and then just pick up where you left off and learn from your mistakes.	You cannot have any sort of help at all. If a player besides yourself either buffs, heals, or attacks while your in combat with the demon he will call you a coward and despawn. There is a exploit where a shadow priest can heal you using vampiric aura or something and it will heal you for 50+ every few sec. But its not that great. The only way players can help you is taking out the adds, telling other players to go away and buffing you before the fight. You can group up with players but set the loot for free for all, ive had a issue where i couldnt loot the head. Im still on this quest and it takes a lot of time to get the strat down for all these demons, its about timing and a lot of mana and healing potions.
