# Quest Data for Classes - Mage
# Generated: 2025-08-18 16:56:38
# Total quests: 47
# Comment scrape timestamp: 2025-08-18 17:09:03

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1942	Astral Knot Garment	26	26	Alliance	2100 XP | Pick: [Astral Knot Robe (1.10), Astral Knot Blouse (1.10)]	Classes	N/A	N/A	Wynne Larson	Wynne Larson	You don't need to see the innkeeper in Ironforge. When you hand in the Pristine Spider Silk from previous quest, just wait a few and she'll offer the new quest herself. click, click, new robe/shirt.	I rather have a faster mana regen, than I got mana.	great priest item for a mage quest... should be int ffs..	Where do I start this quest? and is it Alliance only? please help	where does this quest start?
/?quest=1958	Celestial Power	40	35	Both	3150 XP | Pick: [Celestial Orb (1.3), Celestial Stave (1.8)]	Classes	N/A	N/A	Tabetha	Tabetha	...complete this quest: https://classicdb.ch/quest=1957	When I completed this quest, I had the Hypnotic Blade (https://classicdb.ch/?item=7714). Given that, the Celestial Orb was the obvious choice, since the plus to spell damage was the same, but you get an additional +3 intellect and +3 spirit.	The Orb is definitely the superior choice for me, as a spellpower mage. The int+6 is ok, but what really shines is the spellpower+13 and mana recharge ability. The mana recharge abiility makes it superior to Spirit of Aquamentas, another great offhand. Both are replaced once you get your hands on a Rod of the Ogre Magi from Dire Maul tribute, though.	I would definitely take Celestial Orb over Celestial Stave in this quest. Celestial Stave can be replaced where as Celestial Orb is useful even at lvl 60 in high level instances such as Naxxramas! One can switch this orb in, use it after 30 seconds, and switch back to their normal offhand.	I was confused by this chain and the one that leads to Mage's Wand, which is a separate quest chain. I'll post on that chain under that quest. Here goes, for the 'Celestial Power' chain: 1. It's not listed here, but there's a Horde quest like the Alliance-side 'Journey to the Marsh' that you get from the mage trainer in Ogrimmar, sending you to Tabetha, who is southeast of Brackenwall Village in Dustwallow Marsh, almost to the coastline. 2. Tabetha gives you 'Infernal Orb' that sends you to Desolace to get an orb off a Burning Blade summoner at Mannoroc Coven. Summoners are level 38-39 warlocks with imp pets - kill the imp first, fast. Beware of demon adds here. Take orb back to Tabetha. 3. Tabetha summons (just outside her shack) a level 40 elite demon from the orb that you have to kill for 'The Exorcism' quest. This thing hits hard for its level and is a pure melee mob. 4. Tabetha then wants you to kill the Obsidian Sentinel (42 elite) just inside the back entrance of Uldaman in Badlands ('Power in Uldaman' quest). He drops the power source you take back to Tabetha. This mob a. reflects spells, including the shaman Purge spell, back onto you, and b. splits itself, making more level 42 elites. The split-off mobs also reflect spells back to you - just melee this thing down. I saw as many as 2-3 at a time, counting the original - see the thread under his listing here at Alla's. 5. Tabetha then gives you 'Mana Surges' quest. Do NOT accept this quest til you are ready. Once you accept, she goes outside her shack and starts the event that pops a chain of level 40 (non-elite) water elementals. You have to kill 12 in 10 minutes: yes, there is a timer. These things are frostbolt casters and will not come to you to melee unless you stop them casting somehow, like a silence or a shaman earth shock. Frost protection potions would be good here. As other posters in these threads have said, the first 2 elementals will aggro on you but the rest will not. You can pull singles from the group of them that pop by Tabetha's shack - there are usually as many as 4 up at a time. Once 12 are dead, do not kill more - run to Tabetha and finish the quest. If you're in a group they can kill more while you run to Tabetha. 6. After the elementals are dead, Tabetha gives you the 'Celestial power' quest, where you choose the Orb or the staff. In my opinion, the Orb is the way to go - up to 1200 mana on a clickie off-hander = yes! Go get an Illusionary Rod in Scarlet monsatery library off Doan for your staff at this level.
/?quest=8253	Destroy Morphaz	52 Dungeon	50	Both	6350 XP | Pick: [Glacial Spike, Arcane Crystal Pendant, Fire Ruby]	Classes	Retrieve the Arcane Shard from Morphaz and return to Archmage Xylem. Arcane Shard	Have you slain my old nemesis?	Archmage Xylem	Archmage Xylem	You can't go wrong with the pendant. You'll outgrow the Glacial Spike, and the Fire Ruby is tedius if you use any other trinkets[I keep my insignia of the alliance and my rune of perfection on at most all times]. The pendant, on the other hand, is a neck piece that grants spdmg[hard to find as is, and 16 is great] and the 6 intellect makes it that much better.	Morphaz is located at the bottom of Sunken Temple. He is linked to another dragon, but they are easy kills. You should definitely do this quest if you're running ST at all, and you should be running ST for some exp and items as you prepare for the Outlands. Personally I'd go for the neck piece, because it has the longest life. Instead of the Glacial Spike I use https://classicdb.ch/?item=17719 from Maraudon (very bottom of the instance after you kill the Princess and Rottgrime). I won't comment on the fire trinket, because I'm a frost mage. However, that just gives a burst, the neck piece adds onto your damage permanantly as long as you're wearing the pendant.	The dagger sucks. U will get a better dagger/sword/staff before u know it. The necklase is a little better, but there are some better ones outthere too. Im lvl 60 and still using the trinket, it got a short cooldown and is realy just like an extra mana stone. Take the trinket tbh. And yes we mages need some better water soon or i will go crazy. i got over 8000 mana and spend alot of time sitting down. Blizzard! gives us some lvl 60 water that restores 8000 mana over 10 sec.! We cant drink in combat anyway so what is the point in using 2x30 sec to get full mana?	For those who were asking how to do the quest itself: Join a group for Sunken Temple.&nbsp It's an instance located in Swamp of Sorrows.&nbsp (Actually, gather up the 5 other quests for Sunken Temple before going, so you can do them all at once.) Sunken Temple has all these annoying things that need to be activated in the right order, so you might want to have at least one person in your party that knows the place if you don't want to spend eternity there.	usually i never comment or n-e-thing here but in this case with this horroble place that i hate with passion, i finally found morphaz and im willin to share it wit u cuz i dont want u guys to suffer.&nbsp ~~ so wen u first go in the instnace, make a left to the room goin up in a spiral way. then hes dead ahead with another dragon. make sure ur group has, tank,priest,another mage or lock and a pally. good luck. p.s i recomend the fire ruby :P weather ur frost,fire or arcane XD
/?quest=9364	Fragmented Magic	60	60	Both		Classes	Polymorph the Spitelash of Azshara and kill the clones that appear several seconds later. When you have slain 50 Polymorph Clones, return to Archmage Xylem in Azshara. Polymorph Clone slain (50) Prismatic Shell Provided Item: Prismatic Shell	Have you collected the magic?	Archmage Xylem	Archmage Xylem	Very easy quest. Polymorph the naga, and immediately run up to them. The naga will split in to anywhere from 2-5 clones. A single arcane explosion or frost nova is enough to take them all out. Make sure you have quick reflexes as the clones run away quick, and if you're not fast you wont get all of them. Keep moving on till you kill 50 of the clones. It doesn't matter if you kill 1 or 5 clones that spawn. There is no limit.	If you happen to have [url=http://classicdb.ch/?spell=28271]Polymorph - Turtle[/url], do not use it for this quest. The naga never split off into turtle clones. Just use your regular sheepy polymorph.	The Spitelash are the Naga all over the Ruins of Eldarath located at 36,53. Polymorph one and after a few seconds it will turn into a 3-6 sheep that have about 150hp. Kill them and you will gain a 'Polymorph Clone Slain ' point. You will need to slay 50 it's not as hard as it sounds though. Quite easy and Quite fun :P	Spitelash are the naga inhabiting the area. Near where you killed the Warlord they are abundant. For the above-above poster, check if you are in a raid group. If not abandon and retry.	Actually there's a much easier method!.. Simply cast a polymorph, wait 1-2 seconds, then cast a rank 1 Blizzard right ontop of the Naga. The sheep breaks, but it still break into clones, and you kill them all every time. (Well at least I didn't miss any with this method.) Happy hunting!
/?quest=1921	Gathering Materials	15	15	Alliance	800 XP	Classes	Bring 10 Linen Cloth and the 6 Charged Rift Gems to Wynne Larson in Stormwind. Linen Cloth (10) Charged Rift Gem (6)	Hello, <name>. Jennea told me you would come. Do you have something for me?	Jennea Cannon	Wynne Larson	The mine is to the north just off the road to the east at (35,18)	Not the ugliest robes in the game - and no you probably don't have better.&nbsp I checked the auction house before doing this quest and bout the best chest piece for level 16 (which is when you get this quest) and the armor value is @ 28, the same at what I bought at the auction house - plus these looked better.&nbsp Took me all of 15 minutes to do this quest: 1.Set your hearthstone to Stormwind and fly to Ironforge (or tram).&nbsp 2.Walk due west through the Southgate Outpost and then travel north, you'll eventually see it.&nbsp 3.Kill the rat dudes inside (they will give you the cloth) and collect the gems from the boxes.&nbsp 4.Hearthstone back to Stormwind.&nbsp 5.Got to the tailor in the Magic District and turn it in, then wait for them to make your robe - then collect it.&nbsp Probably one of the easiest quests I have done ever. [URL=http://img308.imageshack.us/my.php?image=level16front7mp.jpg][url=http://img308.imageshack.us/img308/3193/level16front7mp.th.jpg]http://img308.imageshack.us/img308/3193/level16front7mp.th.jpg[/url][/URL]	[url=http://img241.imageshack.us/img241/9726/3518lochmapib0.png]http://img241.imageshack.us/img241/9726/3518lochmapib0.png[/url] [b]Quest Cave: Loch Modan 35,18.[/b] [i]Just run around the cave collecting from these boxes... when your done the FP is down the road SOUTH.[/i] [url=http://img241.imageshack.us/img241/1142/3518caveboxesst4.png]http://img241.imageshack.us/img241/1142/3518caveboxesst4.png[/url] [b]-XèRόXèR.™[/b]	Reward is Manaweave Robe: https://classicdb.ch/?item=7509	Mobs outside the mine are levels 10-12, inside are 12-14. http://classicdb.ch/?search=tunnel+ratnpcs Be warned, the Geomancers know a Flame Ward, so can be immune to fire spells if they use it. http://classicdb.ch/?spell=4979 While in there, you might want to also do Rat Catching http://classicdb.ch/?quest=416 and Filthy Paws http://classicdb.ch/?quest=307 for a little more XP.
/?quest=1961	Gathering Materials	15	15	Horde	800 XP	Classes	Bring 10 Linen Cloth and 6 Dalaran Mana Gems to Josef Gregorian. Linen Cloth (10) Dalaran Mana Gem (6)	Anastasia said you would come to me, and I am prepared to fashion your robes. Do you have the gems and the linen?	Anastasia Hartwell	Josef Gregorian	This quest leads to 'Spellfire Robes' (https://classicdb.ch/?quest=1962) which gives you 'Lesser Spellfire Robes' (https://classicdb.ch/?item=7510) as the reward.	you will get this https://classicdb.ch/item=2367	Head to Ambermill in SIlverpine located around 55,65. Try to stay on the outskirts as fast respawns and multiple mobs can aggro on you quickly. The protectors can spawn little snake guardians so IAE helps with them. While here you'll collect the linen you require as well. Can also pick up this quest (https://classicdb.ch/?quest=479) and get both done at the same time.	the area around 68,55 just above brens peril for those of you without coordinates on the main road thru the silverpine forest head south past the selpulcher as you come down the road you will see shadofang keep on your right there will be a road on your left that is the road you want. You will see dalaran apprentices protectors and mages those are what you need to kill GL and happy hunting	A lot of Dalaran Apprentice at Silverpine Forest cords: 50,60
/?quest=1950	Get the Scoop	30	30	Both	1850 XP	Classes	Find the phrase to Tirth's strongbox, then return to Tirth. Secret phrase found	What are you waiting for? I need my magic phrase!	Magus Tirth	Magus Tirth	Was pretty easy ... Don't see what the problem is. You talk to the guy, get the quest... Then there are a few people who give you hints about who could have some info. The one on the tower says that he turned himself into a chicken. When you leave the tower you run into him, he's around there. Then you select (click :P) him with your mouse, and type [b]/beckon[/b] in your chatwindow. He'll then turn into a human which you can talk to. He won't give you a password, but you will see him whisper something. Then you go back to the guy who gave ou the quest and you get the followup :)	Find 'Plucky' Johnson (he's a little chicken). Click on 'Plucky' Johnson and then type /beckon. He will morph back into a man. Talk to him to get the password.	Found him at 79,75 Same spot as screenshot.	Just curious ... how would one discern that /beckon would de-morph Plucky. ?	get the quest - go up in tower at racetrack - talk to him and jump down from tower and there the chicken is , just around the tower . Click it and type /BECKON , he will puff to human , talk to him - FINISH
/?quest=3104	Glyphic Letter	1	1	Alliance	40 XP	Classes	Read the Glyphic Letter and speak to Khelden Bremen inside Northshire Abbey. Glyphic Letter Provided Item: Glyphic Letter	Hello, <name>. I am Khelden. Is there something I can do for you?	Marshal McBride	Khelden Bremen	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	N/A	N/A	N/A	N/A
/?quest=3114	Glyphic Memorandum	1	1	Alliance	40 XP	Classes	Read the Glyphic Memorandum and speak to Marryk Nurribit inside Anvilmar above Coldridge Valley. Glyphic Memorandum Provided Item: Glyphic Memorandum	Yeah, what's that, <race>? Speak up, if you don't mind. I don't hear so good after a few ales.	Sten Stoutarm	Marryk Nurribit	Starting Mob : Sten Stoutarm (29,71) Coldridge Valley Ending Mob : Marryk Nurribit (28,66) Anvilmar	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	N/A	N/A	N/A
/?quest=3111	Glyphic Rune	1	1	Alliance		Classes	Speak to Marryk Nurribit inside Anvilmar. Glyphic Rune Provided Item: Glyphic Rune	N/A	Glyphic Rune	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=3098	Glyphic Scroll	1	1	Horde	40 XP	Classes	Read the Glyphic Scroll and speak to Isabella in the church in Deathknell. Glyphic Scroll Provided Item: Glyphic Scroll	I knew you would come to me, <name>. Not because you do not have the will to follow your own path, but because we are kindred spirits. We both have felt pain. We have both suffered. And now we want the power to take back what we know is ours: this land, our lives, our destinies. But there is much for you to learn still.	Shadow Priest Sarvis	Isabella	N/A	N/A	N/A	N/A	N/A
/?quest=3086	Glyphic Tablet	1	1	Horde	40 XP	Classes	Read the Glyphic Tablet and speak with Mai'ah near the entrance to the Den in the Valley of Trials. Glyphic Tablet Provided Item: Glyphic Tablet	Ya look to please Mai'ah already, <name>. Dat be good. You give Mai'ah respect, and Mai'ah maybe give you respect back. But enough o' dat, you be here to learn 'bout magic, not hear Mai'ah talk.There be only one ting Mai'ah can no teach you 'bout magic, <name>, and dat's how to stop da corruptin'.	Gornek	Mai'ah	This is one of a set of six troll-only, class-specific quests. The others are: [quest=3084 domain=classic] [quest=3065 domain=classic] [quest=3082 domain=classic] [quest=3083 domain=classic] [quest=3085 domain=classic] For unknown reasons, this quest is the only one of the six to show up on the list of Durotar quests.	N/A	N/A	N/A	N/A
