# Quest Data for Classes - Paladin
# Generated: 2025-08-18 16:56:22
# Total quests: 58
# Comment scrape timestamp: 2025-08-18 17:09:46

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7666	Again Into the Great Ossuary	60 Dungeon	60	Alliance	Item: Divination Scryer	Classes	N/A	N/A	Lord Grayson Shadowbreaker	Lord Grayson Shadowbreaker	I believe the only real purpose of completing this would be to get the items he drops? Can anyone confirm? I mean he only drops 4 or 5 good items as far as I know.	after a paladin completes their epic mount quest, the event can be used as an optional boss.	Make sure when you go depending on your level you have a good healer. I went for my pallie epic quest, if you die after you set the divination scryer the gates to the basement room lock as well as the room above and you have to begin again. Have the person JUST heal, because the Death Knight will caste a spell that makes you attack your own teammates. Again, I'm only a 62, I brought a 70 holy pallie and we were able to get to the final boss(death knight), then we got wiped out.	can any1 tell me if they have done this quest yet and if so what do u got from it.	I did it with myself, another pally, a warrior, a mage and a priest. It worked perfectly well as the cooldown of judgement is such that if you time it, they can be almost permenantly stunned using just 2. When you go to see the questgiver after the quest, he sends you back. I was wondering if there's a point in this, or is it just to summon another boss? A kinda lousy boss.
/?quest=7643	Ancient Equine Spirit	60 Dungeon	60	Alliance	4950 XP	Classes	Acquire special horse feed used for feeding a spirit horse. Merideth Carlson in Southshore apparently is the source for such food. Travel to the Dire Maul dungeon in Feralas and slay Tendris Warpwood. Doing so will free the Ancient Equine Spirit. Feed it the special horse feed, thereby soothing the spirit. Finally, give it the Arcanite Barding so it may bless it. Arcanite Barding Manna-Enriched Horse Feed Provided Item: Arcanite Barding	The Ancient Equine Spirit looks at you expectantly, as though it wants something from you.	Lord Grayson Shadowbreaker	Ancient Equine Spirit	the quest is in the western part of dire maul, you have to kill tendris warpwood, (takes about 10 mins to get to him) when he dies a spirit horse appears, talk to the horse... hey presto you completed the quest....	Just take all your durability items off and die in front of the door and res on the other side easy getting to other side without key or rogue enjoy the ride	OK.&nbsp I was very frustrated over this, but it's fine now.&nbsp There are TWO quest chains that roll into one for the epic mount.&nbsp In order to get the Ancient Equine Spirit quest you must also finish a separate quest chain called 'Exorcising Terrordale'.&nbsp I tried to do the Exorcising Terrordale quest before this one and ever time I killed a spirit I DIDN't get credit for the kill.&nbsp After doing the blessed 'Arcantie Barding quest' Lord Grayson took the barding from me and didn't give me the Ancient Equine Spirit quest or give me the barding back.&nbsp I then re-tried the Terrordale quest (and got credit for the kills) and turn it in to Lord Grayson and he then gave me the barding back and the next quest - Ancient Equine Spirit.&nbsp Hope this helps others.	See the first quests for a guide on the whole quest line: Questline 1: https://classicdb.ch/?quest=7637 Questline 2: https://classicdb.ch/?quest=7641	If you have a higher-level character and a friend who is willing to group with you (doesn't need to go with you), you can solo this quest by putting your Paladin just inside the door and clearing the patrols then Warpwood. The equine spirit will come out regardless of whether you're on the quest or not. Log off of the other character and switch to the Paladin and run in. The equine spirit will still be there.
/?quest=1655	Bailor's Ore Shipment	22 Group	20	Alliance	440 XP | Item: Jordan's Refined Ore Shipment	Classes	Bring Jordan's Ore Shipment to Bailor Stonehand in Loch Modan. Jordan's Ore Shipment	So, any luck yet? Haha, those ogres didn't get the best of ya yet, did they?	Bailor Stonehand	Bailor Stonehand	There is Bailor's ore shipment, and Bailors REFINED ore shipment. not to be confused. Bailors ore shipment is for the bailors ore shipment quest Bailors REFINED ore is for the test of righteousness quest(TOR) in bailors ore shipment quest, you go to the m'gosh camp (northeast from thelmar, across the loch) to the boulders, down the little canyon.&nbsp sneak down to the trees near the cave entrance, [right of cave if ur facing the cave] see crates/boxes next to trees. get bailors ore shipment. ***if you receive bailors REFINED ore from that m'gosh location, bailor cant use it, wont talk to you. use it for TOR quest.&nbsp CONFUSING PART: you may receive 'bailors REFINED ore', as opposed to 'bailors ore' at the m'gosh location. i did not know this. i went back to bailor with the REFINED ore, and could not talk to him. he wants bailors 'ore' shipment not bailors refined ore shipment. again, they look alike. but if you get bailors REFINED ore shipment at m'gosh site, u dont need to do bailors ore shipment quest, because in that, u find the ore and have bailor refine it. so the best way to do it would be to get ore, take it to bailor, receive refined ore from him, use that for part of the TOR quest. after i completed the TOR quest, i still had bailors ore quest on my log. so i went back to m'gosh, and sure enough, got regular 'bailors ore shipment' and took it to bailor and he refined it. however, i do not need it now, as i already had the refined ore for TOR. i just figured that out after i did the bailors quest after the TOR. thougth id share for any who are as new and confused as i was. good luck	If you're doing this with a friend / can't get there yourself, a good idea might be picking up the quest WANTED: Chok'sul http://classicdb.ch/?quest=256 as he's in the area and ez exp & loot never hurt anyone, did it?	Cordinates 71.21 at a broken wagon, next to a tree.	You have to get the quest to goto the orge mound from this guy 'Bailor Stonehand' Found him at 36,45. Then you have to goto the orge mound and get the ore from 72,22 and return it too him.	The Crate can be located in the north east of lochmodan in the middle of the Ogre Camp.
/?quest=7644	Blessed Arcanite Barding	60	60	Alliance		Classes	Return with the Blessed Arcanite Barding to Lord Grayson Shadowbreaker in the Cathedral District of Stormwind. Blessed Arcanite Barding Provided Item: Blessed Arcanite Barding	<name>, you're back! Were you able to successfully deal with Merideth Carlson and Tendris Warpwood? Honestly, I'm not sure which one is a greater threat at times...	Ancient Equine Spirit	Lord Grayson Shadowbreaker	The paladin epic mount quest in a nutshell: 1: 150 gold to get censor for exorcising spirits in Terrordale. You get this from the priest trainer in Ironforge in the Mystic Ward. 1a: Exorcise 25 spirits in Terrordale. There are green glowing circles around in the ruins of Terrordale (near the Terrorweb Tunnel exit). Use the censor within these circles and 1-3 spirits will spawn. Simply kill them until you have killed 25 of them. The green circles spawn relatively fast. I soloed this portion and took approximately 30 minutes. 2: 150 gold, 40 Runecloth, 10 Arthas' Tears, 6 Arcanite Bars and 5 Stratholme Holy Waters. Turn all this into Grimand Elmore who is in Stormwind's Dwarven District. He is located in the far SW corner. He will walk to the forge in the center of the Dwarven District and create the barding for you. After this he will run back to his normal standing spot where you can then speak to him again to get the Barding. 3. 50 gold and 20 Enriched Manna Biscuits. Travel to Southshore and speak with Merideth Carlson the Horse Breeder in the stables. She will give you Manna-Enriched Horse Feed. I would personally suggest actually reading this quest because it gave me a chuckle. 4. Now you need to go to Dire Maul West to get the barding blessed. This part is easy and quick. Make sure you have the barding and Manna-Enriched Horse Feed on you and someone with the crescent key with you. Go into Dire Maul West and simply run past all the mobs. We did this with a level 55 in the group without grabbing agro. We ran around the right. Tendris Warpwood is in a room opposite of the park from where you enter the instance. When you get to the other side of the park, go down the long ramp to his room. He's easy to kill. I tried to solo him for fun just to see if it's possible for a paladin with the key to do this alone, and I personally was not able to. I simply didn't have the DPS to take him down fast enough. I was using Seal of Command with Seal of Wisdom released on him for mana regen. If any paladin is successful in actually soloing him, please let me know how you did it because I wouldn't mind being able to farm him for my Foror's. :) Anyway, once he's dead, an Ancient Equine Spirit appears (a ghost horse) and will start walking or running around. It took me a second to catch him, but once you do, you complete the quest and get the Blessed Barding. 5. Now for this part you will need to talk to Lord Grayson (the Paladin trainer taking you through this line) with a Pristine Black Diamond and an Azerothian Diamond to get The Divination Scryer. Now you're ready for the last part of the quest a run into Scholomance. 6. Once in Scholomance you want to go down to Rattlegore's room. Kill Rattlegore and clear the room. Place the Scryer in the middle of the room and spirits will appear in different locations. The names will be Banality, Malice, Corrupted and Shadow. You must use the Seals of Wisdom, Justice, Righteousness and Light respectively. When you release the seal you will do damage and stun in an approximately 10 yard radius. It is important for your group to stay close together and is extremely helpful to have two or more Paladins with improved Judgment. You will get several waves of each type of spirit and they will appear in different areas around the room. After taking out so many of a certain wave, an Aspect (i.e. Aspect of Banality) will spawn. That is the 'mini-boss' of that wave and the next wave will spawn after you kill him. There will be times when you may stop and eat or drink while fighting these waves. I strongly suggest you do that when possible. The Corrupted spirits are scary because they came in one wave and there was something like 10 of them. So be extra prepared for them. Once you take care of all the waves, the Death Knight Darkreaver spawns. He is a 62 elite, but is easy to kill. He does mind control and I think fear, which are the only notable abilities that he used while we fought him. Once you kill him, you loot the Charger's Lost Soul from his corpse. There will also appear a paladin epic mount in ghost form. Use the Charger's Lost Soul in your backpack to redeem it. At that time, you'll be able to complete the quest by talking to the epic mount ghost. So here's the total list of cash and items required for the Paladin Charger Mount: 350 gold 10 Arthas' Tears (Herbalism) 6 Arcanite Bars (Mining/Alchemy) 40 Runecloth 5 Stratholme Holy Waters (Boxes in Stratholme) 20 Enriched Manna Biscuits (Must be friendly with Argent Dawn to purchase) Here's a quick guide: 150 gold, 10 Arthas' tears, 6 Arcanite, 40 runecloth and 5 strat holy waters for the barding to Grimand in SW's Dwarven district. 150 gold to priest trainer in IF for censor. Go kill 25 spirits in Terrordale, using the censor to summon them. Take 20 Enriched Manna Biscuits and 50 gold to Merideth Carlson in SS to get Manna-Enriched Horse Feed. Run DMW to kill Tendris Warpwood to get the barding blessed. Bring an Azerothian Diamond and a Pristine Black Diamond to Grayson in SW for the Scryer. Go to scholo's ossuary and summon the Darkreaver to get the charger's redeemed soul. Welcome to epic mount land. :) Baradier 60 Paladin Thunderhorn	I'm at the part of the epic mount quest where you need to get the holy water in Stratholme. Anonymous says the drop rate for water from supply crates is like 120%. Other posts talk about how you get a ton of it as you go through Strat. I went in last night with a group of 4 just to grab some water and get out. Three hours later, I had my 5 holy waters and was done. Why did it take so long? Because of the 30 crates I opened, only [b]4[/b] had any holy water in them. The rest had plagued rats or beetles that came out to kill us. And since there were only 2 or 3 supply crates per area of Strat, we fought tons of mobs, too. Wiped about 6 times due to respawns and patrols. Bottom line: getting holy water in Stratholme is no walk in the park. Be forewarned. Level 60 Paladin Korialstrasz Server	See the first quests for a guide on the whole quest line: Questline 1: https://classicdb.ch/?quest=7637 Questline 2: https://classicdb.ch/?quest=7641	Wow...you have to do all of that just to get an epic mount? I mean isn't it easier to just buy a epic mount for like 900 gold? And if you think about it...you have to pay 900-1000g or do ALL of that just for increased speed? I know mounts are cool but blizz you've gone a little too crazy. My level 60 pally has a bought level 60 epic mount since tons of people said its really hsrd but...i didn't think that hard. I personaly would buy mine even though im a pally...	Great guide m8 Only just got round to epic mount quest. Thought I would try this solo at lvl64 and it seems Blizz has altered the fight. Sneaked into DM West bypassing all the mobs, got into the corner of Warpood's room (as far from the entrance as possible)and pulled him. Now he is joined by the entire population of the courtyard outside! Oops
/?quest=8415	Chillwind Point	50	50	Alliance	500 XP	Classes	Speak to Commander Ashlam Valorfist at Chillwind Camp.	N/A	Lord Grayson Shadowbreaker	Commander Ashlam Valorfist	Commander Ashlam 42-84	The quest title should not say (Warrior Only). This version is a Pally quest. I'm not sure if there is actually a warrior version or not, but this one isn't it. The rewards are nice for the level though. They are by no means end game, but they are nice, and will can carry the common gamer to level 60.	Quest chain: Dispelling Evil: [quest=8414] (give 20 Minion's Scourgestones to High Priestess Thel'danis) Inert Scourgestones: [quest=8416] (priestess turns stones into 1 'inert scourgestone'. give them to Commander Ashlam Valorfist in Chilly) Forging the Mightstone: [quest=8418] (run Sunken Temple and do the mini-bosses Gasher, Mijan, Zolo, Hukku, Zul'lor, and Loro. Once you have the quest, they will drop the Voodoo Feathers. Report back to Valorfist with the feathers) Rewards: [item=20620] AND pick one of: [item=20504]	N/A	N/A
/?quest=7642	Collection of Goods	60 Dungeon	60	Alliance	1650 XP	Classes	Bring 40 Runecloth, 6 Arcanite Bars, 10 Arthas' Tears, 5 Stratholme Holy Water vials, and 150 gold to Grimand Elmore in the Dwarven District of Stormwind. Stratholme Holy Water (5) Arthas' Tears (10) Runecloth (40) Arcanite Bar (6) Required Money: 150	Ah, <class>. I won't be able to finish your barding without the things I mentioned. Have you gotten everything together?	Grimand Elmore	Grimand Elmore	5 Holy Water: These are found in crates inside Stratholme (Both Scarlet & Baron) and are also needed in a comon quest found in Eastern Plagueland. May be found in stacks of 1-3 in each crate. (Carefull if you choose wrong crates they spawn 'dangerus' critters) 10 Arthas Tear: Ask a Herbalist (Or do it yourself if you are one) to go gather these, they are a not too rare flower that show up in plauged area. (Felwood, etc.) Search Arthas Tear for their best whereabouts or simply buy them off AH. 6 Arcanite Bar: Ask an alchemist to make you these. They are transmuted from an Arcane Crystal & a Thorium Bar. They can, however, only transmute once every 48 hour. If you got Arcane Crystals and Thorium bars yourself, try getting them to transmute for you for 3-5g. If not expect to pay a larger amount of Gold for them... 40 Runecloth: Dropp on many different +52 Humanoids & Undeads, you really shouldn't have any problems finding these. If you do you allways got other players to buy from. 150 Gold: You get this true grinding, questing (+60), selling items, or any other way you may find fitting.	When getting this quest, I assumed since it was so hard that this would be the quest that gives you the Charger mount and 150 Riding. It is near impossible to get a good enough group of lvl60+ to get the items from stratholme, when finally getting the holy water which took me almost 2 weeks, I hand in the quest, along with the 150Gold, to find out that there is another quest chain to complete that makes this one look like a sitting with jakanory! Not only that but you have to pay a further 150Gold to the guy in ironforge for a tome that allows you to summon the 25 undead in the plaguelands that you have to kill before getting the super hard quest that requires you to go to Dire Maul and Scholomance - with TBC it is way too hard to get a group to do these instances! After getting this far I have decided it's not worth continuing with this quest line! Thats my take! So think on... Hope this helps!	See the first quests for a guide on the whole quest line: Questline 1: https://classicdb.ch/?quest=7637 Questline 2: https://classicdb.ch/?quest=7641	Stratholme Holy Water can be obtained from Supply Crates in Stratholme. 10 Arthas' Tears can be purchased at the AH for around 2g. Runecloth shouldn't be a problem at all at 55-60. You should easily have 40 by the time you get the quest. Arcanite Bars can be transmuted by Alchemists, but you need to have 1 Thorium Bar and 1 Arcane Crystal. If you ask politely, you are bound to meet some people that will transmute them for you for free. You can purchase these from the AH for about 10-15g, but I found it cheaper the first way.	When getting the Stratholme Holy Water make sure to buy the Enriched Manna Biscuit for future use in the quest. ( http://classicdb.ch/?quest=7645 )
/?quest=3101	Consecrated Letter	1	1	Alliance	40 XP	Classes	Read the Consecrated Letter and speak to Brother Sammuel in Northshire Abbey. Consecrated Letter Provided Item: Consecrated Letter	Finally! We meet face to face, brother to brother. I welcome you to Northshire. This will be your home for a short time while you learn the ins and outs of how things are done, but know that Stormwind is not far off, and sooner or later, your path will take you there. But until then, be patient... Knight of the Silver Hand.	Marshal McBride	Brother Sammuel	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	+50 Stormwind rep	exactly..	N/A	N/A
/?quest=3107	Consecrated Rune	1	1	Alliance	40 XP	Classes	Read the Consecrated Rune and speak to Bromos Grummner in Coldridge Valley. Consecrated Rune Provided Item: Consecrated Rune	So, you've made it! And not a second too soon. There's much to be done in Coldridge Valley and beyond. I'm gonna need your help as much as you're gonna need mine!You're a Knight of the Silver Hand now, be ready to play the part.	Sten Stoutarm	Bromos Grummner	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	Yep just run to it, you wont have any trouble getting there! if u need the cords here they are :) 28,68	I went to this guy and was unable to find this quest....does it disappear once u get to a higher level?&nbsp I am at lvl 28 and don't believe I have done this paladin quest.&nbsp thank u	Started by [url=https://classicdb.ch/npc=658/]Sten Stoutarm[/url]	N/A
/?quest=8414	Dispelling Evil	52	50	Alliance	5100 XP	Classes	Collect 20 Minion's Scourgestones and bring them to High Priest Thel'danis in the Western Plaguelands. Minion's Scourgestone (20)	What evil have you brought me?	Commander Ashlam Valorfist	High Priest Thel'danis	This took me forever to figure out, and it wasn't until I checked out other sites that I found out you don't just talk to Officer Pureheart, but you actually have to equip the commision, which should be in your inventor after talking to her.	Upon completion of this quest, High Priest Thel'danis will give you 'Inert Scourgestones'. Link: https://classicdb.ch/?quest=8416	Thel'danis is at 52,84	Make sure you have your trinket on, so that you [b]CAN get them....the 'Argent Dawn Commission' one. Now go to Sorrow Hill and kill undead, took me about 1/2 hour to get them all. Sorrow Hill is next to Chillwind Camp, to the East.	where do i get Minion's scourgestone ?
/?quest=7637	Emphasis on Sacrifice	60	60	Alliance	650 XP	Classes	Travel to Ironforge and get High Priest Rohan's Exorcism Censer. You will need to make a donation of 150 gold in order to secure it. Required Money: 150	Greetings, noble <class>! I have prepared my trusted censer with the freshest of incense and blessed it thrice for your use. Your donation will help us in Ironforge not only create a new censer, but also to bolster sagging reserves of food for our needy.	Lord Grayson Shadowbreaker	High Priest Rohan	Paladin Epic Mount Questline: Step 1: The Paladin trainer in the Cathedral in SW gives you 2 quest lines to complete: -- Step 2A: Emphasis on Sacrifice (https://classicdb.ch/?quest=7637) (Priest in IF) Just need to fork over 150 gold. (And you thought Paladins got free mounts) Step 3A: To Show Due Judgment (https://classicdb.ch/?quest=7639) Take the Censer back to Grayson. Step 4A: Exorcising Terrordale (https://classicdb.ch/?quest=7640) Head to Terrordale in the NW part of the Eastern Plaguelands. Stand in the green circles and push use your Censer. Kill 25 of these dudes and head back to Grayson. -- Step 2B: The Work of Grimand Elmore (https://classicdb.ch/?quest=7641) Head to the Dwarven District in SW and talk to him. Step 3B: A Collection of Goods (https://classicdb.ch/?quest=7642) You need to pick up a lot of mats for this step, and another 150 gold. - 5 Stratholme Holy Water (From the crates in Stratholme) - 10 Arthas	Your comment helped me all the way to the last step, thanks tho. You need highest ranks in following Seals: * Seal of Wisdom (rank 3) -> Banality * Seal of Justice (rank 1) -> Malicious * Seal of Righteousness (rank 8) -> Corrupted * Seal of Light (rank 4) -> Shadowed or else your judgement does nothing. I wiped at the 3rd part because my seal wasnt rank 8.	Completed this quest today as a lvl 61 protection pala, with help from a lvl 70 fury warrior. The final stage was relatively simple, as long as you run for a corner after placing the Scryer. From here you won't pull the entire room of ghosts at once, and can instead fight smaller groups of them using the correct judgement every time it's available. Also, be aware that simply attacking the ghosts with the correct seal applied appears to have a small chance to proc the AoE effect as well so don't leave everything to the people helping you. The effect cannot be refreshed though, so wait until it wears off before judging your seal if you get a proc from normal hits. Each wave of ghosts is followed by an Aspect, which is a larger and significantly tougher single ghost with similar vulnerabilities and attacks to its counterparts. The death of the Aspect of Shadow triggers Darkreaver to spawn, and both the Aspect and Darkreaver himself wil aggro on spawning no matter where you try to hide in the room. Because of this, your rest stop before Darkreaver should be taken before you pull the last of the regular Shadowed ghosts as once you spawn the Aspect you're in combat until Darkreaver is dead. Be ready to bubble if Darkreaver uses his mind control ability successsfuly, you don't want to get killed by accidental (or, of course, purposeful - some people love to take those kind of opportunities ;)) whirlwinds, cleaves and so on or get beaten down by a controlled part member. My level 70 counterpart resisted it once, and I bubbled out when he used it on me. Darkreaver will also use Blessing of Protection on himself just before he dies in true paladin style, but he won't heal himself so all you have to worry about is living a little longer. This shouldn't be too taxing, as Darkreaver is a bit of a pansy as far as bosses go.	total u need 300g to complete the quest right? Edited, Thu Feb 23 17:35:26 2006	you need x10 arcianite bars from what i remember, and you should have artisan riding skill after getting the mount, if you check your skills, you should have the regular riding skill already there. After that you can get new mounts like the pvp ones.
