# Quest Data for Classes - Priest
# Generated: 2025-08-18 16:57:26
# Total quests: 59
# Comment scrape timestamp: 2025-08-18 17:10:28

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5641	A Lack of Fear	20	20	Alliance	390 XP	Classes	Speak to High Priest Rohan in Ironforge.	N/A	High Priestess Laurena	High Priest Rohan	Dwarf only	This now appears to be trainable.	N/A	N/A	N/A
/?quest=5645	A Lack of Fear	20	20	Alliance	390 XP	Classes	Speak to High Priest Rohan in Ironforge.	N/A	Toldren Deepiron	High Priest Rohan	Is to kick an arse the same as to kill him? - he did not explicitely wrote he killed the lock, only resisted his fear and died 15 sec afterwards of all the DoTs.... so is he a liar?	We Dwarf Priesties may seem squishy, but at higher levels, we can strip 2 buffs, silence you, DOT you for over 800 damage, AND send you running away with soiled trousers before you can say Jack Robinson. If you see one rolling with a raid group, don't count on being able to fear anyone in that group on the first try.	He said lev 31 lock....that is doable, cuz if you fear, and fear, and fear you resist fear...so...Fear ward FTW!	hello! seriously, how did u 'kick his arse' with all the resisting he was doing to everysingle thing you tried on him? im sorry but he would have been ? skulls for you. dont be a n00b, it doesnt make u look cool when u blatantly lie out of your ass 'bulkbill' NE priest for the win :)	This is also avalibe to dreni if u have burning crusade im a lvl 61 dreni
/?quest=7621	A Warning	60	60	Both		Classes	N/A	N/A	Eris Havenfire	Eris Havenfire	More info about this quest and the whole epic priest quest line can be found at http://www.wowhealers.com/content/view/124/50/ I got The Eye of Divinity last night.	N/A	N/A	N/A	N/A
/?quest=5676	Arcane Feedback	20	20	Alliance	390 XP	Classes	Speak to High Priestess Laurena in Stormwind.	N/A	Brother Joshua	High Priestess Laurena	Do u have to be EXACTLY level 20 to get this q? cos i was level 22 when i went to her and she had no q for me! Yes i am a human priest -.- [i][small]Edited, Jan 27th 2007 2:03pm by DuelRuler[/small][/i]	N/A	N/A	N/A	N/A
/?quest=5677	Arcane Feedback	20	20	Alliance	390 XP	Classes	Speak to High Priestess Laurena in Stormwind.	N/A	High Priest Rohan	High Priestess Laurena	As a level 40 priest, I can tell you a few advantages of being a level 20+ priest. 1) you'll never want for a party. everyone needs a healer. 2) with the right spec, you can either be one of the greatest healers in game, or the greatest damage dealer as far as casters go. 3) you have spells to protect you from taking physical damage. The disadvantages of being a priest. 1) very hard to solo. (to get around this, make friends with a warrior or paladin, and quest in a party of 2 to reduce XP drain) 2)lack of variety in damage dealing spells. 3) can only wear cloth armour. Personally I find the challenge of being a priest to be very interesting, and part of the fun in my game is to see if i can really take out that elite on my own.... and quite often, i do. If you choose to create a priest who's sole purpose is healing/ buff party members... i strongly suggest you try a holy/ discipline spec. Personally, I prefer shadow spec, just because shadow form looks damn awesome, and all my armour is centered around maximizing damage i deal via shadow. it's just beautiful to crit for 400 as a priest. warm and fuzzy feelings inside and all.	This is probably one of my least used spells. Think about it, for a lot of mana you get to burn someone else's mana (only burns like 15% of what you spent to use it)? No thanks... I'll stick to Mana Burn if thats what I wanna do, and if I wanna do damage then I can melee attack for more... jesus, this is only a good spell for desperate situations where you have an abundance of mana...	the reward is the spell feedback it is only a humen quest	is this ability only for humans?	the quest reward is the abilit for humans to cast this spell it is very hard you have to walk all the way to SW and talk to some one for xp the spell and rep. i was a level 10 priest and i figured this all out on my own Broiloith 60 lock Jeeji 19 priest Stevenirwin 29 hunter (twinks ftw)
/?quest=8257	Blood of Morphaz	52 Dungeon	50	Both	6350 XP | Pick: [Blessed Prayer Beads, Woestave, Archeus6]	Classes	Kill Morphaz in the sunken temple of Atal'Hakkar, and return his blood to Greta Mosshoof in Felwood. The entrance to the sunken temple can be found in the Swamp of Sorrows. Blood of Morphaz	Do you have the blood of Morphaz?	Ogtinc	Greta Mosshoof	'Many druids died to bring us this information.' Awesome, a Star Wars reference.	If you're leveling as shadowpriest, I strongly suggest taking the Shadow wand. Reasons: 1) Shadow wands benefit from Shadow Weaving, 2) You get better rings and trinkets in Outland, 3) Alternative sources of shadow wands (Scholo, Strat) are rare to find groups for (TBC). 4) Most importantly, you can get the wand pretty early, at level 50. These quest rewards are made for leveling, not end-game pew pew. See them as such and choose your item. Every single one of them will get replaced sooner or later.	I am a shadow priest, I also went with Woestave. and wow, what a difference in damage when I use my wand now! I'm doing 120+ damage, I use to do 40-60. If you are a shadow priest I recommend using it.	I am a 60 priest, with my share of epic items equipped - and quite frankly, two out of three rewards are interesting. The trinket is nice, though I would love to know the cooldown for that use. The ring is a nice shadow resist ring, with on top of that a nice +crit chance for your heals - which is great for your fights with Lord Kazzak.... or in BWL, from what I hear, which has its own share of shadow damage. And if Medivh's Tower in Deadwind Pass is really the next instance after Ahn Qiraj, I think people should start stocking up on shadow resist. When the time comes, I will be hard pressed to choose between the two rewards. So, only the wand is useless for me... all in all not bad for a quest 8 levels below me.	[b]-- many druids died to bring us this information[/b]
/?quest=8254	Cenarion Aid	52	50	Both	500 XP	Classes	Seek out Ogtinc in Azshara.	N/A	High Priestess Laurena	Ogtinc	Make sure you bring an Ichor of Undeath with you. You need it to complete step 3.	Got this quest yesterday, priest trainer in org had it for me when I logged on (good thing I had logged off next to him :P). I was level 56 at the time, the quest is level 52. Leads to [52]Of Coursers We Know. This quest line deals with an attempted cleansing of Felwood. In Of Coursers We Know, you have to kill Mosshoof Coursers in Azshara for their glands, which are said to be immune to all disease and poison. These creatures can be found both NE and SE of the ruins, but I would highly suggest SE. They are much more concentrated and much more numerous there than in the NE. They are a somewhat common drop, got all 4 in about 20 kills. After you turn that in, you receive another quest where you have to get an ichor of undeath and give it to him. Luckily, I already had one in my inventory, so I got that over with quick. After that, you get a quest requiring you to go into the Sunken Temple to kill one of those huge dragons that are found on the main level (with the prophet and Eranikus), I forget which one. Quest rewards are pretty good, very priest specific. One is a trinket that, when activated, increases healing done by (I think) 190-220 for 20 secs. Another is a 51.3 dps wand that gives +3 sta and up to +11 shadow spell damage. The last is a ring that gives +6 shadow resistance and +1% chance to crit with holy spells.	He's located at 42,42	42, 42	Obviously, Brother Joshua is for the Alliance priests. The Horde version is identical, but just starts from a different NPC. All Horde priests can get the quest from Ur'kyo, Priest Trainer in Orgrimmar, located at 35, 87. https://classicdb.ch/?npc=601800zc <-- Ur'kyo.
/?quest=5634	Desperate Prayer	10	10	Alliance	210 XP	Classes	Speak to High Priestess Laurena in Stormwind.	N/A	Lariia	High Priestess Laurena	This quest no longer exists! I went to the trainer in Goldshire and Stormwind thinking there was a quest at lvl 10 and instead bought the Desperate Prayer skill. So Blizzard took out the level 10 quest for the priest.	Very cool healing spell. It has 10 min cooldown but NO MANA COST. At your level with good +healing you can heal 90% of your total HP. Instant cast so when you are near death you can heal yourself. You mustn't heal yourself with 'Heal' because when you are casting it the main tank can die.VERY good spell.Like Pala's Lay on Hands, but dont need mana and has only 10 min CD.	This spell still seems to bump up your aggro though, so be careful when using it. If you're being chased by mobs, it might be better to use a potion if possible.	Dwarf and Human only	N/A
/?quest=5635	Desperate Prayer	10	10	Alliance	210 XP	Classes	Speak to High Priestess Laurena in Stormwind.	N/A	Maxan Anvol	High Priestess Laurena	Yes, Night Elves recieve Starshards and Dwarf, and Humans recieve Desperate prayer. -jBemani	It kinda look's like i got the short end of the stick, what if any low lvl priest spell's do dranenei get at lvl 10?	In the cathedral 38,26	OK I went to this NPC at lvl 10 and she didnt give me a quest at all...	This quest is for a racial ability, shared by Humans & Dwarves. It may be completed at level 10.
/?quest=5636	Desperate Prayer	10	10	Alliance	210 XP	Classes	Speak to High Priestess Laurena in Stormwind.	N/A	Laurna Morninglight	High Priestess Laurena	Humans and Dwarves can do this quest, but Night Elves don't get 'Desperate Prayer,' they get 'Starshards' instead.	Only obtainable by dwarf and human priests. Very useful. NE priests have no racial equivalent.	Starshards is Pwnage, much better than Desperate prayer since you could just drink a health potion instead.	Most likely you will get this quest if you are level 10 and near Ironforge. I am dwarven priest and I got this quest to go to Stormwind and speak to Elune. Easy quest to be sure.	Am I just missing it? Who am I speaking to at the time I am hearing the above conversation?
