# Quest Data for Classes - Shaman
# Generated: 2025-08-18 16:58:45
# Total quests: 45
# Comment scrape timestamp: 2025-08-18 17:11:38

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1531	Call of Air	30	30	Horde	2450 XP | Item: Air Totem	Classes	Find Prate Cloudseer in Thousand Needles.	N/A	Searn Firewarder	Prate Cloudseer	the cords are 53.42	Prate Cloudseer can be found here: https://classicdb.ch/?npc=5905 She's a tauren by the cave. You'll need to go up the ledge to talk to her. There's no quest, jsut talk to her and she gives you the totem. While you're there get the quest from the guy in the cave. It's one of the funner and quite easy quest in the game.	Out of all the Shaman Totem quests this one is probably the easiest. Once you hit level 30 you will need to head to Ogrimmar and seek out the NPC Searn Firewarder who can be located near Thrall He will send you on a quest to seek out Prate Cloudseer in Thousand needles. You can find him Located along the North Vally wall of Thousand Needles just NE of Freewind Post Once you find him start the conversation and he will give you the Air Totem The compleate guide to all shaman quests can be found url http://www.mmorpg-guides.org/]here[/url]	You also get quite a nice buff when completing the quest. +40% run speed and +30% attack speed for 1 hour.	Path loc at 54.45
/?quest=1532	Call of Air	30	30	Horde	2450 XP | Item: Air Totem	Classes	Find Prate Cloudseer in Thousand Needles.	N/A	Xanis Flameweaver	Prate Cloudseer	I Finally Found This guy took me a long while with the vague quest, but his location is&nbsp 53,42!	Yeah, it's right there at those cooridents, but the only thing that might stump you is it's on a high ledge, so you would have to go up the ledge to reach the person.	Ok, if you don't have cords (like me) i'll tell ya. Head right towards Weathered nook (if you don't know where that is start at Splithoof Crag asnd go east till you see a path, if you look up you should see one of those tauren stand things, a fire, & a cave she is up there.	He can be found at 53.6:42.7 in Thousand Needles. There's a small path leading up the cliff to a small cave, there she is. Easy as that :-)	i found him right at that location
/?quest=1516	Call of Earth	4	4	Horde	270 XP	Classes	Bring 2 Felstalker Hooves to Canaga Earthcaller in the Valley of Trials. Felstalker Hoof (2)	Patience is earth's greatest virtue. The earth witnesses the cycle of all things: the mountains becoming deserts; rivers becoming canyons. The earth is the most stubborn and wise of all the elements and it does not tolerate impatience.The earth beckons you now because a time of conflict draws near. When you return to me successful, then you shall be that much closer to being made whole.Others will be envious of your wisdom and hate you for their ignorance.	Canaga Earthcaller	Canaga Earthcaller	This quest is the start of a small chain for shamans in order to receive their earth totem. This quest starts in the orc/troll starting area, but tauren shamans can also do this chain for their earth totem. If you're looking for the tauren counterpart look here: [url=http://classicdb.ch/?quest=1519]tauren shaman quest[/url].	The Felstalkers are in the 'Burning Blade Coven' at 45,56. This is where the Vile Familiars hang out, so you can combine this with [url='http://classicdb.ch/?quest=792']Vile Familiars[/url].	[url=http://www.youtube.com/watch?v=WP5fk4A2Phg]Video[/url]	cave 43.3 / 55.5	where do i drink the pot at as a troll shaman i have the quest and the pot. i just can't figure out the location to drink it at. the quest text is too vague says a spiritual place
/?quest=1517	Call of Earth	4	4	Horde	270 XP	Classes	Find Spirit Rock and drink the Earth Sapta. Provided Item: Earth Sapta	N/A	Canaga Earthcaller	Minor Manifestation of Earth	The hidden path starts at 41,73 and the spirit rock is at 44,76	This is the quest you get as an Orc Shaman. The hidden path starts at 41.6, 73.3 (south of The Den) and will take you to 44.0, 76.1 where you will find the Spirit Rock.	i just was there....44, 76 for the rock and 41, 73 for the path start, not sure what the issue here is, but 53,80 is a big rock on the shores	For Tauren Shamans go in 53,80, you will find a rock, there is no hidden path	you can also get to ratchet from the secret path (just giving u some advice if you need to get to ratchet fast)
/?quest=1518	Call of Earth	4	4	Horde	450 XP | Item: Earth Totem	Classes	Bring the Rough Quartz to Canaga Earthcaller in the Valley of Trials. Rough Quartz Provided Item: Rough Quartz	I wish to be the first to welcome you fully to the first of four paths that will forever lead you in your destiny.If you have the stone the earth gave to you, I will give you the totem it promised.If not, then be gone with you until you have found your way.	Minor Manifestation of Earth	Canaga Earthcaller	This step of the quest is very easy. The earth elemental will send you back to the person who started the entire chain and will award you with your first totem and totem spell! This quest will award your first totem (the [url=http://classicdb.ch/?item=5175]Earth Totem[/url]) and your first totem spell: [url=http://classicdb.ch/?spell=8071]Stoneskin Totem[/url]. Once completing this congratulations on being the newest shaman with their first totem! The following are the equivalent to other shaman races: - [url=http://classicdb.ch/?quest=9451]Draenei[/url]. - [url=http://classicdb.ch/?quest=1521]Tauren[/url].	if ui throw it away, then you cant use earth totems as the earthbind, and you cant get it again...	Do we need to keep this totem? Or are we allowed to just throw it away?	so that's why it's saying I alredy have a totem... I started the quest agaion at a diffrent place and it's saying I have a dupclate item so it's probly the totem... so you can get another one if you go to the other place.	If it is thrown out, simply go t othe guy who first gave you the quest. If he doesnt give it to you, like some accounts, then go to the big blue boulder and&nbsp the guy will give it to you again.
/?quest=1519	Call of Earth	4	4	Horde	270 XP	Classes	Bring 2 applications of Ritual Salve to Seer Ravenfeather in Camp Narache. Ritual Salve (2)	The earth is patient, and will wait for you until you are ready because she knows in time all things erode and are reborn. It is the cycle of things. Mountains become deserts. Rivers become canyons. The earth is the most stubborn and wise of all the elements.You must learn patience and stamina above all things. The earth calls for you now because she feels you are ready. Consider this your rebirth if you succeed. You will never be able to go back to ignorance afterwards.	Seer Ravenfeather	Seer Ravenfeather	Welcome, young Tauren, to the first step in the vast plains of Mulgore and Azeroth beyond! I've paused to just post a small list of quests you should be sure to pick up before venturing into the Brambleblade Ravine area... - Rite of Strength: Collect the belts off of the Quillboars inside the ravine. (https://classicdb.ch/?quest=757) - The Battleboars: Kill these piggies in the clearing in front of the ravine for their meat and snouts. (https://classicdb.ch/?quest=780) - Break Sharptusk!: Master piggie can be found in a central clearing in a tent. Clear his minions and proceed in for his head. (https://classicdb.ch/?quest=3376) ** Attack on Camp Narache: For an extra quest, head up the path going right [near Sharptusk's tent]. Kill the boars inside and click on the map on the cave floor to begin the quest. (https://classicdb.ch/?quest=781) My post is quite vague, but it's merely a set of guidelines. Feel free to act as you wish. After all, I am not you, you are you! Have fun, and may you have the Earthmother's blessing.	As of today, there is no Quest marker above Seer Ravenfeather's head. Right click, and she will give you the quest anyway. This quest is very important, because you need the Earth totem to enable any of the Earth spells. Graybull, 11 Shaman	when posting on thottbott one must remember that sometimes there are multiple quests with the exact same name.&nbsp These quests are only given after the first part is complete.&nbsp This particular thread is on part 1 of the quest for killing the shamans, and i would agree that they are around Brambleboar Ravine(64,77) if you are looking for the second part or third part of this quest click on the second link listed on the page that says 'Call of Earth'.	u kill the bistleback shaman in Brambleblad Ravine	For some reason, I missed this quest. I'm now too high to take it anymore. Can i get the earth totem from somewhere else?
/?quest=1520	Call of Earth	4	4	Horde	180 XP	Classes	Find Kodo Rock and drink the Earth Sapta. Provided Item: Earth Sapta	N/A	Seer Ravenfeather	Minor Manifestation of Earth	53 80	Kodo Rock is at 53, 80. If you head down to the well where Greatmother Hawkwind and go directly East you will see it, big rock with a Symbol on it.	It's east of the well where the Chief's mom is, in an open field well short of the mountains.&nbsp This quest causes alot of frustration because the only real distinguishing feature of the area (a monolith type thing) isn't visible until you're right on top of it.&nbsp Especially if you have your terrain distance set to minimum.&nbsp I spent about an hour finding it, it wasn't a very fun hour =/	I think the confusion is with the Tauren or a Orc/Troll. The coordinates for Orcs and Trolls are as follows: Hidden path: 41,73 (if you dont have cosmos) Head due south from the den Shamen Shrine: 43,76 (if you dont have cosmos) just follow the path till you find a big blue rock (the only thing that doesn't look like it belongs there) Stand in front of it and drink the sapta and a very large rock thing will appear 'minor manifestation of earth' right click on it to talk with it and you finish the quest. YOU DONT HAVE TO FIGHT ANYTHING	The above coordinates are right.&nbsp [b]53,80[/b]&nbsp Thanks Cuddlepie!
/?quest=1521	Call of Earth	4	4	Horde	450 XP | Item: Earth Totem	Classes	Bring the Rough Quartz to Seer Ravenfeather in Camp Narache. Rough Quartz Provided Item: Rough Quartz	Greetings, <name>. You would not return to me if you had not accomplished your task. May I be the first to welcome you fully to the first path of four that will forever rule your travels.If you have the stone the earth gave to you, I will give you the totem it promised. If not, then I pity you. There is much pride to be had when you've fully dedicated yourself to the elements.	Minor Manifestation of Earth	Seer Ravenfeather	This is pretty easy, just return back to the village and talk to the person with the question mark :D.	This quest will award your first totem (the [url=http://classicdb.ch/?item=5175]Earth Totem[/url]) and your first totem spell: [url=http://classicdb.ch/?spell=8071]Stoneskin Totem[/url]. Once completing this congratulations on being the newest shaman with their first totem! The following are the equivalent to other shaman races: - [url=http://classicdb.ch/?quest=1518]Horde Orc/Troll[/url]. - [url=http://classicdb.ch/?quest=9451]Draenei[/url].	the bug is not there today the 14th feb. 2005	You have to get the totem from the quest, but the spells come from your trainer. I got an earth spell first, but didn't have the totem, so it didn't work! Had to find the quest info from the forum! Graybull, 11 Shaman	I did this quest, brought the quartz to the Seer and all I recieved was the totem, but not the stoneskin spell. Now I am level 14 and I can't get Rank 2 stoneskin because I never got Rank 1.
/?quest=1523	Call of Fire	10	10	Horde	420 XP	Classes	Find Kranal Fiss in the Barrens.	N/A	Beram Skychaser	Kranal Fiss	To find him, go North out of the Crossroads, then at the fork take the right one, the exact location is (55,20)	Alright for the people who dont have co-ordinates, follow this: - go along the road from crossroads to the north - when the road slits into north and east, go east - follow this road and look to your left. - if you've don as I told you should come across a farm and then a small tower. - the man you need to speak to stands in front of that tower good luck	For those of us who can't and won't use addons that gives coordinates, can we get an exact location for Kranal Fiss pretty please? :)	the path starts at 36,56 it's next to the river	The new release really bites because now I do not have co-ordinates. How can I locate him? I have traveled all the north to Ashenvale, and pretty far off the road on either side. Is he even IN the Barrens?
/?quest=1524	Call of Fire	11	10	Horde	650 XP	Classes	Bring the Torch of the Dormant Flame to Telf Joolam in Durotar. Torch of the Dormant Flame Provided Item: Torch of the Dormant Flame	Greetin's, <name>. You've found yerself at the Shrine of the Dormant Flame. Only those knowledgeable enough in the shamanistic arts will ever learn the secrets of this place and the power it holds. I'm sorry you made the trip all this way, only to be turned back now--the journey up here is far from safe after all--but I am the keeper of the shrine, and I cannot allow just anyone to wander around here.	Kranal Fiss	Telf Joolam	The crappy set up for this quest forced me to dedicate better than 2 hours in its completion, so I hope this information serves to save each of you time and energy. The guy you need is tough to find but follow these directions and you won't go wrong: Follow the river on the western edge of Durotar until you hit a rock wall that would force you into the water if you tried to go any further. Once you're at that rock wall you look up a bit and you'll find a rectangular gray stone with symbolic markings. Next to that large stone is a faint trail that winds through the mountain to the top where you'll find the NPC you need. Once you find the NPC he'll tell you to get two items. The [url=?item=5026]fire tar[/url] drops from Razormane quillboar which can be found southeast of the camp. The second item is a pouch that drops from the Burning Blade Cultists (and only the cultists). These guys were tough to find as well, so the key is to go due east out of Razor hill, and then immediately turn north. Do not go into the ravine. Do not take the trail north to orc city. You have to stay up above the ravine, and you will see the cave where the cultists (an others) reside.	Telf Joolam @ 38.5, 58.9 You will see a black rock on the face of the mountain which marks the entrance up the cliff.	Keep running south along the waters edge (On Durotars side) after crossing the bridge.&nbsp Eventually you'll see the mountains and there will be a small path leading up marked by a square black stone.&nbsp Follow the path - which can get quite small and difficult to see - until you reach the top.	Ok, finally found it. See the map where it shows where he is? Good, now throw it out - it has nothing to do with where the *path* is to get to him. Go into Duratar. Follow the river south. When you come to a mountain range, head east along the edge of the mountains... you'll find a path leading upwards. Location is 36, 57	For all of those that are confused- Telf Joolam is in Durotar, not The Barrens. To get access to him, you follow the road leaving Durotar into The Barrens, but taker a left instead of crossing the bridge. Keeping running until you a small black rock at the foot of a mountain, around 36, 57. Follow the windy path up the mountain and talk to Telf, who is at 38, 58.
