# Quest Data for Classes - Warlock
# Generated: 2025-08-18 16:58:06
# Total quests: 99
# Comment scrape timestamp: 2025-08-18 17:12:51

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8419	An Imp's Request	52	50	Both	3800 XP	Classes	Bring a piece of felcloth to Impsy in Felwood. Felcloth	Do you have my felcloth?	Demisette Cloyce	Impsy	The location where you can find Felcloth is 37.68. The Satyrs there drop the Felcloth, it's a rare drop, so be patient. For those that don't have coordinates, it's south of Jaedenar on the eastern side of the road. Another option is just to buy it from your Auction House, a more simple solution, but it's a waste of 'money' in my opinion, since you get exp and loot from the satyrs. To all that have posted previously to this quest: Please pull your selves together and post some useful information!	You can get this quest from a warlock trainer in UC where all the demon trainers are at if you're horde.	37:69 around there is the satyrs wher you get fel cloth for quest the imp is at 41:44	i found impsy at 42, 45	[b]Some people are luckier than others. It takes only a short time for some to get the Fel drop but, it took me about three hours. I just grinded away on Satyrs in Jadefire Glen, in Felwood. Coords aren't necessary as once you get there you will see literally dozens of them. I got the first drop but, continued on to gain several more to sell. The mobs are levels 50-53. Anyone over level 50 should be able to do this fairly easy. Did it as a LvL 53 Lock. Good-luck.[/b] [i][small]Edited, May 18th 2007 5:26pm by aarjin[/small][/i]
/?quest=7630	Arcanite	60	60	Both	6600 XP	Classes	Bring 3 Arcanite Bars to Gorzeeki in the Burning Steppes. Arcanite Bar (3)	Do you have the arcanite, <name>? Once I have it I can make you the black lodestone.	Gorzeeki Wildeyes	Gorzeeki Wildeyes	If the quest chain stops after you hand in the arcanite then you might have done what I did - which is you might have forgotten to complete the quest chain in Jaedenar. I went back there, forked out 150g for the stardust, handed it in at the imp and everything got back on track.	AS OF 09/25/07 patch 2.2, one arcanite bar is needed, not 3. not sure when this happened but i bought 3 and went to turn quest in, only one left my inventory and i was left with 2.	Good if you got that far with the quest. i know its a real pain. after that you go to DM west and kill the boss there where you have to take out the elementals around the spires there. after that you will have to go do the ritual its fairly easy. you will have to summon it then watch your back because there will be waves of demons and imps and the demon that come out can be enslaved. there are felguards that come out too have a good priest and preferably do it with people you know or are in a guild with maybe even take another experianced warlock with you that will help your chances of not having to do it again. thats how i had it done although i did not have all the mats i had it summoned for me. after you defeat the waves you will have to take down a dreadsteed that comes through the portal. thats the final part in there then i belive you go turn the quest in then you get your new beautiful epic mount ! : ) goodluck	Where the quest was orginally given... that would be in Burning Steppes near the Altar of Storms.	I just handed him the three Arcanite bars... When does he give be the black lodestone?
/?quest=1599	Beginnings	4	1	Alliance	360 XP	Classes	Bring 3 Feather Charms to Alamar Grimm in Anvilmar. Feather Charm (3)	Those feather charms the novices carry have some sort of magical power to them. It will be interesting to research them. I wouldn't have expected it from the trolls.	Alamar Grimm	Alamar Grimm	Pretty simple, go to the frostmane cave, kill the troll whelps out front (don't bother trying to sneak by, might work at first but soon you'll have 3 trolls on you), then once inside, turn left and stick to the left wall of the tunnel. When you get to a larger cavern with an ice lake in the middle, and Grek'nir the Cold on the far side, you're i nthe right room. Clear out some space carefully, then go onto the lake and kill the trolls there. There is 2 Novices, one on each side of Grek'nir. Wait til they walk away from him, then hit them with immolate, and 3 shadowbolts and you've got a feather. I got mine in 3 straight novices. Good luck, ~~~Fyn~~~	Found them inside the cave with blue trolls. Not hard to get, fine drop chance, just kill 15-20 of them, then done:) Coords: 27,80 is entrance for cave.	The feathers drop from the frostmane novice. There are only two frostmane novice in the cave all the way in the back and they only drop 1 feather at a time so you will have to wait until it respawns to kill and loot again. The easiest way to get to them without going through the whole cave is once you enter the cave clear the mobs on the left side of the cave. This should save you some time.	100% droprate from the novices.	this quest is easy, run into the cave with all the trolls (loc stated above) go to where the named character is and turn right. There should be 2-3 that spawn there, kill em, loot the feathers and off you go :)
/?quest=7626	Bell of Dethmoora	60	60	Both	6600 XP	Classes	Bring 10 Elixirs of Shadow Power to Gorzeeki Wildeyes in the Burning Steppes. Elixir of Shadow Power (10)	You have those elixirs, <name>? Mor'zul told me you need a Bell of Dethmoora, and making one of those takes a lot of shadow power!	Mor'zul Bloodbringer	Gorzeeki Wildeyes	fallowing is the previous step to reach this one. along with 2 other quest to get your dreadsteed all quest start at same location in burning steppes Step 1: Mor'zul Bloodbringer [Level 58] Start: Kurgul / Ends at: Mor'zul Bloodbringer Step 2: Rage of Blood [Level 58] -Raging Beast's Blood: 0/30 Winterspring, north-east of Everlook (any human Owl 56-59 lvl) ratio drop 1/4 Step 3: Wildeyes [Level 58] Start: Mor'zul Bloodbringer / Ends at: Gorzeeki Wildeyes	ok, so i finished buying all 10 of the potions, when the previous patch went into place, and it went from 10 potions to 2!, i spent so much gold getting the 30 mushrooms for it. Since the last patch, u now only need 2 Elixir of Shadow Powers XD	These elixirs require 3 ghost mushrooms each. If you are an herbalist/alch and wish to gather them, I suggest going to Skulk Rock in the Hinterlands. There are a decent number of them there, and they respawn relatively quick. Map - https://classicdb.ch/?object=142144 If you are a herbalist and not an alchemist I still reccomend you gather a few to sell on AH since buying the pots on AH can be a little pricey. Hopefully you know an alchemist and don't have to purchase them. Why pay more? :-)	After you turn in all 3 quest for the dreadsteed you will recieve this quest. https://classicdb.ch/?quest=7630 Be sure to bring 3 Arcanite Bars with you or you will be flying back to UC to pick up 3 on the AH and flying back. /me currently writing this while i fly back T.T	As with any new summoning spell... Go to your local demon trainer and he will start your dreadsteed quest.
/?quest=1508	Blind Cazul	20	20	Horde	390 XP	Classes	Speak with Zankaja in Orgrimmar.	N/A	Cazul	Zankaja	OK, the quest description is messed up. It should say to the west of the WIND RIDER tower not the zeppelin tower. So.... go up the WIND RIDER tower in ogrimar. Take the bridge to the west, then hang a right.	ARGH&nbsp There is a bug with the quest description.&nbsp She is NOT west of the Zepplin tower.. she is west of the WIND RIDER tower.&nbsp Cross the bridge and flip a right and you'll see her.	Located at 37,59	37,59 in Origimar. Just go to wind rider station. cross the bridge there at the top of the station. then a right. will lead you right to her.	Actually technically she is west of *a* zeppelin station, but not the one outside Orgrimmar... Theres a zeppelin inside the city, tethered to the Skytower, which she lives to the west of. Is it ambiguous? no doubt.
/?quest=4961	Cleansing of the Orb of Orahil	40 Group	35	Both	2350 XP | Item: Cleansed Infernal Orb	Classes	Kill the Demon of the Orb, then speak with Tabetha. Demon of the Orb slain	You'll have to kill that demon to remove its presence permanently from the orb, <name>.	Tabetha	Tabetha	Is it that hard? I just completed it at lv38 alone. First I looked around the vicinity for any mob and took out a spider and raptor. I had VW out to tank the demon, but big blue couldn't hold aggro for more than 30 sec, so I sacrificed him for shield and nuked all out. When the shield drops, it was Fear time. Keep the demon feared and don't stop shadowbolting it always refresh your DoTs and Fear when they wear off. The demon hit me for 80-130, but I have 2,100 HP with all +stamina gears, so I could take lots of beatings. In the end I came out with 70% life, almost depleted mana, and about 50 secs left. Not hard at all... if you know your warlock spells and use them properly. =)	Talk to Tabetha [b](46,57)[/b] and she will take you outside. Set your [b]Void to aggresive [/b] [b]Curse him[/b] (i used curse of Agony, corruption and immolate) [b]fear him[/b] [b]shadowbold him[/b] do this over and over again and ofcourse within the given [b]2,5 min[/b] did this at level 38. no pots... i am not a good player but this is pretty easy to do solo. Did not use bandage or stone. Health 1569 Mana 2626	I just finished this today at lv 38.&nbsp Used my Voidwalker, with a soulstone and healthstone ready.&nbsp Tip:&nbsp Clear out the spider and jelly thing before you fight him so you dont draw them in when using banish or fear.&nbsp I didnt bother with either one the second time around.&nbsp Just kept my curses going and used shadowbolt. The first time I did this, I failed.&nbsp I abandoned the quest, and the ! over Tabitha's head returned within a few seconds.	Lets make it clear, coz with all these comments, nobody has said what to do if you fail. When you fail, you go back to tabatha, and she has a grey (!)mark. You can talk to her, but can not get the quest again. You must abandon the failed quest. The (!)mark will then change to Yellow, and you can talk to her and get the quest again.	Done as an affliction specc'ed level 40.&nbsp I used the VW, but you really should use the pet you are most comfortable with and that suits your playing style.&nbsp Don't let anyone tell you that you can't do it with this one or with that one.&nbsp This is just what worked for me, as I'm not into fearing a target and then chasing him around while he possibly aggros everything in sight.&nbsp I like a pet that tanks while I pile on the damage from the sidelines. Anyways, I killed one spider on my way in, then followed her out to summon the demon.&nbsp I got inside the walled area and put my back to the house.&nbsp As soon as he was summoned, I sent in VW, and dropped all DoTs on him, along with Curse of the Elements.&nbsp VW and I never moved, so we never had a chance to aggro other wandering mobs.&nbsp Never touched fear, and he never laid a fist on me.&nbsp I let VW tank while I blasted him with my wand, conserving as much mana as possible.&nbsp When DoTs expired and VW health was starting to dip low, I reapplied the DoTs and used Health Funnel to get VW back up to speed healthwise.&nbsp I used wand to finish him off, and had close to a minute left to spare.&nbsp
/?quest=1796	Components for the Enchanted Gold Bloodrobe	31	31	Both	2500 XP	Classes	Bring Robes of the Arcana to Menara Voidrender in the Barrens. Robes of Arcana	How goes your search for the robes, <name>? Have you created them yourself? Such personal touches I find make the imbuing of magic that much sweeter. It gives you a greater sense of accomplishment. But I understand if you choose the quicker path and have it made for you - there's something to be said for such... ambition.	Menara Voidrender	Menara Voidrender	Everybody has pretty much said all there is to say, but a little tip is (especially if you're buying the robe off the AH) to bring a Gold bar with you. This way, you can hop on the ship to Booty Bay (for Horde anyway) and turn in the gold bar for the next part of the quest. Just a little time saver.	The robes can be farmed in the tower, North of Darkshore, in there are level 30-35 mobs. Your main target would be the Dark Strand Voidcaller's (https://classicdb.ch/?npc=2337). the drop rate is really low, around 1.25% so don't expect to get it right away. The Robes of Arcana (https://classicdb.ch/?item=5770) are not as great as the Enchanted Gold Bloodrobe (https://classicdb.ch/?item=6900) given at the end of the quest.	To get the robes of arcana, you must get someone else to make it, or make it yourself. The pattern is hard to get, and doing this quest is a real pain, so it might not be worth it. People selling the pattern and the robes in the auction house usually sell them for a lot of money (if it is even being sold at all, I rarely see it in the auction house). This quest is not needed for any Warlock abilities, and if you want, you may skip this quest, just look at the Gold Bloodrobe and the chain of quests. But however, after this quest, the rest of the chain is much easier, and much cheaper. If you can complete the whole chain of quests, the robe's stats are nice and helpful. But before you continue on, please consider the above first.	Strategy for Darkshore 1 - Clear entrance to Tower 2 - Summon Fel Hunter(With Spell Lock)and set passive 3 - Cast Armor on self 4 - Wait for roaming Voidcaller to cross doorway(if u want use Eye of Killrog to get target on roamer)and instantly pull from outside using wand 5 - Cast Banish on the NPC's Voidwalker 6 - Target Voidcaller 6 - Cast Corruption, Imolate, and Curse of Tongues on the Warlock NPC 7 - Use Wand shoot until Corruption and Immolate wear off(if battle even lasts that long and make sure that you are still outside) 8 - Drain Soul or Life until dead then finish off voidwalker 9 - Next Kill warlock on ground floor in tower make sure to pull him outside and repeat above steps 10 - Move up left stairs and take out next warlock then go back down and move up right stairs and clear out next NPC From there should be cake(even though I know it seems complicated) Be sure to summon a soulstone and cast rez on yourself.	NOTE! If Your currently using robes of arcana and you turn this in, Be sure to have a backup robe :)
/?quest=4781	Components for the Enchanted Gold Bloodrobe	34	31	Both	2000 XP	Classes	Bring a Gold Bar to Xizk Goodstitch in Stranglethorn Vale. Gold Bar	Gold bars, yes... yes. Bring me one and we'll see what we can do about spinning some thread for you. Until then, I would suggest you focus your efforts on becoming more powerful. Your toughest trials are still ahead. And trust me... you'll wish you were more prepared, regardless of how powerful you think you might be.	Menara Voidrender	Xizk Goodstitch	He is at 29,77 he is in the 'a Tailor to Cities' with the tailor in booty bay	This part of the chain, instead of turning in the gold bar to Menara Voidrender in Ratchet, you will have to travel to Booty Bay instead and give the gold bar to Xizk Goodstitch.	This NPC is in A Tailor to Cities building - to the left as you look at the Tan-Your-Hide Leatherworks and up the ramp.	To clarify, to get the Fine Gold Thread, you go back to the tailor 'Xizk Goodstitch' in Booty Bay, he will have a BLUE question mark above his head, click him and you will be able to recieve the fine gold thread.	you can buy the gold bar at the auction house if you're too bored to go farming and don't have a miner friend.than just go to booty bay,tha guy is at the tailor shop on the top level of the city.
/?quest=4782	Components for the Enchanted Gold Bloodrobe	34	31	Both	1350 XP	Classes	Return to Menara Voidrender in the Barrens.	N/A	Xizk Goodstitch	Menara Voidrender	You will have to return to Xizk Goodstitch later on into this chain quest to collect the Fine Gold Thread.	The pattern for the robe is farmable from some Defias Enchanters in Duskwood just look it up here.	In Booty Bay, /tloc 29,77 on the 3rd story of the docks.&nbsp Has a blue '?'	He is in the tailor shop in Booty Bay just outside the inn on the upper level.	I am 32 human warlock and got the pattern after about an hour in the tower of atha-something in northeast darkshore from the voidcallers.&nbsp
/?quest=4783	Components for the Enchanted Gold Bloodrobe	37	31	Both	2850 XP	Classes	Bring 10 Vials of Hatefury Blood and 1 Lesser Infernal Stone to Menara Voidrender in the Barrens. Vial of Hatefury Blood (10) Lesser Infernal Stone	Desolace is not a kind area: naga, giants, satyr, the Burning Legion... all of those and warring centaur clans all make the land dangerous if you're not careful.Like I said before, it will not only test your strength and cunning, but also your patience. Be wary in those lands, <name>.	Menara Voidrender	Menara Voidrender	The hatefury things are in area 73,22 The Lesser infernals are at 58,77	step 1: goto desolace step 2:Enslave Lesser infernal step 3 Attack other lesser infernal with your own step 4: loot lesser infernal for stone step 5: tell infenal to stay and run away before enslave wears off	Blood = drops from mobs at 75,20 in desolace. about (%40 drop rate) Stone = 52,72. 2nd kill for me	If you're a horde warlock and working on this, pickup Befouled by Satyr https://classicdb.ch/?quest=1434 also from the NPC at the kodo graveyard camp. The mobs killed in that quest are the same ones that drop the Hatefury blood. Also, the drop rate isn't great but it isn't bad either.	I was able to solo this entire quest chain at level 31 and get the robe. Although there are better robes to get in your 30s, I'm pretty sure this is the best robe locks can get at my nub level. The most difficult parts are, by far, the infernal stone and the smoldering coals, respectively (infernals are way more difficult than the elementals, surprisingly), so I'll just go over those. Both of the areas you have to go to for these components are high traffic, high pvp zones, and you're liable to get ganked just for being there, so if you're on a pvp server, I'd highly recommend hiding behind a corner and busting out your eye to scout before proceeding, because you're going to be there for a few minutes. As it turned out, there were some allies out in Arathi farming my mobs and the eye kept me from wandering into trouble. OK, so first the hard part- the infernal. How do you solo a mob 6-7 levels up? Very carefully and slowly. I used my infernal for this and dropped some +health regen pots to help out, although the pots may not have been neccessary. The trick here is to make sure your v-dub keeps agro by taking one of his taunts off autocast and hitting it whenever neccessary to pull agro off yourself. If you play a warrior (60 warrior, here), then hopefully you know that your taunt ability doesn't actually add to agro, it merely puts you on the top of the agro list. It's an agro 'puller,' but not an agro 'keeper.' I don't know the details of vdub taunt, but I assumed it worked the same way as the warrior taunt. Wait a few seconds for vdub to get a firm hold on the mob, and let loose your dots. I'm affliction spec, so I have three insta-dots, and I just used those. I seem to remember infernals being resistant to fire damage (but don't quote me on that!), and didn't bother with any fire spells. I just cast the dots until they landed, waited a second, then drain life'd as neccessary so I could heal v-dub when he needed it. This is not a race- if you do too much damage, you'll pull agro and die very quickly. I didn't use a single nuke, and I think I might've died if I did. If things start getting hairy, sac v-dub, aplify curse + CoEx, pray it lands, and run. Stone dropped off the first infernal I killed. And now the easy part- the elementals in arathi for smoldering coals. Just buy a stack of cresting charms at the AH (I bought 10 for a G), and use those. Drop rate was not 100%, more like 50, and I had six charms left over. As a side note, warriors use those charms for their whirlwind weapon quest, and you could probably make a fellow nub guildie warrior happy by saving them for him/her. Farming for those really sucks, especially if you're trying to get your weapon at the earliest level possible, and the help is usually appreciated.
