# Quest Data for Classes - Warrior
# Generated: 2025-08-18 16:58:30
# Total quests: 72
# Comment scrape timestamp: 2025-08-18 17:13:43

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8417	A Troubled Spirit	50	50	Both	500 XP	Classes	Speak with the Fallen Hero of the Horde at the entrance to the Blasted Lands.	Did Stoley cough up my booze?	Kelv Sternhammer	Fallen Hero of the Horde	This quest is a 'breadcrumb' quest that is given by a warrior trainer in every major city at level 50. It doesn't matter what race you are, it will be available at level 50 from a trainer of your faction (so a tauren could obtain this quest in Undercity, for example). However, it is not necessary to obtain this quest in order to continue the chain - you can skip directly to the next quest in the chain by visiting the [url=?npc=7572]Fallen Hero of the Horde[/url] first - but you will miss out on that little bit of experience!	Fallen Hero of the Horde can be found at the southernmost part of Swamp of Sorrows, next to the road (34, 66). Map: https://classicdb.ch/?npc=7572	I'm a human level 50 warrior and was also confused until I re-read the thottbot entry. I was going to [u]Woo Ping[/u], the [i][b]weapons[/b][/i] trainer in Stormwind's trade district, not [u]Wu Shen[/u], the [i][b]Warrior[/b][/i] trainer in the old town quadrent. Hope this helps!	Undercity, warrior Trainer	You recieve the quest from your Race trainer, as in: Night Elves - Darnassus Humans - Stormwind Dwarves and Gnomes - Ironforge Tauren - Thunderbluff Undead - Undercity Orcs and Trolls - Orgrimmar
/?quest=1638	A Warrior's Training	10	10	Alliance	85 XP	Classes	Speak with Harry Burlguard.	N/A	Lyria Du Lac	Harry Burlguard	I have ... still trying to figure it out	i failed this quest, am i able to get it back?	a must do. SPOILER: This will get your defensive stance when completing the quest...real easy not much running to do in this one for last 3 parts..	This quest chain leads to Alliance Warriors learning Defensive Stance. The horde version is http://classicdb.ch/?quest=1505 (Veteran Uzzek).	how
/?quest=1821	Agamand Heirlooms	11	10	Horde	650 XP	Classes	Bring Coleman Farthing the Agamand Family Axe, the Agamand Family Sword, the Agamand Family Mace and the Agamand Family dagger. Agamand Family Axe Agamand Family Dagger Agamand Family Mace Agamand Family Sword	Do you have the heirlooms, <name>?	Coleman Farthing	Coleman Farthing	The weapons are held on weapon racks in the crypt in the mills, very northern section with zombies and banshees.&nbsp In the very bottom room there is a weapon rack, in the 2 rooms up the stairs from the bottom is another 2 racks, and in the room above that is another. The rewards are warrior-only weapons, 7.6 DPS 1h dagger/sword/mace/axe.	The mobs in the crypt come in threes when you pull them.&nbsp You'll probably want a group or wait for higher level to complete this quest. Edit:&nbsp You may also want to wait for 'The Family Crypt' quest - part of a chain and knock out both at the same time.	52.26	Entrance at 52, 27	Completed as a level 10 Orc Warrior, no help or partners involved. Pulling is hard in here, and the biggest pull you'll get is a group of three. Get creative with hamstring and run fast! Leads to: http://classicdb.ch/?quest=1822 - Heirloom Weapon
/?quest=1639	Bartleby the Drunk	10	10	Alliance	85 XP	Classes	Speak with Bartleby.	N/A	Harry Burlguard	Bartleby	Okay I tested my theory and it turned out to be right...if you have the quest Vejrek <sp?> in your quest log, this quest will not work for you as you are considered *already questing* for the ability.&nbsp I simply dropped the Vejrek one from my log <since I was already in SW this was easier> and Burlguard readily gave me the next step which is to fight the drunk.&nbsp	how do i beat him up and get his mug?	Speak to Guard, got the quest, and immediately got 'You have the quest already' message and are unable to speak to the drunk... Bartleby how do i speak whith hi and get his mug	ROFL i just did this quest on my alt ( twinked tho crusader on 2h ) and i killed him =S	I had bought a new mace too and ran away cause skill was 1. And yes u can do it again. I logged out and back in and got the quest.
/?quest=1665	Bartleby's Mug	10	10	Alliance	420 XP	Classes	Bring Bartleby's Mug to Burlguard Bartleby's Mug Provided Item: Bartleby's Mug	I saw your fight with Bartleby. Nicely done! Did you get his mug?	Bartleby	Harry Burlguard	Completing this quest gives you the following abilities. [ul] [li][url=http://classicdb.ch/?spell=71]Defensive Stance[/url][/li] [li][url=http://classicdb.ch/?spell=355]Taunt[/url][/li] [li][url=http://classicdb.ch/?spell=7386]Sunder Armor (Rank 1)[/url][/li] [/ul]	This quest leads to Marshal Haggard (https://classicdb.ch/?quest=1666)	N/A	N/A	N/A
/?quest=1640	Beat Bartleby	10	10	Alliance	210 XP	Classes	Beat Bartleby, then talk to him. Beat Bartleby	N/A	Bartleby	Bartleby	Abandon the quest on the quest log, and then talk to the NPC's again	Just did this quest at 70 on a draenei warrior, and gained 1g89s from Beat Bartleby, 3g75s from Bartleby's Mug. Followup is back to the normal amount of silver you'd expect from a level 10 quest at 70, though. :(	I never did this quest on my Warrior, ran past when going training on my level 57 (yes, missed training at 56), slapped Bartleby in the face, took his mug, handed it in, this awarded me: 2200 + 4350, aka 6550 xp for doing: 1. Press with mouse, 2. Press auto attack 3. Press with mouse 4. Move 2 feet 5. Press with mouse 6. ??????? 7. Profit.	okay I failed this quest, and now it won't let me try again. I've gone back to the lady that gave me the quest, but she doesn't have it anymore. I tried talking to the second guy, but it won't let me talk to him either. Do I not get the defensive stance now?	how do i even beat him up?
/?quest=1838	Brutal Armor	30	20	Horde	3650 XP	Classes	Bring to Thun'grim Firegaze 15 Smoky Iron Ingots, 10 Powdered Azurite, 10 Iron Bars and a Vial of Phlogiston. Smoky Iron Ingot (15) Powdered Azurite (10) Iron Bar (10) Vial of Phlogiston Provided Item: Thun'grim's Instructions	Do you have the items on my scroll, <name>?	Thun'grim Firegaze	Thun'grim Firegaze	I found this elsewhere. I found it very helpful. 'Smoky Iron Ingots: &nbsp - These drop off of the Windshear Kobolds in the Stonetalon Mountains. The mine is on the eastern part of the map, to the south east of Venture Company HQ. The highest rate of drops came from the diggers, but they all dropped them quickly. The Kobolds are in the 22-24 range, and once you get in the mine, they will sometimes group up into 2-4 total. At level 30, they were easy, but if you are lower, bring a friend. It took me about 10 minutes to get all the ingots. Flogiston: - This drops off of Roogug in Razorfen Krawl. Razorfen Krawl is located at the very southern end of the Barrens near the Great Lift. The Great DGDough's location description is perfect, and you shouldn't have any trouble finding him if you go that route. He is a 28 elite and will have a Shaman and Warrior with him. Also has a pet, all elite. To get to him, you have to fight through several 25-27 elites also. If you are high enough, you may be able to pick your way through to him, but it would be tough. I tried it with a 32 Warrior because I have had trouble getting a group to go to that part of the dungeon, and got to Roogug and couldn't kill him because all the mobs pull at the same time. As a side note, lots of mining veins in there and I also found some Fadeleaf and tons of Briarthorn. This is probably the hardest part of the quest because you need a group willing to kill this guy unless you level enough to solo it, and then the armor would not be worth it. Powdered Azurite: - This drops off of Hillsbrad Miners in the southwestern portion of Hillsbrad. The miners are all 25-28 in level and there are some wandering Foremen in the area. At 32, it was easy to solo. Only had one close call with a boss foreman (30: non-elite) who summoned a pet and another foreman to help. It took about 30 minutes to go through the mine and collect the 10 pieces of Azurite. Iron Bars - Easy. Either mine it or buy it from the AH. That is it, hopefully it helps anyone who wants to do the quest. The other bonus to the quest is you get over 6000 xp for completing it (at level 34) and the other three armor quests unlock, which are significantly easier than this. '	This leads to four additional quests where you get the actual pieces of Brutal Armor: - Ula'elek and the Brutal Gauntlets (https://classicdb.ch/?quest=1839) - Brutal Hauberk (https://classicdb.ch/?quest=1848) - Velora Nitely and the Brutal Legguards (https://classicdb.ch/?quest=1841) - Orm Stonehoof and the Brutal Helm (https://classicdb.ch/?quest=1840)	If you want to get some of this armor right away, you will need someone to run you through some of the stuff. Smokey Iron Ingot - (74,60) Stonetalon Mountains, kill any of the kobolds in the mine. YOu can do this alone at levels 20-22. Powdered Azurite - (32,53) Hillsbrad Foothills, kill the hillsbrad miners. You will need some help if you want to do this right away. Iron Bar - (AH) Most likely you will buy these becuase your mining won't be high enough at level 20. Vial of Phlogiston - (Razorfen Kraul) Kill Roogug. Take the first left in RFK and go across the vine and he's right there. You need someone to run you through.	Here's a fairly detailed walkthrough for the quest for those who need it. Smoky Iron Ingots: - These drop off of the Windshear Kobolds in the Stonetalon Mountains. The mine is on the eastern part of the map, to the south east of Venture Company HQ. The highest rate of drops came from the diggers, but they all dropped them quickly. The Kobolds are in the 22-24 range, and once you get in the mine, they will sometimes group up into 2-4 total. At level 30, they were easy, but if you are lower, bring a friend. It took me about 10 minutes to get all the ingots. Flogiston: - This drops off of Roogug in Razorfen Krawl. Razorfen Krawl is located at the very southern end of the Barrens near the Great Lift. The Great DGDough's location description is perfect, and you shouldn't have any trouble finding him if you go that route. He is a 28 elite and will have a Shaman and Warrior with him. Also has a pet, all elite. To get to him, you have to fight through several 25-27 elites also. If you are high enough, you may be able to pick your way through to him, but it would be tough. I tried it with a 32 Warrior because I have had trouble getting a group to go to that part of the dungeon, and got to Roogug and couldn't kill him because all the mobs pull at the same time. As a side note, lots of mining veins in there and I also found some Fadeleaf and tons of Briarthorn. This is probably the hardest part of the quest because you need a group willing to kill this guy unless you level enough to solo it, and then the armor would not be worth it. Powdered Azurite: - This drops off of Hillsbrad Miners in the southwestern portion of Hillsbrad. The miners are all 25-28 in level and there are some wandering Foremen in the area. At 32, it was easy to solo. Only had one close call with a boss foreman (30: non-elite) who summoned a pet and another foreman to help. It took about 30 minutes to go through the mine and collect the 10 pieces of Azurite. Iron Bars - Easy. Either mine it or buy it from the AH. That is it, hopefully it helps anyone who wants to do the quest. The other bonus to the quest is you get over 6000 xp for completing it (at level 34) and the other three armor quests unlock, which are significantly easier than this. Edited, Sun Nov 20 10:37:06 2005	End rewards - direct item links for your convenience: (mouse over) [url=http://classicdb.ch/?item=7129]Brutal Gauntlets[/url] [url=http://classicdb.ch/?item=7133]Brutal Hauberk[/url] [url=http://classicdb.ch/?item=7132]Brutal Legguards[/url] [url=http://classicdb.ch/?item=7130]Brutal Helm[/url] also, notice a blacksmith can fairly easily make you these (comparable) items aswell: [url=http://classicdb.ch/?item=3485]Green Iron Gauntlets[/url] [url=http://classicdb.ch/?item=3844]Green Iron Hauberk[/url] [url=http://classicdb.ch/?item=3842]Green Iron Leggings[/url] [url=http://classicdb.ch/?item=3836]Green Iron Helm[/url]
/?quest=1843	Brutal Gauntlets	30	20	Horde	1850 XP | Item: Brutal Gauntlets	Classes	N/A	N/A	Ula'elek	Ula'elek	I don't see any description for this quest so I'll do it myself) You must go to Ashenvale and kill Satyrs (I advise Bleakheart Satyr's because they have most drop: 1%) to gain 7 'uncloven satyr hoofs'.	The Algae Fists [item=6906] dropped by [npc=6243] Gelihast in BFD are waaaaaaaay better ) Edited, Fri Apr 28 20:36:15 2006	Goto Ashenvale and do the Splintertree outpost quest called Warsong Supplies or w/e and you get fists that are the same as the Algae Fists but with 1 less stamina, and theyre easy as hell to get.	N/A	N/A
/?quest=1848	Brutal Hauberk	30	20	Horde	3050 XP | Item: Brutal Hauberk	Classes	N/A	N/A	Thun'grim Firegaze	Thun'grim Firegaze	While a very nice piece of armor for a level 20, the one-hour cooldown and the subpar stats for level 30 makes it only worth it if you have someone to boost you through the hard parts of the quest to make it.	can someone give me the decription of the quest and the objectives ...pls ...	What does this thing look like?	[item=7133]	[item=7133]
/?quest=1845	Brutal Helm	30	20	Horde	1850 XP | Item: Brutal Helm	Classes	N/A	N/A	Orm Stonehoof	Orm Stonehoof	I don't see any description for this quest so I'll do it myself) You must go to Charred Vale in Stonetalon Mountains, slay chimaera matriarch (27-28 lv) and return to NPC with quest loot from that matriarch.	Hah! I got a better helmet than this one in RFK when I was doing Brutal Armor! why do they do stuff like that? it was a tusken helm, and it dropped off the same guy who drops the 2-h axe... I forget his name.	N/A	N/A	N/A
