# Quest Data for Dungeons - Blackrock Depths
# Generated: 2025-08-18 16:53:09
# Total quests: 41
# Comment scrape timestamp: 2025-08-18 17:14:20

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7604	A Binding Contract	60 Dungeon	60	Both	6600 XP | Item: Plans: Sulfuron Hammer	Dungeons	Turn the Thorium Brotherhood Contract in to Lokhtos Darkbargainer if you would like to receive the plans for Sulfuron. Thorium Brotherhood Contract Sulfuron Ingot Provided Item: Thorium Brotherhood Contract	Do we have a deal?	Thorium Brotherhood Contract	Lokhtos Darkbargainer	In order to make this legendary pain in the butt hammer you must: 1st: Aquire 300 Blacksmithing and a Sulfuron Ingot 2nd: Bug the Throium Brotherhood representative in the BAR IN BRD. 3rd: Make the Sulfuron Hammer which takes a modest amount of mats: Sulfuron Ingot x8 Dark Iron Bar x20 Arcanite Bar x50 Essence of Fire x25 Blood of the Mountain x10 Lava Core x10 Fiery Core x10 NOTE: The Sulfuron hammer IS BoE so you can have someone make it for you and then give it to you, skipping steps 1 and 2, you'll probably have to at least supply the mats for it though unless you are the Blacksmither's GF or something. 4th: Combine your Sulfuron Hammer with your easily aquired Eye of Sulfuras, that has a 2.8% chance to drop off of Ragnaros, the last boss of MC. Remember, lengendary loot yields legendary repair bills.	Ok, both my friend and I tried to get this contract with the Sulfuron Ingot in our inventory.&nbsp He's [b]neutral[/b] and I'm revered, both of us were able to get the 'contract'.&nbsp He's engineering so it wouldn't be of use to him but that just shows that you [b]don't[/b] have to be blacksmithing to get the plans but obviously you have to be to make the item.&nbsp Nothing drops that starts a quest all you do is talk to the guy in the BRD bar when you have a Sulfuron Ingot in your bag and he has an option like, 'omfg what is that yo bag?&nbsp I want it' then you go through his chat and he'll give you the contract.&nbsp Got it?&nbsp Good. Hole Shadowsong Master Armorsmith	Those that are 'collectors' like me and are going for revered or even exalted with the Brotherhood, if you can get your hands on a fairly cheap Ingot, completing this quest gives you 1000 reputation. So it would be advisable to complete it before you reach the reputation status youre aiming for, especially as this pattern can still sell very well, usually higher or at least same price as the Ingot. Mind as well that you can complete this quest with at least as low as honored rep, thats when I did it, though it probably doesnt matter at all. No need to buy 2 or more Ingots though as you get the pattern via a 'This Item Begins a Quest' item, therefore you only can complete it once.	Well apparently I was the first person to report this quest and for some reason it listed my email -_- So I got a bunch of mail about this, figured I'll just post here for curious. First you need to get sulfuron ingot, golemagg drops that at about 50% rate. Once you have the ingot in your inventory go to dude in BRD bar and he will trade you the ingot for the plans through this quest. Pretty sure it will work same for horde.	Neutral, just neutral. That's all you have to be with TB
/?quest=4264	A Crumpled Up Note	58 Dungeon	50	Alliance	6200 XP	Dungeons	You may have just stumbled on to something that Marshal Windsor would be interested in seeing. There may be hope, after all. A Crumpled Up Note Provided Item: A Crumpled Up Note	<Marshal Windsor eyes the note in your hand.>What do you have there, <name>?	A Crumpled Up Note	Marshal Windsor	After you talk to the Marshal in the dungeon, you HAVE to return to Marshal W. in burning steppes before the note will drop. At the advice of this thread, I farmed lvl 48-49 non-elite slaves in a 'safe' area outside of the instance (but down on the bottom inside the mountain outside the instance door).&nbsp It dropped on about the 10th slave. Here's a great thread I found which details the rest of the quest line (as well as before, but I didn't have a hard time finding info on the quests before the crumpled note). http://nerfed.lx.ro/?p=1	biggest confusion on this quest...marshal windsor is inside of a prison cell in BRD, marshal maxwell on the other hand is the NPC at morgan's vigil in burning steppes. keep that in mind.	Prequest: Abandoned Hope (https://classicdb.ch/?quest=4242) This note drops randomly from any mob in BRD when you have done the prequest.	I spent 2 hours clearing and reclearing and reclearing the entrance mobs (I'm a 60 rogue, had friends reset the instance for me). After about 3 deaths, and other various problems, still no note. I read on here that you can get them off the level 46 non-elite slaves outside of BRD, figured I'd give it a try. Got the note on my second kill. Kill the slaves for this, it's easy	Just did this portion a second time, dropped first kill. Droprate is very high, says it is low because there are many people that have killed these mobs that don't have the correct part of the quest chain done, or have already finished it etc. So as long as you have done the quest up to this point, the note should drop very quickly.
/?quest=4282	A Shred of Hope	58 Dungeon	50	Alliance	6200 XP	Dungeons	Return Marshal Windsor's Lost Information. Marshal Windsor believes that the information is being held by Golem Lord Argelmach and General Angerforge. Marshal Windsor's Lost Information Marshal Windsor's Lost Information	Soon this grand subterfuge will be over.	Marshal Windsor	Marshal Windsor	Just wanted to summarize the strategy that worked for our 4-char group (55 resto-druid, 56 warrior, 60 paladin, 60 mage)... [b]General Angerforge[/b] [table] [tr] [td]*[/td] [td] Clear the entire upstairs part of Angerforge's room [url=https://classicdb.ch/?i=Greater%20Fire%20Protection%20Potion]Greater Fire Protection Potion[/url]s may help here.[/td] [/tr] [tr] [td]*[/td] [td] Kill the two fire elementals at the bottom of the stairs.[/td] [/tr] [tr] [td]*[/td] [td] Jump off the landing (where the stairs turn to the right).[/td] [/tr] [tr] [td]*[/td] [td] Kill the group of three dark iron dwarves. WATCH FOR RUNNERS![/td] [/tr] [tr] [td]*[/td] [td] Reposition for the boss fight:[/td] [/tr] [tr] [td] [/td] [td] * Leave your healer in this same corner (off the stairway landing).[/td] [/tr] [tr] [td] [/td] [td] * AOE'ers move to the base of the stairs CONSERVE MANA for the adds.[/td] [/tr] [tr] [td]*[/td] [td] Tank(s) charge Angerforge, while all others wipe out his wimpy ~1000hp guards.[/td] [/tr] [tr] [td]*[/td] [td] Once Angerforge hits about 1/2-1/3 health, WATCH FOR HIS CALL FOR HELP.[/td] [/tr] [tr] [td]*[/td] [td] Refocus on the adds, who come running down the stairs:[/td] [/tr] [tr] [td] [/td] [td] * Only the main tank stays on Angerforge.[/td] [/tr] [tr] [td] [/td] [td] * Healer may stay with the tank, as needed.[/td] [/tr] [tr] [td] [/td] [td] * All others focus on killing the two MEDICS, while the AOE handles the rest of the adds. (If you have a mage, as we did, you can polymorph one medic for a much quicker boss kill.)[/td] [/tr] [tr] [td]*[/td] [td] Remember to loot [url=https://classicdb.ch/?i=Marshal%20Windsor's%20Lost%20Information]Marshal Windsor's Lost Information[/url].[/td] [/tr] [/table] [b]Golem Lord Argelmach[/b] [table] [tr] [td]*[/td] [td] Clear the entire Manufactory [i]in case Argelmach runs for help[/i].[/td] [/tr] [tr] [td]*[/td] [td] Prepare for the boss fight:[/td] [/tr] [tr] [td] [/td] [td] * Everybody (but especially the main tank and main healer) drink a [url=https://classicdb.ch/?i=Greater%20Nature%20Protection%20Potion]Greater Nature Protection Potion[/url] [i]in case Argelmach does not run for help, or for when he gets back[/i].[/td] [/tr] [tr] [td] [/td] [td] * Healer and casters should avoid the doorway [i]to avoid aggro when Argelmach returns[/i].[/td] [/tr] [tr] [td] [/td] [td] * Main tank charges the right-hand (smaller) golem, then cycles through the three targets to grab aggro... or[/td] [/tr] [tr] [td] [/td] [td] * If you have an off-tank, they can focus on the second (larger) golem.[/td] [/tr] [tr] [td]*[/td] [td] Take down the smaller golem first, then the larger.[/td] [/tr] [tr] [td]*[/td] [td] Save Argelmach for last.[/td] [/tr] [tr] [td]*[/td] [td] Remember to loot [url=https://classicdb.ch/?i=Marshal%20Windsor's%20Lost%20Information]Marshal Windsor's Lost Information[/url] ...[i]and[/i] the (300 skill) engineering [url=https://classicdb.ch/?i=Schematic:%20Field%20Repair%20Bot%2074A]Schematic: Field Repair Bot 74A[/url] on the floor nearby, if needed.[/td] [/tr] [/table]	well there pretty ez doable with each 5 party group you dot even need aoe Angelforge is down the stairs to the left... just let ur MT tank him... and let the rest get the 4 adds.. (they die very ez, with my paly they were dead in 3-4 hits) then dps the boss in the end he he calls for reinforcement.. try top have him killed before they arive saves alot of time since he is getting medics... again just kill off the ez normal mobs before killing the elite medics and it should be no problem at all IMPORTANT in the room there are 2 fire elementals.. kill those and go back up the stairs and jump off the other side and kill the 3 mobs there or they get pulled and its alot harder... Argelmach (aka the pussy) he is guarded by 2 golems... just take down the golems one at a time beofre going for the boss.. He runs away thorgh the golem part getting help, so make sure YOU KILL EVERYTHING THERE before going forthe boss when killing the golems argelmach is just running arounmd trying to find help... so you wont be bothered by him, whent he golems are dead kill him, he does do some hard dmg so be carefull about that after that go back to marshall deliver the 2 peices of info and get jailbreak.. IMPORTANT do not accept folow up quest till EVERYBODY delivered the quest, else someone might just miss it..	Are you lot dumb or what? You all talk about the note dropping outside BRD and dropping 5 times etc etc. LOOK at the quest you are writing information about here. This is the follow up quest following the crumpled note. PLEASE STOP CONFUSING PEOPLE. It is not rocket science. This quest has now been extended since Anonymous registered it and it now needs a drop of two pieces of information, one from each boss found in BRD. You have to kill the bosses to get both bits of information. The quest has to be done as a group and not a raid. MUPPETS!	This quest is the prereq for Jail Break! (https://classicdb.ch/?quest=4322) and the final step before escorting Windsor out of Blackrock Depths and into Stormwind. When turning this quest in, do NOT take the follow up (Jail Break!) because it will start the escort part of the quest. Either keep the items until you get a group for Jail Break! and warn them ahead of time you haven't turned it in yet, or turn in the items and do not hit 'accept' to the next quest. When killing the Golem Lord for the first bit of information be sure to clear all of the gnome mechanics and elite golems sitting in the nearby area. When killing the General be sure to clear all mobs before pulling him and to conserve mana during the fight. When he gets low in health he'll call out for aid. Most of the creatures that come are non-elite and can be aoe'd down however, there are elite 'Anvilrage Medics' in the group that will heal, so be sure to single target them down quickly.	Need advice on THIS quest, 'A Shred of Hope'... Does someone have a good strategy for a group of FOUR level 55-60's to kill [url=https://classicdb.ch/?n=General%20Angerforge]General Angerforge[/url] and [url=https://classicdb.ch/?n=Golem%20Lord%20Argelmach]Golem Lord Argelmach[/url]? We knew enough about [b]Angerforge[/b] to clear the ENTIRE room first, upper and lower floors. The general himself would be easy to kill with our Warrior/Pally/Druid/Mage combo his guards and most of his adds die like paper dolls. But our group wiped because the (main healer) druid got ALL the adds' aggro and died before we even noticed they had arrived! We're gonna try switching roles, so the int-geared druid pokes at the general, while the plate-wearing pally acts as the only healer... hoping he grabs aggro from the adds, which would give the mage time to nuke them down and polymorph one of the medics. (Anyone think this will or won't work?) If we make it to this point, should we all focus on killing the other medic or bringing down Angerforge himself? Or *gasp* does he call for yet-another round of adds once we bring his health down again? So now, after all these wipes, we're even more wary of our second boss [b]Argelmach[/b]! I remember reading somewhere that we [i]may[/i] be able to single-pull his golem guards, so that we can get boss-man SOLO. Has anybody found this to be true? If not, does anybody have any suggestions that might help our team avoid the multiple wipes that it took for us to figure out the Angerforge battle? TYVM for any useful advice you can provide!
/?quest=4024	A Taste of Flame	58 Dungeon	52	Both	6200 XP | Pick: [Shaleskin Cape, Wyrmhide Spaulders, Valconian Sash]	Dungeons	Travel to Blackrock Depths and slay Bael'Gar. You only know that the giant resides inside Blackrock Depths. Remember to use the Altered Black Dragonflight Molt on Bael'Gar's remains to capture the Fiery Essence. Return the Encased Fiery Essence to Cyrus Therepentous. Encased Fiery Essence Provided Item: Altered Black Dragonflight Molt	Has the giant been felled?	Cyrus Therepentous	Cyrus Therepentous	Please remember to use the altered black dragonflight molt on his body before you move on. With all the looting etc it's easy to forget. Just stand in his corpse and right click the item in your backpack.	[b]Cyrus Therepentous[/b] is located in the [b]Burning Steppes[/b], at loc [b]95.31[/b], into a remote cave in the NE named [b]Slither Rock[/b]. No Mobs guards this place, except for a couple of [b]Black Broodling[/b] (lvl 51 Dragonkin) and a [b]Black Drake[/b] (lvl 52 Elite Dragonkin) wandering around this place that You can easily dodge.	Yeah, thanks Pumped, your method does work well. Some other methods give decent results, but I would have to say that yours is the best. A few times I went with the left click method, instead of right click, which was decent, but not AS good. And then one time I was standing on him, and right clicked, but instead I used my hearthstone, which gave results kinda in between the other two methods. So I agree with fluxdragon, that of the various potential methods, yours is the best. EDIT: I kinda wish that downranked comments wouldn't be removed. Now my sarcastic humor looks like the ramblings of an insane man.	is the first giant mob on left. entrance,left&nbsp open door and take next left bye	For anyone who doesn't know how to find Bael'gar: After entering the instance, head through the locked door on your left (using the [url=?item=11000]Shadowforge Key[/url], or a skilled Rogue) and kill the fire elemental that patrols the hallway. Continue in this direction to the Dark Iron Highway, and turn left. Bael'gar is the gigantic dude at the end of the highway. Be sure to clear the groups around him, because he's kind of tough AND he summons adds of his own.
/?quest=4242	Abandoned Hope	54 Dungeon	48	Alliance	5450 XP | Pick: [Conservator Helm, Shieldplate Sabatons, Windshear Leggings]	Dungeons	Give Marshal Maxwell the bad news.	N/A	Marshal Windsor	Marshal Maxwell	[i]Dragonkin Menace[/i] -> [i]The True Masters[/i] (part 1, Redridge) -> [i]The True Masters[/i] (part 2, SW) -> [i]The True Masters[/i] (part 3, back to Redridge) -> [i]The True Masters[/i] (part 4, back to Morgan's Vigil in Burning Steppes) -> talk to Ragged John -> talk to marshal Maxwell -> [i]Marshall Windsor[/i] -> [i]Abandoned Hope[/i]. Next step begins when you find a Crumpled Note off random drop in BRD. Take it back to Marshall Windsor and get [i]A Shred of Hope[/i] -> [i]Jail Break[/i] -> [i]Stormwind Rendevous[/i] -> [i]The Great Masquerade[i], and you then get the key to Onyxia's Lair!	To quote someone that wrote it up so nicely at the END of the quest listings, I thought I would move it up to the front, so that anyone printing out the steps, could save some paper. -------------------------------------------------- By revoluti0n, Alliance Drakefire Amulet quest chain To enter Onyxia's Lair, you must endure these steps: 1) Dragonkin Menace (Elite) from Halrendis in Morgan's Vigil, Burning Steppes. 2) Talk to Marshal Maxwell in Morgan's Vigil. 3) Talk to Magistrate Solomon in Lakeshire. 4) Talk to Highlord Bolvar Fordragon in Stormwind. 5) Talk to Magistrate Solomon in Lakeshire. 6) Talk to Marshal Maxwell in Morgan's Vigil. 7) Find Marshal Windsor in Blackrock Depths jail. 8) Return to Maxwell. 9) Find a random 'A Crumpled Up Note' drop from a random dwarf in Blackrock Depths. 10) Take said note to Marshal Windsor. 11) Retrieve Marshal Windsor's Lost Information from General Angerforge and Golem Lord Argelmach (two pieces). 12) Escort Marshal Windsor out of Blackrock Depths jail. 13) Meet Marshal Windsor at gates of Stormwind. 14) Escort Marshal Windsor to Stormwind Keep to unveil who Lady Katrana Prestor really is. (Spoiler: Onyxia) 15) Stand way the hell back while Bolvar fights the elite dragons. 16) Travel to Winterspring to find Haleh. Find lots of elite blue dragons and run to the back of the cave, where you'll see a rune on the floor. It's hard to see, so you will die a few times. 17) Haleh tells you to go kill Drakkisath in Upper Blackrock Spire. You will need 15 fairly skilled players for this quest, including yourself. 18) Once you have the 'Blood of the Black Dragon Champion', return to Haleh. Drakkisath drops only ONE of these per kill. Yes, one for the entire 15 man group. Not one per person, one per group. 19) Return to Haleh with the Blood and claim your Drakefire Amulet. My 59 paladin now has his. :)	After you turn this quest at Marshal Maxwell, he doesn't give you a follow-up quest. Instead you have to return to Blackrock Depths and kill mobs until you find [url=?item=11446]A Crumpled Up Note[/url], which [url=?quest=4264]continues the chain[/url].	After each time I killed the pair. The note finally dropped. That is the easiest way to solo it, although someone said youc could farm the slaves outside the instance. I decided to go in to make sure I didn't waste my effort. Of course, if you go with a group to do BRD, you should get the note fast and be able to do the rest of the quest. I did it solo because my guild was busy and I wanted to get it done.	Although it doesn't state it here, you get a choice of 3 items in addition to the XP.&nbsp Conservator Helm, Windshear Leggings, Shieldplate Sabatons.&nbsp If you aren't going to use any of them, the Windshear Leggings sell for the most at 1 Gold 44 Silver 46 Copper.
/?quest=3981	Commander Gor'shak	52 Dungeon	48	Horde	5100 XP	Dungeons	Find Commander Gor'shak in Blackrock Depths. You recall that the crudely drawn picture of the orc included bars drawn over the portrait. Perhaps you should search for a prison of some sort.	N/A	Galamav the Marksman	Commander Gor'shak	After you enter BRD, walk forward into the main room, then look to your right. You'll see three pathways. The outer two loop around to each other in a big ring. Gor'Shak is in a cell on the left side. To open his cell, you'll need the key from High Interrogator Gerstahn. She is located in a room that connects to the very back part of the prison cell ring.	Complete the quest 'Disharmony of Flame' by killing Overmaster Pyron first or this quest will not be offered by Galamav.	As soon as you enter the instance, go forward into the next room (if you don't have the key, this is the only place you can go).&nbsp About a third of the way around the room to the right is 2 tunnels with another area between them of worked stone.&nbsp Go down that hallway, and kill the inquisitor at the end for the key.&nbsp Continue forward out of that room, then turn left.&nbsp He's in the first door you can open on your left. Make sure you have a good group, though, because he then gives you a quest to defend him [url]https://classicdb.ch/quest=13178[url] which spawns 6-8 elites.&nbsp Have fun dieing! Lohoydo	The Horde quest for killing Overmaster Pyron is called 'Disharmony of Fire'.&nbsp The Alliance quest is called 'Overmaster Pyron'.	I had this quest, attempted it, failed, then abandoned the quest.&nbsp Now I cannot get it again?&nbsp Is there any way to get the quest again?&nbsp I understand it is a prereq for rescuing the princess, which is something I really want to do.
/?quest=3801	Dark Iron Legacy	52 Dungeon	48	Both	500 XP	Dungeons	Speak with Franclorn Forgewright if you are interested in obtaining a key to the city major.	N/A	Franclorn Forgewright	Franclorn Forgewright	You can only grab this quest if you are in ghost form (dead) or someone that already has it shares it with you. You can find Franclorn Forgewright outside the instance. He is actually in the center of the big lava pit as you start running down the chains to head to BRD. He will be standing on top of a tomb.	Yyou can share it, but in order to complete it you have to talk to the man again. So it requires you to be in ghostform anyway. After you talked to him again you will get the next quest. And that one is also shareable, but only as long as you did the first qst.	You can only see Franclorn if you're dead and that means dying and running here in ghost form. That's annoying, so at least save yourself the hassle by dying somewhere nearby so you can res after getting the quest, i.e. one of the instances or just in Blackrock Mountain. Franclorn is located inside the building that is suspended over the giant lava pit in Molten Span. If you enter from Searing Gorge, the first chain to the left has a rock ramp that you can use to get on the chain. Once on, run across the chain to the building. Go downstairs and you should see the ghost of Franclorn. Talk to him twice and you're good to go. Edited, Wed Mar 23 16:28:18 2005	You will have to do this in ghost form. Coming from the Searing Gorge, head into Blackrock Mountain and take a left till you come to a big chain. Take this chain across to the center. Go inside and go down 1 level and he will be on a pedestal. Location push is 29,29	I found the fastest way to complete this part of the quest is to die at the hands of either another player or an opposing factions flight master/whatever.&nbsp Then run to Blackrock Mountain, down the chain and into the tomb.&nbsp Once you speak to the ghost use the auto-unstuck command and it brings you right back to the graveyard and a few feet from your body.&nbsp Also, when you die this way instead of by a mob you don't lose any durability.
/?quest=3802	Dark Iron Legacy	52 Dungeon	48	Both	5100 XP | Item: Shadowforge Key	Dungeons	Slay Fineous Darkvire and recover the great hammer, Ironfel. Take Ironfel to the Shrine of Thaurissan and place it on the statue of Franclorn Forgewright. Ironfel	The statue looms ominously above you.	Franclorn Forgewright	Monument of Franclorn Forgewright	Here's how you get to Fineous: 1) Go into BRD (duh). 2) Go straight, clear your way to the path directly in front of you- this is the path that runs almost perfectly east/west along the southern side of the Arena. 3) Go into the Arena and do the event. This will make the spectators at the top of the Arena (you'll be there in a second) passive. 4) Go out the arena exit, it's to your left as you walk into the arena. You'll find yourself in a room with some DI Dwarves and some fire elementals. 5) On the right there will be stairs/a ramp leading up to the spectator area of the arena. Walk to the other side of the arena, DO NOT ATTACK THE SPECTATORS. 6) At the other end of the arena go down the ramp. Going right will take you to the statue you turn Ironfel in at. Head left to get to Fineous after crossing through a few rooms first. He's in the room with the large stone golems and the non-elite dwarves. He pats up and down the ramp. 7) After you kill him head back the way you came, go past the entrance to the arena and continue on to the statue that is just around the corner.	It should be noted that the 'few rooms first' mentioned in the excellent steps is actually in the area on the upper level surrounding Lord Incendras. You will go through the domicile and out into a half circle area with a short railing as the border. If you go to this railing and look down, you'll see Lord Incendras pacing about. Once you enter this area, you'll see two exits on the right hand wall, take the last one and you'll find the golem room. It isn't exactly a straight shot to him. The fight with him was pretty easy as I solo'd with a lvl 69 demo warlock, but he still gave me a run for my money. He can heal himself and he has a lot of starting health.	Obviously as stated so far, get the quest by being a ghost and visiting the tomb to talk to the questgiver.&nbsp [ul] [li]Once you have the quest, enter the instance and clear the large room with the 3-dog patrols and dwarves to make your way straight across.&nbsp [/li] [li]Make your first left in the next hallway to enter the arena.&nbsp You will fight several Kodo-type beasts (sheepable) and a named insect/arachnid.&nbsp Once this is complete, you will have turned the mobs above non-aggressive.&nbsp [/li] [li]Go through the west tunnel and up the stairs.&nbsp [/li] [li]At the top, turn to your right and you'll see another flight of stairs to you right.&nbsp [/li] [li]Go up those stairs and you'll enter the spectator area of the arena.&nbsp [/li] [li]Go around the arena and exit the other side.&nbsp [/li] [li]In here clear your way to a small flight of stairs that lead down and proceed out (don't go up the other flight).&nbsp [/li] [li]Ahead, take a left (to the right is the statue that you turn in Ironfel to) and cross a bridge where you'll be ambushed by 2 dwarves.&nbsp [/li] [li]Kill the remaining 2 fire elementals and proceed.&nbsp [/li] [li]To the right is the vault (if you have 11 Relic Coffer Keys in your party you can complete 'Heart of the Mountain').&nbsp [/li] [li]The 2nd right is where Fineous Darkvire is.&nbsp He walks around so kill the golems and dwarves until you make your way to him.&nbsp Loot him for Ironfel.&nbsp [/li] [li]Now backtrack past the vault, across the bridge, and go straight.&nbsp You'll run into two camps of mobs and see the statue ahead.&nbsp [/li] [/ul]Gratz!&nbsp You now have the Shadowforge Key.	you turn in the quest right behind the boss Pyromancer Loregrain. After finishing the arena (aka ring of law ><) boss, go up the new tunnel that opens up, then turn right and you'll be on top of the arena, go around the arena to the other side, then take a right and he'll be right there. Check some map for pyromancer loregrain if you cant find where to turn in this quest.	In order to get this quest, you must talk to the NPC outside of the instance [b]while dead[/b]. You can only see him in ghost form.
/?quest=3907	Disharmony of Fire	56 Dungeon	48	Horde	7300 XP | Pick: [Sunborne Cape (1.4), Nightfall Gloves, Crypt Demon Bracers, Stalwart Clutch (1.7)]	Dungeons	Enter Blackrock Depths and track down Lord Incendius. Slay him and return any source of information you may find to Thunderheart. Lord Incendius slain Tablet of Kurniya	The flames will soon overtake these lands. Make haste, <name>!	Thunderheart	Thunderheart	the tablet is looted from the Lord	its in kargath or w/e aka in badlands	There's a couple of ways you can reach Lord Incendius, both ways are as difficult however the 2nd guide is recommended for a solid party since the mobs are more higher level: 1a) Go up to the Ring of Law and defeat the boss there, then exit to the west into the room with the dwarfs and fire elementals. 1b) Go up the next ramp behind you right next to the ramp you've come up from the Ring of Law to where the neutral spectators are (do not fight them) and go to the other side of the room. 1c) Fight the hostile humanoids you see down the ramp, then work your way up north over the bridge fighting through a couple of dwarfs and elementals into the room with more humanoids and bloodhounds. 1d) Work your way down out of the small maze of rooms to an upper semi-circular area with more groups of humanoids you'll need to battle through at the entrance. 1e) Drop down to the level below you where you'll need to fight a couple of elementals before proceeding engaging Lord Incendius in the middle of the circular room to the north-east. -- 2a) Use the Shadowforge Key to open the gate at the left of the instance entrance, defeat the elemental, and proceed to the area with the long path that's lined with dwarf, bloodhound, and elemental patrols - fight them as necessary. 2b) Proceed east into the next area where there's groups of dwarfs that patrol back and forth - fight them to get to the opening in the wall ahead of you to the north-east with another group of dwarfs hiding behind it which you'll need to defeat. 2c) Continue up the path north-east fighting all the elementals until you reach the circular room with Lord Incendius.	to get this quest you need to complete teh quest which is the only one available, the one involing Overmaster pyron. After you kill him and turn in the quest he gives you this one.	where can i get this quest?
/?quest=4122	Grark Lorkrub	58 Dungeon	52	Both	6200 XP	Dungeons	Travel to the Burning Steppes and find Grark Lorkrub. You recall Lexlort mentioning that he was last seen in a massive Blackrock fortress. When you find Grark Lorkrub, use the Thorium Shackles to bind him and then lead him back through Blackrock Mountain to the Searing Gorge. Lexlort will have his men waiting on the other side to take Grark into custody. Provided Item: Thorium Shackles	N/A	Lexlort	Grark Lorkrub	when you attempt to shackle this guy he will aggro and attack you, you need to fight him and take him down to 1/3 hp when he will become friendly and start the escort quest... he hits hard and has much armor this quest is in no way soloable. the escort starts and you will walk with him to blackrock mountain, on the way he will stop twice and spawn two elites and two normal mobs. before entering the mountain he will spawn 3 elite dragons before going inside. once inside 5-6 non elites will&nbsp attack you, grark will not stop walking so you need&nbsp to kill fast or he will leave the quest range and you will fail. at the top of the ramp inside he will again spawn two elites and two non elites, after these the quest is done. completed with 60 rogue 60 hunter 60 shaman	Get Grark down to 25% health or so and he submits to you. Then start the next quest to escort him to Blackrock Mountain. He walks through tons of NPC camps, but you can just ignore them and walk around and he'll be fine. He calls 2 elites and 2 non elites, and if you stand far enough back they don't aggro and he stands still. Then you can pick them off one by one with sap/sheep/charm/etc. and he starts walking again. Then he gets to the bottom of the Blackrock Mountain ramp and calls 2 elites humanoids and 2 elite dragonkin. Again, stand far back and you can take your time. About 200 feet up the ramp he summons 3 56-57 dragons, but they seem to have low HP or something because they went down pretty fast. Then when you get into the mountain, he laughs and a few seconds later about 10 or so non-elites run at you from around the corner. If you have a rogue/druid, you can have them stealth along with Grark and have the rest of the party wait. Grark will go up alittle bit farther, and call 3 humanoid elites and a 58 dragon. Wait for a bit and the 10 non elites will despawn and your party can catch up with you. Then sap/sheep/etc. and once you beat the last guys some green Horde NPCs come out and chop off his head. Good luck!	Prequests: KILL ON SIGHT: - Dark Iron Dwarves (https://classicdb.ch/?quest=4081) - High Ranking Dark Iron Officials (https://classicdb.ch/?quest=4082) Follow-up: - Operation: Death to Angerforge (https://classicdb.ch/?quest=4132) Only needed to use the shackles once to turn him hostile, at 20% he turned friendly again and offered a '?', followed by the escort quest. No Orc in- and outside the Stronghold will attack him, so if you are able to stealth - good for you. At 3 points he will stop and some of his friends will popup: 1.) 2x elite and 2x non-elite Orcs. 2.) 2x elite Dragonkins and 2x elite Orcs 3.) 3x elite Dragons I've never done this quest before today and at lvl 70 ovbiously it is very easy, so I cannot judge how hard this one is around lvl 60.	There are a few tricks to make this quest easier for you and your group. First, clear the trash mobs out of the yard in front of Grark's stronghold FIRST, then get in there and defeat him fast. They will not have respawned by the time you bring him out. When you are walking with him towards the mountain, do not walk directly on top of him, stay somewhat to his [b]left[/b]. By doing this, you will be able to avoid the unrelated camps of mobs he will walk through. This isn't an ordinary escort quest he WON'T aggro non-quest mobs if your party doesn't come in their range. He's one of the bad guys, he's friends with all these mobs! The only mobs you have to fight are the ones that he spawns himself. The first few groups he spawns are easy if you have a full party, because he stands still for them. But when you get up on the ramp, for the last couple of groups he will continue walking. You must pay attention to this and continue moving with him even as you're fighting the mobs. Don't get distracted. If he gets too far ahead of you, the quest will fail. If you're having a hard time and you play on a PvE server, try doing the quest during peak time when many people are hanging around the mountain. The mobs aren't particular about who they attack, and several times while we were doing the quest some of them got trained away by people trying to help, or just innocent bystanders. This will help you, not hurt you (though it will hurt the people who get jumped by the elites!).	Grark Lorkrub is not located inside BRD - he is inside the Blackrock Stronghold (40,34) in Burning Steppes (just to your left as you exit Blackrock Mountain). Be warned that when you use the Thorium Shackles on him to turn him hostile he hits quite hard - harder than most 58elites in the game, he also takes a bit of work to get his health down. Once he is around 30% you use the Thorium Shackles again to begin an escort quest. This involves him walking from Blackrock Stronghold around up into Blackrock Mountain and through to the other side. Along the way he will stop three times and spawn a npcs. The first time is four Blackrock orcs, the second is two orcs and two elite Black Dragonspawn and the final time is three Searing Drakes. Once at the other side you will be told to go to Kargath to collect your reward. If your quest was bugged like mine and you lost your shackles you can still complete the escort then talk to the quest giver to get another Thorium Shackle before turning it in.
