# Quest Data for Dungeons - Blackrock Spire
# Generated: 2025-08-18 16:52:51
# Total quests: 37
# Comment scrape timestamp: 2025-08-18 17:14:46

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=4982	Bijou's Belongings	59 Dungeon	55	Horde	6400 XP	Dungeons	Find Bijou's Belongings and return them to her. You recall her mentioning that she stashed them on the bottom floor of the city. Bijou's Belongings	Any luck?	Bijou	Bijou	I've been on two parties when they were found and both times in different places. I've been a few times and never seen them. As you approach the ramp to the spiders, there are two groups of orcs you need to kill. We saw a chest in the group to the right (kind of a pushed in passage with some tents and a few more orcs). We killed them and looted the chest. That was where we found it once. Never seen them up top at the Ogres, and since they are above Bijou, I guess it makes sense that her supplies would be up there.	when you are done with the wooden bridges, and just before you enter the tunnel in to Omokk, there's a cleft in the ground where the floor has collapsed, Bijou stands in the floor below you if you look down there. You can get back from Bijou by going inwards after speaking to him/her, then go right, down the ramp, up the other ramp and exit through the door at the far right side of the big room you are in now. Shadow Hunter Vosh'Gajin is in the door at the close left in the same room.. Hope this helps )	Is the location of Bijou herself.&nbsp I got this quest months ago and only just now found the bleeding satchel.&nbsp I'd love to turn it in but have no clue where she hides.&nbsp Anyone wanna sell me a clue?	I got it from a small box in the room with warmaster voon.	I've been on two parties when they were found and both times in different places. I've been a few times and never seen them. As you approach the ramp to the spiders, there are two groups of orcs you need to kill. We saw a chest in the group to the right (kind of a pushed in passage with some tents and a few more orcs). We killed them and looted the chest. That was where we found it once. Never seen them up top at the Ogres, and since they are above Bijou, I guess it makes sense that her supplies would be up there. Edited, Thu Mar 30 16:10:32 2006
/?quest=5001	Bijou's Belongings	59 Dungeon	55	Alliance	6400 XP	Dungeons	Find Bijou's Belongings and return them to her. Good luck! Bijou's Belongings	Any luck?	Bijou	Bijou	Ok, I searched 'Hordemar City' for about half an hour until I discovered 'Bijou's Belongings'. [url=http://www.flickr.com/photos/hypothetic/40686952/in/set-893418/]This is where I found it.[/url] [url=http://www.flickr.com/photos/hypothetic/40686953/in/set-893418/]Better shot of where I found it.[/url] [url=http://www.flickr.com/photos/hypothetic/40686954/in/set-893418/]This is what 'Bijou's Belongings' looks like.[/url] [url=http://www.flickr.com/photos/hypothetic/40686955/in/set-893418/]Here's Bijou.[/url] [url=http://www.flickr.com/photos/hypothetic/40686957/in/set-893418/]This is how you get to Bijou.[/url] Hope this helps. Domli of Ravencrest	Bijou is found above the large, open area in Troll City, up the stairs opposite of where you came in (if you followed the standard route anyway :). The chest containing his miss-placed sack spawns randomly, I believe, anywhere on the ground floor from Voone to the spider-area. Can be tricky to spot, so look in every corner..	The 1st part of this Quest is easy to find (HOWEVER) if you drop down in the wrong place you will piss off your entire party and have to get your body outside the Instance on the exterior balcony or worse so here is way too much information. 1: Enter BRS Instance from the balcony in the Molten Span. (up the chain to the right onto the balcony) 2: Ahead there is a type of bridge with doors under it and steps going up (UP is UBRS the Leroy J part and down into the lower doors is LBRS) 3: Enter 2nd right LOWER door (LBRS) 4: Fight to the 1st bridge, just follow the path and kill the mods (the 1st bridge is the 3rd or 4th turn there is a little guy just walking around with a Quest, at this point you know your close) DO NOT DROP DOWN ANYWHERE! 5: Half way across the 2nd bridge look to your right there is a guy with a Quest NOTE: YOU CAN CLEARLY SEE HIM FROM THE TOP (standing over him) AND FROM THE SIDE (standing on the 2nd bridge) IF YOU CANT SEE HIM YOUR NOT IN THE RIGHT PLACE SO DON�T DROP DOWN! That�s the Quest to start all of this and its Raid friendly BUT keep in mind once you drop down to his area (it�s a 10 foot drop NOT THE FLOOR) you will have to fight your way back up, we had a guy drop down get the Q and die then we rezed him back up with us and had him share. 2nd Part Belongings: They spawn in a random spot (redish box) in the same general area, right before the Mothers Milk Spider. NOTE: I was not able to find these in a Raid (5 different times) but I was able to find them right away (1st trip) in a 5 man, not sure if this means its 5 man only. After that return to Bijou and get script then go turn this in (Marshal Burning Steps Camp) and 5 man the 3 Bosses down here. Kick Azz Rewards for a semi easy Quest	firstly, ark - I'm on proudmoore, so so much for us stealthing the quest together. Otherwise, I'd like to clear up where these are located. From other descriptions compared to where i found them, I'm guessing that they spawn in a random spot in the same area of LBRS. The area they spawn in is titled 'Hordemar City'. They are found in a square box. I found the box in the following spot: Before the Mother Smolderweb Spider den, there is a short dead end hallway, and a room. Both of these have orcs. JUST before the room there is a hallway that has lava on one side, and a wall on the other. Right where the hallway turns into the room, on the wall side, is where I found the box. It is behind a group of 4 orcs, so if you want to stealth it, you will need 2 rogues, at least one of them with improved sap, and make sure you have blinding powder. sap sap blind blind loot vanish vanish, wait....repeat for other rogue.	I am not sure if the spawn is random. The belongings are in a small box.&nbsp After the large troll room, you go through a small rock area and start a long hallway filled with Firebrand Orcs.&nbsp At the very begining of this hallway, on the right side, closest to the lava, you will find the box tucked in the corner.
/?quest=4983	Bijou's Reconnaissance Report	59 Dungeon	55	Both	6400 XP | Pick: [Freewind Gloves, Seapost Girdle]	Dungeons	Take Bijou's Reconnaissance Report back to Grandmaster Lexlort in Kargath. Bijou's Reconnaissance Report Provided Item: Bijou's Reconnaissance Report	Where's the goblin???	Bijou	Lexlort	N/A	N/A	N/A	N/A	N/A
/?quest=7761	Blackhand's Command	60 Dungeon	55	Both	6600 XP	Dungeons	That is one stupid orc. It would appear as if you need to find this brand and gain the Mark of Drakkisath in order to access the Orb of Command. The letter indicates that General Drakkisath guards the brand. Perhaps you should investigate. Blackhand's Command Provided Item: Blackhand's Command	N/A	Blackhand's Command	Drakkisath's Brand	This is for BWL Attunement. Basically, you loot the letter from the guy on the right before you enter UBRS, read the letter for the quest, then go all the way to the end, kill the general, then touch that glowing orb that's behind him. BAM, you're BWL attuned.	All you need to do is get the letter from the quartermaster who is near the UBRS/LBRS entrance. Once you have the letter you start the quest and you need to go through UBRS and kill General Drakkisath and touch the orb to finish the quest. You will then be attuned to BWL and able to use the outside orb to enter BWL. Good Luck -SolarFusion	This is without doubt the best quest in the game. If you don't usually have a full quest log I suggest keeping it just to read so you can fall in love with Rend Blackhand...	The Quartermaster is tagged as rare mob: [url=http://classicdb.ch/?npc=9046]Scarshield Quartermaster[/url].	Now yields 14300 experience. Well worth taking along if you ever do UBRS on the way to Outland.
/?quest=6602	Blood of the Black Dragon Champion	60 Raid	55	Both	9950 XP | Item: Drakefire Amulet	Dungeons	Travel to Blackrock Spire and slay General Drakkisath. Gather his blood and return it to Rexxar. Blood of the Black Dragon Champion	I don't think I need to tell you that Drakkisath is not to be taken lightly.I let the thousands dead by his hand do the talking.	Rexxar	Rexxar	This is a step in the long chain quest to get your Onyxia Key. Below is the Horde side chain from start to finish: - Warlord's Command(LBRS) - https://classicdb.ch/?quest=4903 - Eitrigg's Wisdom (Orgrimmar) - https://classicdb.ch/?quest=4941 - For The Horde! (UBRS) - https://classicdb.ch/?quest=4974 - What the Wind Carries (Orgrimmar) - https://classicdb.ch/?quest=6566 - The Champion of the Horde (Desolace) - https://classicdb.ch/?quest=6567 - Mistress of Deception (WPL) - https://classicdb.ch/?quest=6568 - Oculus Illusions (UBRS) - https://classicdb.ch/?quest=6569 - Emberstrife (Dustwallow Marsh) - https://classicdb.ch/?quest=6570 - - The Test of Skulls, Chronalis (Tanaris) - https://classicdb.ch/?quest=6584 - - The Test of Skulls, Scryer (Winterspring) - https://classicdb.ch/?quest=6582 - - The Test of Skulls, Somnus (Swamp of Sorrows) - https://classicdb.ch/?quest=6583 - The Test of Skulls, Axtroz (Wetlands) - https://classicdb.ch/?quest=6585 - Ascension... (Desolace) - https://classicdb.ch/?quest=6601 - Blood of the Black Dragon Champion (UBRS) - https://classicdb.ch/?quest=6602 Once you've completed all that return to Rokaro in Desolace to pick up your key!	Quest complete tonight, General dropped 2 Blood. Woot! Onyxia plz2drop my hat!	yeah i guess so, go back and you get the key, then you're ready to rock and roll :P	Can you do this in a raid? or do you need a 5man group? (impossible?)	yesterday i finished the quest and i was suprised that the blood was lootable for everyone who had the quest. i haerd that he will only drop one and u have to dice for it... Edited, Sat Jul 9 04:16:24 2005
/?quest=4765	Delivery to Ridgewell	60	57	Alliance	6600 XP | Pick: [Swiftfoot Treads, Blinkstrike Armguards]	Dungeons	Bring Ridgewell's Crate to Remington Ridgewell in Stormwind. Ridgewell's Crate Provided Item: Ridgewell's Crate	I was told a messenger would come. One with a gift from Blackrock Spire.Are you he?	Mayara Brightwing	Count Remington Ridgewell	This quest-chain is easy and it gives you something that is very expensive and/or annoying to get. REPUTATION with stormwind. I need 20k more reputation with stormwind to become exalted so I can buy a swift horse mount =). Instead of a ugly mechanostrider ^^ And besides u get cash. If the questrewards sucks , sell them.	This quest is the end of a chain, requiring a jeweled box ([url=http://classicdb.ch/?item=12352]Doomrigger's Clasp[/url]) be obtained from within Upper Blackrock Spire. The quest, also called [url=http://classicdb.ch/?quest=4764]Doomrigger's Clasp[/url] is for the Alliance only. The box resides in The Rookery & can be picked up without popping eggs (presumably at level 60, but definitely at level 70). Touching the box starts a casting timer, which does not aggro the eggs upon completion. I have not tested this with the room full of Hatchers or other grown dragonkin (only after an UBRS run). I would imagine if any dragonkin are in close proximity, they would aggro (thanks to the change around a year ago).	Gotta love how crappy the rewards are for a quest that you need at least a 10 man raid to do.	or maybe the reward is worthless? The tricky part is, unless you know exactly where the chest is, its difficult to find. UBRS typically runs with a 15 man raid - a good raid can take down drakk in 2.50 hours or less.&nbsp And I meed good as in a few peeps new to UBRS and most people with a good set of L50+ blue gear.&nbsp One lock (or two) is essential for CC. Of course with Epic gear and better I've seen a vid of 1 warr, 1 pali and 1 priest get up to and defeat the Beast. This is a side quest and nothing more.&nbsp It barely takes anytime.&nbsp After looking for chest for some time (outside of Drakk's room - in the rookery) I just asked.	Its a very easy Q just do it in UBRS Raid (read step two)
/?quest=4764	Doomrigger's Clasp	60 Raid	57	Alliance	1650 XP	Dungeons	Bring Doomrigger's Clasp to Mayara Brightwing in the Burning Steppes. Doomrigger's Clasp	Do you have the clasp, <name>? My patron will pay very handsomely for it.	Mayara Brightwing	Mayara Brightwing	Most raids won't let you get this, because they think you have to clear out the dragons, this is not true, and it is NOT in LBRS. The clasp is in UBRS, in the Father Flame room. Go with raid, finish the dungeon and when you are done killing the general, there is a small ramp to the left of the end room that leads you back to the dragon rookery (the FF room). Walk along the ledge above the dragons. Go past the large rock formation and look down. You will see the chest laying against the large rock formation. You can jump off the ledge, loot the chest and port out without fighting anything.	The chest will disappear when someone loots it, but respawn again instantly You can also pickup this quest [url=http://classicdb.ch/?quest=4766]Mayara Brightwing[/url] before, for 950 more XP at lvl 57.	What the first person said is true. I just completed this quest in a raid. After we beat the final boss, you can jump down and it is there. We completed it in a raid party and more than one person can do it per run. The box respawns about every 20 seconds and keeps coming back. You don't even need the quest to pick up this item.	Just done less than 15 minutes ago and it was there fine. Was just coming to find out where to hand it in :D Walked along one of the collaped pillars without triggering any of the eggs and it was there between a pillar and the collapsed pillar I was walking along. Just an update I received 500 rep when I handed this in not 25 and I'm currently Revered ;)	You CAN complete it in raid. AND more then one person CAN complete it. Just wait for it to respawn (takes 20 sec or so).
/?quest=6502	Drakefire Amulet	60 Raid	50	Alliance	8300 XP | Item: Drakefire Amulet	Dungeons	You must retrieve the Blood of the Black Dragon Champion from General Drakkisath. Drakkisath can be found in his throne room behind the Halls of Ascension in Blackrock Spire. Blood of the Black Dragon Champion	The flow of time does not stop or slow, <race>. While my life is eternal, yours is not. Waste not the time that you have...	Haleh	Haleh	Alliance Version To get your key to Onyxia, you must go to Morgan's Vigil in the Burning Steppes. That is where the chain starts. 1.) Quest name: Dragonkin Menace (https://classicdb.ch/?quest=4182) Start: Helendis Riverhorn Location: Burning Steppes Level: 54 elite Notes: The NPC asks you to kill a number of different types of dragons in Burning Steppes. I did this at level 60 with a level 60 warrior and myself. If you do this at level 54, I would advise taking more than two people. Some of the dragons have rather high HP and do a pretty decent amount of damage. 2.) Quest Name: The True Masters (https://classicdb.ch/?quest=4183) Start: Helendis Riverhorn Location: Burning Steppes Level: 54 Notes: The NPC asks you to deliver a letter to Magistrate Solomon in Lakeshire. 3.) Quest Name: The True Masters (https://classicdb.ch/?quest=4184) Start: Magistrate Soloman Location: Lakeshire Town Hall Level: 54 Notes: You are asked to deliver another letter to Highlord Bolvar Fordragon in Stormwind Keep. (Darkflame add: The True Masters -- Speak with Lady Prestor. 4.) Quest Name: The True Masters (https://classicdb.ch/?quest=4186) Start: Highlord Bolvar Fordragon Location: Stormwind Keep Level: 54 Notes: You are asked to take another letter back to Magistrate Solomon in the Lakeshire Town Hall. 5.) Quest Name: The True Masters (https://classicdb.ch/?quest=4223) Start: Magistrate Solomon Location: Lakeshire Town Hall Level: 54 Notes: Magistrate Solomon tells you to return to Morgan's Vigil in the Burning Steppes and to talk to Marshal Maxwell. 6.) Quest Name: The True Masters (https://classicdb.ch/?quest=4224) Start: Marshal Maxwell Location: Burning Steppes Level: 54 Notes: Marshal Maxwell tells you to find and speak to someone named Ragged John in the Burning Steppes. He is located almost directly North of Morgan's Vigil near a cave at the top of the map. 7.) Quest Name: Marshal Windsor (https://classicdb.ch/?quest=4241) Start: Marshal Maxwell Location: Burning Steppes Level: 54 elite Notes: This is where things start to get harder. You can start this at level 54, but I would not advise it until closer to level 60. Take a full group. You will be heading into Blackrock Depths for this. Marshal Windsor is located in one of the cells towards the right side of the entrance to the instance. 8.) Quest Name: Abandoned Hope (https://classicdb.ch/?quest=4242) Start: Marshal Windsor Location: Blackrock Depths Level: 54 elite Notes: Again, take a full group of five. The more level 60's you have the easier this will be. Once you talk to Marshal Windsor, he tells you to leave him and talk to Marshal Maxwell again. So it's back to the Burning Steppes for you. 9.) Quest Name: A Crumpled Up Note (https://classicdb.ch/?quest=4264) Start: Crumpled Up Note Location: Blackrock Depths Level: 54 elite Notes: After you talk to Marshal Maxwell, the chain seems to end. You must go back to Blackrock depths and kill enemies until one of them drops the crumpled note. It is a random drop, but luckily does not seem to take long to get. When you do find it, you must take it to Marshal Windsor, who is still sitting in his jail cell in Blackrock Depths. 10.) Quest Name: A Shred of Hope (https://classicdb.ch/?quest=4282) Start: Marshal Windsor Location: Blackrock Depths Level: 58 elite Notes: Marshal Windsor asks you to find his lost information. There are two pieces, they are dropped by General Angerforge and Golem Lord Argelmach.	11.) Quest Name: Jail Break! (https://classicdb.ch/?quest=4322) Start: Marshal Windsor Location: Blackrock Depths Level: 58 elite Notes: This is the infamous escort quest that you have probably heard about at some point in guild chat or in your travels. This quest is actually extremely easy to do, provided you take the right precautions. Before ANYONE accepts the Jail Break! quest from Marshal Windsor, you must clear the path that he will be walking to retrieve his gear. There are two main areas you must clear, the first being the ring in which his cell is located, the other being the Ring of the Law. Make sure you clear out the cells along the way as well. Marshal Windsor gives off an aura that inceases attack speed, not everyone in the party will get it, it is broken so don't worry about it. Even if you clear out the path, there will still be enemies that spawn to attack you. Make sure your tanks are on their toes, you don't want Marshal Windsor dying and he is a pretty weak guy at this point in time. And no you cannot heal him during the fights, he will refill by himself after each one is over. After you are done, go back to Morgan's Vigil in the Burning Steppes and talk to Marshal Maxwell. 12.) Quest Name: Stormwind Rendezvous (raid) (https://classicdb.ch/?quest=6402) Start: Marshal Maxwell Location: Burning Steppes Level: 63 elite Notes: Head to the gates of Stormwind. You may have to wait a few seconds for Marshal Windsor to spawn at the gates, once he does, talk to him to continue the quest chain. 13.) Quest Name: The Great Masquerade (raid) (https://classicdb.ch/?quest=6403) Start: Marshal Windsor Location: Stormwind gates Level: 63 elite Notes: You will now have to follow Marshal Windsor through Stormwind, talk to him to start the quest. He will stop to talk to General Marcus Johnathan, just let him yap and eventually you will be told to follow him to the keep. When you get to the gates of the keep, he will stop and tell you to give him the signal when you are ready. Just click him again and you will have to follow him into the keep. When you get to Highlord Bolvar Fordragon, you listen to some arguement and then Lady Onyxia will spawn. At this point, if you are melee get the hell out of the way and DO NOT try and help Bolvar. He will be fighting a bunch of level 62 elites. When I did it, a crit of 1300 damage didn't even budge one of their HP bars. Bolvar will be taking them down, you can do this with just one ranged class helping. Myself and a warrior did it after the buff the dragons got in the patch, I attacked whatever one Bolvar was, and the warrior just watched. 14.) Quest Name: The Dragons Eye (https://classicdb.ch/?quest=6501) Start: Highlord Bolvar Fordragon Location: Stormwind Keep Level: 63 elite Notes: Bolvar will give you a medallion, take it to Winterspring. You must find an NPC named Haleh. He is in a cave to the south/middle of the Winterspring map. The cave is full of elite drgaons and dragonkin. So either take a group, or get naked and start corpse running. At the back of the cave is a blue glowy thing on the ground. Step on it to get teleported to Haleh. 15.) Quest Name: Drakefire Amulet (https://classicdb.ch/?quest=6502) Start: Haleh Location: Winterspring Level: 63 elite Notes: Haleh tells you to retreive the Blood of the Black Dragon champion from General Drakkisath. This means you have to go to Upper Blackrock Spire. This will take a raid group of 15 people. The General drops anywhere from two to four blood per run now, so you won't have to deal with the nightmare of endless runs to get your one blood like I did. Once you do, return to Haleh and he will give you your key to Onyxia. Congratulations! Now you can join other players in attempting to kill her! Thanks to Filterspawn for the guide.	15.) Quest Name: Drakefire Amulet Hunters quick leason here on kiting. Which you will be asked to do here. Genreal Drakkisath has 2 mobs with him which are usually taken by the 2 warriors or whatever you have in the group. The big thing for you is getting the general as far away from the group as possible. What you need to do is put on aspect of the cheetah and get just in range of the general. When everyone is ready it is really simple shoot drak and run like crazy to the beasts room. Drak should follow you and with aspect of the cheetah on he should not catch you. When you reach the beast room run him along the walls til he is in your range again. Once he is in your range again that means you are in his. Simply fiegn death and lose aggro. By now your group should be done with drak's mobs and ready for him. If not you can start the whole thing over as long as you are over the bridge. You might die the second time depended on how much cooldown you have left on fiegn death. One big thing to remember is that when entering the beasts room there is some fire. Make sure to JUMP over the fire or you will be dazed and probably die from the general. That is the jist of kiting Drak and I hope it helps. It isn't as hard as everyone thinks it is but for the most part it is needed.	Well, the coords way was waay to diffuclt for a danish warrior to figure out. So we came up with an alternate way of finding it, This requires a � liter bottle, prefferably Jolly. [img]http://img75.imageshack.us/img75/5742/dsc02287vh7.jpg [/img] P.S, my Regards to Sidonius and Isiolia. And ofcourse kealkalot who was the reason this alternate method had to be invented.	on horde you have to do these: 1) do the 'For the Horde quest!' 2) speak to Thrall after doing 1) and he will tell you to pay a visit on rexxar on desolace. 3) rexxar will send you to myranda the hag on WPL, she will give you a quest to gather 20 eyes from black dragonkins inside ubrs (each mob drops 100% 2 eyes so its pretty easy to collect, at least 2-3 ppl can collect 20 eyes each in 1 run) 4) returning to myranda with the eyes she will give you an amulet , https://classicdb.ch/item=24138, using this amulet on emberstrifes den on dustwallow allows you to transform into dragonkin (super cool) and you get to speak to emberstrife this way 5) emberstrife will initially give you 3 quests: a) the test of skulls, Scryer b)the test of skulls, Somnus c) the test of skulls, Chronalis. they are 3 dragons , on winterspring, tanaris and swamp of sorrows. 6) after you do the first 3 tests of skulls you will get a 4th one from emberstrife, The test of skulls, axtroz. dragon located on wetlands. 7) after doing the 4th dragon, emberstrife will give you an amulet. (dull drakefire amulet) 8) you deliver the amulet to rexxar and you get the final quest, to kill drakkisath and get his blood (blood of the black dragon champion) 9) drakkisath for now drops only 1 blood per run so you must do 1 full ubrs run for each ppl to each get 1 blood. after the next patch drakki will drop 2-4 bloods. 10) deliver the blood to rexxar and you finaly get : https://classicdb.ch/item=4829 which is the key to onyxias lair. by the way the horde chain looks easier than the alliance once. the sad part is we dont get to see thrall or sylvannas fighting onyxia :(
/?quest=4735	Egg Collection	60 Raid	57	Both	9950 XP	Dungeons	Bring 8 Collected Dragon Eggs and the Collectronic Module to Tinkee Steamboil at Flame Crest in the Burning Steppes. Collected Dragon Egg (8) Collectronic Module Provided Item: Collectronic Module	Do you have the eggs, <name>? My patron heard you were collecting them for me, and is very eager to get his hands on them!	Tinkee Steamboil	Tinkee Steamboil	1 L52 [url=https://classicdb.ch/quest=4726]Broodling Essence[/url] 2 L54 [url=https://classicdb.ch/quest=4808]Felnok Steelspring[/url] 3 L54 [url=https://classicdb.ch/quest=4809]Chillwind Horns[/url] 4 L54 [url=https://classicdb.ch/quest=4810]Return to Tinkee[/url] 5 L60 [url=https://classicdb.ch/quest=4907]Tinkee Steamboil[/url] 6 L60 [url=https://classicdb.ch/quest=4734]Egg Freezing[/url] 7 L60 [url=https://classicdb.ch/quest=4735]Egg Collection[/url] 8 L60 [url=https://classicdb.ch/quest=5522]Leonid Barthalomew[/url] 9 L60 [url=https://classicdb.ch/quest=5531]Betina Bigglezink[/url] 10 L60 [url=https://classicdb.ch/quest=4771]Dawn's Gambit[/url]	To clarify: [ol] [li]This quest is part of a series. It begins with [quest=4726] and the step immediately before this one is [quest=4734]. It continues with [quest=5522].[/li] [li]When you complete Egg Freezing, you will receive an [item=12144]. Make sure you have that with you when you go into UBRS. Use the Eggscilloscope on the eggs first and then collect them with the [item=12287].[/li] [li]You [i]can[/i] do Egg Freezing and Egg Collection in the same instance, but you will need to leave to turn in Freezing to [npc=10267] and then pick up Collection.[/li] [/ol]	Both this part and the last part of the quest are easy, all you have to do is freeze the egg get close (not too close) and use the other item. Although it did take like 1 or 2 mins to collect the 8 eggs. You don't click on the eggs, just use the devices in your backpack.	The eggs required for this quest are in the Rookery in Upper Blackrock Spire (UBRS). Simply freeze the eggs and slowly approach them and use the device provided by the quest to capture them. Getting to the eggs, however, does in fact require a raid. If your raid does not want to do your quest, just wait until they finish up and head back down to the Rookery and complete it yourself.	if your raid doesn't want to bother with your quest while they're in the rookery, just wait until you've killed General Drakkisath and finished the run.&nbsp from there you can jump straight down to the rookery, and as long as you don't pop any whelps, you should be able to finish the quest solo.
/?quest=4734	Egg Freezing	60 Raid	57	Both	8300 XP | Item: Eggscilloscope	Dungeons	Use the Eggscilloscope Prototype on an egg in the Rookery. Test the Eggscilliscope Prototype Eggscilloscope Prototype Provided Item: Eggscilloscope Prototype	<name>, did you test the eggscilloscope?	Tinkee Steamboil	Tinkee Steamboil	This is a 'see-what-happens' type of quest. If you get too close to the eggs before freezing it, you'll most likely see why Leeroy Jenkins hasn't been invited to many UBRS runs. When you freeze one egg, you will be asked to collect 8 more of them and return to the averagly insane goblin lady. You get to keep the egg freezer if you ever feel like playing with fire again in UBRS or Onyxia's place. The followup leads you to Scholomance, Equipped with Dawn's Gambit in order to turn all of Vectus' students into non-elite skeletons and then kill Vectus himself. P.S. Vectus drops cloth laggings with shadow and fire resistance and an amulet with extra shadow damage, quite lovely.	Leads to http://classicdb.ch/?quest=4735	You can do both the freezing and the collecting in one instance - when you are done make the raid leader make you the leader of the raid (or just wait for everyone to leave) then run out, hand in, run back. wont be reset. best to do as a rogue in case of spawns... or a hunter, but if the UBRS run was fast you shouldn't have spawns anyway.	Would this work against the welps in Onyxia's chamber?	After having used it to freeze one egg you will be sent on a mission to freeze 10 egg and collect them. After you turn that one in you will keep the eggsciliscope for further use, if you ever should find yourself venturing to UBRS again. This questline will send you to scholomance next to some things there.
