# Quest Data for Dungeons - Dire Maul
# Generated: 2025-08-18 16:54:05
# Total quests: 41
# Comment scrape timestamp: 2025-08-18 17:15:18

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1193	A Broken Trap	60 Dungeon	56	Both		Dungeons	A large, broken trap lies before you. From the looks of it, the ogres have tried to repair the trap but to no avail. A hastily written note lies next to the trap, and strangely enough it details exactly what is needed to repair it: a thorium widget and some frost oil. Were the trap repaired, an ogre passing near it might get trapped, and could be avoided. Clearly, it would seem fortuitous that very few ogres know how to read. Clearly. Thorium Widget Frost Oil	N/A	Broken Trap	Broken Trap	Activating the trap does require a few seconds of Opening, so make sure you've got some time before [npc=14323] paths back.	This is actually doable without aggroing the mobs near the trap. Have a priest mind sooth the mobs near the trap and while the Gordock gaurd paths away have a rogue or hunter run up and arm the trap. If the rogue or hunter accidently still aggros they can vanish / feign death. However if mind sooth fails you will have to fight. With a good group you can essentially do the whole tribute run in about 20-25 min.	if youre a lvl 60 party you dont even have to use the trapp since if you just hugg the wall to the left you can sneak past the guard without aggroing him guess this trap quest is only for thoose doing tribute before 60	N/A	N/A
/?quest=8948	Anthion's Old Friend	60 Dungeon	58	Both	6600 XP	Dungeons	Take the incomplete Banner of Provocation to Falrin Treeshaper at the library in Dire Maul. Incomplete Banner of Provocation Provided Item: Incomplete Banner of Provocation	Speak up stranger, can't you see I'm busy?	Anthion Harmon	Falrin Treeshaper	[quest=8949] DM or LBRS!	Go in Dire Maul north (the ogre zone) (either use the crescent key, get someone else to open it up, or strip, die, and rez on the other side). Stealth straight across to the ramp into the courtyard full of ogres and dogs. You must avoid any ogre pats and especially dogs -- they see through stealth. Hop onto the left lip of the ramp. Angle yourself so that you're mostly aiming down for best results. Don't go very far down the ramp. Hop down onto the ledge and sneak around to the ramp down on the left side of the courtyard. You can stay clear of the ogres. Open the door below and walk to the library. (I'm not sure if this door opening requires the crescent key or not -- I had it at the time). Otherwise you'll require a party.	Either the Crescent Key, some kind of Seaforium Charge, or lockpicking skill is required to get past that second door as well as the first.&nbsp The strip/die/rez on other side trick won't work here, since you'll be in an instance at this point.	The Time-Constrained Player has not been in many instances and dungeons, not because I don't have 2.5 hours of continguous time but because sometimes the 2.5 becomes 4.5 as I learned in Uldaman. Had fun but the repercussions were not worth it. Tried stealthing into Dire Maul out of curiosity. Some treant or other mob saw right through my 60-level stealth (Shouldn't they have a warning sticker or an FDA label?) and about 2,476 unfriendly locals attacked me simultaneously. They must have been on overtime pay. Is there a way for a 60 Druid to solo this? Or should I just give up? I don't have the time and probably not the patience to put a group together. What would I offer them? More loot than I am likely to win?	Edited, Sun Apr 2 19:58:16 2006
/?quest=7463	Arcane Refreshment	60 Dungeon	60	Both	6600 XP	Dungeons	Travel to the Warpwood Quarter of Dire Maul and slay the water elemental, Hydrospawn. Return to Lorekeeper Lydros in the Athenaeum with the Hydrospawn Essence. Hydrospawn Essence	Yes? Do I know you?	Lorekeeper Lydros	Lorekeeper Lydros	I'm sure almost every mage wants to do this quest. 4200 mana over 30 seconds is invalueble. Here's my attempt at a detailed decription on how to obtain and complete the quest. Navigating in Dire Maul (DM): There are 3 sections of DM (North, East and West). Only 2 sections concern this quest, which is North and East. The questgiver is in the North, and the quest item is from the East. You will need a Crescent key to enter the North instance or a rog with max lock picking skill (Engineers, I have already tried blowing the doors up. Didn't work). Upon entering DM from Feralas, you just need to follow the corridor till you reach a 'T' path (you will notice a huge double wooden door at the T - Only graphics, cannot be opened). To the sides of the door, there are two slip-in entries. Go through both of them and it will bring you into a courtyard with ogres. Hugging the right wall will take into the east instance, left to west and straight across the courtyard is north. Aggro range here is very small so its easy to slip past them. Dog patrols exist and they see through invis. Step 1: Obtaining a Crescent Key https://classicdb.ch/item=35607 This is gotten from the east instance (entering from the courtyard). Immediately entering the instance, you see a non-aggro imp on your left. Speak to him and he will start running. Fight your way in the direction he ran to (right of entering the instance). Speak to him again, and he starts running. It goes on for a couple of times. By hugging the right wall and killing everything in the way, enter the 2nd corridor (1st one takes&nbsp you out of the instance). Go all the way straight down the corridor downstairs and hug the right wall, killing everything in your way. Go upstairs and you should see the imp there again. Talking to him will trigger him to fight. He spawns little imps over time, so focus your dps on him and deal with the non-elite adds after. Loot the key. Step 2: Where's the questgiver? This can be done solo without any means of invis. Upon entering the north instance, there is a group of 3 ogres to your left and 1 wandering ogre infront of you. If you see the 3 ogres, you should also see a ramp down near them. Wait for the wanderer to move away and head down the ramp. Jump off the left side of the ramp to avoid the 2nd group of ogres, and head down another ramp. This will bring you to another door that needs the Crescent key. Through that, all the way, takes you to the library. Questgiver is straight ahead of you, 1st bookshelf to your left. Step 3: Getting the Hydrospawn Essence. Eastern instance, coming from courtyard zone-in, hug the right wall, through the 2nd corridor, 1st right into a hall filled with Satyr demons and plants. Kill your way along the left wall and take the left turn below the ramp. Kill along the left wall again and this will take you to a pool with hydrospawn in it. He spawns little water elementals as well, but they despawn when Hydrospawn dies. So focus dps on him again. Immune to cold. Step 4: Back to quest giver. Sorry if this seems a little long. But I didn't do any DM runs prior to this quest. I'm sure many fellow mages are alike. I hope this gives you more help than you need.	Quest giver is in the Library area of the west wing-- you will need the key from the east wing to get there. If you enter through the north and have leet skills, you can get to the Library without aggro. The mob you have to kill is back in the east wing, the water elemental.	As of Patch 1.12 (drums of war) you can still blink through the door, 60 mage, took about 4 tries, only aggroed the one mob to die in front of first door, very simple, read the threads above	This is now trainable in patch 2.0.1. The only reason to do this quest now is to avoid the training cost. Ultimately not worth it.	this is essential for all level 60 mages. it probably should have been listed with the mage quests, too. you take the quest form DM library, accessable from west and north instances but the quest NPC, Hydrospawn, is in the east instance and is immune to frost.
/?quest=7492	Camp Mojache	57 Dungeon	54	Both	1500 XP	Dungeons	Speak with Talo Thornhoof at Camp Mojache in Feralas.	N/A	Warcaller Gorlach	Talo Thornhoof	If an undead priest can't get it, it probably means that there is an Ogrimmar reputation requirement.	Im an ud priest and i can't accept this quest. But i know a ud priest on my server and he finished this quest... Does one have to do something to be able to get this get quest? This is really pissing me off... I want that dagger so bad. Does anyone know how to get this quest?	can't be accepted by undead priests for some reason...	I want to get my hands on that lorespinner, and ill thank blizzard from keeping me from it.&nbsp Im hoping for a hotpatch soon, cuz theres more than a few issues with this patch.&nbsp Like, perhaps, allowing raids in BRS to complete quests, its near impossible to complete the Warlords Command quest.&nbsp I mean, come on Blizz, Wake Up!	Undead priest cant get this quest? what the hell? thats just plain wrong
/?quest=7499	Codex of Defense	60 Dungeon	54	Both	7050 XP | Item: Royal Seal of Eldre'Thalas	Dungeons	Return the book to its rightful owners. Codex of Defense Provided Item: Codex of Defense	You have recovered a tome!	Codex of Defense	Lorekeeper Kildrath	so I really hate how allakhazam doesn't list the class restrictions. This looks like the warrior book. Anyone wish to confirm	Just got the book today but cant find how to completed the quest, anyone have some answer ?	Ok. The item obtained from this quest is [item=18466] A similar item will drop from all other class related quests, they all have +10 fire resistance and a varying class effect. Edited, Sun Mar 27 11:56:22 2005	To complete this quest, you turn it in to one of the shandralar elves in the library at Dire Maul. I turned mine in to the elf near the vendor in the library.	N/A
/?quest=7481	Elven Legends	60 Dungeon	54	Horde	8300 XP	Dungeons	Search Dire Maul for Kariel Winthalus. Report back to Sage Korolusk at Camp Mojache with whatever information that you may find. Master Kariel Winthalus Found	My associate, the night elf scholar, Runethorn, is recruiting her allies for this task.	Sage Korolusk	Sage Korolusk	Ok, you need to get through two doors to get into the Library., so a Crescent Key or two charges or lockpicking are needed. [b]Enter DM North[/b].&nbsp There is a left-right pathway overlooking a courtyard ahead of you.&nbsp There is a mob with dogs who walks down there (in a circle, so you can go after him) and another one who walks to the ramp and back (so wait until he is heading away from the ramp).&nbsp Avoid those!&nbsp When the coast is clear, go forward toward the courtyard and turn left.&nbsp Almost immediately on your right is a ramp heading down into the courtyard.&nbsp You need to jump up on the left wall of the ramp.&nbsp To do this you need to achieve a certain velocity and angle so it may take a couple tries, but it's not too tricky.&nbsp [i]You cannot walk down this ramp into the courtyard because you will draw aggro from 4 elites.[/i]&nbsp Likewise, when you are coming back up you will definitely draw aggro unless you have some clever tricks at your disposal.&nbsp From the wall jump down on the grass and walk toward the other ramp, which heads west. This ramp has another locked door at the bottom which leads to a tunnel going to the Library.&nbsp When you open the door there's a long tunnel going straight there - no aggro at all.&nbsp [b]The NPC for Elven Legends is a skeleton on the floor next to Lorekeeper Lydros.[/b]&nbsp Interact with the skeleton, return to the quest giver in Feathermoon and you're good to go for the Libram quests. Oh, and getting out... as I said you WILL draw aggro trying to go up out of the courtyard unless you have a trick up your sleeve (stealth, invisibility potion, etc). So prepare to fight 4 elites, spirit rez or return to the instance for corpse. :) Thanks to Paelos on Proudmoore for showing me this shortcut!	This quest is the prerequisite to the creation of Librams of Focus, Protection and Rapidity. It simply requires that you go to the library between Dire Maul West and North and inspect a skeleton near Lorekeeper Lydros.	Ok so do the whole line of quest--for the dire maul books you do not need to go to Burning Steppes just complete this line and you are good to go--easy to solo your way into DM north--if u dont have a key get a pal who can blow the door with the seaforium charge or has a key. you run back and forth a couple of times I used feign death and invisibility cloak was helpful to solo, but a lesser invisibility potion will do the job. If you are like me and got the libram before the quest and have no idea who gives it its a wandering sentry in the island of the shore of feralas!Feathermoon stronghold--If the boat is not on the shore to get there just swim its faster, there is no fatigue water if you go directly west to the island swimming.	His remains are in the Library of Dire Maul next to Lorekeeper Lydros.	The location isn't called the Library and although its easiest to access from the North Wing ita actually in the Anathaenum Which is the West Wing
/?quest=7482	Elven Legends	60 Dungeon	54	Alliance	8300 XP	Dungeons	Search Dire Maul for Kariel Winthalus. Report back to Scholar Runethorn at Feathermoon with whatever information that you may find. Master Kariel Winthalus Found	My associate, the night elf scholar, Runethorn, is recruiting her allies for this task.	Scholar Runethorn	Scholar Runethorn	STOP!&nbsp THIS is what you do: First get all the mats: 1x Blood of Heroes (found in certain spawn points in the plaguelands) 2x Large Brilliant Shard 1x Pristine Black Diamond THEN get the quest 'Elven Legends' in Feathermoon from Sage Korolusk. This is SIMPLE: 1. Enter DM north Library, inspect the bones, then talk to the bones/ guy next to bones. 2. Return and turn in Elven Legends in Feathermoon. 3. Return to DM Library and talk to the guy beside the bones again and he gives you THREE Libram quests, one being for Rapidity.&nbsp As you have the mats, turn in the quest and get the reward Arcanum of Rapidity. I did this quest TWICE within 5 minutes of each other.&nbsp As you can only have 1x Libram of Rapidity (that book), you need to mail one to yourself from another toon.&nbsp As soon as you get the first Arcanum of Rapidity, get the quest again from the same guy, the go to Feathermoon mailbox and get your Libram of Rapidity, return to DM Library and turn it in to the same guy.&nbsp Just be sure to have 4x blood of heroes, 4x large brilliant shards, 2x Pristine black Diamonds.&nbsp Thats all you need to do - you DO NOT need to go to ZG!&nbsp But you will have to get the Blood of Heroes in Eastern Plaguelands youself as they are soulbound.	The [url=https://classicdb.ch/?object=179544]corpse[/url] can be found in the center of the Dire Maul library, which you can sneak into via the North entrance, by [url=https://classicdb.ch/?npc=14368]Lorekeeper Lydros[/url]. Upon completing this quest, the next time you visit Lydros you will have access to his Libram quests: Libram of Focus - https://classicdb.ch/?quest=7484 Libram of Protection - https://classicdb.ch/?quest=7485 Libram of Rapidity - https://classicdb.ch/?quest=7483	1. find the bones 2. talk to the ghost of kariel winthalus, should be near the bones 3. go back to Runethorn the text '...go to Korolusk...' she tells you is wrong. dont listen to it )	The quest starts with Scholar Runethorn. She paths around Feathermoon Stronghold. This quest must be completed to turn in Protection, Focus, and Rapidity Librams.	Turned in today, received 14,100 XP.
/?quest=8949	Falrin's Vendetta	60 Dungeon	58	Both	6600 XP | Pick: [Beads of Ogre Might, Beads of Ogre Mojo]	Dungeons	Collect 25 Ogre Warbeads from Ogres inside Dire Maul or Blackrock Spire and return to Falrin Treeshaper inside the Athenaeum in Dire Maul. Ogre Warbeads (25)	Have you performed the favor I asked of you, <name>?	Falrin Treeshaper	Falrin Treeshaper	[quest=8950]	Best way to complete this quest is to farm DM north (non tribute run). Beads also drop from the ogres in the DM courtyard and LBRS, but will take you a much longer time.	According to WoWWiki, the droprate is as follows: Outside of DM: 1/50 DM North: 1/10 LBRS: 1/7 'Although the drop rate is much higher in Lower Blackrock Spire, there are also far fewer ogres in that instance. It will require multiple runs of either instance to obtain all of the Ogre Warbeads required.' :) Not looking forward to do this, tho.. Hoorah for yet another instance grind :(	I did one Tribute run, and got 13 of these. The droprate goes (roughly) as follows: Dire Maul (Outside): 1:30, Dire Maul (North): 1:5, Lower Blackrock Spire: 1:2.&nbsp	FYI guys, at least in my experience...&nbsp Me and a friend farmed the first few guys in DM North. The first 5 mobs seem to drop at least one per mob. We reset 5 times, and I currently have about 20 beads. This seems to be the most efficient way to do it. Good luck guys!
/?quest=7494	Feathermoon Stronghold	57 Dungeon	54	Alliance	1500 XP	Dungeons	Speak with Latronicus Moonspear at the Feathermoon Stronghold in Feralas.	N/A	Courier Hammerfall	Latronicus Moonspear	Starts in multiple places (all major cities) from wandering people, such as Herald Moonstalker in Darnassus, and Courier Hammerfall in Ironforge (not sure of Stormwind starting person :P)	Crier Goodman is the man in SW who gives this	is there any other quest linked to this ... i can't seem to get the quest	The level needed to attain this quest is 54, I believe. Multiple NPC's in the major cities will give you this quest. This quest seems to be related to: [url][quest=7488]] Edited, Mon May 16 11:03:32 2005	The courier Hammerfall in IF will send you to Latronicus, location 30,46 in feralas in Feathermoon Stronghold
/?quest=7507	Foror's Compendium	60 Dungeon	60	Both	9950 XP	Dungeons	Return Foror's Compendium of Dragon Slaying to the Athenaeum. Foror's Compendium of Dragon Slaying Provided Item: Foror's Compendium of Dragon Slaying	Ah, one of our greatest compilations. This one has been missing for ages.	Foror's Compendium of Dragon Slaying	Lorekeeper Lydros	Lords & Ladies: There is a lot of whining above, but let me set the record straight. My guildmates and I have assisted in the forging of no less than half a dozen Quel Serrars in Onyxia's Lair. It is not all that hard if you know what to do. After the first two phases of the Onyxia battle have passed, let your tank be absolutely confident that he has the great wyrm under control. Get her down to bout 5% so that you know that you've got this battle within reach. Plant the blade in front of Onyxia's face next to your tank, then quickly get the heck away from her. (If the battle is going badly and you're not completely confident that you're going to win, KEEP THE BLADE in it's sheath. You can always try again after you wipe if you didn't put it down to be breathed on.) Your tank (who should have sufficent Fire Resistance to sustain a GREAT MANY breaths, duh!) can give you a shout when the blades been breathed on. Run over and pick up the blade. If you're concerned about getting killed, down a Fire Resistance potion before running over to Onyxia's face. Grab the blade and get the heck away from her. At that point you've now got 20 minutes to take her from 5% to 0%. If you can't do that, well, maybe you should have sold the book to start with. :-P Grab your blade and stick it in her corpse. Run back to Dire Maul and complete the quest. If you've pulled it off, welcome to the elite ranks of Azeroth.	When you get this book, you give it to a guy inside DM. Then he gives you a new quest called A dull and Flat Elven Blade. Later on, you have to go to Onyxia and wait for her to breathe fire on it. You have to put it in front of her before breathing fire. When she breathes fire, u have to kill her in 20 minutes. When she dies, u stick the blade in to her corpse and create the forged elven blade. Then immideately return to the guy in DM to get your Quel'Serrar.	The book starts an Epic Quest for Wars & Pallys for the 1h sword Quel'Serrar. This epic sword nearly out damages most 2H Weapons including some high Epic 2H. Quel'Serrar Binds when picked up Unique Main Hand Sword 84 - 126 Damage Speed 2.00 (52.5 damage per second) +12 Stamina Classes: Warrior, Paladin Durability 105 / 105 Requires Level 60 Chance on hit: When active, grants the wielder 20 defense and 300 armor for 10 sec. 'The High Blade' Sells for 11 Gold 26 Silver 51 Copper to vendors Item Level 71 Only drops in Dire Maul. The Quest: The Forging of Quel'Serrar. After a few steps here and there. The last part is to have Onyxia breath on Sword (fire the sword). Then you have to kill her in 20min. I plan on Dual Wielding Quel'Serrar with another Epic or rare. That will be SWEET! :) Edited, Tue Jul 5 17:08:58 2005	This is the item needed to obtain Quel'Serrar (https://classicdb.ch/?item=18348). You get this book (either through long days in Dire Maul or the Auction House) and you return it to the library. The follow up to start the chain for the Quel'Serrar is found here https://classicdb.ch/?quest=7508	Its a random Rare drop from Dire Maul. Guildee got it yesterday in DM west off a boss. it doesnt always drop off the boss its just random. doing the chain quest gets u the Quel'Serrar but also requires u to defeat onyxia https://classicdb.ch/item=35887
