# Quest Data for Dungeons - Gnomeregan
# Generated: 2025-08-18 16:52:13
# Total quests: 27
# Comment scrape timestamp: 2025-08-18 17:15:37

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=2904	A Fine Mess	30 Dungeon	20	Both	2450 XP | Pick: [Fire-welded Bracers, Fairywing Mantle]	Dungeons	Escort Kernobee to the Clockwerk Run exit and then report to Scooty in Booty Bay. Kernobee Rescue	Eh? Kernobee is alive??	Kernobee	Scooty	All you need to do is lead him towards the FRONT instance entrance, you don't need to go through it, but you'll have to lead him there.&nbsp The monsters for me came back, so they might respawn for you too.	Ok, this guy is just after the clean room. When you go down the steps to where you do your second punch card there are several rooms off to the right. He is in one of them just explore but be careful.	You will find this NPC in the cave with the troggs, there is a room that has several other rooms in the area. In the far left room you will find this NPC asleep, you talk to him and accept the quest. [b]Warning[/b]: This is an escort quest so you need your group ready to take down some stuff, and once you get to the entrance of the instance he will disappear. After that, just fly to Booty Bay and get a decently little prize, especially if you're a hunter.	You'll find him in the Dormitory, top-left room as you face the south ramped wall. (It's north-facing) The dormitory can be found on the southern part of the far eastern side of the instance, south of the front entrance. The dude you escort will follow you instead of leading the way, so you can take your time with no need to clear a path.	For those of you having trouble finding scooty, he is right outside the bottom entrance to the inn.&nbsp He is standing next to a big engineering contraption - looks like a teleporter or something.
/?quest=2931	Castpipe's Task	28 Dungeon	25	Both	230 XP	Dungeons	Speak with Master Mechanic Castpipe in Ironforge.	N/A	Gaxim Rustfizzle	Master Mechanic Castpipe	This quest is an optional prerequisite of Data Resque. You can get and complete the data resque task without doing this quest.	Yeah, it's an optional quest with very little rewards but at least you get something for it. For those wondering, he's in Tinker Town in Iron Forge at 70,48.	The master mechanic castpipe is in Tinker Town, Iron Forge.	Is it really worth going for if it is just an 84% chance?	N/A
/?quest=2842	Chief Engineer Scooty	35 Dungeon	20	Both	280 XP	Dungeons	Speak with Scooty in Booty Bay.	N/A	Sovik	Scooty	so everybody was too busy complaining that the alliance can't do horde quests to bother posting where scooty actually is. he's outside the salty sailor tavern on the east end of booty bay, at 28,77	This quest chain allows Horde characters to easily access Gnomeregan.	I had trouble with this quest finding the correct order. I finally got it so everyone else won't have such a hard time. This is for horde only. I don't know the steps for alliance sorry. STEPS in order: 1. Go to Tinker shop in Org. Valley of Honor 2. Speak to 'Nogg' Expert Engineer trainer, take 'Rig Wars' quest 'taking this quest is what makes the second step available' 3. After taking Rig Wars, Speak to Sovik (engineer supplie dude) and take 'Chief Engineer Scooty' . 4. Go to Booty Bay. Scooty is just outside of the inn (you'll have yellow dot on minmap) 5. Speak to him to complete step one, then speak to him again and take Going Gooone or whichever, just keep talking to him til he gives you the transponder, That's it. Hope this helps you all out :)	WARNING: I just had a GM confirm that this quest (http://classicdb.ch/?quest=7728 ) is the one that BUGS the Gnomeregan teleporter quest line!!!! If you complete STOLEN: Smithing Tuyere and Lookout's Spyglass before you complete Chief Engineer Scooty (http://classicdb.ch/?quest=2842 ), you can NOT pick up that quest anymore, and you will NOT be able to get your Goblin Transponder (http://classicdb.ch/?item=9173 ) to teleport to Gnomeregan. Reminder: Chief Engineer Scooty is obtainable after you talk to Nogg next to Sovik and accept Rig Wars (http://classicdb.ch/?quest=2841 ). The GM escalated my ticket to a Character Specialist, said it will take 3-5 days for him to respond. Currently waiting for the response.	This quest IS currently bugged, but it has nothing to do with being high level or blood elf. Completing certain (unrelated) high level quests will cause this quest to be marked as completed as well. That's why you can't get it from the NPC anymore and the GM sorcen talked to told him he had already completed it when he hadn't. If someone in your party tries to share it with you, they will also see the '[name] has already completed this quest' message. Unfortunately, despite that, scooty does not allow you to restore the teleporter unless you really did complete the quest... which means that currently, if you are in this situation, you will have no other choice than to walk to gnomeregan the long way.
/?quest=2930	Data Rescue	30 Dungeon	25	Both	3650 XP | Item: Repairman's Cape | Item: Mechanic's Pipehammer	Dungeons	Bring a Prismatic Punch Card to Master Mechanic Castpipe in Ironforge. Prismatic Punch Card	Do you have the prismatic punch card??	Master Mechanic Castpipe	Master Mechanic Castpipe	White Punch Card - Drops randomly from a mob outside the instance. Yellow Punch Card - Use an 'A' machine near Techbot (Outside the instance) Blue Punch Card - Use the 'B' machine just past the Clean Room (Inside) Red Punch Card - Use the 'C' machine on Electrocutioner 6000's Platform (Inside) Prismatic Punch Card - Use the 'D' machine below Crowd Pummeler 9-60 (Inside)	These are all of the translated messages from the five punch cards as well as all the machines: Tell your friends to play WoW Play the Warcarft roleplaying game Kiss me, I'm gnomish! The Lich King lives! Gnomeregan forever! How am I driving? <insert funny message here> Thrall and Jaina sitting in a tree, K-I-S-S-I-N-G If you can read this, you're standing too close The gnome king wears night elf underwear Help!&nbsp I'm trapped in a binary punch card factory! Message to Castpipe: your laundry's ready for pickup.	You receive the first card from the wandering elite mobs in the upper level outside of the instance. Place that card in the card reader outside of the instance. (Run over to the west and get Techbot's brain while you're here). Each card reader gives you the card needed for the next reader. The remaining card readers are located inside the instance. These are all of the translated messages from the five punch cards as well as all the machines: Tell your friends to play WoW Play the Warcarft roleplaying game Kiss me, I'm gnomish! The Lich King lives!!!!!!!!!!!!!!!!!!!!!!!!! Gnomeregan forever! How am I driving? <insert funny message here> Thrall and Jaina sitting in a tree, K-I-S-S-I-N-G If you can read this, you're standing too close The gnome king wears night elf underwear Help! I'm trapped in a binary punch card factory! Message to Castpipe: your laundry's ready for pickup.	You go through Gnomeregan, slaying leper gnomes, troggs and crazed gnomes who think you're troggs. You loot cards and locate protected machines, slowly working your way up each machine until you finally have the last card... Only to let the Quest giver know his laundry is ready for pickup.	You receive the first card from the wandering elite mobs in the upper level outside of the instance.&nbsp Place that card in the card reader outside of the instance.&nbsp (Run over to the west and get Techbot's brain while you're here). Each card reader gives you the card needed for the next reader. The remaining card readers are located inside the instance. Hope this helps.
/?quest=2924	Essential Artificials	30 Dungeon	24	Both	3050 XP	Dungeons	Bring 12 Essential Artificials to Klockmort Spannerspan in Ironforge. Essential Artificial (12)	Do you have the essential artificials?	Klockmort Spannerspan	Klockmort Spannerspan	The Gnomeragon Instance is right outside Iron Forge, across from Ice Flow Lake, by Brewnall Village.&nbsp Cood:&nbsp 24,38 in Dun Morogh.&nbsp Map at http://www.worldofwar.net/cartography/worldmap/dunmorogh.php	1850 XP at level 37, when the quest is green.	These are pretty easy to find in large, gray ... refrigerator-sized (for lack of a better description) robotic boxes. You'll find them easily along your path. The biggest concern is finding enough of them to complete the quest for an entire party needing them.	This quest is pretty self-explainatory, but if anyone's having trouble: There are a series of machines spread out around Gnomeregan. I believe they are found only int he isntance though I could be wrong. Just get the essential artificials from the machines. If you're doing the quest with a party it can get annoying as the machines disappear after one use.	Even if you have a full party with everyone on this quest you should all be able to complete it. There are enough in the instance, though some are hidden in seldom-visited nooks and crannies. They also respawn eventually, so if you go back to areas you've already cleared you may find some more.
/?quest=2926	Gnogaine	27 Dungeon	20	Alliance	2200 XP	Dungeons	Use the Empty Leaden Collection Phial on Irradiated Invaders or Irradiated Pillagers to collect radioactive fallout. Once it is full, take it back to Ozzie Togglevolt in Kharanos. Full Leaden Collection Phial Provided Item: Empty Leaden Collection Phial	Can't you see we're trying to cure an entire species of gnomes here??! We need more of the green glow!	Ozzie Togglevolt	Ozzie Togglevolt	The NPCs were broken apparently, as of this point in time they were working again. Also, soloed as a 30 Rogue. Just pick a green dude, Sap him, and shoot it off.	I had the same problem but it was easily solved.&nbsp They must be alive when you collect the sample.&nbsp Simply walk up to them and let them attack you (they don't do too much damage) and start collecting the sample.&nbsp It should go by without a hitch.	Why this may not work... Relog first and foremost. Then, examine your backpack and see if it is a FULL vial instead of an unfilled. Here's how to do the quest- This took	In order to do this quest you need to have the flask ready, with either your bag open or on one of your action bars. When one of the caster Troggs begins to cast his spell(his hands will glow green) right click the flask. You'll collect the goo. He'll still shoot you though, so be ready to take him down after that.	Preq is [url=https://classicdb.ch/?quest=2927]The Day After[/url] and leads to [url=https://classicdb.ch/?quest=2962]The Only Cure is More Green Glow[/url].
/?quest=2843	Gnomer-gooooone!	35 Dungeon	20	Both	Item: Goblin Transponder	Dungeons	Wait for Scooty to calibrate the Goblin Transponder. Goblin Transponder	It's ready!	Scooty	Scooty	You do not need to keep the Goblin Transponder in your inventory (or bank). You can simply discard it after transporting to Gnomeregan. To get another one, simply speak to Scooty again and tell him that you lost the first one.	WARNING: I just had a GM confirm that this quest (http://classicdb.ch/?quest=7728 ) is the one that BUGS the Gnomeregan teleporter quest line!!!! If you complete STOLEN: Smithing Tuyere and Lookout's Spyglass before you complete Chief Engineer Scooty (http://classicdb.ch/?quest=2842 ), you can NOT pick up that quest anymore, and you will NOT be able to get your Goblin Transponder (http://classicdb.ch/?item=9173 ) to teleport to Gnomeregan. Reminder: Chief Engineer Scooty is obtainable after you talk to Nogg next to Sovik and accept Rig Wars (http://classicdb.ch/?quest=2841 ). The GM escalated my ticket to a Character Specialist, said it will take 3-5 days for him to respond. Currently waiting for the response.	Do you have to have completed a specific gnomeregan quest for this quest to be available?	I received this quest at about level 23 and once I hit 25 I decided to do it. I received the Transponder and took the trip to the Gnome city. Appears if you can get the quest you can finish the quest.	This is listed wrong this quest starts in StrangleThorn valley from the Goblin with the teleporter near the gryphon. Edited, Wed Aug 10 22:10:04 2005
/?quest=2945	Grime-Encrusted Ring	34 Dungeon	28	Both	2700 XP	Dungeons	Figure out a way to remove the grime from the Grime-Encrusted Ring. Grime-Encrusted Ring Required Money: 3 Provided Item: Grime-Encrusted Ring	The gnomish contraption before you bears a plaque calling it 'The Sparklematic 5200'. The gist of the machine, from reading the instructions below the plaque, is to scrub away dirt that an item might have. The machine has a coin slot, accepting three silver coins to start the process once the item is placed inside it.It would seem as though the grime-encrusted ring you found earlier is just the thing to try in this machine!	Grime-Encrusted Ring	The Sparklematic 5200	Ok, i will clarify this quest for you all. The Grime-Encrusted Ring is a semi-rare random drop by the Dark Iron Dwarves in Gnomeregan. If you right click on the ring it will begin a quest called The Grime-Encrusted Ring. The first part of the quest requests that you find some way to clean it. Go to the sparklematic machines located in the dormitory area of Gnomeregan, the GOOD gnomish exiles are standing around, a good indication you are in the right place. Find the correct sparklematic machine, the one i used is on the far side of the staircase, near the door to the left. Click on it and do your quest business. Next post continues...	The follow-up quest, after cleaning your new shiny ring is to decide whether to return the ring to its owner... or not. The initials 'TDK' are engraved in the ring. You can find our little gnome 'Telvash del Kissel in the Mystic Ward, right in the north east side, co-ordinates : 35,4. He gives you a new quest, if you choose to accept, which will spruce up your ring to new Heightened Levels of POWER! Anyway, next quest to follow.	Well, this follow on quest is pretty straightforward, read the instructions. Bring the Ring Bring a Silver Bar Bring a Moss Agate Bring 30 Silver Coins ..to TDK. And bring your brain along too, this quest wasn't hard! why are you reading this! Only kidding, i had this in my quest log for a long time annoying the living .... outa me. Non-Relevant information to the above, regarding the Grime-Encrusted Objects to follow, below.	Just for your information. The Grime-Encrusted Objects allow you to activate the sparklematic machines to give you gifts, in the form of little red and white presents. Right click on your presents to open them and recieve your gift. You can use the sparklematic to recieve as many presents equivelant to the number of Grime-Encrusted Objects you have, unfortunately they have painstakingly only allowed you to use one at a time, and the machines is not exactly fast. We should definitely talk to the Gnomish exiles about this. N.B - You can only clean the Grime-Encrusted Ring once you get rid of your Grime-Encrusted Objects, or as far as i can remember anyway. Enjoy! - Elerethal	For the Horde the next part is here: https://classicdb.ch/?quest=2949
/?quest=2928	Gyrodrillmatic Excavationators	30 Dungeon	20	Alliance	2450 XP | Pick: [Shoni's Disarming Tool, Shilly Mitts]	Dungeons	Bring twenty-four Robo-mechanical Guts to Shoni in Stormwind. Robo-mechanical Guts (24)	If this were a race, you would have lost by now.	Shoni the Shilent	Shoni the Shilent	you can find Robo-mechanical Guts inside Gnomeregan instance	it says in the main goal of the quest bring 24 robo-mechanical guts to shoni the shilent and for ppl who dodnt no wer he is he is in the dwarven district of stormwind	You do not need the instance for the RMGs.&nbsp They drop from the irradiated dudes in the Train room.	the items are easy to get as they drop often BUT the enemies swarm you and you WILL need a group with atleast one mage and one healer they only get stronger deeper in you will be facing about lvl 31's and up	You need no coordinates. You will find the items as drops. The boss used to drop many of them. Please note that there are 6-7 quests related to gnomeregan so be sure you get all/most of them before venture.
/?quest=2925	Klockmort's Essentials	30 Dungeon	24	Both	250 XP	Dungeons	Speak with Klockmort Spannerspan in Ironforge.	N/A	Mathiel	Klockmort Spannerspan	You don't need to get this quest in order to get the second quest (Essential Artificials). In IF he offers you Essential Artificials quest without doing this quest. If your in the area it's easy xp to accept it and when you happen to be in IF go turn it in. But if your in IF it's not fees able to go all the way to Darnassus to get a simple quest to get the second quest especially for the low xp/rep. Then again this is my opinion.	im a NE rogue and the quest starter for me was Mathiel in Darnassus. He's beside the weapon trainer	he is found at 68,46 in IF	How do we start this quest?	The Quest Starter is in the Cathedral of Light.&nbsp The guy's in the main hall.&nbsp Before you get the quest 'Essential Artificials', the NPC will have an Exclamation Mark.&nbsp If you got the 'Essential Artificals' quest already, then the Exclamation Mark won't show up on the NPC.
