# Quest Data for Dungeons - Maraudon
# Generated: 2025-08-18 16:53:44
# Total quests: 11
# Comment scrape timestamp: 2025-08-18 17:15:45

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7064	Corruption of Earth and Seed	51 Dungeon	45	Horde	6100 XP | Pick: [Thrash Blade, Resurgence Rod (1.10), Verdant Keeper's Aim (1.12)]	Dungeons	Slay Princess Theradras and return to Selendra near Shadowprey Village in Desolace. Princess Theradras slain	I would prefer to fight this battle on our own, but we are left with no other options--we need those more powerful, and the races of Azeroth have proven without a doubt they can overcome such things when they work together. So it is to you we turn for help.I only hope it is enough.Zaetar, brother to Remulos, brought many pains to this world, and ultimately it caused his own death. I just hope I have not caused more death by asking you to aid us.	Selendra	Selendra	why do people always insist on asking (where do i get the quest from) why dont you @!$%^ look at the little link where it say map it gives you th general location of the NPC... for christ sake just look!	Patch 2.3.0 Exp. reward 10600 1000 rep Cenarion Circle	They are right around 27,75 Basically as you leave town, look to the right and they are standing around a tree. it isnt even 30 yards away from town. If you do this at 50ish, a mage and a hunter would be good to bring. Frost traps, sheeping, and all the AE nuking will be pretty important.	There is no First Quest you need to be atleast level 45 to get the quest from the dryad south of shadowprew village. Whoever said there was a first quest was lying	Did this with a group of: 49 rogue 49 paladin 51 shaman 50 hunter 50 warrior Killed the Princess boss on our first try, noone died. But she hits very hard, especially with the attack that pushes you away. To return the quest to Selendra, cords to her are 26, 77. If you don't use cords, open up the map, you'll see a mountain in between Shadowprey Village, and an open land area. She is in that open land area under the mountain. She is under a tree with 3 others. If you don't know where Mara is, cords are 29, 64. Again, no cords, open the map, it's the cave opening in 'Valley of Spears'. Good luck :)
/?quest=7065	Corruption of Earth and Seed	51 Dungeon	45	Alliance	6100 XP | Pick: [Thrash Blade, Resurgence Rod (1.10), Verdant Keeper's Aim (1.12)]	Dungeons	Slay Princess Theradras and return to Keeper Marandis at Nijel's Point in Desolace. Princess Theradras slain	I feel the weight of imposing my plea on the mortal races, but we are left with no other options. The races of Azeroth have proven without a doubt they can overcome such things when they work together, so it is to them I ask for help.I only hope it is enough.Zaetar, brother to Remulos, brought many pains to this world, and ultimately it caused his own death. There is a lesson there to all of us if we are wise enough to see it.	Keeper Marandis	Keeper Marandis	Princess (the mob you need to kill for this quest) is a level 51 elite which hits pretty hard, has a lot of HP and does a fear attack as well. A balanced group is required to take her down, with at least a 50 tank and a good healer. She drops very good stuff as you'll notice reading the appropriate page. After Princess don't forget to jump down in the water to kill Rotgrip.	They screwed something up in the latest patch or something. Died in my party while killing her, but the remainder took her down anyway. And my quest log didn't show credit for killing the princess. GMs didn't answer my call after 3 hours, I just gave up. I hate this game.	Related mob link should of course point to [npc=12201]	From which level can I attain this quest? Anyone knows?	Anyone know the minimum level to attain this quest?
/?quest=7044	Legends of Maraudon	49 Dungeon	41	Both	6100 XP	Dungeons	Recover the two parts of the Scepter of Celebras: the Celebrian Rod and the Celebrian Diamond. Find a way to speak with Celebras. Celebrian Diamond Celebrian Rod	I have awoken from a nightmare that seemed it would never end...	Cavindra	Celebras the Redeemed	This quest can be quite hard if your group is sub lvl47. Reasonably hard 47-50 also, but doable without to much hardships. [b]Celebrian Diamond:[/b] Lord Vyletongue, purple passage drops this. Straight forward encounter vs hunter:ish mob with stun/snare attack and ranged 'crossbow'. Will come with two stealther mob adds. Infront of lord vyletongue, there are two stealthermobs that can be pulled separetly or both. they are at the ][ narrow part infront of the vyletongue. GTAOE attack pulling is a excellent way. This mob can be farmed for an excellent cloth belt and a bunch of great daggers etc. [b]Celebrian Rod:[/b] Dropped by Noxxion in orange part. Be advised, several guides on the web suggest reaching noxxion the purple way.. that is ill advise. There is a passage where you will with 100% certainty get a double lasher and smaller lasher version pull. (ramp up).. hard even for a lvl50 grp with 2 mages. 80 yard(?)ae stun or smt.. Go to noxxion the orange way, take on slugs by one man taking aggro from all and kiting them while mages/warlocks/priests assist kills one at a time. no tanks should go head on with these. When in room with the larva spewer, time when big larva has passed and gone away. then clear room of small larva. the tank if any can while mages/warlocks take car of the none elite larvas by AOE, rightclick the spewer to destroy it. Clear a passage in large chamber to [b]Noxxion[/b] through the non elites, be aware of teamembers HP after killing the small larvas. stacking poison attacks. [b]NOTE![/b] killing noxxion will at current time of patch 1.2.3 2005-03-15, most likely crash your entire groups, game client. if you are lucky one makes it and can reinvite and you can loot the rod. The noxxion encounter, pretty straight forward really priests spread out real good, a X pattern is good, tank takes on noxxion pulls it in inside X. casters singel target nuke with fire/arcane/frost/shadow. a good idea if a mage is withing pbae range of noxxion. when noxxion dissapear mage starts to pbae down the none elite shards, while the other mage come in and help pbae or warlock ae. when non elites are dead or a certain time has passed noxxion will repop. go back to singel targeting. or you will run out of mana. [b]Bringing diamond and rod to celebras.[/b] You can push on and go through razorlash, a warriormob with dualwield fasthitting attacks. keep the priests on their toes. Avod going all the way down ramp in center room at waterfalls, masspull warning as mentioned in the beginning. jump down on solo lasher, or the 3 snare flowers. at Celebras ONE! kill him easy encounter with non elite adds. group member start the encounter, if more click it can help bug the encouter up. follow celebras to the stone. one at a time click the book he lays onfront of it. If he buggs and keeps going back to stone. when some1 have clicked etc. wait 5+ minutes, and he will timeout and the quest will be 'completeable'.	The Celebrian Rod is found in the orange side of Mara and drops from Noxxian, a poison elemental 48 elite. The Celebrian Diamond drops from Lord Vyletongue in the purple side of Mara. Noxxion can hit fairly hard and spawns little adds during the fight. Vyletongue has two hidden demons that join the fight once it begins. When you've received both items, you need to defeat Celebras who is closer to the end of the purple side (near where you zone i if you have the scepter already). He spawns many adds but once you defeat him, speak to his ghost to complete the quest.	Sadly if you have entered the instance via the portal created by the scepter and your party wipes. You will have to ressurect at one of the orange or purple portals and come back to use the scepter.	she's located in the outer network of caves leading to maraudon. Head down, when you reach the split of orange and purple crystals, she's located in the orange cave area in a pool of water. The water shows up on the map. The orange pool of water is deeper in that's required for another maraudon quest.	Turn it in to Celebras the Redeemed, after killing Celebras the Cursed, inside Mauradon, right about where the orange and purple side meet. Mob info http://classicdb.ch/?npc=12225
/?quest=7066	Seed of Life	51 Dungeon	39	Both	6100 XP	Dungeons	Seek out Remulos in Moonglade and give him the Seed of Life. Seed of Life Provided Item: Seed of Life	You have the scent of corruption on you, <name>... much like many adventurers these days. But something about you is different. Is there something you've come to speak to me about? You have an aura about you that seems familiar, but I cannot place it.Please, I implore you, tell me why you've sought an audience with me.	Zaetar's Spirit	Keeper Remulos	The easiest way to get to moonglade is to fly to auberdine (darkshore) and go north as far as the zone takes you. Then, jump in the ocean and swim north until it announces that you're in moonglade. Make sure it says moonglade and not mists' edge, then drown yourself and you'll spawn in the moonglade graveyard.	Go into the tunnel in northern felwood that connects to winterspring, when you see the bridge, make a left and it will take you into moonglade.	Go to Felwood. Head North, you will reach Felpaw Village enter the tunnel (either you are friendly or hostile), make you way forward and when you are on a bridge, turn left and jump. You will reach Moonglade. [For Horde players The moment you enter Moonglade head forward and jump down the small cliff, you will see the FP] Than head to [b]36,41[/b], to give in the quest. I got 1,50gold, 6100xp and 150Repu with Cenarion Circle as a LvL54 Hunter. Thanks, Yolcu [Orc-Hunter] of Dunemaul	You can get this quest after killing Princess Theradras. A big Keeper of the Grove will spawn in the middle of her ring when she is dead and give you this quest.	BTW .. Make sure you have the damn Seed of Life in your inventory. i had to fly all the way back to orgrimmar because i got there and he was on my minimap, and when i went to complete it i forgot it in my bank. =/
/?quest=7068	Shadowshard Fragments	42 Dungeon	39	Both	3450 XP | Pick: [Zealous Shadowshard Pendant, Prodigious Shadowshard Pendant]	Dungeons	Collect 10 Shadowshard Fragments from Maraudon and return them to Uthel'nay in Orgrimmar. Shadowshard Fragment (10)	You find the crystals yet? Rituals of power, spells of great strength - those shadowshards maybe very helpful in all kind of arcane magics.	Uthel'nay	Uthel'nay	The shadowshard fragments drop off the stone elementals outside of the purple instance entrance of mauradon. Drop rate is about 1 shard every 2 kills. Easily done without a group if you're level 47+.	First of all you pick up and hand in the quest from Uthel'nay in Ogrimmar in the Valley of Spirits. Maraudon is in the cave in Desolace just NE of Shadowprey (29,62 for those using coords). To complete this quest, as has already been noted you do not have enter the instance, but you do have to enter the dungeon (once you've gone through the initial big stone doors, there's a lot to explore before you enter the swirly instance portal). The elementals that drop the Fragments can be found in the PURPLE zone of this pre-instance area. You will find a room with two passageways leading away with bright crystals around the entrance. One's orange and the other's purple. Take the purple one. There be your elementals not soon after. They are generally 40 and 41 elites. 100% drop rate.	FYI, as of patch 2.3 the mobs aren't elite anymore. Should be a piece of cake to solo if you are appropriately levelled.	Coords (on titan panel) are 39,86 I don't know about everyone else, but at 46 I got 3450 experience for it. It is July 2006 maybe they patched it because everyone says you only get 350. /shrug	Mage Trainer in Orgrimmar
/?quest=7070	Shadowshard Fragments	42 Dungeon	39	Alliance	3450 XP | Pick: [Zealous Shadowshard Pendant, Prodigious Shadowshard Pendant]	Dungeons	Collect 10 Shadowshard Fragments from Maraudon and return them to Archmage Tervosh in Theramore on the coast of Dustwallow Marsh. Shadowshard Fragment (10)	Have you made the trip yet? I realize it'd be quite dangerous, but if you were successful, it would very much be worth it.	Archmage Tervosh	Archmage Tervosh	He is inside the main tower in the city of theramore Isle... 66,49 2050 exp at lvl 49	First post - but i had to. Yes Stoneshard Smashers where in purple crystal area and not in the instance as mentioned above. I killed 10 of them and got all 10 Shadowshard fragments. Excellent drop rate. Btw - keep your back to the wall ) Level 51 rouge - combat spec	They're off rock elementals just outside the purple entrance.	The droprate is 100% when you have the quest. Each drop can be picked up by the entire party, you don't need to kill 10 per party member. As of patch 2.3 you gain 7200 experience when turning quest this in. As of patch 2.3 you gain 500 reputation with Stormwind when turning this quest in.	he's at the top of the tower in theramore, with Jaina Proudmoore.
/?quest=7067	The Pariah's Instructions	48 Dungeon	39	Both	5450 XP | Item: Mark of the Chosen	Dungeons	Read the Pariah's Instructions. Afterwards, obtain the Amulet of Union from Maraudon and return it to the Centaur Pariah in southern Desolace. Amulet of Union Provided Item: The Pariah's Instructions	What did you decide, <name>? Can you help me? Will you set foot on holy ground to help me forge one great centaur tribe!?	Centaur Pariah	Centaur Pariah	First, you have to kill an elite centaur named 'The Nameless Prophet'. He wanders near the stone door area. He will drop the Amulet of Spirits (https://classicdb.ch/?item=17757). Then you have to find the five Kahns: Kolk, The First Kahn, is located just outside the little room where you create the portal to Inner Maraudon (Middle part). Gelk, The Second Kahn, is located outside the portal of the purple path, hanging with the rock elementals. Magra, The Third Kahn, is located outside the portal of the orange path, in the stairs area. Maraudos, The Fourth Kahn, is located inside the purple path, wandering not too far away from the instance. Veng, The Fifth Kahn, is located inside the orange path, wandering by the end of the path. To be able to attack them, just select the Kahn and use your Amulet of Spirits. Once you have all the gems, just click on a random one to create the Amulet of Union, which you will turn in to Centaur Pariah.	Ok, here they are: Nameless Prophet: Once you enter Maraudon through the main gate, keep heading down towards the area where the dungeon splits into 3 main parts. He will come before that area. He will drop the Amulet of Spirits you use this to materialize the Khans in order to kill them. You can only get the Amulet of Spirits if you have the quest. If you don't, he won't drop the Amulet of Spirits. 1st Khan: Once the instance splits into 3 roads (left takes you to purple, right takes you to orange and middle has 2 centaur statues), take the MIDDLE road. Keep going down until you get near the portal room. The first khan will be there. 2nd Khan: He is outside the Purple instance on the bottom level. He will be near a fountain looking thing. 3rd Khan: He is outside the Orange instance on patrol. Go past the pool where you filled the Cerulean vial and keep heading in that direction. 4th Khan: Go inside the Purple instance. Head to the demon who gives you the Celebrian Diamond (Lord Vyletongue or something) 5th Khan: I am positive about the others, but not this one since I got the 5th gem a long time ago. Pretty sure he is in the Orange instance. To recap: 3 of the khans are outside the instances and the other 2 are inside, 1 in purple, 1 in orange.	The kahns are found in these areas: Middle area = 1st Purple area = 2nd Orange area = 3rd Purple instance = 4th Orange instance = 5th	Here are the links to the mobs. Kolk 43 elite: http://classicdb.ch/?npc=13742 Gelk 42 elite: http://classicdb.ch/?npc=13741 Magra 43 elite: http://classicdb.ch/?npc=13740 Maraudos 46 elite: http://classicdb.ch/?npc=13739 Veng 47 elite: http://classicdb.ch/?npc=13738	[pad][div align=center][u][b]Complete Instructions[/b][/u][/div][pad]The quest is found near the southern part of desolace..easy to find..just roam around with ur mount..till u see a roaming cenatuar with a yellow ! above his head..then go into maraudon..right when u open the stone doors there is a bridge in front of you.Directly underneath the bridge is 'The nameless prohpet' he drops the 'amulet of spirits' which u need for the kahns to attack u..after u kill the kahns, they drop the gems needed for the quest.Find the kahns at- The first kahn-in the middle where u summon the portal. The second kahn-in the purple are..not inside the instance. The Third kahn-in the orange area..not inside the instance. The fourth kahn-in the purple instance. The fifth kahn-in the orange instance. after u recieve all of the gems from the kahns fuse them togetehr with the 'amulet of spirits' to form 'amulet of union'..then return the quest and woolah..u have some xp and a new awesome trinket.
/?quest=7046	The Scepter of Celebras	49 Dungeon	41	Both	5700 XP | Item: Scepter of Celebras	Dungeons	Assist Celebras the Redeemed while he creates the Scepter of Celebras. Speak with him when the ritual is complete. Create the Scepter of Celebras	If you wish to restart the ritual, please abandon our first attempt and then speak to me again.	Celebras the Redeemed	Celebras the Redeemed	Prequest: https://classicdb.ch/?quest=7044 The scepter will make you able to open portals to inner so you don't have to go through the orange or purple part of Maraudon to get there.	You get this quest from same guy you turn in this quest: [url=https://classicdb.ch/quest=4408]https://classicdb.ch/quest=4408[/url] Celebras is just before falls, next boss after Vyletongue (or something like that).	You can kill celebras again and talk to him afterward to get the scepter again.&nbsp Just choose the option called 'I lost my scepter' or something like that	where do i get this quest ? ?	Anyone know anything about placing the scepter somewhere to port almost all the way to the Princess?
/?quest=7028	Twisted Evils	47 Dungeon	41	Both	5250 XP | Pick: [Acumen Robes, Sprightring Helm, Relentless Chain, Hulkstone Pauldrons]	Dungeons	Collect 15 Theradric Crystal Carvings for Willow in Desolace. Theradric Crystal Carving (15)	Don't ask questions!You have my request.	Willow	Willow	If you happened to have this shared w/you it's kind of annoying to find the contact if you don't know where to go, so here's the loc. She's in Kormek's Hut @ 62,40, NE of the Kodo Graveyard, outside of the walled area on the map. // Shodinia	The absolute best drop rate is from The Nameless Prophet. He is a named NPC that wanders around in the first part of Mara, before you even enter any of the instances. The nice part is, the INSTANT you kill him (and usually one of his friends), he respawns a couple of feet away. So, basically, you can run back and forth, kill him over and over again, and get this quest done in no time. My drop rate was 11/13, or 85%. I would've gotten ALL of my crystals from him, had I known he had such a great respawn/drop rate! Have a hunter with you and he's easily trackable when he respawns.	Willow is [b]NOT[/b] at the mass makers on the map...since it is [b]BOTH [/b] and Alliance and Horde given by the same NPC..wouldn't be possible for her to be in Ghost Walkers Post Willow is in a little hut off the road N of GWP tloc [b]62,40[/b]	If you want to complete this quest but can't get a group for the instance, or you just need a few more, or even if you just feel like soloing it - go to the purple entrance. There will be a patrol of imps that die very easily. Take them out, take their quest drops. Exit the instance and reset it. Repeat until you have all of them. Simple and quick.	These items sell for: Acumen Robes: 78s 41c Sprightring Helm: 73s 77c Relentless Chain: 1g 10s 11c Hulkstone Pauldrons: 96s 89c
/?quest=7029	Vyletongue Corruption	47 Dungeon	41	Horde	5250 XP | Pick: [Woodseed Hoop, Sagebrush Girdle, Branchclaw Gauntlets]	Dungeons	Fill the Coated Cerulean Vial at the orange crystal pool in Maraudon. Use the Filled Cerulean Vial on the Vylestem Vines to force the corrupted Noxxious Scion to emerge. Heal 8 plants by killing these Noxxious Scion, then return to Vark Battlescar in Shadowprey Village. Vylestem Vines healed (8) Filled Cerulean Vial Provided Item: Coated Cerulean Vial	If you are able to heal the plant, it will again begin to grow. We must do what we can, <name>...	Vark Battlescar	Vark Battlescar	To be clear, the wines are located inside the instance in the orange part. Use the vial on the wines (it has about 10 yard range). Two or three Noxxious Scion spawns and you need to kill 8 of these in total to complete the quest. They are non elites so quite easy to take out, even possible to take one at a time if you are careful.	The orange crystal pool is outside of the orange instance. It's not the pool that the dryad is standing in, but right after that. On your minimap, it's the biggest dark-orange blob.	23,70 Above the docks, first tower on the left.	The orange crystal pools, for filling the Vial, are just outside the orange instance portal.	The vines are little red sprout (mushroom) things on the ground.&nbsp When u use the vial near them, they grow big.
