# Quest Data for Dungeons - Stratholme
# Generated: 2025-08-18 16:53:24
# Total quests: 18
# Comment scrape timestamp: 2025-08-18 17:16:29

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5263	Above and Beyond	60 Dungeon	55	Both	8300 XP	Dungeons	Venture to Stratholme and destroy Baron Rivendare. Take his head and return to Duke Nicholas Zverenhoff. Head of Baron Rivendare	The Baron has slain more people than you have most likely seen in your lifetime.	Duke Nicholas Zverenhoff	Duke Nicholas Zverenhoff	This is continued by https://classicdb.ch/?quest=5264.	Must do these quests first: [quest=5251] choice of these rewards: [item=13243]	The key to doing that in a 5 man is to only pull the first one, and pull it to the very back. Then when an add wanders in you let it run to the back and then shackle it. Kill the add after the first one is done. After you kill the add you rest for mana. You always let them wander in on their own in a 5 man, unless you are very comfortable about pulling. Every one of the abominations will wander in on it's own, so you only need to pull the first one. Always stay at the back of entryway by the gate. This way when you kill the last Abom and Rammstien comes out (his aggro range is huge), you have enough time to let the casters regain mana before he charges the group. After Rammstien dies (try to remain back in the entryway still) the army of non-elite undead come after the group, AoE them, using any way you can to make them all stay in one spot. Warriors have Challenging Shout, Tauren have War Stomp, and Mages have that Frost Nova. Just make them all stay still for the AoE and you'll be fine. As soon as those guys die the REAL hard part comes. If you've never fought the 5 elite guards in a 5 man group before, then this will be very difficult. The key is to hold off on AoE until the tank establishes aggro on all the guards. Once the tank has the aggro under control you can AoE to your heart's content. A good idea is for the Mage to do the Frost Nova followed by Arcan Explosion until he's out of mana. Thus ends the Slaughterhouse Courtyard fun.	Performing the quest Above and Beyond in conjunction with 5 manning Riverdare will result in the 60th level questgiver with high dps and moderate hitpoints appearing to help you kill the baron. The medallion of faith can be picked up in a raid group during a live side strat run beforehand. The questgiver for above and beyond is found in the chapel near the dead side entrance.	Just did it today, alliance side: Group: All 60s -- Mage, Priest, Warrior, Paladin and Rogue Baron startegy: Everybody is armed with a shadow protection potion and have one mana/health pot ready. Paladin: Cocentration aura up to make sure priest/paladin heals don't get broken with constant damage. Job is to heal MT(Main Tank) and attack baron Rogue: Unload as much damage as possible to baron Mage: CC (crowd control) skeletons, make sure they all bunch up together so you don't waste mana also put dampen magic (improved) on everybody. Weakens the damage even more. Priest: Shadow Protection buff and main healer. Keeps maintank alive Warrior: Uses sunder and keeps aggro on him. Main tank. Important part is to let the warrior build up aggro. Don't all attack at the same time. Wait for a few secs for baron to cocentrate on MT and then start fighting. Best of luck.
/?quest=5125	Aurius' Reckoning	60 Dungeon	55	Both	9950 XP | Pick: [Will of the Martyr, Blood of the Martyr]	Dungeons	N/A	N/A	Aurius	Aurius	After turning in [url=?item=12845]Medallion of Faith[/url] to Aurius in the beginning (gained by looting a [url=?object=176112]chest[/url] in Stratholme Living side) he will come aid you at the fight against Baron. Upon defeating him you will get the choice between these two fine things.	The Medallion of Faith is found in Human Strathholm about a third of the way into the actual 'scarlet crusade' part, inside of a small chest in a side room on the left of a hallway - this room contains a named mob that is for a quest (no loot, and I forget his name). Once someone has the medallion, you must assemble an Undead Strat group or raid. Only one person in the group needs the medallion I believe everyone that has not already completed the quest will be elgibile for the reward if you are successful. I was able to complete the quest while I still had my own medallion after our priest turned theirs in to start the quest. Aurius himself is inside of the small building (a church) just inside of UD Strat. Speak with him to start the quest for that instance. If you fail to slay the baron, you will need to obtain a new medallion (or find someone else that has it to group with). Once started, you must clear UD Strat and kill the Baron. Partway throught the fight, Aurius shows up and attacks the baron - it is to my understanding that he will also heal members of your party, as he is a paladin. Once the baron is down, Aurius collapses and allows you to complete the quest, choosing either the necklace or ring for your reward. There as no faction reward for me at high Honored, but it did yeild 6800 exp at 60. I have not yet checked to see if I would be able to repeat the quest or do it in a raid - I did it in a great 5-man group.	The Medallion of Faith is found in Human Strathholm about a third of the way into the actual 'scarlet crusade' part, inside of a small chest in a side room on the left of a hallway - this room contains a named mob that is for a quest (no loot, and I forget his name). Once someone has the medallion, you must assemble an Undead Strat group or raid. Only one person in the group needs the medallion I believe everyone that has not already completed the quest will be elgibile for the reward if you are successful. I was able to complete the quest while I still had my own medallion after our priest turned theirs in to start the quest. Aurius himself is inside of the small building (a church) just inside of UD Strat. Speak with him to start the quest for that instance. If you fail to slay the baron, you will need to obtain a new medallion (or find someone else that has it to group with). Once started, you must clear UD Strat and kill the Baron. Partway throught the fight, Aurius shows up and attacks the baron - it is to my understanding that he will also heal members of your party, as he is a paladin. Once the baron is down, Aurius collapses and allows you to complete the quest, choosing either the necklace or ring for your reward. There as no faction reward for me at high Honored, but it did yeild 6800 exp at 60. I have not yet checked to see if I would be able to repeat the quest or do it in a raid - I did it in a great 5-man group. Edited, Sat Nov 5 00:12:21 2005	Aurius is at the chapel, just as you enter to the UD side from the backdoor.	This quest must be bugged, because I actually got the reward for it and I never even had it. As best as I can tell, someone in our raid group had the quest and when we killed the Baron, the NPC allowed me to claim the reward. I did talk to the NPC in the chapel, but never accepted nor completed any quest for him, and I never left the raid group. I did however get the necklace and credit for completeing the quest.
/?quest=8945	Dead Man's Plea	60 Dungeon	58	Both	8300 XP | Item: Ysida's Satchel	Dungeons	Go into Stratholme and rescue Ysida Harmon from Baron Rivendare.	Tell me, is Ysida alive?	Anthion Harmon	Ysida Harmon	Just to let everybody know a few things about this quest: 1. It is completely possible for a group equipped entirely in blues to complete this quest successfully.&nbsp I personally have never done it, but I have started my own timer with the Baron's and we've done it in 56 minutes and that was with a lot of scrweing around, a few 'AFK for a min', and even 1 complete wipe (luckily we had a shaman with us and she Reincarnated and we got back going in a couple of minutes). 2. You do not actually have to KILL the Baron within the 45 minute timer.&nbsp All you have to do within the 45 minute timer is have each player in your group who is on this quest 'tap' Rivendare.&nbsp After this you can wipe, corpse run, east dinner, smoke a cigarette, have sex with your girlfriend, wash your car, then come back and finish the Baron off and you will still successfully complete the quest.&nbsp Now I know some people are going to call 'bull&*!@' on me on that one, but I have a guildie who has successfully completed multiple 45 minute Baron runs and he swears this is the case. 3. A few of the people above posted about how to pull this instance and for the most part they were entirely correct.&nbsp I'll throw my 2 cents in here on that matter.&nbsp First, when you go through the gate right after receiving 'The Baron's Ultimatum' there will be an area with a lot of banshees, crypt beasts, and a 3 gargoyle patrols going back and forth.&nbsp My advice is if you can grab one of the gargoyle patrols without waiting for it, do so.&nbsp They seem to have an ungodly aggro range and for some reason you seem to get all 3 if you get 1.&nbsp Pulling with counterspell seems to be the best way to pull these mobs back to you as the banshees, crypt beasts, and gargoyles all have ranged attacks. 4. Avoid as many fights as you safely can.&nbsp The only area I strongly recommend clearing fully is around the Baroness cause she can do some crazy things to your party.&nbsp As a side note to that, if you have any abilities that are on a timer that could potentially mess over your party (read: warrior intimidating shout), use them AS SOON AS you engage the Baroness, otherwise if you get mind controlled you can be sure she'll use them.&nbsp I have had many a Baron run get messed up because I got mind controlled and feared 3 of my party members into 3 different groups of mobs. 5. I think the best way to tackle the mini-bosses is Nerub'enkan, Baroness, then the Pallid guy.&nbsp After this you will have to deal with Barthilas, Rammstein, and finally Baron Rivendare himself.&nbsp I can honestly say Rivendare might be the EASIEST boss in the instance.&nbsp Have your tank pull him to the right side of the room and have somebody ready to AOE the skeletons as soon as they appear.&nbsp If you don't have a warlock or mage in your party make sure you raid the supply crates and everybody in your party (other than the main tank) has a couple of Stratholme Holy Waters and take turns using them to get rid of the skeletons. 6. The last piece of advice I would like to give is this.&nbsp If you wipe at any point before killing the Baroness (assuming you followed my order of boss killing), go back outside and have your party leader reset the instance.&nbsp If you wipe before the Baroness chances are your party got a bad break on an add, a stupid pull, or one of Blizzard's famous 8:00 pm CDT lag spikes that royally screwed you over.&nbsp It only takes a maximum of 25 minutes to get to the Baroness (only 15 of that being on the timer) if you take the side entrance to the instance, so you won't be wasting a ton of time running the same parts of the instance over and over.&nbsp Not to mention the number of scourgestones you'll be racking up killing those pesky undead over and over. Well, I think that's all the advice I have on this quest.&nbsp As soon as I have all of the pieces of my Valor set that I need I'll be trying it out myself.&nbsp Wish me luck, and I wish you luck, even those of you who unthinkingly decided to roll alliance. =P Labiche 60 Warrior Horde side Illidan server 300 enchanter send me a /tell in game if you need anything	ok first of all, what a rush.... must have been the most intensive 45 mins in my WoW experience. We had me (60 rogue with mostly blue items, but a good pve sword combat build), one rogue roughly same items/build as me, then an uber full epic-geared&nbsp rogue, an uber full epic-geared priest and a warrior with a few epics rest blue items. In the beginning i doubted we would make it within the timelimit. Killing the baroness took longer than usual because she first took over our priest, then our epic-geared rogue (using most of his cooldown making him a pain to take down)... however we had a good pace at killing everything else... the priest would either shacklepull or pull with dots while we were fighting. You dont have time to wait for pulls... When we reached the patch-dudes we had 15 mins left on the clock so we took it abit easy from there.... however... I died on rammstein because i got too impatient not letting the tank build up enough aggro... the plan we had on the mass-skeleton part was that me and the priest had to use our holy waters + the rest using whatever trinkets/dynamite they had... so my death could have been fatal for the mass-undead part... but thanks to a fantastic healing job done by our priest and a great tanking warrior we prevailed... the quest vanished when i died but reappeared when the Baron announced our last chance (5 mins remaining). We fought the baron with all of us standing close to him, with me and the priest using each our holy waters for the skeleton spawns, needless to say the baron died very quickly with this group setup ) Step by step, here is the route we took AND you have to be constantly moving ofcourse and know exactly where the next 'checkpoint' is to get as little downtime as possible: 1) The first arachna boss to the left down the street, avoiding the group to HIS left. 2) Baroness, avoiding the mobs to her left (back in the corner of the street), also after you've cleared that tower try to avoid the mobs standing at your groups right side as you proceed to the narrow alley to the third boss. 3) After finishing off the third boss (perhaps without aggroing the group at the far side of the stairs to that tower), try to cut through this open area taking out as few groups as possible, then hug the wall on the right side when heading towards the flesh-patched dudes. 4) The rest is about how much time you have left... we had roughly 15 mins left when we pulled the first patched horror, and two mins left on the timer when the baron died. We lost some time me dying and the group almost wiping at the mass-skeleton fight, but 30 mins from the start of the timer to the fleshy horror area is very good methinks.	This is the infamous '45-minute Strat' run that many have tried and few have beaten. It's part of the Dungeon Set 2 (Tier 0.5) upgrade quest chain, so it's appropriately difficult. In order to pull this off successfully, you need to know how to cut the right corners: 1. you do not need (or want) to pull every group of mobs that you would normally pull on a Strat dead run. Walk around every group you possibly can. Battle the fewest number of enemies possible. 2. do not loot anything (except - maybe! - for the minibosses). You do not have the time to roll for random greens, but more importantly, if it takes you 3s to loot a mob and you loot 100 over the course of the run, that's 5 full minutes used. The timer is too tight to justify 5 minutes of looting. 3. start the next pull before the current mob is dead. The DPS players (specifically rogues and hunters) should basically have no downtime throughout the run. The only breaks you should take are for the casters to drink up, and even then you should only drop out of combat long enough for them to start. 4. most importantly and most obviously, remember to concentrate your firepower on a single target before moving onto the next one. That actually applies to every group, but people seem to forget easily. Unfortunately a good part of this run is luck. With that said, best of luck to you. :)	It is not impossible. It takes practice. Those who are used to doing only 15 and 10 man's are going to have a hard time since you don't ever learn how to play your character effectively in raids. You just have to play smart and communicate a plan with the rest of your group. It would be hard in a PUG but not impossible as long as 2 people knew what they were doing. Level 60 is a must here. Don't even think of bringing a 58 or 59. I have completed this 2 times now. First time took 7 tries and then we finally got it down. Priest, pally, warrior, rogue x2. Pulled Baron with 3 seconds to go. Too many deaths caused the last second pull. Mostly blues, couple of world epics and two or three end game epics in the whole party. Second time I completed this, took some other guildies through. Priest, pally (who just sat in melee most of the time), warrior, mage, rogue. Pulled Baron with 3 min to go (even with a pally not healing and one death). Mostly blues and a few world epics. Two people had one zg epic each and 1 tier 1 piece. With a mage, it is MUCH easier. Silence pulls are key with the banshees and screechers. If you don't have any silencers, use the corners to get out of site and pull them to you. Even though this party wasn't as strong since the pally wasn't healing and pulling and listening very well and we had one accidental pull, we still finished with 3 min to spare. The key more than anything is CHAIN PULLING. You are never fighting less than 2 - 3 mobs at a time. Two healers take turns drinking while the other is pulling/healing. Mobs down to half health? SHACKLE PULL! Gargoyle incoming? Get him in the fray. Melee should be in battle for almost the full 45 min. PATH TO TAKE: ------------- **Enter second gate, timer starts (btw, if you die u lose the debuff but it will come back at 10 min and 5 min), open next gate and clear all pats and groups in the open area. **Now head to [b]Nerub'enkan[/b] (left). Pull only mobs in your way. Kill boss, clear the ziggarat. **Head to baroness. Clear ONLY what you have to. Pull [b]Baroness[/b] and hide behind a corner to pull her to the room you cleared initially. MAKE SURE WARRIOR DOES NOT HAVE AGRO for baroness fight. If your warrior gets mind controled, it will take too long to widdle him/her down to get them un MC'ed. [b]You should clear the second ziggarat with 30 min still on timer.[/b] **Head up the alley to [b]Maleki[/b]. Again pull only what is needed. **Head to abominations. [b]You should be pulling your first abominations at 15 min. No less. [/b] **After Ramstein and the masses of undead, you have a 30 - 45 second wait until the doors open and the 5 elite skelly guards come out. Take this time to rebuff, change armor, get pots ready, etc. **Defeat skellies, run in Barons room, drink quick and move in! By the way, this is by far the hardest part of the quest chain other than the final boss (from what I've heard anyway). I wish they would've put in a few more challenges like this. We are now at the last two quests before we complete our set. Most of the rest of the quests are grind farming and mat collecting. A few summoning of bosses which give out some KILLER LOOTZ tho! Got myself a ring with 7 def, 7 str, and 13 stam off of Kormok in Scholo! Good luck to all and gratz to Blizz for an EXCELLENT quest that taught me to be an even better player!	if you are having trouble with what to kill, this helps a lot [url=http://www.faultymoose.com/gauntlet.jpg]http://www.faultymoose.com/gauntlet.jpg[/url] Upperclass - Gorefiend
/?quest=5243	Houses of the Holy	60 Dungeon	55	Both	6600 XP | Pick: [Crown of the Penitent (1.3), Band of the Penitent] | Item: Superior Healing Potion 5 | Item: Greater Mana Potion 5	Dungeons	Travel to Stratholme, in the north. Search the supply crates that litter the city and recover 5 Stratholme Holy Water. Return to Leonid Barthalomew the Revered when you have collected enough of the blessed fluid. Stratholme Holy Water (5)	Be wary, not all supply crates will have survived the destruction of the city. The Scourge dare not touch the water but surely the holy water will not prevent vermin infestations.	Leonid Barthalomew the Revered	Leonid Barthalomew the Revered	The name of this quest is also the name of Led Zeppelin's 5th album from 1973.	Am I the only one who started thinking of Led Zeppelin? They have album and a song of same name. Gotta love Blizzard and their popular culture references :)	If you are a dwarf, use find treasure and on the mini map it will show a dot for the holy water in the crate. It will only show crates with items in it on the mini map and not bad crates.	U can get the water whether 5 man or not.	UD. in crates
/?quest=5463	Menethil's Gift	60 Dungeon	57	Both	6600 XP	Dungeons	Travel to Stratholme and find Menethil's Gift. Place the Keepsake of Remembrance upon the unholy ground. Keepsake of Remembrance Provided Item: Keepsake of Remembrance	The area around Menethil's Gift is exceptionally cold.	Leonid Barthalomew the Revered	Menethil's Gift	[url=http://img219.imageshack.us/img219/3201/menethilsgift2ba.jpg]http://img219.imageshack.us/img219/3201/menethilsgift2ba.jpg[/url]	This is the symbol on the floor in Baron Rivendare's room in Stratholme.	Kill Baron in strat.&nbsp You will see a big mark on the ground, pentagram. This is the unholy ground walk to it and click it gear/wheel icon will appear.	I never realized the implications of this line until just the other day when doing this on an alt: '[b]The Lich King stood over[/b] the fallen mage'	Did it 5 man last night. I did it before baron..stood at door and didnt aggro baron.Easy stuff :-)
/?quest=5848	Of Love and Family	60 Dungeon	52	Both	6600 XP	Dungeons	Travel to Stratholme, in the northern part of the Plaguelands. It is in the Scarlet Bastion that you will find the painting 'Of Love and Family,' hidden behind another painting depicting the twin moons of our world. Return the painting to Tirion Fordring. Of Love and Family	The painting, <name>. Do you have the painting?	Artist Renfray	Tirion Fordring	Live Strath, Archivist's Room.	I am just a bit disappointed that this interesting quest line, which can be easily soloed on 5 of the 6 steps well before level 58 required for the dungeon, requires the getting together of a group to go into scarlet (live) Stratholme ....a dungeon very few people go to any more since the expansion came out.&nbsp Yes, at the same time as doing this quest line solo could maybe be in hellfire penninsula instead, but I have never been in Stratholme, and did not plan on going since the expansion...now, to follow this mission, I need to get a solid enough group to get to the second-last fight (if I understand correctly the order of the encounters). From what little I have read of the outland quest lines, very very few have any kind of interesting back story or depth involved....they are just flimsy excuses for 'phat lewt' that puts most MC/ZG/AQ gear to shame.&nbsp This one and the Darrowshire quest trajectory seem very involved and interesting, irregardless of the (now) inferior quest rewards. Must have made sense to do this at one time in the past...prompt people to go to dungeons.....now it is most unfortunate that the 'old school' dungeons (Scholomance, Stratholme, Dire Maul, Blackrock Spire) just are not at all interesting places to visit for the vast majority of players. Fingers crossed to find some guildies/others who have a hanckering for some old time dungeoneering!	Lot of comments on getting a group to 5-man this.&nbsp You should be near 60 if you are running this anyway - how did you get that high and not make any friends?&nbsp No guildmates?&nbsp I am not a social person, but... I know enough people to get a good group together or get one scheduled pretty much anytime.&nbsp All I can say is go out - meet people, make friends - its a MMPORPG.&nbsp If you get in a PUG with a good player - stay in contact with them.&nbsp Just drop a 'hi' once in awhile when you pass by them, drop them a 'hey _____, Im getting a group together to ______, wanna come along?' - so they remember who you are.&nbsp Keep doing things like that, be nice, be respectful and - poof - you start getting a competant group you can run with once in awhile.&nbsp Just my opinion - ok back to the quest.	it is in the archivist's room on the right hand side when you enter.&nbsp The room right before final boss on scarlet side.&nbsp	the painting is on the right wall when you walk in after Killing the Archivist. Should look like 3 moons I believe. just click on it and take your painting.
/?quest=6163	Ramstein	60 Dungeon	56	Horde	6600 XP | Item: Elemental Circle	Dungeons	Travel to Stratholme and slay Ramstein the Gorger. Take his head as a souvenir for Nathanos. Head of Ramstein the Gorger	After Sylvanas freed me, I hunted the beast across these wastes for months. It fled to the safety of Stratholme. The bastard...	Nathanos Blightcaller	Nathanos Blightcaller	This should help a lot to all of those who are wondering what prereqs there are. I had tof igure this out myself because all the other people just posted about something else. You have to do ALL THREE quests given by Nathanos. Then he'll give you TWO more to kill level 60 and 61 elites. You have to do them BOTH. Then he gives out the Ramstein quest.	This should help a lot to all of those who are wondering what prereqs there are.&nbsp I had tof igure this out myself because all the other people just posted about something else. You have to do ALL THREE quests given by Nathanos.&nbsp Then he'll give you TWO more to kill level 60 and 61 elites.&nbsp You have to do them BOTH.&nbsp Then he gives out the Ramstein quest.	A tip for those who haven't reached end-game: Resistances will be important. The blue ring might work for you now, but you'll get much better soon enough. The resistance ring is an OK fire resistance ring, but it also has FROST resistance. Do you know for sure that you will never need Frost resistance? Are you sure? (Hint: the Naxxramas instance in 1.11 will require frost resistance). Even if you don't need it today, get the resist ring and keep it. There are only a few FrR rings in the game, and this quest isn't repeatable.	Get a green ring 'of fire resistance' off the AH instead of this quest reward. It's very easy to find something better than +10. Even level 30-40 rings should be.	He is on the Undead side, just before the Baron. Need a 5 man group Pre-requs are gotten from Nathanos, need to do a fair few quests before you can get this...
/?quest=6163	Ramstein	60 Dungeon	56	Horde	6600 XP | Pick: [Royal Seal of Alexis, Elemental Circle]	Dungeons	Travel to Stratholme and slay Ramstein the Gorger. Take his head as a souvenir for Nathanos. Head of Ramstein the Gorger	After Sylvanas freed me, I hunted the beast across these wastes for months. It fled to the safety of Stratholme. The bastard...	Nathanos Blightcaller	Nathanos Blightcaller	This should help a lot to all of those who are wondering what prereqs there are. I had tof igure this out myself because all the other people just posted about something else. You have to do ALL THREE quests given by Nathanos. Then he'll give you TWO more to kill level 60 and 61 elites. You have to do them BOTH. Then he gives out the Ramstein quest.	This should help a lot to all of those who are wondering what prereqs there are.&nbsp I had tof igure this out myself because all the other people just posted about something else. You have to do ALL THREE quests given by Nathanos.&nbsp Then he'll give you TWO more to kill level 60 and 61 elites.&nbsp You have to do them BOTH.&nbsp Then he gives out the Ramstein quest.	A tip for those who haven't reached end-game: Resistances will be important. The blue ring might work for you now, but you'll get much better soon enough. The resistance ring is an OK fire resistance ring, but it also has FROST resistance. Do you know for sure that you will never need Frost resistance? Are you sure? (Hint: the Naxxramas instance in 1.11 will require frost resistance). Even if you don't need it today, get the resist ring and keep it. There are only a few FrR rings in the game, and this quest isn't repeatable.	Get a green ring 'of fire resistance' off the AH instead of this quest reward. It's very easy to find something better than +10. Even level 30-40 rings should be.	He is on the Undead side, just before the Baron. Need a 5 man group Pre-requs are gotten from Nathanos, need to do a fair few quests before you can get this...
/?quest=5213	The Active Agent	60 Dungeon	55	Both	6850 XP | Item: Seal of the Dawn (1.7)	Dungeons	Travel to Stratholme and search the ziggurats. Find and return new Scourge Data to Betina Bigglezink. Scourge Data	We are on the verge of discovering what this new active plague agent may be!	Betina Bigglezink	Betina Bigglezink	[url=http://img177.imageshack.us/img177/4697/scouragedata9cm.jpg]http://img177.imageshack.us/img177/4697/scouragedata9cm.jpg[/url]	Just wanted to add that all party members can loot the scourge data, the tiny box does NOT disappear. In my party 3 guys looted it.	You will find the data in a box that randomly spawns in the Ziggurats. They can spawn in Nerub'Enkan's Ziggurat, Baroness Anastari's Ziggurat or in Maleki's Ziggurat	Having the rune means you can throw away the argent dawn commision?	The Quest item ( small box ) its has random spawn place! its inside one off the 3 ziggurats! I found it in the first! guild mate found it in the 2nd other guild mates found them in 3 and 2nd etc! so ergo its not always in the last one! Random spawn places for the quest! iynx Server : sunstrider Nice quest reward!
/?quest=5213	The Active Agent	60 Dungeon	55	Both	6850 XP | Pick: [Seal of the Dawn (1.7), Rune of the Dawn]	Dungeons	Travel to Stratholme and search the ziggurats. Find and return new Scourge Data to Betina Bigglezink. Scourge Data	We are on the verge of discovering what this new active plague agent may be!	Betina Bigglezink	Betina Bigglezink	[url=http://img177.imageshack.us/img177/4697/scouragedata9cm.jpg]http://img177.imageshack.us/img177/4697/scouragedata9cm.jpg[/url]	Just wanted to add that all party members can loot the scourge data, the tiny box does NOT disappear. In my party 3 guys looted it.	You will find the data in a box that randomly spawns in the Ziggurats. They can spawn in Nerub'Enkan's Ziggurat, Baroness Anastari's Ziggurat or in Maleki's Ziggurat	Having the rune means you can throw away the argent dawn commision?	The Quest item ( small box ) its has random spawn place! its inside one off the 3 ziggurats! I found it in the first! guild mate found it in the 2nd other guild mates found them in 3 and 2nd etc! so ergo its not always in the last one! Random spawn places for the quest! iynx Server : sunstrider Nice quest reward!
