# Quest Data for Dungeons - Sunken Temple
# Generated: 2025-08-18 16:52:20
# Total quests: 10
# Comment scrape timestamp: 2025-08-18 17:16:36

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8733	Eranikus, Tyrant of the Dream	60	60	Both	6600 XP	Dungeons	Additional requirements to obtain this quest: Your reputation with Brood of Nozdormu must be at least Neutral Travel to the continent of Teldrassil and find Malfurion's agent somewhere outside the walls of Darnassus.	N/A	Malfurion Stormrage	Forest Wisp	The formerly 'broken' Questline of Eranikus finds itself prolonged - but you need Neutral reputation with the Brood of Nozdormu (36.000 rep) and a good raid guild, since you WILL need to kill one green dragon in the Hinterlands, Feralas, Ashenvale and Duskwood. Each. Good luck to all of you out there.	This quest is horribly annoying is that the description is incredibly vague on where to find the quest guy.&nbsp Nor does it tell you the name of who you're looking for. The quest person you are looking for is a wisp (named 'Wisp').&nbsp It can be found just inside Teldrassil from the gates of Darnassus.&nbsp Upon leaving the gate, turn left and head up the path to the north.&nbsp It's just left off the path hidden in a little cul-de-sac. This is easy for Alliance to do, but horde will need to venture through the city.&nbsp As Darnassus is usually mostly empty this shouldn't be a problem, but take 2-3 friends along as company (and for pvp fun). As for how to start this quest, the questline begins in Silithus with the dragons in Tanarsis.&nbsp The questline eventually splits into several 'sub-lines' of which this is one.	I posted a full write-up of this quest chain at: [url=https://classicdb.ch/quest=8286]https://classicdb.ch/quest=8286[/url]	The agent its a wisp located at 37,47	u need to do all prequests! then malfurion will spawn as soon as u are near eranikus in Sunken temple
/?quest=1475	Into The Temple of Atal'Hakkar	50 Dungeon	38	Alliance	7100 XP | Item: Guardian Talisman	Dungeons	Gather 10 Atal'ai Tablets for Brohann Caskbelly in Stormwind. Atal'ai Tablet (10)	As dusk slowly descends upon my career I turn to you, <name>, to help me in my final quest for the Explorers' League. If my old bones could muster the strength to brave the Swamp of Sorrows and the sunken temple I would be fighting right alongside you.Pride makes it hard for me to ask for your help in collecting the Atal'ai Tablets. But old age forces the necessity.Please help me, <name>. I want to retire from the Explorers' League having completed their final bidding.	Brohann Caskbelly	Brohann Caskbelly	I just figured I'd mention this, since it wasn't obvious: Any time you gain reputation with any single alliance/horde faction (I.e. Orgrimmar, Darnassus, etc), you always automatically get a quarter of the reputation with each of the other factions as well. In this case, you'd not only get 125 rep with Exodar, but also with Darnassus, Stormwind and Gnomeregan as well. Edit: It doesn't actually show it in your combat log - it only shows that you gained rep with the main faction involved. But if you actually look at your rep screen before and after turning in a quest, you'll see that they've increased. Also, this isn't the case for ALL quests... Just most of them. Runecloth turn-ins for instance, only give rep with one faction.	When you enter the temple, before entering the instance and facing any mobs at all, there are three tablets you can loot. One is under water right in the center of the room and the other 2 are on the tables on either side. The respawn time is about 8 min or so, but, this means anyone at the min lvl req can complete this quest without ever facing a mob here.	You can collect all the tablets outside the instance. Just wait for some of the easy areas to respawn.	Even if the reward is useless (to some people), one would still need to know where the tablets are located... are they all over the sunken temple? are they just in one room? Do you have to go inside the instance? Any info at all would be much appreciated! Thanks in advance...	The first quest that Brohann Caskbelly will send you off on is [b](43) In Search of the Temple[/b]. You don't even need to go into the temple. The quest completes as soon as you get in the vicinity of the temple, while you're in the water. The next quest Brohann gives you is [b](43) To The Hinterlands[/b].
/?quest=3446	Into the Depths	51 Dungeon	46	Both	4900 XP	Dungeons	Find the Altar of Hakkar in the Sunken Temple in Swamp of Sorrows. Atal'ai Stone Circle Provided Item: Atal'ai Stone Circle	Upon examining the statue, you notice a depression in its side, just the size of the token that Marvon gave you...	Marvon Rivetseeker	Altar of Hakkar	[1]First of all u need to go to Feathermoon Stronghold in Feralas and speak to Angelas Moonbreeze, a NE npc...He gives a q by the anme of 'The sunken temple'. This q needs u to go to Tanaris and Speak to Marvon Rivetseeker, a goblin npc. [2]When u go to Tanaris, and find Marvon Rivetseeker at 52,45 .He is next to the Broken Pillar ruins. He gives the q 'The stone circle'. This q needs u to go to Ratchet ( The barrens ) and retrive his stone. [3]U take the ship from Booty Bay(STV) to Rachet.The stone is in the chest, outside the first building(it's a goblin hut) on ur left when u get of from Rachet docks...Inside the building is a goblin by the name of Liv Rizzlefix(irrelevant) [4]U get back to Tanaris to return the stone to Marvon Rivetseeker. When u return the stone, both q 'Secret in the circle' and 'into the depths' are available...	This chain is required to get this quest. https://classicdb.ch/?quest=3445	A rogue can manage this quest solo but expect to die if you make a mistake. Enter the instance, take the right hand path down to the Pit of Refuse. The Altar of Hakkar is right there. When you click on it of course you lose stealth and if a lurker attacks, all those little maggots also attack. So you have to try and do it fast then flash away. I did it on an exporation mission at lvl 49. Other areas here look like a lot of fun in later levels!	Ok I just finished it. Level 50 Rogue This is what you do. Go into the instance http://worldofwarcraft.gameamp.com/game_map/game_map/97.php Go all the way to the bottom. There you will see a big pool of water in the centre. Jump into the pool but stay on the sides. You will see a set of stairs coming out of the water. At the top of the stairs is an Alter. What I did was waited till the monsters were the farthest away then I clicked the temple. I guest page comes up. Click like hell to complete it. They attacked me hard and fast but I clicked faster lol. Then died before I could hit vanish. Good Luck... Melicoy	Clicking on the Altar, will show you the sequence of the statues to be touched to spawn the Guardian in the pool.
/?quest=1446	Jammal'an the Prophet	53 Dungeon	38	Both	6550 XP | Pick: [Rainstrider Leggings, Helm of Exile]	Dungeons	The Atal'ai Exile in The Hinterlands wants the Head of Jammal'an. Head of Jammal'an	Once Jammal'an has been removed, I stand a chance of returning to my people.With Jammal'an as their spiritual leader, the Atal'ai face certain destruction.	Atal'ai Exile	Atal'ai Exile	problem 2 return the quest? he is @ cord 33,75 in hinterlands	the quest ending is at Atal'al Exile (the quest giver) is at 33, 75 in hinterlands is what shinzo was meaning.	The snake statues are for a different part of the dungeon. In order to be able to kill Jammal'an, you have to clear out his protectors. there are a series of 6 (8?) undead trolls (ghosts) on balconies that you must kill first. to get to them, from the entrance of the instance, go to the right middle hallway and go up the stairs. clear all the way around. then to get to the prophet, go back to the instance entrance, and go left, up the spiral, then clear clockwise around the circle and go through the first hallway to your left that actually goes somewhere. Jammal'an's chambers are guarded by groups of trolls that like to fear you, i suggest you pull groups of them into the hallway to fight, with you facing the chamber at all times so when you get feared you dont run into the chamber. If you have mana drain for Jammal'an himself, it will help as he likes to mind control/fear folks. )	When getting up to this guy watch out! The Undead fear you so make sure to stay back and have someone pull. If you get feared too close to the group, you'll tag the whole room.	The Exile is found in Shadra'Alor, just east of the southern-most ziggurat.
/?quest=3447	Secret of the Circle	51 Dungeon	46	Both	6100 XP | Item: Hakkari Urn	Dungeons	Travel into the Sunken Temple and discover the secret hidden in the circle of statues.	N/A	Marvon Rivetseeker	Idol of Hakkar	1) South 2) North 3) Southwest 4) Southeast 5) Northwest 6) Northeast You get all these rewards: Mark of Hakkar Hakkar'i Brestplate Hakkar'i Shroud	When you first enter the instance there are 4 directions you can take. 1.) I recommend you take the rightmost path down the stairwell and clear out the enemies in the pit (these are oozes/snakes/maggots, lvl 48-50).&nbsp This will make it easier to kill the mini-boss that spawns after you activate the statues. 2.) Go back up the the main hall.&nbsp Now take the path 2nd from the right. 3.) When you come to the stairwells, take the stairwells down.&nbsp You will now be in a circle area where the balconies are. 4.) Clear everything out. 5.) Activate the statues in the correct order (see top post) and then a lvl 50 elite mini-boss will spawn in the pit below (the pit you should have cleared). 6.) Jump down, kill the mini-boss. 7.) Click on the giant snake statue in the middle (appears after activating statues) in order to complete the quest and get your three rewards. 8.) Breakdance. Thanks Jestyr for posting the order of activation.	The order is S, N, SW, SE, NW, NE.	Where is the sunken temple at and can a rogue sneak there to complete it?	Killing the guardian will allow you to click on the statue in the center of the pool to complete the quest. You will obtain a [url=https://classicdb.ch/item=4795][b]Hakkari Urn[/b][/url] (click to see all three rewards on the same page), which contains all three items below: [ul] [li][url=https://classicdb.ch/item=4767][b]Hakkari Shroud[/b][/url] Cloth Head, 58 AC, +16 Sta, +15 Int [/li] [li][url=https://classicdb.ch/item=4787][b]Hakkari Breastplate[/b][/url] Leather Chest, 144 AC, +4 Agi, +22 Sta [/li] [li][url=https://classicdb.ch/item=3827][b]Mark of Hakkar[/b][/url] Ring, +7 Str, +10 Sta[/li] [/ul]
/?quest=3373	The Essence of Eranikus	55 Dungeon	48	Both	2800 XP | Item: Chained Essence of Eranikus	Dungeons	Place the Essence of Eranikus in the Essence Font located in this lair in the Sunken Temple. Essence of Eranikus Provided Item: Essence of Eranikus	As you near the essence font that Eranikus told you of, his voice once again touches your mind.'Yes mortal, this essence font will redeem what untainted element of my psyche remains imbued in this gem. Place the gem inside the font, and let the magic of the Green Dragonflight cleanse the corruption and taint from my being. Only then will I find true release, and only then will the Dragonflight be able to reassert their stewardship over the Atal'ai.'	Essence of Eranikus	Essence Font	If you don't want to keep this trinket, you can continue on with a Quest chain and turn it in to Itharius (in a cave in the western side of Swamp of Sorrows) Quest link here: https://classicdb.ch/?quest=3374	The Font's in the left corner at the back of the room where you kill Eranikus.	Really quick quest, descent XP. Kill the guy, loot the corpse, put the essence in the bowl in the left corner. Instant extra XP. Make sure everyone loots Eranikus.	This chain leads indirectly to the AQ event where you are forced to tank Eranikus while he is cleansed, then burn him down to 20% to finish the event.	Wheres the damn font?
/?quest=3528	The God Hakkar	53 Dungeon	40	Both	7900 XP | Pick: [Avenguard Helm, Lifeforce Dirk, Gemburst Circlet]	Dungeons	Bring the Filled Egg of Hakkar to Yeh'kinya in Tanaris. Filled Egg of Hakkar Provided Item: Egg of Hakkar	Have you defeated the avatar of Hakkar, <name>? Has his essence yet empowered the egg I gave you?	Yeh'kinya	Yeh'kinya	Maybe I'm silly for not catching onto this, but... After you kill the Avatar of Hakkar[which you summon by using the egg] he drops 'Essence of Hakkar.' Pick that up and right click it in your inventory to fill the egg with the Essence of Hakkar.	This is part of a long chain quest designed to familiarize you with Zul'Gurub and the Zandalar Tribe. Much of the rewards are decent for their level. The Faded Hakkari Cloak is only slightly worse than everyone's favorite Hide of the Wild. Definitely a worthwhile chain for someone that doesn't want to shell out for the Hide. Here's the full quest chain: - Screecher Spirits(Feralas) - https://classicdb.ch/?quest=3520 - The Prophecy of Mosh'aru(Zul'Farrak) - https://classicdb.ch/?quest=3520 - The Ancient Egg(Hinterlands) - https://classicdb.ch/?quest=4787 - The God Hakkar(Temple of Atal'Hakkar) - https://classicdb.ch/?quest=3528 - The Lost Tablets of Mosh'aru(Eastern Plaguelands) - https://classicdb.ch/?quest=5065 - The Final Tablets(Lower Blackrock Spire) - https://classicdb.ch/?quest=4788 - Confront Yeh'kinya(Tanaris) - https://classicdb.ch/?quest=8181 - The Hand of Rastakhan(Stranglethorn Vale) - https://classicdb.ch/?quest=8182	PLEASE NOTE - If you wipe during this encounter, you will NOT be able to do it again until the instance is reset.	The short version:&nbsp Enter the temple, take the first hall to the left, this twists around and around and up. Keep totally right until you find a room with a gate on either side and a skelly in a ring in the center.&nbsp Four fires burn on the corners.&nbsp Clear everything. Use the egg, this spawns the event, kill everything you can as fast as you can, focus on the flying snakes, take their blood and put out the four fires. This will spawn the God Hakkar's avatar, defeat him and take your prize. Notes: We did this with 1 shaman, 1 hunter, 3 rogues from level 49 to 60.&nbsp We all but wiped and the gates opened back up (one rogue vanished).&nbsp We came back in and aggro'd the mess, pulling it outside the caged area and locking one rogue inside.&nbsp We defeated him anyhow.&nbsp The hard part is the endurance match!	actually need to make a correction, seemed like a good tip before I did the encounter, then when we went to start it, realized this was not true. You need to use the egg in the room where the skeleton of the avatar is in order to start the encounter, and then the mobs start spawning. Unless it was meant that you need to clear all the mobs around the area. This encounter is VERY hectic if you aren't well organized, so make sure you brief everyone before using the egg. Change the loot to free for all(thanks to the second post) and make sure one person is in charge of getting the blood and extinguishing the torches. The blood drops from wyvern looking creatures called Hakkari Bloodkeepers(https://classicdb.ch/?npc=8438) that spawn one at a time. there are also several non elite venom spitters running around, that will quickly target your priest/healer, so have at least one person assigned to pull these off of them. Also, during the encounter before Hakkar is summoned by putting out the four torches, there are elite dragonkin called Nightmare Suppressor's (https://classicdb.ch/?npc=849700Rzc) that spawn and try to prevent you from summoning the avatar, they also start a 'drain soul' like animation on the Avatar, but I didn't really notice if it was doing anything with all the other mobs around, sorry. But if you see them doing the drain, a quick attack is all that is needed to break the action and have them target you, then it is just a regular elite fight. One last thing, make sure everyone is ready and aware before the person with the blood goes to put the last torch out, because as soon as it is extinguished, the once ghost-form of the avatar hovering in the center of the room comes to life and starts pounding on the nearest target, so make sure your healer/ mages, or any other cloth wearers are well back. And this also gives you a chance to change the loot back to group loot before having to face the big guy (something I wish I had done) He drops some nice Rare BoP items, and it is kind of a bummer to have someone accidentally loot it without realizing it is still on free for all. Good luck and hope this makes the encounter a little easier for anyone else.
/?quest=3380	The Sunken Temple	51 Dungeon	46	Horde	3650 XP	Dungeons	Find Marvon Rivetseeker in Tanaris.	N/A	Witch Doctor Uzer'i	Marvon Rivetseeker	As an Alliance folk, found Marvin at 53,46 in Tanaris. Had his little distillery and makeshift camp set up in the middle of the Broken Pillar area, against a wall.	you will find him at loc 52.44 at the broken pillar in abysal sands really easy hope this helps -)	Cords: 53,46	Marvon Rivetseeker is found at a sand-buried temple ruin not too too far south of Gadgetzan. After speaking with him, you will have to travel to the Sunken Temple, located in the Swampasaurus area (Swamp of Sorrows). It is the large lake, the Pool of Tears east of Stonard. There are many lvl 42-45 drangonkin elite that wander the land that surrounds the temple, but do not fear what is outside, you can easily sneak by them and swim out to the temple inthe center of the lake. After you arrive at the temple, enter and descend. Inside it is best to have a party of 3 or more (5 is best) lvl 45 or higher, but I suggest minimum 3 players lvl 50 or higher. I did this as mage lvl 52, with orc shaman lvl 50 and troll hunter lvl 50 (hunter counts as 2 in my books cause his pet Julian is a good asset) and it was challenging and fun. A priest would be darn handy! Happy hunting. BOF	I can't get this quest from the witchdoctor. I've done all his other quests and I'm lvl 52. It's also preventing me from getting another ST quest so if anyone has any idea why I can't grab this one I'll take any suggestions. Thanks.
/?quest=1445	The Temple of Atal'Hakkar	50 Dungeon	38	Both	5900 XP | Item: Guardian Talisman	Dungeons	Collect 20 Fetishes of Hakkar and bring them to Fel'Zerul in Stonard. Fetish of Hakkar (20)	If the Atal'ai fetishes hold the power to summon Hakkar and fulfill Jammal'an's prophecy they must be seized. Such powers must be understood by the Horde!	Fel'zerul	Fel'zerul	The fetishes are dropped off of almost all the Atal'ai mobs right outside and inside the instance, even the bosses. And the reward is really good for any melee class.	Starts in Stonard, Swamp of Sorrows, from an Orc usptairs in the same building as the Blood Elf lady.	The reward isn't too bad.&nbsp I use it with my druid when I need to tank.&nbsp It'd be nice if the duration for the armor up was more like what you get with Mark of the Chosen, but it does come in handy. The fetish drop rate was kinda low, however.&nbsp I ended up doing it solo by killing trolls outside the instance, and it took a long time to complete.&nbsp Later I did a 4-man ST run where one of the others in the party didn't have the quest.&nbsp Nevertheless, the two who were doing it had to kill trolls outside the instance after we were done to finish it.	Awarded me 500 reputation with Orgrimmar as of 7th December, patch 2.3. ...and 10200 experience as well, but that was to be expected anyway. An increase in 150 reputation is nothing to turn down.	Does this drop from any of the non-elite mobs around ST?
/?quest=4146	Zapper Fuel	52 Group	47	Horde	5100 XP	Dungeons	Deliver the Unloaded Zapper and 5 samples of Atal'ai Haze to Larion in Marshal's Refuge. Unloaded Zapper Atal'ai Haze (5) Provided Item: Unloaded Zapper	This is exhausting, <name>. Those things just won't leave me alone!	Liv Rizzlefix	Larion	Go to the Sunken Temple in Swamp of Sorrows. You actually have to GO INSIDE THE INSTANCE. To clarify. Once you are actually inside the instance, head down the path infront of you that leads to the right, the wall with the masks on it. Follow that and you will come to a room with two sets of stairs: one going up, one going down. Watch out for the pat here. It's two trolls and two imps. If you stay kinda angled in the room before the stairs to just where you can see the stairs, you want to wait for those guys to go upstairs at least, that's what I did. I imagine it is a long pat cause once they go up those stairs, we weren't bothered by them fora while. When they have passed, go down. You should be in The Hall of Serpents...or Snakes...same thing, right? The stuff drops off of the giant worms and elemental thingies within this hall. But, YOU NEED TO KILL AS MANY MAGGOTS AS YOU CAN since they will all aggro when you aim for the worms of elemental thingies. They also aggro when you kill one of thier own. Least...that's what happened to us. Since you act ually have to go into the instance, I recommend bringing a healer with you. A full party might be best...it's up to you. Hope this helps. Rot Peacefully, Scythellia the Lost Undead Warlock, Maelstrom	Travel to the Temple of Atal'Hakkar (sunken temple), Stonard, Eastern Kingdoms. Look for the instance entrance. Inside - go straight forward an take the right path. You should be able to sneak past the mobs if you run against the wall. Then take a sharp turn right and head down the stairs. In the circular pathway you will be able to find deep lurkers and murk worms... It's perhaps wise to bring some friends - the mobs work together... /Donk	You will find the 'fuel' as drops from monsters in ST.	From the enterance go right and down the stairs to the mobs dropping the Atal'ai Haze.	You have to enter the instance to kill the Oozes, Murk Lukers or Worms to get the drop. The oozes outside the instance will not drop the items you are looking for. You get 4100 xp for this quest.
