# Quest Data for Dungeons - Wailing Caverns
# Generated: 2025-08-18 16:54:17
# Total quests: 10
# Comment scrape timestamp: 2025-08-18 17:17:13

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1487	Deviate Eradication	21 Dungeon	15	Both	2050 XP | Pick: [Pattern: Deviate Scale Belt, Soft Fur-lined Shoes71, Dagmire Gauntlets]	Dungeons	Ebru in the Wailing Caverns wants you to kill 7 Deviate Ravagers, 7 Deviate Vipers, 7 Deviate Shamblers and 7 Deviate Dreadfangs. Deviate Ravager slain (7) Deviate Viper slain (7) Deviate Shambler slain (7) Deviate Dreadfang slain (7)	<name>, we, the Disciples of Naralex, need your help. Our numbers are dwindling with our master trapped in his twisted nightmare. We have not the forces necessary to deal with the corrupt creatures which now haunt these caverns.I beg of you, enter the caves and wage war on the deviate creatures!	Ebru	Ebru	To get to the quest giver, you have to get into the wailing caverns in a special way. When facing the entrance to the instance, (while still outside of it, it should say you are in the barrens) you should see that the entrance looks like a face. The questgivers are in the left eye. To get there, climb up the mountain, drop onto the head, drop onto the brow, drop onto the nose, face the instance, and go into the eye on the left	I don't really know if coordinates will help, but some people will keep asking for them. Go on top of the mountain.&nbsp There's many ways up. Once you are on the top, go towards 46,33.&nbsp This is the leg that leads to the caverns. As you descend off of that leg (south), you'll come to a giant granite slab.&nbsp This slab is basically WC.&nbsp As soon as you step on it, the map key will no longer give you coordinates, since it thinks you are in an instance.&nbsp 45,36 is probably about the center of the slab. As you continue to walk towards the front, you'll see there are a few drop offs.&nbsp The first drop off is easy, since there's only one ledge the whole way along. The second drop off that you need to make is to the nose.&nbsp Look around until you find it, since if you miss, you will have to start over. The third drop you have to make is into the west-most eye.&nbsp The face would tell you it was his right eye.&nbsp It looks like you might not find a footing to land on, but it isn't really all that hard.&nbsp Of course, if you go into the east eye, then you'll have to start over.&nbsp This drop off is about 45,38, but that won't help you much. That's it!	I've noticed a lot of people including myself have trouble finding the npc's locations so I made a little guide to find it. http://www.scientific-proof.com/wow/wcguide.htm Edited, Thu Jan 27 19:47:00 2005	Okay, when you leave crossroads, start climbing on the mountian thats in the same direction as wailing caverns, then you keep going along it till you see the oasis. Continue on till you see the skull, get on top, then carfully go to the edge, then you look down and jump on the nose, if you are facing the skull, go in the left eye, i always go in that one because i once fell off from the right one and had to go all the way back to the mountain where you can climb up, this may not be the only way up, but it is the easiest, so i suggest you try it that way.	The Deviate Vipers are located in the Pit of Fangs. This is a section of the Wailing Caverns (instant dungeon). It is located in the far western part of the dungeon and is also patrolled by Deviate Adders. The Fanglord, Lord Cobrahn, is also located in this area. To get to it, you will have to get into the water and follow it westward through the Screaming Gully.
/?quest=1486	Deviate Hides	17 Dungeon	13	Both	1600 XP | Pick: [Slick Deviate Leggings, Deviate Hide Pack]	Dungeons	Nalpak in the Wailing Caverns wants 20 Deviate Hides. Deviate Hide (20)	I am very interested in examining the hides from the deviate creatures who have infested these caves. Have you had any luck in collecting some, <class>?	Nalpak	Nalpak	at WC above entrance.... u need to get on top of entrance, go to edge of of rock face (dont fall off)turn around and u will c 2 holes in the rock face&nbsp go through one on the left and u will c about 5 guys and thats where u finsh quest	To get to the quest giver, you have to get into the wailing caverns in a special way. When facing the entrance to the instance, (while still outside of it, it should say you are in the barrens) you should see that the entrance looks like a face. The questgivers are in the left eye. To get there, climb up the mountain, drop onto the head, drop onto the brow, drop onto the nose, face the instance, and go into the eye on the left	I felt other posts were not very descriptive so lemme help. There is another tiny cave over the entrance to WC and the cords are 46/36. You have to walk around the mesa thing and try to get up to the top then walk toward the top of the cave, once you get to the top jump down to the 2nd set of the rock ledge. then from there move your window thing with your mouse and look for a hole in the rocks, jump down but not all the way, only to the next ledge and tada! grats you're in. <3	Nalpak is located in a small aclove outside of WC, up on the mountain. There's 1 small aclove you can get to fairly easy above the entrance and on the right side. The aclove that Nalpak is in is on the left side. You have to climb up the montain a lot higher, than drop down from above to get in. I ended up dropping down onto the rock that seperated the left and right acloves, then moved into the left one to find the small cave entrance.	Yes Alliance can get this quest as well as a quest from Ebru (Deviate Eradication).
/?quest=1489	Hamuul Runetotem	16	10	Horde	290 XP	Dungeons	Speak with Hamuul Runetotem.	N/A	Tonga Runetotem	Arch Druid Hamuul Runetotem	You've got to finish the 'Altered Beings' quest from Tonga Runetotem in The Barrens before you can do this quest.	[url=http://thottbott.com/?n=749]Kirge Sternhorn[/url] at Camp T sends you to Tonga Runetotem at the Crossroads as the start of a quest chain called [url=http://thottbott.com/?qu=886]The Barrens Oasis[/url].&nbsp These deal with the various oasis around The Barrens and once you complete all of them you are offered a new quest to speak with Hamuul Runetotem in Thunder Bluff. This starts a chain that ends up being the quest Leaders of the Fang in Wailing Caverns that rewards either a nice staff or 1h sword. Links for Tonga and Leaders of the Fang (which shows it's rewards) can be found in the quest description above.	Hamuul Runetotem can be found at 78,28 @ thunderbluff, this quest gives 290xp :)	In order to begin this chain you must first complete the quest chain starting with The Barrens Oases from Arch Druid Hamuul Runetotem in Thunder Bluff or The Forgotten Pools from Tonga Runetotem in The Crossroads.	You need to have doen this questchain to get this quest: https://classicdb.ch/quest=886
/?quest=914	Leaders of the Fang	22 Dungeon	10	Horde	2200 XP | Pick: [Crescent Staff, Wingblade]	Dungeons	Bring the Gems of Cobrahn, Anacondra, Pythas and Serpentis to Nara Wildmane in Thunder Bluff. Gem of Cobrahn Gem of Anacondra Gem of Pythas Gem of Serpentis	Memories of my nightmares haunt me, <name>. Have you defeated the leaders of the fang and acquired their gems?	Nara Wildmane	Nara Wildmane	Every person that has this quest will be able to get the gem off the bosses. It drops one for everyone!	If you defeat all four leaders in the same run of Wailing Caverns, the druid at the beginning of the instance will offer to let the party start an event. If your party was able to handle the rest of the instance easily, I recommend doing the event during the same run as this quest. The event has you attempt to awake the sleeping druid in the back room on the top side of the first large room you enter. You'll have to take out a few waves of mobs before the main boss mob. The event has no special things for which to watch out, it's purely 'Tank and Spank'.	https://classicdb.ch/quest=886 is the start of the quest that then lead to this.&nbsp Horde only. Alliance has quests in Deadmines which are similiar to Hordes Wailing Caverns. (think Alliance gets better loot though :D ) &nbsp This instance does take some time, if you do it at the level that is recommended and not at a much much higher level.&nbsp You need to make several hours avialable to do this quest. (At level 60 by self can take a long time even, if killing every mob in the place.&nbsp Unless your an aoe demon.. :D )&nbsp Be sure to have plenty of free bag space and also mana food and health food.&nbsp Potions don't hurt, either.&nbsp Linen will drop a lot inside and you can make bandages as you go.&nbsp First-aid is your Ffriieeeeend...&nbsp :D It is do-able by a well rounded level 15 and up group. Preferrably, you have a mixed level group and not all 15.. someone in their 20's would be nice too. :D&nbsp Yes, you probably will die several times or even wipe total group, even, though.&nbsp It is not meant to be 'really' easy. Or, you might never die and never wipe.&nbsp Many things vary. A priest and a shammy are nice for the heals and self-rezz they can do once an hour, if your group wipes out and they can rezz you, too.&nbsp Shammies are not as 'efficient' as healing as priest though, but do make good offtank or tank if they can handle it. A warlock to soulstone the rezzer is also nice. :D (think you get that at lvl 18) You have to remember though, that the lower your level, the further the distance you will have monsters come and attack you and your group. So, with knowing that, you will have to decide what the minimum level of the group you take with you.&nbsp &nbsp The waters you cross going thru the cave to the Instance portal have monsters down below that come up when you cross but if you get out of water they cant attack after that. &nbsp Some of the monsters do respawn, so remember this as you are doing it.&nbsp The longer it takes, the more chance more of them will respawn.&nbsp Not all of them, but even one can kill you if you are running back from getting killed and your group is up the way. &nbsp Evolving ectoplasm's make copies of themselves as they get low on health.&nbsp Raptors screech and call help to them when low on health, and the Elf Druids run and get help when about 1/4 health.&nbsp Little plant looking monsters do some hard damage at low level, also, they are linked, if you attack one, they all come, so be forewarned. Druids can cast at you from a distance or change into snake form and melee you.&nbsp Verdan the Everliving is not required, he drops nice loot, BUT he is also HARD to kill and does LOTS of damage, that can kill your squishies quick and yourself too. &nbsp Go to one of the mod sights if you like to use mods and install a mod called Metamap.. it has dungeon maps that show you where the bosses are.&nbsp It's not a live map of the dungeon part, but it does let you see where you are and direction you need to go.&nbsp There are also several sights out there that give you guides on each dungeon.&nbsp Just do a google search to find some of sights.&nbsp Also at the top of the posts someone links a picture and a guide to WC, as well. &nbsp Serpentis and Verdan the Everliving are both.. way to the right and then down, then left.. you have to loop it around.. and jump across a ledge.. not down off cliff.. but across/down a ledge and that brings you to them when you follow it around.&nbsp If you fall, just run back around and try it again. &nbsp Make sure you loot each boss for the gems or you miss out on a nice staff or sword for this quest. &nbsp After you have killed all five boss's and are heading out.. you talk to the druid at the entrance again and he will give an escort quest.&nbsp It's not as hard as it used to be, but he stops at several points and monsters spawn.&nbsp Once he reaches the cave of the dreamer, there are a few waves of monsters that come when he is trying to wake the dreamer.&nbsp Kill them as fast as you can.. and mana and heal up.. or rezz up if needed as soon as you can before another wave comes.&nbsp I think its&nbsp 3 waves might be 2.. then.. Mutanus the Devourer comes.. this giant Murloc.. kill him.. get some nice loot .. check the bodies of the monsters in the waves too... they drop some loot too.&nbsp Everyone loot Mutanus, he has green crystal that is quest starter. &nbsp There are lots of greens that drop, lots of linen, Deviate scales, perfect deviate scales, and lot of mobs to be skinned.. the scales sell well on Auction House.&nbsp Theres some ore deposits, some herbs, and several treasure chests inside.&nbsp Several nice blues drop, too for the level.&nbsp Recently some new loot has been dropping that I have not seen before. *might be because I never got it to drop before though, not sure*&nbsp some lvl 20 drops. &nbsp Get as many of the other quests with this one before you go in.&nbsp Do a search in quest section for Wailing Caverns.&nbsp Also dont forget to share your quests with your party before you start fighting your way into the opening of the cave.&nbsp And.. there is a cave above the opening.. that you have to carefully drop down into from on top.. that you can get couple of the quests and some leather trainers/recipes. &nbsp Hope this gives some more info.. or refreshes what you might already know.&nbsp None of my warnings apply to the high level toons or those that have a high level toon helping them through the instance. (just to forestall anyone saying everything was sooo easy for them) -)	When your quest tracker thing comes up.. notice something... It spells C-A-P-S [li]Gem of Cobrahn[/li] [li]Gem of Anacondra[/li] [li]Gem of Pythas[/li] [li]Gem of Sepentis[/li] I thought that was an amusing thing to find. GG.	I had to talk to the Runetotem guy at the south gate of XR. He gives you a few quests first, one is to go explore the Forgotten pools, next to go plant seeds in a fissure at the bottom of the Stagnant pools, the next is to kill those turtles in the Stagnant pools and collect X number of shells. After doing these 3, you unlock the Instance quest.
/?quest=1490	Nara Wildmane	16	10	Horde	120 XP	Dungeons	Speak with Nara Wildmane.	N/A	Arch Druid Hamuul Runetotem	Nara Wildmane	Nara Wildmane is located in the same tent as Arch Druid Hamuul Runetotem. You can't miss her! ...but if you do, she's located on Elder Rise of thunder Bluff. Coordinates: 75,31	X:75 Y:30	she's in the same room as humuul	nara is in the same carp as hamuul runetotem	Well first do the oasis quests then kill some turtles then off to thunderbluff to talk to these 2 :/
/?quest=962	Serpentbloom	18	14	Horde	1700 XP | Item: Apothecary Gloves	Dungeons	Apothecary Zamah in Thunder Bluff wants you to collect 10 Serpentbloom. Serpentbloom (10)	I am eager to see if you can gather enough Serpentbloom from the Wailing Caverns. I've sent many to do my bidding but none have returned.	Apothecary Zamah	Apothecary Zamah	The Starting NPC Name Is Incorrect. The 'Disciple Of Narlex' Does [b]NOT[/b] Give The Quest Anymore. It Was Changed To 'Apothecary Zamah'. She Can Be Found At Thunder Bluff At Spirit Rise. She Is In A Cave And Is Easy To Find. The Quest Giver Was Changed Shortely After The Thotbot Entry Of The Quest. Correction Curtisey Of C0R Studios.	What you do in this quest is loot green plants on the ground inside of Wailing Caverns (so you might need a group). The plants outside of the portal respawns but the ones inside does not. If there are more then one person doing this quest, better find a way to share the plants or just take them asap. You can track these plants with Herbalism.	Apotechary Zamah is located in the cave under the Spirit Rise. In the Pools of Vision.	It may be worth mentioning that to anyone else that had trouble finding this quest giver: She's in the cave under the spirit Rise. In the Pools of Vision.	In case I'm the only one that has noticed, after you pick the plant, a snake labeled 'Serpentbloom Snake' spawns. It's just a critter so it dosn't do anything just thought that it was interesting...
/?quest=1491	Smart Drinks	18 Dungeon	13	Both	1350 XP	Dungeons	Bring 6 portions of Wailing Essence to Mebok Mizzyrix in Ratchet. Wailing Essence (6)	Where is my wailing essence?	Mebok Mizzyrix	Mebok Mizzyrix	You first need to finish a quest called Raptor Horns from the same quest giver to get this quest (for the horde at least I don't know about alliance but WC isn't really an alliance dungeon). Simply kill Jelly lookings mobs called Devouring Ectoplasm, and loot them for the Essence!	Smart Drinks is part of a quest chain. Raptor Horns is a prereq. Mebok Mizzyrix also give this quest.	The essence is a guaranteed drop from Devouring and Evolving Ectoplasms. The devouring ones are found outside the instance and aren't elite.	its not at 51,55 its like at 46,36	both sets are correct just outside the cave i noticed the coordinates were 46,35 and inside they switced to the other set mentioned above
/?quest=3366	The Glowing Shard	25	15	Both	2550 XP	Dungeons	Travel to Ratchet to find the meaning behind the Nightmare Shard. Speak with someone about the Nightmare Shard Glowing Shard Provided Item: Glowing Shard	N/A	N/A	Falla Sagewind	After talking to the goblin in Ratchet, he tells you to take the gem to the druid lady above the Wailing Caverns. I thought he was refering to the lady in the small cave right above the caverns, but the lady is actually on TOP of the mountain. Took me a lot of frustration to figure this out, so wanted to share and hopefully help others that might have this confusion )	FYI the goblin is Sputtervalve < Tinkers' Union >	When you have killed all of the named night elf Fanglords, Disciple of Naralex will shout: 'At last! Naralex can be awakened! Come aid me, brave adventurers!' Then you will know you are ready to do the escort of the Disciple of Naralex and get to The Glowing Shard quest. When I did it, I killed Lord Serpentis last, then killed Verdan the Everliving, and dropped down the long vertical tunnel behind him, into the pool. From the pool, you take a right and you are in the cavern stream not far from the zone in. When you get back to the Disciple of Naralex, he will now have a talk bubble when you talk to him: 'Let the event begin!' It isn't a quest to accept, and just one person needs to click it to start it for everyone. It isn't a bad idea to have everything cleared out between the zone in and the sleeping Naralex. Unlike other leading quests, The Disiple of Naralex is not a complete idiot with 6.5 hit-points, he is actually strong, and puts mobs to sleep. When you get to the sleeping Naralex, the Disiple will try to wake him, in which you have to fight a wave of 3 serpents, then 7 slimes, then the [red]WORLDS LARGEST MURLOC[/red], lol. The murloc, Mutanus, will drop the gem that starts the quest. Enjoy! I had a lot of fun doing this quest. Edited, Thu Nov 10 21:50:26 2005	Its in Ratchet. 62.37 Right by the flightmaster... Names is sputtervalve..under the tent next to flightpath..	Hi The golbin you need to talk to is the one with the tinkers union. He is near the dock area. happy hunting
/?quest=6981	The Glowing Shard	26	15	Both	2650 XP	Dungeons	Travel to Ratchet to find someone that can tell you more about the glowing shard. Then, deliver the shard as you are directed. Speak with someone in Ratchet about the Glowing Shard Glowing Shard Provided Item: Glowing Shard	Hello, <race>. What can I do for you?	Glowing Shard	Falla Sagewind	When you've the shard right-click to get the quest. The first thing you've to do after you get out of Wailing Cavens(WC)is talking to Sputtervalve in ratchet. [b]Loc of Sputtervalve: 62,37[/b] The next you've to do is move back to Lushwater oasis. On the top of WC, where Falla Sagewind is waiting for you. [b]Reward : 2650xp[/b](@22) [b]Loc of Falla Sagewind: 48,32[/b] Hope it helps, Vexxan	You need to talk to Sputtervalve, the goblin in Ratchet who gives the Samophlange quest. He is by the flight master and will NOT have a question mark over his head. Sputtervalve will tell you to talk to Falla Sagewind. She is on top of the mountain directly southwest of the Crossroads. Sputtervalve: https://classicdb.ch/?npc=3442 Falla Sagewind: https://classicdb.ch/?npc=8418	Get the WC quest 'Leaders of the Fang,' because it's on the way. Finish it.&nbsp When you've killed all 4 leaders, go back to the entrance to the instance, and talk to the Disciple who's waiting there. He will ask you to escort him through to the sleeper.&nbsp Defend him.&nbsp When the sleeper awakes, make sure you loot the gem 'The Glowing Shard' from the corpses left on the ground.&nbsp CLICK ON IT TO START THE QUEST 'THE GLOWING SHARD.' Go to Ratchet.&nbsp Talk to the guy named 'Sputtervalve' who is standing under a little awning by the ocean, inside the town, by the warf.&nbsp There's no little yellow dot on your minimap, but you can handle it.&nbsp :-)&nbsp Very carefully, read everything he has to say.&nbsp [b]This isn't a regular quest, just a discussion with him.[/b] Then go back to the mountain over WC.&nbsp Climb up one of the spines to get to the very top of the mountain, and talk to the Tauren Druid at the top.&nbsp She'll give you the 'In Nightmares' quest. Now, fly to Thunder Bluff.&nbsp Or walk.&nbsp Whatever, dude. Go to the Elder Rise, and talk to Hamuul Runetotem.&nbsp He's in the big tent, with a yellow dot and a question mark on his head, thank goodness.&nbsp He'll let you complete the quest.&nbsp I got a crap pair of boots and 2000 exp. :-) There we go, hope this helps :-)	The glowing shard drops from Mutanus the Devourer, the giant Murloc boss at the end of WC. After you have killed the 4 leaders of the fang, you can talk to the tauren at the start of the instance to summon Mutanus. The tauren will slowly lead you to the boss's lair, but will be attacked by mobs periodically along the way. Once in the lair he will begin summoning the boss, but again waves of mobs will try to attack him, which you must kill.	For the final step AFTER you speak to sputtervalve in Ratchet, speak to Falla Sagewind at 48,32. I had to climb the mountain from the west side but there might be another way up. She'll give you part 2 which is called 'In Nightmares'
/?quest=959	Trouble at the Docks	18	14	Both	1350 XP	Dungeons	Crane Operator Bigglefuzz in Ratchet wants you to retrieve the bottle of 99-Year-Old Port from Mad Magglish who is hiding in the Wailing Caverns. 99-Year-Old Port	The dockmaster has been on my case ever since Mad Magglish made off with that 99-year-old port. I guess that bottle was intended as a gift for Gazlowe from none other than Baron Revilgaz himself.If you're brave enough and patient enough to seek out Mad Magglish and get that port back, I'll see to it you get a nice reward.	Crane Operator Bigglefuzz	Crane Operator Bigglefuzz	OK--I camped this guy with a friend last night, here's the deal.&nbsp He has 2 spawn points that we found: 51/54, which is a split-off of the main path, it takes you down into a little area where there are bones (a rib cage) and a little fire, some boxes/crates/baskets, etc.&nbsp He SOMETIMES spawns here, but not frequently. 52/55 is the other loc, and this is in a little cubby off to the right of the main entrance.&nbsp He spawns here more frequently. His spawn times seem to be about 6 to 10 minutes.&nbsp After he dies, it took about 6 minutes for him to spawn, 2 times in a row.&nbsp We waited for him for about 45 minutes at the 51/54 location, he never spawned there (but when we first got there his corpse was there, so he does spawn there sometimes).&nbsp He did spawn frequently at the 52/55 location.&nbsp	He tends to spawn in one of two places: -when you first enter the caves and it turns to the right, at the first intersection there's a little alcove/short branch that goes about 10' in.&nbsp He has Stealth, so you may not spot him til he starts pummelling you. -instead of turning right at the intersection, go straight and drop off slightly (about 6' - no damage) - and he may be there.&nbsp There's usually a deviate here, too, so be careful.	Mad Magglish isn't in Wailing caverns the instance, but he is in that same cave. He is in a dead end before you enter the final big room of the cave. You can jump down to him from a ledge, but be careful because there are stealthed raptors close to him.	After doing this with multiple character, i found that this dude has&nbsp >> 3&nbsp << Spawn Points 1st, when you enter (follow the cave to the right), first right (small bend in cave walll) 2nd, when you enter and follow the cave path to the right then straight ahead, down in a ditch 3rd is when you enter WC, first left, then you come to a tiny lake, more like a pool, you can go 2 ways, right to WC Portal, left to a dead-end cave, this is the 3rd spawn point	This isn't horde only.
