# Quest Data for Eastern Kingdoms - Alterac Mountains
# Generated: 2025-08-18 16:44:19
# Total quests: 14
# Comment scrape timestamp: 2025-08-18 17:17:39

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=522	Assassin's Contract	38	30	Alliance	700 XP	Eastern Kingdoms	Bring the Assassin's Contract to Magistrate Maleb in Southshore. Assassin's Contract Provided Item: Assassin's Contract	You look out of breath! Do you have something to report?	Assassin's Contract	Magistrate Henry Maleb	Finally found the crier. Here's the text for those who have missed the beginning of the event (it is not a yell so you have to be close enough to him to hear it) Southshore Crier says: Hear ye! Hear ye! *pant pant* Be warned citizens of Southshore: assassins are heading to our fair town! Southshore Crier says: Guards to your posts! They must be after the Magistrate again. He must be protected! They could come from any direction! Southshore Cirer says: Assassins... save... th... Magistraaa... *Southshore Cirer dies.*	Nothing to see here, nope nada [i][small]Edited, Aug 26th 2006 at 12:10pm EDT by pyrolight[/small][/i]	New server new test. 1:15ish server time on Fenris. Here and on echo isle it was at 12:20~ local time CST (-2 hours PST since no daylight savings). Time based I guess.	The Assassins pop right after you complete the 'nobles death' quest. Well did quest yet again and they didn't pop this time but at exactly 22:20 pst the town crier can scooting into town and yelled about assassins. Will test tommorrow again at 22:20 to see if it is time, and the last 2 times was just a massive coincidence. Of note I had completed the noble deaths quest about 30 min earlier heh. [i][small]Edited, Nov 4th 2006 at 10:31pm PST by pyrolight[/small][/i]	The people here make it seem as if it is very hard to find assassains. I'm on rexxar, and I made a circle around the stable up and down the coast and behind town hall. I was attacked at least twice each time, however I had to attack 6 groups before I could loot one. This is because whenever an assassain or assassains appear, a group of two or three gaurds will show up and kill them before I could tap. Just got lucky that the gaurds happened to focus on one of the assassains while I damaged the other enough to tap him.
/?quest=523	Baron's Demise	40	30	Alliance	3900 XP	Eastern Kingdoms	Bring the Head of Baron Vardus to Magistrate Maleb in Southshore. Head of Baron Vardus	Baron Vardus cannot think Southshore will allow him to send his thugs against us with impunity. I want his head!	Magistrate Henry Maleb	Magistrate Henry Maleb	For those who dont know where Strahnbrad its in the Alterac mountains, just follow the path from the Hillsbrad area north, you will come to a fork in the road take the right one and keep going and you will find it. (Note all the camps are in the Alterac Mountain zone.) As for Baron, hes another problem he can be found in the Inn in Strahnbrad, or in that general area. If hes not there look in the Sofera's Naze area (Its just south of Strahnbrad). If hes not there... you can look in the Corrahn's Dagger area as well (South West of Sofera's Naze). If not there... (I feel for you) but there is yet hope check in the Gavin's Naze area (West of Corrahn's Dagger). As other people have said if you looked in all four places he has probably been killed... so you have to recheck each again. I hope this little bit of info helps everyone... took me a few hours to find him... (I will never use coords.) Note: I am so sick of people saying I was <level> and did it solo with my <class> Man it was sooo easy.	he spawns in camps in the valley but he also has a hidden spawn in the basement of the inn behind some barrels 59.43	Okay, a friend and I did this quest. The first time around, the Baron was at the first camp. When we went to turn it in, we realized that he didn't loot the head. Haha. So we went back.. After reading the comments, we found him at the third camp. So, just saying, there are THREE possible camps. He could also be in the inn. The camps are OBVIOUS. Just keep walking. If you don't see him, move on to the next camp.	Found him at the two camps between 49.17. It was weird... first I killed him at the lower camp, and then I ran away from the guards, and he was at the next camp over. It's a lower pop server, so that might have something to do with it.	found him in alterac mountains, in the valley north of strahnbrad, at coordinates 53,20.&nbsp he was surrounded by syndicates, but it wasn't hard to pull them off him individually.
/?quest=500	Crushridge Bounty	36	30	Alliance	3500 XP	Eastern Kingdoms	Gather 9 Dirty Knucklebones from Crushridge ogres in the Alterac Mountains. Bring them to Marshal Redpath in Southshore. Dirty Knucklebones (9)	<name>, are you still hunting ogres? Do you have the knucklebones I had you gather?	Marshal Redpath	Marshal Redpath	you do [b]NOT[/b] need to kill the elite ogres.&nbsp the normal ogres lvl 35 are easy to kill with about a 1/3 drop rate. they are all next to [b] /tloc 50,58[/b].	Dirty knucklebones drop at a decent rate off the non-elite ogres just before the city. The best way to reach the non-elites is to travel up the road towards Taren Mill, and past it into the Alterac Mountains. Careful for the elite Deathguards, their aggression radius is fairly large! If you're low-level (Under 35), I'd strongly suggest avoiding the elite ogres just inside the gates!! Not a bad, quest, and when coupled with Preserving Knowledge, it gives a fair amount of experience. For Preserving Knowledge, it would be a very good idea to bring a group with you! Hang onto that group, and tackle the Crushridge Warmongers followup quest while you're at it!	Co-ord's 50,54	tloc /49,61	Soloed with my Human Rogue lvl 35 was good I could take 2x lvl 35 at same time, not so bad drop rate 1/3. GL they can be found at 50,58 in Alterac Mountains
/?quest=504	Crushridge Warmongers	40 Group	30	Alliance	4700 XP | Pick: [Burning Sliver, Lunar Buckler]	Eastern Kingdoms	Slay 15 Crushridge Warmongers, then return to Marshal Redpath in Southshore. Crushridge Warmonger slain (15)	You have more Warmongers to slay, <name>. You should be up on the mountains on your task, not down here with your weapon stowed.	Marshal Redpath	Marshal Redpath	Around 38,52	4700xp	Wow, this was tough quest! First, if you are alliance, pick up the Perenolde Tiara quest in the Stormwind Keep. Next, go through the crack as mentioned above (34,53).&nbsp There are 4 Warmongers in this area: 3 outside the tower and one inside.&nbsp Watch the run patterns, because these guys roam a lot and cross each others paths.&nbsp They also cry out for help, so make sure not to attack them too closely. You can actually stand on the castle wall and take an extra shot before they get to you.&nbsp This is because they have to run to the ramp and zig-zag to get to you.&nbsp Head towards the right side and look for the two-headed guy you need for the Tiara quest. Head back and wait for the warmongers to re-spawn.&nbsp You'll have to tackle some enforcers as well.&nbsp I died twice taking the warmongers on early on.&nbsp They can crit up to 200 HP per swing and those boys swing fast!&nbsp Here's what I found that worked for me: Engage mana shield Open with fireball (if you have PoM, 2 fireballs) Nova Freeze (back up) Fire Blast 5 Cycles of Arcane Missles (you'll lose mana shield around 3rd cycle, that's OK) Nova Freeze again Arcane Missles Fire Blast Cone of Cold Mana jade can also help here.&nbsp I have 1100 HP and 4986 mana.&nbsp Your health and mana will be very low after each encounter.	Great advice above.&nbsp I'm a lvl 40 NE Hunter with pet & mount.&nbsp Went in thru crack in wall at 33,52 and spent 3 hours killing the same 4 Warmongers which respawned rather slowly.&nbsp When entering from this direction (must get thru a lot of Yetis first - np at lvl 40 on mount) you can get 1 Warmonger to left of crack and 2 - 3 others to right, at tower, without aggroing others.&nbsp Pet died several times but just once for me (that's what I get for chatting on the phone while battling!).&nbsp I had rested bonus as well, so ended up with 8,820 for first 9 kills and 2,940 for last 6, plus the 4,700 quest reward - a total of 16,460 and the wand, which sold for 86 silver to a vendor (it's BOP).&nbsp Almost to lvl 41 thanks to this quest - not sure how I missed it 1st time in Southshore but glad I waited until now when I could solo it.&nbsp Stock up on health & mana potions before you go, maybe a scroll or two.&nbsp Good luck!	4700 xp at 35, and 100 Stormwind Faction. If you hunt from the stone wall north of the yeti, you can get tons of Warmongers and have a place to retreat you can hide behind the building where the Warmongers are located, its a safe location. Warmongers will spawn along the sides of the building, so you can simply wait, pick them off one by one, and then go back behind the building to recover.
/?quest=537	Dark Council	40	30	Alliance	3150 XP	Eastern Kingdoms	Kill 4 Argus Shadow Mages. Bring the Head of Nagaz to Magistrate Maleb in Southshore. Argus Shadow Mage slain (4) Head of Nagaz	Did you find the envoys of The Argus Wake?	Magistrate Henry Maleb	Magistrate Henry Maleb	Don't run or hearth back to [b]Southshore[/b] to turn this quest in. Follow the road east and up to [b]Chillwind Camp[/b] in [b]Western Plaguelands[/b], grab the flight point and fly back. It's much quicker and adds a flight point to your list.	Two of us went to do this one last night, 36 mage and 34 druid. We went around Dalaran to the north and followed the lakeshore to the house where Nagaz is. (We picked up the Shadow Mages earlier in Strahnbrad while doing another quest) There's a house about halfway along the lakeshore with a couple of elites in it, so don't get caught off guard there. We cleared out the syndicate mobs near the house where Nagaz is, and pulled out the two syndicates inside the house, Nagaz did not aggro with them which was a little odd. Lastly we pulled him out and finished him off, but around then the mobs started to respawn again. This happened rather quickly I thought, so don't waste any time while doing this, do it and get out. We got swarmed, but I had his head so we just ran for it and escaped without dying. :P	Basically: The shadow mages are IN Strahnbrad Nagaz is NORTH ALONG THE COAST ON THE FIRST FLOOR OF THE HOUSE OPPOSITE THE DOOR Location (39,14) aka Dandreds Fold Thats everything you need to know.	Don't forget to pick up the parchment out of the Worn Wooden Chest in the house!	Location of Nagaz 39,14
/?quest=511	Encrypted Letter	34	30	Alliance	1350 XP	Eastern Kingdoms	Bring the Encrypted Letter to Loremaster Dibbs in Southshore. Cleverly Encrypted Letter Provided Item: Cleverly Encrypted Letter	Yes, <name>? Do you have some business with me?	Syndicate Documents	Loremaster Dibbs	This quest is obtained at a Defias camp known as Soferas Naze, it is off the right of the road from southshore to Alterac, just before you get to the ogres (it's called hangmans corner or something like that...sorry to be vague about the name,...its been a long time since I was there.) Anyhow, look for a grassy slope off to the right, go into the camp, kill everything (there is a quest for these in southshore anyway) search on top of the boxes / tables in camp, should be two quests to get, return to southshore..	What's amusing is that I could (and did!) pick it up on my blood elf char! Too bad I can't finish it :P	He can be found at the building just north of the inn&nbsp (southshore) 51,57	The camp where u find the quest is at 58.1 - 67.9 Its on the table and there are quite a few mobs (Lvl 33-34) and its easy to be overpowered...	You can find this quest along with another one on the table in the syndicate camp, before the orge camp to the right.
/?quest=510	Foreboding Plans	34	26	Alliance	1350 XP	Eastern Kingdoms	Bring the Foreboding Plans to Magistrate Maleb in Southshore. Foreboding Plans Provided Item: Foreboding Plans	<name>, you look anxious. Is there something you wish to tell me?	Syndicate Documents	Magistrate Henry Maleb	Look, plans ARE NOT a drop.&nbsp They are on the table, right next to the encrypted letter.&nbsp Use the map link provided, and you'll find it easy.	No one necessarily had to be that rude with him.... From my experience the quest was not a drop but part of two seperate papers I found on the table at their camp.	Quest starts at 58,68 in Alterac Mountains on the table.	That's weird... cause I just got this quest on my 33 undead mage... and it tells me to go to southshore... pretty sure i cannot do that. lol	Does anyone know where I might get the drop for this and the other Syndicate documents?
/?quest=525	Further Mysteries	34	30	Both	1350 XP	Eastern Kingdoms	Bring the Decrypted Letter to Magistrate Maleb in Southshore. Decrypted Letter Provided Item: Decrypted Letter	<name>. Have you been traveling through the foothills and mountains again? What news do you bring?	Prospector Stormpike	Magistrate Henry Maleb	How do you get this 3rd part? I brought the scroll to stormpike but didn't get last part.	Just another leg in a chain. You may want to find a friend to help with the next part, though, as it will be slightly tougher.	wierd. what level were you at the time?	I didnt get the 3rd part either, and Im lvl 40 :(	I also didn't recieve this part, is there a different quest you have to complete first?
/?quest=514	Letter to Stormpike	34	30	Alliance	1350 XP	Eastern Kingdoms	Take the Cleverly Encrypted Letter to Prospector Stormpike in Ironforge. Cleverly Encrypted Letter Provided Item: Cleverly Encrypted Letter	Dibbs from Southshore sent you, did he? How is the old bookworm doing?	Loremaster Dibbs	Prospector Stormpike	in the Hall of Explorers in Ironforge, location 74 : 11	At Lvl 42, 550 xp, 20 Ironforge rep, 5 Gnomeregan rep. Automatically received the 'Further Mysteries' quest.	Sorry, I forgot to get the coords, but this document, along with the one starting Forboding Documents, is on the table in the Syndicate camp in Sofera's Naze, the northern plateau due east of the main Alterac ruins area.	If I'm not mistaken, which I could be getting it confused with another quest but I think.... Its on a table in the Syndicate Camp. The camp where the padfoots are east before the Orge camp.	Where can you get this from?
/?quest=512	Noble Deaths	36	26	Alliance	2800 XP	Eastern Kingdoms	Bring 7 Alterac Signet Rings to Magistrate Maleb in Southshore. Alterac Signet Ring (7)	Have you been hunting the Syndicate? Do you have those rings?	Magistrate Henry Maleb	Magistrate Henry Maleb	Syndicate Spy and Syndicate Wizard drop the rings at Strahnbrad 'ghost town' in the nort of Alterac Mountains, about 62,43. The droprate is about 50%. Mob lvl 34-36.	You get them from the syndicate wizards, and the first /tloc was closet... i found it around 61,48! Good luck! btw, its just past the ogres to the right!	You can get this without going into the keep itself. There is a place at the north of Dalaran called ' Danreds Fold ' and you get there by following the shores north from Dalaran. The drop rate for me was average, i killed around 15-25 syndicates for the 7 rings, but i got some decent exp. They are level 38-40. For those with coordinates, it's at 38,18 in alterac.	Don't run or hearth back to [b]Southshore[/b] to turn this quest in. Follow the road east and up to [b]Chillwind Camp[/b] in [b]Western Plaguelands[/b], grab the flight point and fly back. It's much quicker and adds a flight point to your list. Edited: thanks to Tanae	To reach Strahnbrad, when coming up the road headed North from Hillsbrad, take the right turn at the ogre tower at Gallows Corner. The Cosmos loc is approx 63,46. The Alterac Signet Rings drop from Syndicate Spies and Syndicate Wizards in Strahnbrad. Drop rate seemed a bit slow. Syndicate Spies and Wizards will add to help each other. There are also Argus Shadow Mages mixed in with the Sydicate mobs. The Argus Shadow Mages do not help the Syndicate mobs, nor do the Syndicate help the Shadow Mages.
