# Quest Data for Eastern Kingdoms - Arathi Highlands
# Generated: 2025-08-18 16:45:11
# Total quests: 50
# Comment scrape timestamp: 2025-08-18 17:18:23

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=695	An Apprentice's Enchantment	39 Group	30	Alliance	300 XP	Eastern Kingdoms	Speak to Skuerto. Provided Item: Enchanted Agate	N/A	Apprentice Kryten	Skuerto	The part of the quest you needed it for was removed. I just finished the whole chain and never had to use it	The tower is at 18,69 - do not mix it up for the keep.	There are no items in the tower only a friendly water element...where are the items cause i cant complete the quest..please help me	You have to talk to Skuerto before getting the third part - Attack on the Tower.	The items are in the chests inside the tower. One on each floor as you go up the stairs. See https://classicdb.ch/quest=696
/?quest=696	Attack on the Tower	39 Group	30	Alliance	3000 XP	Eastern Kingdoms	Find Trelane's Phylactery, Trelane's Orb, and Trelane's Ember Agate, and return them to Skuerto at Refuge Pointe. Trelane's Phylactery Trelane's Orb Trelane's Ember Agate	You do this, an' I'm sure Malin'll be more than pleased with you.	Skuerto	Skuerto	For me, this went exactly as scoolio described, except that I died the fourth time before I could get out and get away. ^_^ Just make sure that each time you die, you're somewhere inside the tower. This could be fought with a full party of mid-40's or three lvl 50's, but at 48 this quest was gray and I didn't get squat for xp. The reward hardly covered the equipment repair costs, so this was a serious waste of time. >_>	1st stair landing - 18,68 Phylactery 2nd floor - 18,67 Ember Agate 3rd floor - 18,69 Orb If you use the tower's defenses you can pretty safely sneak all the way up to the 3rd floor and work your way down, be quick about it and you should be fine. =)	I went up and down the tower without noticing the first chest: Trelane's Phylactery. Some players complained too they couldnt find it. The thing is that usually you are being chased by several ogres so you dont take the time to look around. If you die, then thats the time to locate the three chests. A tip: dont use the azure agate. It will attract like 5 ogres to the entrance, its better to go inside and kill them one by one. If you are dead inside the tower you can rez in any floor you like. Ogres respawn fast in this area. Go straight to the tower. Best way is taking the second road right. You end up at the right flank of the tower. There in the corner, its possible to jump and get to the tower, it will take you like 20 seconds jumping, but it works. Also, you can jump to the tower from a broken house on the left side. Usually, you die several times before completing this quest. I completed at level 36.	DO NOT activate the tower defenses, it will only make the quest more difficult. If you ignore the tower defense pedestal you will only have to fight at most two ogres at the same time as you make your way up the tower and there will be no need to corpse run. If you want to get to the tower without having to fight the ogres, then look for the high ledge on your left as you pass under the huge archway leading to the ogre infested area. If you jump up on it you can hug the keep wall until you reach the tower without catching any aggro. This ledge will meet with the back side of the tower and form a sharp crease which you can use to get back up on the ledge again and shake any aggro if you decide to make a run out of the tower. (If you decide to activate the tower defenses, you will attract up to six ogres at once inside the tower even with the protective elementals spawned to help you. Brilliant work by the Blizzard quest design team.)	For anyone who wants them the coords for the boxes are: Box 1 - 18.2, 68.1 - it is off the walk way on a platform next to the wall. Box2 - 18.0, 67.9 - this one is next to the wall also Box3 - 18.2, 69.2 - again next to the wall The boxes are very small and do not look like chests at all. When I died I just went to the next box and rez-ed at it. As a druid, at level 42, it was easy enough for me to solo; when you pop to elf form return back to cat and stealth as quickly as you can.
/?quest=652	Breaking the Keystone	42 Group	30	Both	3450 XP	Eastern Kingdoms	Find and kill Fozruk. Bring the Rod of Order to the Keystone in the Arathi Highlands. Rod of Order	The Keystone is charged with tremendous geomantic energy.	Stone of Inner Binding	Keystone	I am a human mage level 39 and just completed the quest.. here are some tips: Princess Trapped is a very easy quest if you can find the cave.. the cave is hidden on the North-East-North of Hammerfall between the rock and mountains.. the pad is behind the tree.. after you complete the first part, second part is a piece of cake if you are level 38+.. else bring some a good friend with you.. however, the chance that the bindings are cleared of the mobs are big.. Alliance always grinding on the firey things .. Third and the last part: to locate and kill the big ugly fat guy called Fozruk, you first need to locate him.. if you dont have mount, dont spend the whole day looking for him but do something else in Arathi, like killing the Stone Exiles for mount money..&nbsp when you accidently find Fozruk, stay with him and call for help.. General messages are always answered and people will come to help you .. (my clan mates made a raid to help me :P .. just for fun we were with 15 people..) .. so if you have a level 45-60 you can get to work.. make sure you get 'Sleepy' the irritating kobold first, cause he makes you sleep for afew seconds.. after you kill the guy, bring the quest item to the Circle with stone exiles.. after you complete the quest, another level 42 elite appears.. so make sure you are gone or have some help.. (i got help from a level 60 mage undead, i needed to /bow /kneel afew hundred times) .. last part you go to Ironforge, the guy is found in Forlorn Cavern. .. thats it people.. I am still busy doing the Badlands part, but i am waiting till i have my mount (10k xp) .. i dont like walking	Completing this will unlock the next quest in the series, 'Myzrael's Allies' (horde https://classicdb.ch/?quest=688, alliance https://classicdb.ch/?quest=653).	The Keystone is that giant obelisk in the Circle of Inner Binding.	The Keystone is located at the Circle of Inner Binding at 36.1, 58.1.	I killed the giant, and in the time that it took me to kill the remaining two minions (not that long - I am a lvl 48 combat rogue), his corpse despawned! next time, i'll loot him while they beat on me...
/?quest=677	Call to Arms	32	30	Horde	2550 XP	Eastern Kingdoms	Slay 10 Witherbark Axe Throwers, 10 Headhunters and 8 Witch Doctors, and return to Drum Fel in the Hammerfall outpost. Witherbark Axe Thrower slain (10) Witherbark Headhunter slain (10) Witherbark Witch Doctor slain (8)	If you have not yet completed my task, then perhaps you are a coward in heart as well as a tyro in war.	Drum Fel	Drum Fel	Can be found at 68,60 Some good herbs to be found around the lake.	The village is southeast of Hammerfall. If you move along the edge of the mountains, you will wind up in an area that has all three of the mobs you have to kill. The axe-throwers are obviously ranged, but you can force them into melee by getting close. The headhunters are straight melee and fight like warriors. The witch doctors can heal and also drop healing totems, so be ready to switch targets or be ready for a long fight. Both the axe-throwers and witch doctors will run when low on health, and that can be bad if you are fighting close to a knot of trolls.	Witherbark Village is South from Hammerfall 66,64 70,70	This section of the quest is a joke.&nbsp Mobs spawn at 68, 62 @ Witherbark Village in Athari.&nbsp They are located all around the lake. Solo'd NP with 33 Tauren Shaman. Can 1v1 every monster...	The place is called Witherbark Village. The coordinates are: 65,63. The levels there range from 31 - 35. I solod this quest with my level 33 Warlock + a succubus.
/?quest=678	Call to Arms	38	30	Horde	2850 XP	Eastern Kingdoms	Kill 10 Boulderfist Brutes and 4 Boulderfist Magi, and return to Drum Fel in the Hammerfall outpost. Boulderfist Brute slain (10) Boulderfist Magus slain (4)	You hesitate. Why? You have shown great strength thus far, <name>. Do not fail me now.	Drum Fel	Drum Fel	[b]54,73 is where they are.[/b]	These guys can be found around 54,75 (ish)	These guys hang out around a cave south of Hammerfall, east of the road that runs between Thandol Span and Refuge Pointe. All the mobs you need to kill can be found without going inside the cave. Be careful of the Brutes. They have an Enrage move that makes them very slow but also lets them hit very hard. When their hands get a red glow to them, you can run away easily, as their movement speed is something like 10% of normal. Also be on the lookout for an Ogremind Ring. It's a nice caster ring that tends to drop off these mobs.	While you are here you can do the raptor quest https://classicdb.ch/?quest=701 they are just to the west of the cave. The drop rate for me was about 30%	All found about Boulderfist Hall at 52,75.
/?quest=679	Call to Arms	40 Group	30	Horde	3150 XP | Pick: [Silent Hunter, Skullsplitter]	Eastern Kingdoms	Kill 15 Boulderfist Shaman and 10 Boulderfist Lords and return to Drum Fel in the Hammerfall outpost. Boulderfist Shaman slain (15) Boulderfist Lord slain (10)	I see your courage finally wanes. It seems my instincts were correct about you: your strength is nothing compared to your bravado.Return to me when the beast's head has been severed, or return never again.	Drum Fel	Drum Fel	You don't have to go through the front doors of the Stormgarde Keep. If you follow the outside wall on the east side, you will come to a hole in the wall at the very rear of the Keep. This opens up to a ledge right above the mobs you need to kill to finish this quest. This way you don't have to fight your way in.	at location 21,70 hole in the wall as mentioned by others i found to be the best location.&nbsp We stood ontop of the wall and pulled them one at a time, they of course can magically jump up the 20' wall to you. For the Shamen we would hit them with a ranged attack and then ran back outside the wall and around the corner so they were forced to run up to the break in the wall.&nbsp Then we would tie into them.&nbsp 33 Warlock, 38 Rogue & 33 Hunter.&nbsp We did this with all the shamen and all the Lords.&nbsp We did have some time to wait for respawns but it was well worth it.&nbsp We attempted going down into the courtyard to fight but the aggro circle and lack of an exit if overpowered soon showed us to go back and use our origianal method. Side note: the 40 Elite Lords were cosistantly hitting us for between 350 & 450 damage per strike so bring potions or as a rogue keep stunning them. Hope this helps.	[b]Soloed as a level 40 rogue...not real easy, but never died. Stunlock is the way to go with the lords, just stick to using gouge when they zerk and kidney shot. Just be defensive with the lords, don't go tit for tat with 'em, and gouge when they zerk. And take off poisons and anything else that might add DOT so it doesn't interrupt your gouge. It might take a little longer, but you take a lot less damage, trust me. Shammies are a cake walk...cs, bs, kick, ss, ks, and unload. Be uber careful when you look for patroling patterns on the maulers. Don't be afraid to be picky when you have to. Or just do what I did, and pull/sap/assassinate maulers. A little bit o' planning will go a long way![/b]	Bring a group for this one. The mobs are in their own section of Stromgarde, in the southwest. To find their section, head into Stromgarde and look to the right. You should see an entryway into an area full of Alliance guards. Keep moving south from that, but bear right (not up the ramp). In the ogre area, you need to be ready for patrols as well as ogres that run when their health is low. You will see Shamans early on, but the Lords are further in. There are other elite mobs here as well, so bring food/water and friends. I recommend you find a good spot that has two or three of each mob and just farm that area for your kills. Remember that the further you go in, the more you have to kill to get out unless you hearth.	To climb the hill is very difficult, the hill you can get up is the last one before you get to the water. We thought it couldn't be done but then finally someone got up. To get up start on left go up as far are you can then move up and to the right to the next point that you can get up then move up and to the left again. Also it is 38 to 39 elite orges, they can be pulled one at a time if you are careful. It was a lv 52 Mage and 34 Rogue and it was still very hard. Good Luck
/?quest=8384	Claiming Arathi Basin	29 PvP	20	Alliance	1200 XP	Eastern Kingdoms	Bring 3 Arathi Basin Marks of Honor to an Alliance Brigadier General outside the battlegrounds. Arathi Basin Mark of Honor (3)	Tell me, what are the news from the front?	Alliance Brigadier General	Alliance Brigadier General	This should be in the Arathi Basin Category and I don't think it is a valid quest anymore	N/A	N/A	N/A	N/A
/?quest=8438	Conquering Arathi Basin	59 PvP	50	Horde	6400 XP	Eastern Kingdoms	Bring 3 Arathi Basin Mark of Honor to a Horde Warbringer outside the battlegrounds. Arathi Basin Mark of Honor (3)	You've come back with news from Arathi, <class>?	Horde Warbringer	Horde Warbringer	This should be in the Arathi Basin Category and I don't think its a valid quest anymore	N/A	N/A	N/A	N/A
/?quest=635	Crystal in the Mountains	35	30	Both	280 XP	Eastern Kingdoms	Find the crystal from your vision. Provided Item: Pendant of Myzrael	N/A	Pendant of Myzrael	Shards of Myzrael	Location of the cyrstal ::&nbsp 62,34	Tap the crystal at its just 62, 33, just west of Hammerfall.	Ok. You get the crystal NORTH of the circle with the water elementals. IT send you to the east past Hammerfall to kill kobolds in the gorge. You pick up 12 shards, head all the way through the caverns and find a second large crystal. Activate the crystal for the next part. The next part is taking on the Fire, Water, Lightning elementals to get to the center and activate the stone to recieve a key. Then you go to the rock elementals and you activate the stone there. ONce activating the Rock Elemental stone you recieve the next part. This is the point where you need to kill Fozruk (The elite giant). Can't tell you what to do next, cause this is where I am at on this quest. No clue as to what the reward is.	its location in the Arathi Highlands is 62,34 Edited, Mon Feb 28 13:19:52 2005	If you're having trouble finding the crystal, here's a picture of it. http://img.photobucket.com/albums/v629/namerae/wow/crystal.jpg Edited, Wed Aug 3 21:07:19 2005
/?quest=667	Death From Below	44	35	Both	4650 XP | Pick: [Coldwater Ring, Seafire Band]	Eastern Kingdoms	Protect Shakes O'Breen during the attack. Defend Shakes O'Breen	N/A	Shakes O'Breen	Shakes O'Breen	This quest is ludicrously easy. It can be performed at the lowest possible level. Three waves of Naga appear from behind the hill. One wave of three, one wave of two, and a final wave of three. They are all level 40. Pay attention to the Captain, though, swabbie! He tells you to man the cannon. Head up the ramp to the ship and find the solitary cannon on the main deck. Right-clicking on this cannon while standing beside it will one-shot every Naga that appears in one fell swoop. Wait until the Naga are descending upon the defenders and fire. Every Naga will die instantly. After your three waves are done, collect your reward, matey!	This is actually pretty easy once you get a handle of what exactly you need to do. Basically, there's one cannon on top of the ship that you need to fire (I think it's the only one you are able to interact with).&nbsp Go on the ship and watch in the direction that the cannon aims.&nbsp About 4 waves of naga come up the path and if you fire the cannon when they appear in sight, the cannon kills them outright.&nbsp If you do this correctly, the Captain and his crew won't have to fight anything at all.	I just finished this quest.&nbsp I talked to Shakes O'Breen and he gave me the quest that started off with 'this is bad.' ...'The Naga will be coming from the sea.&nbsp I need you to remain up here with me to fend off the attack.&nbsp Man the cannon and drive them back. Are you ready' As soon as I accepted the quest I ran up the gang-plank to the ship and ran to the cannon on the main deck (its the one to the right and slightly aft when you get on the ship facing to the rear) and manned the cannon that faces toward a slight saddle back on the hillside.&nbsp Once there you will be able to click on the cannon.&nbsp The ogre (Lolo the Lookout} that is standing on shore ran up the hill to the saddle-back where the cannon is facing and he waited there for a short time, then he ran back to his normal place.&nbsp Also several hands (sailors) repositioned to where the ogre normally stands. very shortly thereafter a Naga appeared at the saddle-back and I fired the cannon. The naga droped dead.&nbsp Following the first, more Naga appeared and each time I fired the cannon (from the deck of the ship)and they again dropped dead.&nbsp I continued to fire each time a (or group of) Naga appeared and they immediately droped dead.&nbsp I continued this until I got the message that the quest was completed.&nbsp I did not have to fight hand to hand any Naga.&nbsp I only used the cannon.&nbsp Got my ring (2 Str, 2 Agi, 10 Sta) and was finished.&nbsp Hope this helps to better explain how this quest is easily accomplished.	I walked around for a minute wondering if Naga were going to come or something..and nothing happened.&nbsp So I walked up to the boat and fired the cannon once and it said complete....4650xp at 38 and a nice ring.	I just wanted to add that as I stood at that cannon on the ship, looking out at what the previous poster called a 'saddle back' -- which is actually a PATH, which comes over a rise, on which the Naga DO come for the 'attack' -- as I looked, I did see the Naga from time to time, coming over that rise on the path, for their attack. And my cannon blasts did indeed kill them all!&nbsp :-) Certainly, it all could have been orchestrated by Blizzarda a LOT better for the desired 'sea cannon battle effect', but if you go immediately up the plank from the dock, and turn right once you're on the ship's deck, and position yourself behind the ONLY cannon in that area pointing back toward the side you just came up on (also the only cannon with the live 'gear' cursor!), you will see that you alone, firing that single cannon repeatedly as soon as the cursor appears each time (maybe 15-18 shots total), are responsible for killing all the attacking Naga.&nbsp :-) And aside from the ring award, 4650 experience is GREAT for something as simple and easy as this!&nbsp LOL Admittedly, without the written descriptions here on Anonymous of what this is and how it 'works', I'm sure I never would have seen any Naga, or been the least aware of what the HECK was happening!&nbsp heh heh ... or maybe I might have tried to fight them like normal on that path and been killed, who knows!&nbsp LOL!
