# Quest Data for Eastern Kingdoms - Badlands
# Generated: 2025-08-18 16:43:52
# Total quests: 42
# Comment scrape timestamp: 2025-08-18 17:18:57

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=719	A Dwarf and His Tools	35	35	Alliance	2750 XP | Item: Ryedol's Hammer	Eastern Kingdoms	Find Ryedol's Lucky Pick and return it to Prospector Ryedol south of Hammertoe's Dig Site. Ryedol's Lucky Pick	Not sure what the Shadowforge were lookin' for, but they definitely had a purpose.	Prospector Ryedol	Prospector Ryedol	2750 XP at level 39.	Go after Shadowforge Darkweaver and Shadowforge Tunneler. An obvious place to hunt them is 'Hammertoe's Digsite' (52, 33). Don't forget to pick up 'Crumpled Map' lying on the upper level of the camp (south side), which starts the quest 'A Sign of Hope' (https://classicdb.ch/?quest=720). Watch out for the patrols though (they come in threes).	The pick drops at Hammertoe's Digsite (53,33)	I had killed less than 10 dwarves before this dropped, it was a very quick and very profitable quest. The experience was 1450 at level 39.	2750 XP, 100 Ironforge Faction
/?quest=720	A Sign of Hope	35	35	Alliance	1350 XP	Eastern Kingdoms	Find Prospector Ryedol and let him know Hammertoe Grez is alive.	N/A	Crumpled Map	Prospector Ryedol	XP is wrong.&nbsp I got 1350xp & 50 Ironforge rep when this quest was green which much more than the 140xp Thott claims. Plus it's really easy. Just walk straight south. [b] Crumpled map = 53,34 Quest turn in = 53,44 [/b] This is also a prereq for the '[35D] A Sign of Hope' quest chain in Uldaman.	The map that starts this quest is at the Dwarf camp just west of the actual pit at Hammertoe's Digsite. It's on the ground outside all the tents, beside one of the two tables there. The dwarfs here are not pushovers, they have ranged damage attacks and tend to come in bunches. This quest yields 1350 XP at 39. Edited, Sun Jan 23 23:30:08 2005	Alliance Side Only. Minimum Level Required: 35 The map is located in the Badlands at the following co-ords. (53,33) Once you have the map go and speak with Prospector Ryedol to let him know Hammertoe Grez is alive. Prospector Ryedol can be found at the following co-ords in the Badlands. (53,46)	Prospector Ryedol is at 53,43 on a hill with another dwarf npc. Utahmar	53, 34 - on the upper ridge, near two dwarves. - on the ground beside a table.
/?quest=762	An Ambassador of Evil	44 Group	35	Alliance	4650 XP | Item: Dwarf Captain's Sword	Eastern Kingdoms	Kill Ambassador Infernus in Angor Fortress and bring proof of his death to Advisor Belgrum in Ironforge. Ambassador Infernus' Bracer	Time is of the essence, <name>. Ragnaros will not wait for us to prepare.	Historian Karnik	Advisor Belgrum	This leads to [url=/quest=1139]The Lost Tablets of Will[/url].	Entrance to the fortress is around 46,35. Mobs in and around the fortress are non elite 38's and 39's. Infernus was a 42 elite. Head into the fortress and stick to the right. Go down the stairs and he's at the bottom. Be careful not to pull too much aggro as there is little room to work with.	Followed by this quest https://classicdb.ch/?quest=1139	The Ambassador is in the Basement. He has two 39 level goons and he hits hard.	He's inside angorforge fortress, downstairs and near the back in a small room. He has 2 Adds and is a 42 Elite. Solo'd as a 44 Shaman, chain lightning and beat the hell out of the boss with a stoneclaw down. Goodluck.
/?quest=2258	Badlands Reagent Run	39	36	Horde	3000 XP	Eastern Kingdoms	Bring 5 Buzzard Gizzards, 10 Crag Coyote Fangs, and 5 Rock Elemental Shards to Jarkal Mossmeld in Kargath, Badlands. Buzzard Gizzard (5) Crag Coyote Fang (10) Rock Elemental Shard (5)	Have you gotten the things I need yet? You won't get paid unless you bring me those reagents.	Jarkal Mossmeld	Jarkal Mossmeld	This quest is rather difficult because the drop rate on every item you need to collect is VERY low, but stick with it! For those with coordinates: Rock Elementals can be found at 13,36, near Kargath up some hills by the Graveyard. The Buzzards can be found at 15,60 around a giant carcass. And as for the Coyotes...jthey're everywhere across the Badlands, sorry I can't get you any exact spring of surplus coordinates, but they're scattered everywhere. You'll find some if you make a 360 degree turn though, i bet :). Extra Fact: Here's another fun fact I thought you should know: The Coyotes drop the tails for the Darkmoon Faire as well, if you need them.	The Buzzard drop rate sucks The coordinates are: Buzzard:around (13,61) Coyotes:Around (8,60) Rock Elementals(23,45)	[b]I recommend you to do this quest with folllowing ones:[/b] [ul] [li]Buzzard Gizzard + [url=http://classicdb.ch/?quest=703]Barbecued Buzzard Wings[/url] [/li] [li]Crag Coyote Fang + [url=http://classicdb.ch/?quest=1419]Coyote Thieves[/url] [/li] [li]Rock Elemental Shard + [url=http://classicdb.ch/?quest=710]Study of the Elements: Rock[/url] [/ul] Drop rates on this quest are really low, but I've done it while doing these quests above.	31,75	Buzzards at 17,59
/?quest=703	Barbecued Buzzard Wings	40	33	Both	2350 XP | Item: Barbecued Buzzard Wing 2 | Item: Recipe: Barbecued Buzzard Wing	Eastern Kingdoms	Bring 4 Buzzard Wings to Rigglefuzz. Buzzard Wing (4)	Hello, <name>. Did you bring me my wings?	Rigglefuzz	Rigglefuzz	If you ever get tired running around the map looking for these birds, I found a nest of Giant ones lvl 40 at Loc: 16,57 the drops the same.	The drop rate on these is really poor and the buzzards can be hard to find. There's a big clump of them at (14, 60).	wings drop somewhere around 50% of the time, and buzzards are easier to find in the eastern part of the zone. 2350 exp at lvl 45, plus increase to BB rep.	[b]Apocryphan's Rest[/b] [b]16, 57[/b] There are 10ish Giant Buzzards (level 39-40) at this location. They are located in a nice ring that lets you pick them off one by one.	2350 XP at level 39.
/?quest=782	Broken Alliances	43	40	Horde	3600 XP	Eastern Kingdoms	Kill Boss Tho'grun and bring the Sign of the Earth to Gorn in Kargath. Sign of the Earth	Tho'grun's betrayal... is there any wonder why the ogres are part of the Horde no longer? I will be glad to see him dead, and the Sign of the Earth returned.If you've not dispatched him yet, then waste no time going to Camp Boff. It is to the southeast of Kargath.	Gorn	Gorn	its at 62,72 and the named ogre wanders around, its eaiser to just sit and wait at the camp for him to come back then to look for him	Quest is easy, he roams with a group of 5-6. He will be walking in the back of the group with a lvl 36. The easiest way to kill him is wait for him to get to coords: (42, 51). This way there will be no other adds. Let the group walk by then tag him, no other adds will come but the lvl 36 and Tho'grun. Kill the lvl 36 first then Kill Tho'grun makes fight much easier since the lvl 36 is a caster and hits pretty good.	Make sure you have Soulstone and Healstone (or potions) before this: Lurked around Camp Boff (62,72).&nbsp Killed off the 3 regular ogres, then hung back in the cliffs.&nbsp They rezzed, I killed 'em again, then hung back.&nbsp After awhile the Boss appeared along with several guards (4-5?) I sent in my Voidwalker on one of the guards, then I went to work on just the Boss from a safe distance. Dot'd him, and repeatedly Immolated him, which drew him away from the others.&nbsp Eventually VW dies, then all the others come help the boss.&nbsp Need to healstone here.&nbsp Boss dies right before I did, which is fine.&nbsp Guards went on there way back to camp, I soulstoned right next to boss-corpse, looted the 'sign of the earth', and rode off into the sunset, heheh.	I rode around anti-clockwise and found the boss near the forge. As indicated in other posts, you can pull Tho'grun from behind (!) and the other ogres keep on going, leaving you to tackle Tho'grun and his minion. As a lvl 41 priest, I had no trouble taking them both out with plenty of health and mana left :)	This was very easy, i pulled the boss from behind of the group and he came alone :) Loc was 41,55
/?quest=793	Broken Alliances	50 Group	40	Horde	5900 XP | Pick: [Blazewind Breastplate, Prismscale Hauberk, Warforged Chestplate, Mindburst Medallion]	Eastern Kingdoms	Use the Sign of the Earth to activate the Pillars of Diamond, Opal, and Amethyst and obtain the Runestones. Place the runestones in the Seal of the Earth to free Blacklash and Hematus. Slay them and return Blacklash's Bindings, the Chains of Hematus, and the Sign of the Earth to Gorn. Blacklash's Bindings Chains of Hematus Sign of the Earth Provided Item: Sign of the Earth	There are few enemies more deadly than dragonkind, and there were few dragons that fought as ferociously as Blacklash and Hematus.	Gorn	Gorn	Pillar of Opal: 72,65 Pillar of Amethyst: 81,64 Pillar of Diamond: 83,33	For those of you that don't want to look up the individual pillars - Pillar of Diamond: 84, 33 Pillar of Amethyst: 81, 64 Pillar of Opal: 72, 67 Seal of the Earth: 81, 50 Just visit the 3 Pillars first, then use the Seal of the Earth. That's the easy part. Hard part is killin the 2 mobs!	After dying three times, I was able to solo Blacklash and Hematus as a 54 shaman. If you've got the right talent spec (and 4-5 greater mana potions or better) you can take them out. [b]Some tips:[/b] - It's critical to have 5 ranks in Improved Lesser Healing Wave. 5 in Tidal Focus and Tidal Mastery will also help (think 'cookie-cutter NS build'). You'll be healing yourself a lot, and if you can't get your heals off while being struck, you're done for. - I did this with greater mana potions. 700-900 isn't a lot of mana, but two for each fight was enough for me. Having better mana potions will make your fights noticeably easier. - Knowing what to expect from the two dragonkin can help a bit, so here's the scoop: Blacklash uses a fire spell that always hits for exactly 500, while Hematus uses one that hits for 70-80 the first time and inflicts a magic effect that increases damage from each subsequent fire spell by 70-80. These effects stack, so Hematus' fire attacks will become more deadly as the fight goes on. The below strategy (necessarily) prolongs the fight by conserving mana for healing, so keep a close eye on your health as your fight with Hematus goes on. - Fire resistance totems might help you during this fight. Their effect should be more noticeable against Hematus because of the nature of his fire attack. I didn't use them because I wanted to save mana, but you might find that they pay for themselves in the form of damage prevented (and consequently, healing not needed). - I used a one-hander and shield for the fight. You might be able to use a two-hander, but keep in mind that both dragonkin have powerful melee attacks (I was taking about 250-300 damage per hit if memory serves, and that was with 45% damage reduction). [b]The strategy:[/b] Before you do anything, kill a few of the 44-45 dragonkin near the pillar so you have some room to work with. If you use LB or shocks to fight them, be sure to replenish your mana before using your runestones. When you use the runestones, back away from the pillar immediately, or Blacklash and Hematus will both spawn right on top of you. Run away at first if they start attacking you, then come back when you've shed aggro. Cast Rockbiter on your weapon. You can't afford to rely on Windfury's randomness, and Flametongue Weapon won't help at all (Blacklash and Hematus are immune to fire). Run just within aggro range of one (don't pull with a spell--save your mana) and pull him back from the pillar a short ways. Don't worry, you won't pull both of them. Now, drop a Strength of Earth totem (your only use of mana other than heals). If you want to use Fire Resistance totems, cast one now as well. Start swinging away with your weapon, and resist the temptation to use shocks to deal more damage. You don't have enough mana to kill them with spells, even combined with melee. Let your weapon deal all the damage. With Rockbiter and Strength of Earth, your damage-dealing will be solid and consistent. If you have ranks in Thundering Strikes, Flurry, and Parry, you'll do even better. When your health is knocked down to about 750, start spam-healing with LHW until you're back up to about 90%, then go back to attacking with your melee weapon. Don't fill your health back up all the way, or you'll waste mana. It's important to wait until your health gets low to start healing, because you want to regain as much mana as possible while you're swinging away with your weapon. Once you've used mana equal to the amount you can replenish with a potion (say you've used 900 and you have a greater mana potion), use one immediately, then go back to attacking. This way, you start that two-minute potion cooldown early and get the opportunity to use a second mana potion in the fight. More mana potions means more healing, since you'll be using almost all of it for LHW. Your SoE totem will probably expire two times (maybe three if you're not enhancement-specced) during the fight. When it expires, immediately recast it and heal yourself back to 90%. If you're using FR totems, recast them only when you recast SoE. FR will always disappear before SoE (at 54, your best FR should last 1 min., and SoE 1.5) but you'll still have FR down for two-thirds of the fight with this strategy. The idea is to minimize the amount of time you're not regaining mana while giving your melee attacks that extra punch you'll need to win. Follow the above, and you can pull it off. Each one will take 4-5 minutes, perhaps a bit less if you're enhancement-specced. (My Rockbiter wore off just as I killed each one, so I'm judging the length by that). Be sure to bring a few drinks with you, and 4-5 extra mana potions (just in case something goes wrong and you have to try again). Hopefully this will help someone (especially those who can't get groups together out in the Badlands--I never have luck forming groups there). -- [i]Charne, member of Charnel House, Shadow Council realm[/i]	You can obtain this quest at 40, but the dragons you have to defeat are level 50 elites. The area where you fight them is also filled with a good number of other 40+ elite dragons. Bring a group prepared for a fight similar to a boss at the end of an instance and you'll do fine. Also don't wait too long to finish this one, as the rewards are great for a character in the early 40s, not so great for early 50s. Note that if you don't intend to use any of the rewards, you should grab the chestplate, as it sells for nearly 2.5 gold.	I just soloed this as a level 48 Beast Master Hunter. Here is what I dwowhead:1,id: 1)- Cleared all mobs in the area around the stone. 2)- Summoned. 2).1) Dismiss your pet , since when the 2 dragons spawn you will have agro , even if you FD the agro will go on the pet and he/she will die . That way you save yourself some time. After dismiss , summon and FD. 2).2). Hematus is really the more easy one of the two dragons. I killed him with simple 'pet tank , I dps' tactic. The only thing is that you can pull out (pressing passive on the pet bar) the pet so it goes out of his range , when the dragon is casting. Use Mend Pet to keep your pet alive. 2).3). Blacklash ... Now he is really a pain. He hits harder and mooves faster.I started with same tactic , thinking it will work as well... But Blacklash insert's way more dmg and even if you have Mend Pet all the time healing the pet , it will die again. In short here is what i changed: Started with a pull with Serpent String , kiting him for full duration.Then pet started to tank , renewed Serpent String and put Mend Pet on.At this dragon you should AWAYS pull out your pet when he is casting , that way you save some seconds in which your pet get's healed without recieving damage. After he is done casting use Rapid Fire + Beast Within. (Note IF you have Imp.Mend pet tallent + Endurance training that might be just enough to get the pet strong enough to tank him full time. However I didn't have them) When he got on 10% he killed my pet and I was almost oom , I was out of kiting space as well (some nasty respawns got on) he rushed me and landed 3 hits on me, but as you know when mobs get under 10% they get really slow , so I ran in his diraction (because behind me there were respawned elites) ,he landed the 3 hits (I almost died) , then I just put Aspect of the Cheetah and killed him. =============================================== Note 1: I doubt that you can solo this with any other class then Hunter and Warlock , so you better get a grp with you when you do that quest. Note 2: If you aren't BM spec , forget doing solo this quest Note 3: Aways watch your mana pool. I had 2k mana and after a few failed tries I found out that my mana is enough only for mend pet +serpent string's and one Beast Within + Rapid Fire Note 4: He has a very long despawn time so you can take your time trying on him. However the mobs around the stone respawn faster and can easely wipe you. Note 5: I'll say again ... Imp. mend pet + Endurance training will really help a lot in this fight =============================================== I hope I was usefull ;) P.s. I rly took this quest as a challenge for my hunter abillities then a hunt for exp/money :) I also managed to get some nice worn dragonscales , which I needed bad for my Dragonscale LW quest (and items)
/?quest=713	Coolant Heads Prevail	37	35	Both	2850 XP	Eastern Kingdoms	Find Frost Oil and bring it to Lotwil Veriatus in Badlands. Frost Oil	Have you found the oil I need? It would be so helpful if you were able to find some.	Lotwil Veriatus	Lotwil Veriatus	Just an FYI for all you folks.&nbsp When an item is limited supply it means that the vendor will only carry one of it. When that item is sold it dissapears out of his window until it respawns. The vendor in question does carry the Frost Oil Recipe you just have to get lucky in getting it since it is a high demand item.&nbsp Best bet in getting is to try early in the AM. It is pointless to go to this trouble if you are not an alchemist so best bet is to hop over to IF and purchase a potion.&nbsp So you don't bug anymore GMs about it the quest is not bugged or broken.&nbsp Hope I helped some :)	ok guys if your not a alchemist dont waste your time going to alterac. pick one up off a alchemist or auction house. while your there you should also pick up gyrochronatom it will be requested for the next part of the quest line hope i have saved you some trouble :)	Bro'ken sells the recipe at exactly 38,39.&nbsp You have to get past a lot of Lev. 37 elite ogres.&nbsp If you don't want to fight them, you can come in from the northeast side of Allerac from Dandrel's Fold (the pass is at 45,26).&nbsp You'll just have to fight some non-elite brutes.&nbsp Work your way to a wall that's near 42,40.&nbsp The map shows a tower near there.&nbsp You can climb over the south side of the wall,, and you'll land next to the stone tower.&nbsp Bro'ken is on top of the wall to the ENE of the tower.&nbsp If you hug the mountains to the north you can avoid fighting the elites, and make it to the ramp up the wall.&nbsp (The ramp is at 39,39) In the time it took me to type this, the recipe respawned.&nbsp Less than ten minutes. Edit: climbing over the wall worked for my gnome, may not work with other races.&nbsp My undead couldn't fit.	My human priest managed to sneak over the wall some months ago (before 1.12) but my human warlock ran into the famous 'invisible wall,' with or without her pet. Tried to get in from the hills on many other sides and finally had to face the fact: front door. She's a 41 and the ogres are mostly 37 elites, so that would normally not be a problem, but for some reason they completely ignored the VW (with all kinds of aggro-grabbing stuff running) and went right for the kid, who is obviously in cloth with only an armor potion (OK, and Demon Armor). Too bad warlocks can't kite. Are these duh-monsters that smart? The trick seemed to be to keep running in a circle until the ogres just had to pay some attention to the VW. Mageweave bandage, rah rah rah! So you can't just attrit (verb of attrition?) them. It would take a week and 24G worth of repairs. I took out the one on the right side of the main gate (long fight, as above), then snuck in around the right, hugging the wall. No problems. Ramp to the wall where Bro'kin is was guarded by a mage and a brute. Waited until the mage was at the farthest end of his patrol, sent the VW after the brute and ran up the ramp to the wall. Neither one followed me. Bought the recipe and called the VW. We jumped off the wall to the outside (only -250 damage) and ran. The two ogres jumped off the wall and followed us. We ran down towards the lake. They followed. We hopped a shuttle to Chicago. They caught the next plane. We transferred and went to Mexico City. They had passports and followed us. I've never seen anything like it. At no point in the game have I ever been pursued to that extent or that distance by anything. Amazing. You'd think they were bill collectors. It was actually kind of weird, in an amusing sort of way kind of like a cartoon. Wile E. Coyote's eternal pursuit of the roadrunner. I was willing to sacrifice the VW (sorry Makhtaz but that comes with the territory) but they never really got so close that it became an issue. They just kept on coming. Will they keep pursuing after I sign off? Do you think they were annoyed that I scammed them? I don't think I'll ever know the answer, but I got the recipe for the potion, so nyaah, nyaah!	I spent the good part of an hour fighting through those dang elites in alteric, and i find the little goblin guy Bro'kin, and nothing, absolutely nothing. I am peeved, because the first post up there, made it sound like you could buy it from him anytime. Well just so everyone knows, it is limited, so if your gonna buy it from him, good luck. Or else you can spend 4-7g on AH and have it with no trouble at all. Thats what I did, and I wish I would have done it sooner. The Gyrochronatom runs about the same price, sometimes cheaper, be sure to grab it off AH too, or you will be spending a lot of your time searching for it.
/?quest=1419	Coyote Thieves	40	30	Horde	3150 XP	Eastern Kingdoms	Bring 30 Coyote Jawbones to Neeka Bloodscar in Kargath. Coyote Jawbone (30)	Do you have the jawbones?	Neeka Bloodscar	Neeka Bloodscar	Pretty easy, I found the coordinates of [b]32,63[/b] to be an excellent place with several coyotes. Good luck!	good quest 100% droprate of 1 jawbone from each wolf mob in this zone	Found from all coyotes no matter where u are in badlands. Don't worry cuz you can get 1 per coyote so if u see one kill it and wow ur quest is dont fast	Why travel half way across the badlands? You can find plenty just south of Kargath. (11, 63)	quest giver is on top of tower in Kargath.
/?quest=3821	Dreadmaul Rock	52	48	Horde	5100 XP	Eastern Kingdoms	Venture forth to the Burning Steppes and find out what became of Sha'ni Proudtusk.	N/A	Thal'trak Proudtusk	Sha'ni Proudtusk	Sha'ni is on top of Dreadmaul rock in the Burning Steppes. NOT in the badlands and NOT in Searing Gorge. Her coords are 80,45. You will find her between four pillars. Right click her corpse and talk to her ghost.	she's at 80,45	I had trouble with the coords above too. I saw the mountains and couldnt get up there. Unlike others, I only tried for 5 min or so before I RE-READ THE QUEST! AN IMPORTANT STEP PEOPLE! It is a badlands quest and I think most people read over it casually and didnt see the fact that this is located in the BURNING STEPPES, not the SEARING GORGE, located right next to the Badlands. Ironically, the coords, when placed in the Searing Gorge, appear to fit the decriptions made by everyone here. Its an unattainable position in the eastern mountains (so sad some ppl tried hrs to get to it). After I discovered the location discrepency I immediately knew why half the ppl were having problems.... Moral of the Story: READ QUESTS THOUROGHLY!	To get the Sha'ni, follow the red lava path up from 77,51.	Sha'ni is on top of Dreadmaul. Approx loc is 80,45 if your using cosmos. If your not, then there is a stone alter she is stood infront of opposite a cave. She is a ghost and you need to 'summon' her by using the remains on the alter. This quest leads to [url=/quest=3822]Krom'Grul[/url] Edited, Thu Mar 24 11:19:56 2005
