# Quest Data for Eastern Kingdoms - Blackrock Mountain
# Generated: 2025-08-18 16:43:13
# Total quests: 14
# Comment scrape timestamp: 2025-08-18 17:19:07

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8960	Bodley's Unfortunate Fate	60	58	Both	1650 XP	Eastern Kingdoms	Travel to Blackrock Mountain and use the Extra-Dimensional Ghost Revealer to find Bodley near Blackrock Spire.	N/A	Deliana	Bodley	He's standing in front of where you would enter UBRS. Make sure you used your Extra-Dimensional Ghost Revealer	need a loc on this guy.	Anyone know where Bodley is located ?	nice 1 m8 for that info... it is good he right near ubrs instance gate:)	Post here with loc: [npc=16033] quest maybe: [quest=8970] quote me :)
/?quest=8962	Components of Importance	60 Group	58	Both	6600 XP	Eastern Kingdoms	Acquire Druidical Remains and return them to Bodley inside Blackrock Mountain. Druidical Remains	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	They drop from the mobs in Hive Regal, got one after a few minutes as a warrior.	it is part of the Tier .5 quest	Go to silithus, go to hive regal, kill bugs, I got mine in 5 kills. *dances*	For warriors it leads to~ https://classicdb.ch/quest=8966	i cleared out that place like twice all the way through the tunnels and back out solo, i was starting to think maybe the quest was bugged or something, than got the drop.&nbsp so just stick to it and it will drop, i got mine on one of the guys outside, so in or out of the tunnels doesnt matter.
/?quest=8963	Components of Importance	60 Group	58	Both	6600 XP	Eastern Kingdoms	Acquire a Starbreeze Village Relic and return it to Bodley inside Blackrock Mountain. Starbreeze Village Relic	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	cleared all the giants in the area then half cleared the area when it dropped from the preserver giant. Maybe i was lucky i dunno.....	Started 7pm, it's 11:01 and still no relic. 71 Giant for the count.	cleared all giants 1 and a half time so far.. still not seen it drop. guess thats roughly 30 giants as warlock.	Really rare drop of the stupid Frostmaul's in the southern part. Killed about 30-40 of them.	im actually doing this quest right now... easy to solo the giants.. but the drop rate sucks i guess.. killed about 15 so far.. nothing...
/?quest=8964	Components of Importance	60 Group	58	Both	6600 XP	Eastern Kingdoms	Retrieve a Brilliant Sword of Zealotry and return it to Bodley inside Blackrock Mountain. Brilliant Sword of Zealotry	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	I did this as a 60 Disc/Holy priest.&nbsp The praetorians are in the upper courtyard near the castle.&nbsp This was one of the few parts of the questline I could solo.&nbsp If I can do it, so can you.&nbsp )	Go to Tyr's Hand in Eastern Plaguelands and retrieve a Brilliant Sword of Zealotry from the PRAETORIANS there. It's that easy.&nbsp Scout out the area for the Praetorians as there are several single pulls where they're located in Tyr's Hand. 60 Hunter.. immolation trap and pet attack.. easy breezy.	If you're a rogue, the next step to the quest can be found here: [url][quest=8968]] Took me about 50 kills of the Scarlet Praetorians to actually get the dang thing to drop, but it finally did. Edited, Mon May 1 00:14:38 2006	This is a group drop, if one person gets it everyone does. And, indeed, lousy drop rate	N/A
/?quest=8965	Components of Importance	60 Group	58	Both	6600 XP	Eastern Kingdoms	Obtain Soul Ashes of the Banished and return them to Bodley inside Blackrock Mountain. Soul Ashes of the Banished	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	The undead spirits on the island will stun and put mark of pain that will slowly regenerate themselves so bring a paladin or someone who can remove magic effects. The ashes of the banished drop off the spirits at the top of the hill near the tower, so it will require killing about 10-15 spirits unless you can manage to stealth to the top. I had the ashes drop off the spirit standing on the steps.	20,76 Part of the Dungeon Set 2 Upgrade [url=http://www.wowwiki.com/Tier_0.5]http://www.wowwiki.com/Tier_0.5[/url]	leads to [quest=8969]	I got mine of the Cursed Paladins on the island FYI	Took me two deaths before I realized that these mobs were undead. It will take a little longer, but taking them down is easy even as a Holy Priest. Find a lot of room and one of these paladins or priests by themselves (watch for pats). Start the fight off with a Mana Burn, then immediately put them into shackles. Take a couple steps back so you're at max range, Mana Burn them and put them back into shackles. Repeat the process until they have no mana, and then you can proceed to kill them as you wish. I'd prefer Shielding > Holy Fire > Pain > Mind Blast > and Smiting until Mind Blast cool down is up > Mind Blast > Smite etc (keep renew, shield up on you, and pain on them). Dropped on the fourth kill.
/?quest=3906	Disharmony of Flame	52 Dungeon	48	Horde	5100 XP	Eastern Kingdoms	Travel to the quarry in Blackrock Mountain and slay Overmaster Pyron. Return to Thunderheart when you have completed this assignment. Overmaster Pyron slain	The elements are still in disarray, <name>.	Thunderheart	Thunderheart	So yes, the turn in is located in Kargath.&nbsp However, you can only talk to him when he is standing near the Inn.&nbsp When he is out 'exploring' with his pals, you have no option to talk to him.&nbsp Hence forth, I sit here twiddling my thumbs in Kargath waiting on the twit.	If you can't find the questgiver, just wait by the inn. He and the rest of the <Kargath Expeditionary Force> patrol around, but he'll be back.	Hes a fire elemental that roams around the entrance to BRD	Go into Blackrock Mountain and walk across a chain into the middle 'island'. Go all the way down through the tomb, you'll come out next to another chain bridge that leads you down. Turn right at the Blood Elf NPC and you'll enter an area with elite dwarves, 49-50. You don't have to clear them, just kill the ones that are in your way as you go towards the instance portal, which is north. The elemental hits quite hard. As a hunter, I brought a pet with maxed out fire resistance, and was able to complete the quest with a druid helping me out. Good luck.	The mob in question is actually found outside of BRD, but is elite all the same.
/?quest=8994	Final Preparations	60 Raid	58	Both	6600 XP	Eastern Kingdoms	Gather 40 Blackrock Bracers and acquire a Flask of Supreme Power. Return them to Bodley inside Blackrock Mountain. Blackrock Bracer (40) Flask of Supreme Power Provided Item: Lord Valthalak's Amulet	We've come a long way, <name>, and I just wanted to say that no matter what happens, thank you! You've put yourself in mortal danger to try to help the surviving members of our mercenary company, The Veiled Blade, and as far as I'm concerned, you're one of us now.	Bodley	Bodley	First, it'd be super if the author of the post above would learn to spell. You know... so your post would be in English, and have a sense of coherence. Second, does anyone know (roughly) how many UBRS runs are generally required to collect 40 Blackrock Bracers? I bought a Flask of Supreme Power on the Auction House on the Scarlet Crusade realm for 90g the evening of September the 28th, 2006.	That FLask of supreme power is expensive to buy, around 50g. If youre an alchemist u can make it. You need 30xdreamfoil 10xMountain silverage (spelling) and 1xblack lotus to make it. And you cant do it anywhere there is special places, one of them is in scholo and one in BWL. Sure there is other places but thats two of them =). Havn't figured which mobs who drops the bracers but i will soon =) Hope this helps you a little.	That FLask of supreme power is expensive to buy, around 50g. If youre an alchemist u can make it. You need 30xdreamfoil 10xMountain silverage (spelling) and 1xblack lotus to make it. And you cant do it anywhere there is special places, one of them is in scholo and one in BWL. Sure there is other places but thats two of them =). Havn't figured which mobs who drops the bracers but i will soon =) Hope this helps you a little.	Did a full UBRS run with guild, then went back to get some respawns and I got them all so we could move on to the last part right away. :)	The Orcs in UBRS/LBRS drop the Blackrock Bracers, I have been farming LBRs and the droprates suck ass, going to check out UBRS droprate as soon as blizzard rezs all the servers
/?quest=8985	More Components of Importance	60 Group	58	Both	6600 XP | Pick: [Bloodkelp Elixir of Dodging 3, Bloodkelp Elixir of Resistance 3]	Eastern Kingdoms	Acquire a Starbreeze Village Relic and return it to Bodley inside Blackrock Mountain. Starbreeze Village Relic	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	It took me about 12 kills to get the drop. And they were soloable for a crappy rogue like me. It leads to https://classicdb.ch/quest=8990.	hmm. been killing Frostmaul Giant and Frostmaul Preserver for like over 2 hours and still no drop. had a rogue with me to speed it up. but drope rate really low :( probebly killed around 100-200 and no drop	The quest was easy, got the drop first kill. I was able to solo it as a 60 rogue in blues. Next quest: [url=/quest=8990][quest=8990]]	Bit trickier I guess on dagger rogue but still pretty simple :@	N/A
/?quest=8986	More Components of Importance	60 Group	58	Both	6600 XP | Pick: [Bloodkelp Elixir of Dodging 3, Bloodkelp Elixir of Resistance 3]	Eastern Kingdoms	Acquire Druidical Remains and return them to Bodley inside Blackrock Mountain. Druidical Remains	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	7 mobs for me. The droprate is said to be like 0,01%... I guess its the drop rate is calculated by all the kills, and not only if you have the quest...	as said in the quest, this item drops from the elite bugs in Hive'Regal, Silithus. got mine on the 10th mob or something, soloed as frost mage	Any Know if there are a recipe for this items¿?	Recipe for the pots or?	N/A
/?quest=8987	More Components of Importance	60 Group	58	Both	6600 XP | Pick: [Bloodkelp Elixir of Dodging 3, Bloodkelp Elixir of Resistance 3]	Eastern Kingdoms	Retrieve a Brilliant Sword of Zealotry and return it to Bodley inside Blackrock Mountain. Brilliant Sword of Zealotry	Have you returned already then, <class>, with what I sent you out to gather?	Bodley	Bodley	This is a easy quest. only need go to tir'hand in WPL... I do solo, mage lvl 60 frost	Which mob?	N/A	N/A	N/A
