# Quest Data for Eastern Kingdoms - Blasted Lands
# Generated: 2025-08-18 16:44:37
# Total quests: 26
# Comment scrape timestamp: 2025-08-18 17:19:26

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=2583	A Boar's Vitality	50	45	Both	4700 XP | Item: Lung Juice Cocktail	Eastern Kingdoms	Bring three Blasted Boar Lungs, two Scorpok Pincers, and one Basilisk Brain to Bloodmage Drazial. Blasted Boar Lung (3) Scorpok Pincer (2) Basilisk Brain	Where are the organs, <name>!?	Bloodmage Drazial	Bloodmage Drazial	If you just want to complete all the quests once, this is what you need: 06x Blasted Boar Lung 06x Scorpok Pincer 11x Basilisk Brain 05x Snickerfang Jowl 14x Vulture Gizzard	There is no prereq for this quest beside being lvl 45 or above.	This information is erroneous.&nbsp These two quests are not linked and have nothing to do with each other in any way, other than the names of both mobs begin with a 'B.'	This quest is not repeatable per se. After completion, you’re able to do the quest named 'Spirit of the Boar' (https://classicdb.ch/?quest=2584) in it’s place, which is the same exact quest, except you get no XP as a reward, just the item.. On a side note, the reward item you get is Unique, so you can only have 1 in your inventory at a time, which limits its use & practicality quite a bit. I’ve also seen quite a few higher level players farming this quest, but most of them don't pay attention to us lower level players, so not much ganking occurs.	There are about 12 different mobs which drop these quest items, but I advise to take out these three: [b]Hellboar[/b] - drops Blasted Boar Lung. Most of them around: [u]51,54[/u] [b]Scorpok Stinger[/b] - drops Scorpok Pincer. Around [u]47,20[/u] [b]Redstone Crystalhide[/b] - drops Basilisk Brain. Around [u]60,41[/u] All of these items have about 45% drop
/?quest=2801	A Tale of Sorrow	57	45	Both	600 XP	Eastern Kingdoms	Listen to the Fallen Hero of the Horde tell his story. A Tale of Sorrow	Listen to what I have to say, <name>.	Fallen Hero of the Horde	Fallen Hero of the Horde	Here is the Horde chain of this quest series, since they are not fully linked here.&nbsp If I missed any, or any prerequisites, please post after. 1. [url=https://classicdb.ch/quest=2784]Fall From Grace[/url] 2. [url=https://classicdb.ch/quest=2621]The Disgraced One[/url] 3. [url=https://classicdb.ch/quest=2622]The Missing Orders[/url] 4. [url=https://classicdb.ch/quest=2623]The Swamp Talker[/url] 5. [url=https://classicdb.ch/quest=2801]A Tale of Sorrow[/url] 6. [url=https://classicdb.ch/quest=2681]The Stones That Bind Us[/url] 7. [url=https://classicdb.ch/quest=2702]Heroes of Old 1[/url] 8. [url=https://classicdb.ch/quest=2701]Heroes of Old 2[/url] (The drop-if-you-want-to point.) 9. [url=https://classicdb.ch/quest=2721]Kirith[/url] 10. [url=https://classicdb.ch/quest=2743]The Cover of Darkness[/url] 11. [url=https://classicdb.ch/quest=2744]The Demon Hunter[/url] 12. [url=https://classicdb.ch/quest=3141]Loramus[/url] 13. [url=https://classicdb.ch/quest=3508]Breaking the Ward[/url] 14. [url=https://classicdb.ch/quest=3509]The Name of the Beast 1[/url] 15. [url=https://classicdb.ch/quest=3510]The Name of the Beast 2[/url] 16. [url=https://classicdb.ch/quest=3511]The Name of the Beast 3[/url] 17. [url=https://classicdb.ch/quest=3602]Azsharite[/url] 18. [url=https://classicdb.ch/quest=3621]The Formation of Felbane[/url] 19. [url=https://classicdb.ch/quest=3625]Enchanted Azsharite Fel Weaponry[/url] 20. [url=https://classicdb.ch/quest=3626]Return to the Blasted Lands[/url] 21. [url=https://classicdb.ch/quest=3627]Uniting the Shattered Amulet[/url] 22. [url=https://classicdb.ch/quest=3628]You Are Rakh'likh, Demon[/url]	[b]The Tale of Sorrow[/b] ((spoiler alert!)) [small] Would you believe that in my darkest hour, at the apex of my being, I failed. As I fled from the wanton destruction of the forces that overwhelmed us, the only sounds I could hear were the screams of my soldiers and the rapid beat of my own heart. A short while later, I returned to the Blasted Lands in hopes of rescuing my men and restoring my honor. Instead I was captured and beaten until dead. What I found out during my inquisition and subsequent torture was horrifying. [i]Please continue, Hero...[/i] My captors were cruel beyond measure, <name>. They would alternate between Lieutenant Kirith and I, torturing one while the other watched. During a lull in the activity of an especially brutal day, Kirith told me what had happened to my men and a plan he had been formulating to free them from their masters. They suffered a fate far worse than death, or even the pain Kirith and I endured. [i]What could be worse than death?[/i] Neither you nor I could possibly imagine the pain an individual suffers when their soul is ripped from their body. They are not alive and by no means are they dead. Instead, they walk the land, servants of those that bind them to this world. Lord Razelikh, demonic overlord of all these lands, enslaved them all. Nine he took for his own, placing stones of binding near the Dark Portal. The remaining nine were divided up between his subordinates. [i]Subordinates?[/i] The archmage Allistarj of the Shadowsworn was granted three. Lady Sevine, warlock of the Shadowsworn was also granted three. The remaining three were given to Grol the Destroyer, lord of the the Dreadmaul ogres of these blasted lands. You see, <name>, without a soul, the body cannot be killed. The remnants of my men are now indestructible fighting units. Thankfully, they are bound in how far they can travel by the stones of binding. [i]What are the stones of binding?[/i] They are exactly what you need to destroy in order to free the regiment! As I had told you earlier, Kirith had a plan. Each of the servants does have a weakness. Punish their physical form in proximity of their stones until they are near the state of disintegration. It is at that point, and that point alone, that the stones of binding are vulnerable to attack. You must hurry to destroy the stones, however, as once the enslaved regain their composure, they will be invulnerable to harm once more. [i]You can count on me, Hero.[/i] I wish it were true, <name>, but it will take more than you alone to overcome the forces of Razelikh and his subordinates. Gather a suitable group of adventurers and would-be heroes and free my men of their eternal torture! Eighteen stones you must shatter. Fight hard and die with honor, <name>. [i]I shall.[/i] [/small]	Just clik on the champion again and then click on a little white cloud (it is written 'Continue story...' or something like that) after you read all pages quest will be completed !	I followed the co-ords and noted level 61 Elites guarding the path. This is supposed to be a level 57 quest. Why is it not possible?	His loc. are 34,64
/?quest=3501	Everything Counts In Large Amounts	55	45	Both	5650 XP | Item: Kum'isha's Junk	Eastern Kingdoms	Bring Kum'isha Imperfect Draenethyst Fragments and be rewarded for each one you turn in. Imperfect Draenethyst Fragment	Have you had any luck in your exploration?	Kum'isha the Collector	Kum'isha the Collector	This item is a crystal thet drops off most of the mobs in the Blasted Lands. You do not need the quest to get the drop. If you get it just go accept and turn in the quest to get the reward and experience. You usually get a green level 40+ item from the bag. You can do this quest as many times as you find fragments for. There are also super rare draenethyst crystals that you can turn in like these to get a random blue drop. I've heard of people getting Widowmaker, Axe of Rin'ji, Six Demon Bag, etc. from the 'better' crystal quest.	The quest title could be a reference to the Depeche Mode song 'Everything Counts (in Large Amounts)'	this quest is named after a depeche mode song!	it's at 51,35&nbsp :)	I've easily killed hundreds of mobs here grinding for those blood elves' quests as well as this guy and have not had a single drop.. Anyone have a horse shoe I can borrow?
/?quest=2784	Fall From Grace	50	45	Horde	470 XP	Eastern Kingdoms	Listen to the Fallen Hero of the Horde tell his story. The Tale of Sorrow	Listen to what I have to say.	Fallen Hero of the Horde	Fallen Hero of the Horde	Here is the Horde chain of this quest series, since they are not fully linked here.&nbsp If I missed any, or any prerequisites, please post after. 1. [url=https://classicdb.ch/quest=2784]Fall From Grace[/url] 2. [url=https://classicdb.ch/quest=2621]The Disgraced One[/url] 3. [url=https://classicdb.ch/quest=2622]The Missing Orders[/url] 4. [url=https://classicdb.ch/quest=2623]The Swamp Talker[/url] 5. [url=https://classicdb.ch/quest=2801]A Tale of Sorrow[/url] 6. [url=https://classicdb.ch/quest=2681]The Stones That Bind Us[/url] 7. [url=https://classicdb.ch/quest=2702]Heroes of Old 1[/url] 8. [url=https://classicdb.ch/quest=2701]Heroes of Old 2[/url] (The drop-if-you-want-to point.) 9. [url=https://classicdb.ch/quest=2721]Kirith[/url] 10. [url=https://classicdb.ch/quest=2743]The Cover of Darkness[/url] 11. [url=https://classicdb.ch/quest=2744]The Demon Hunter[/url] 12. [url=https://classicdb.ch/quest=3141]Loramus[/url] 13. [url=https://classicdb.ch/quest=3508]Breaking the Ward[/url] 14. [url=https://classicdb.ch/quest=3509]The Name of the Beast 1[/url] 15. [url=https://classicdb.ch/quest=3510]The Name of the Beast 2[/url] 16. [url=https://classicdb.ch/quest=3511]The Name of the Beast 3[/url] 17. [url=https://classicdb.ch/quest=3602]Azsharite[/url] 18. [url=https://classicdb.ch/quest=3621]The Formation of Felbane[/url] 19. [url=https://classicdb.ch/quest=3625]Enchanted Azsharite Fel Weaponry[/url] 20. [url=https://classicdb.ch/quest=3626]Return to the Blasted Lands[/url] 21. [url=https://classicdb.ch/quest=3627]Uniting the Shattered Amulet[/url] 22. [url=https://classicdb.ch/quest=3628]You Are Rakh'likh, Demon[/url]	Just wait 5-10 second near him after accepting quest..then right click on him and a conversation baloon will appear under quest..after that let him tell his story..and now quest completed..Award-470 XP..	This is a quest in a chain of 23 that runs pretty much all over the map. However, it all starts with the Fallen Hero of the Horde. (Hat tip to Xeir for the initial connectors between chains.) Technically, it's four chain quests that tie into each other: Chain 1: 1. [url=http://classicdb.ch/?quest=2784]Fall From Grace[/url] 2. [url=http://classicdb.ch/?quest=2621]The Disgraced One[/url] 3. [url=http://classicdb.ch/?quest=2622]The Missing Orders[/url] 4. [url=http://classicdb.ch/?quest=2623]The Swamp Talker[/url] Chain 2: 1. [url=http://classicdb.ch/?quest=2783]Petty Squabbles[/url] 2. [url=http://classicdb.ch/?quest=2801]A Tale of Sorrow[/url] 3. [url=http://classicdb.ch/?quest=2681]The Stones That Bind Us [/url] 4. [url=http://classicdb.ch/?quest=2702]Heroes of Old [/url] 5. [url=http://classicdb.ch/?quest=2701]Heroes of Old [/url] Chain 3: 1. [url=http://classicdb.ch/?quest=2721]Kirith [/url] 2. [url=http://classicdb.ch/?quest=2743]The Cover of Darkness [/url] 3. [url=http://classicdb.ch/?quest=2744]The Demon Hunter [/url] 4. [url=http://classicdb.ch/?quest=3141]Loramus [/url] 5. [url=http://classicdb.ch/?quest=3508]Breaking the Ward [/url] 6. [url=http://classicdb.ch/?quest=3509]The Name of the Beast [/url] 7. [url=http://classicdb.ch/?quest=3510]The Name of the Beast [/url] 8. [url=http://classicdb.ch/?quest=3511]The Name of the Beast [/url] 9. [url=http://classicdb.ch/?quest=3602]Azsharite [/url] Chain 4: 1. [url=http://classicdb.ch/?quest=3621]The Formation of Felbane [/url] 2. [url=http://classicdb.ch/?quest=3625]Enchanted Azsharite Fel Weaponry [/url] 3. [url=http://classicdb.ch/?quest=3626]Return to the Blasted Lands [/url] 4. [url=http://classicdb.ch/?quest=3627]Uniting the Shattered Amulet [/url] 5. [url=http://classicdb.ch/?quest=3628]You Are Rakh'likh, Demon [/url] Completing the entire chain gives you the following: 103,685XP at appropriate level Shard of Afrasa Enchanted Azsharite Felbane (Dagger, Sword or Staff) Necklace of Sanctuary Demon's Blood Demon Hide Sack	Alliance begins with the quest: [url=https://classicdb.ch/quest=2783]Petty Squabbles[/url]	Where did I get this quest?&nbsp I cant remember :(
/?quest=2701	Heroes of Old	57	45	Both	6000 XP | Item: Shard of Afrasa (1.11)	Eastern Kingdoms	Open the chest and claim your reward.	N/A	Corporal Thund Splithoof	Corporal Thund Splithoof	Best quest ever, get 6k xp for clicking on a box right next to the quest giver.	Leads to the quest: Kirith: https://classicdb.ch/?quest=2721	This is a quest in a chain of 23 that runs pretty much all over the map. However, it all starts with the Fallen Hero of the Horde. (Hat tip to Xeir for the initial connectors between chains.) Technically, it's four chain quests that tie into each other: Chain 1: 1. [url=http://classicdb.ch/?quest=2784]Fall From Grace[/url] 2. [url=http://classicdb.ch/?quest=2621]The Disgraced One[/url] 3. [url=http://classicdb.ch/?quest=2622]The Missing Orders[/url] 4. [url=http://classicdb.ch/?quest=2623]The Swamp Talker[/url] Chain 2: 1. [url=http://classicdb.ch/?quest=2783]Petty Squabbles[/url] 2. [url=http://classicdb.ch/?quest=2801]A Tale of Sorrow[/url] 3. [url=http://classicdb.ch/?quest=2681]The Stones That Bind Us [/url] 4. [url=http://classicdb.ch/?quest=2702]Heroes of Old [/url] 5. [url=http://classicdb.ch/?quest=2701]Heroes of Old [/url] Chain 3: 1. [url=http://classicdb.ch/?quest=2721]Kirith [/url] 2. [url=http://classicdb.ch/?quest=2743]The Cover of Darkness [/url] 3. [url=http://classicdb.ch/?quest=2744]The Demon Hunter [/url] 4. [url=http://classicdb.ch/?quest=3141]Loramus [/url] 5. [url=http://classicdb.ch/?quest=3508]Breaking the Ward [/url] 6. [url=http://classicdb.ch/?quest=3509]The Name of the Beast [/url] 7. [url=http://classicdb.ch/?quest=3510]The Name of the Beast [/url] 8. [url=http://classicdb.ch/?quest=3511]The Name of the Beast [/url] 9. [url=http://classicdb.ch/?quest=3602]Azsharite [/url] Chain 4: 1. [url=http://classicdb.ch/?quest=3621]The Formation of Felbane [/url] 2. [url=http://classicdb.ch/?quest=3625]Enchanted Azsharite Fel Weaponry [/url] 3. [url=http://classicdb.ch/?quest=3626]Return to the Blasted Lands [/url] 4. [url=http://classicdb.ch/?quest=3627]Uniting the Shattered Amulet [/url] 5. [url=http://classicdb.ch/?quest=3628]You Are Rakh'likh, Demon [/url] Completing the entire chain gives you the following: 103,685XP at appropriate level Shard of Afrasa Enchanted Azsharite Felbane (Dagger, Sword or Staff) Necklace of Sanctuary Demon's Blood Demon Hide Sack	the chest apperas right beside the quest giver	I finished the quest, and it offered me the chest. My bags were full when I first excepted the quest, so I got nothing. I dropped one thing from bag, abandoned quest and accepted it again. The chest appeared on the ground and the guy disappeared. But it wouldn't let me open the chest and then the chest disappeared. Anyone know what I'm not getting here? Do I have to go somewhere else to get the chest?
/?quest=2702	Heroes of Old	57	45	Both	3000 XP	Eastern Kingdoms	Speak to Corporal Thund Splithoof.	N/A	Fallen Hero of the Horde	Corporal Thund Splithoof	is right behind you when talking to the fallen hero.&nbsp If you miss him, talk to the hero again, and select the 'i must talk to corporal splithoof' chat option in his text window.&nbsp This makes him appear, then go across the road and talk to him.&nbsp That is all	U have 2 b quick 2 find him, as soon as u accept the quest 2 find him, turn around and he is beind u, but b quick he fades fast.	Ok this guy is right across the road from the fallen warrior.	This is a quest in a chain of 23 that runs pretty much all over the map. However, it all starts with the Fallen Hero of the Horde. (Hat tip to Xeir for the initial connectors between chains.) Technically, it's four chain quests that tie into each other: Chain 1: 1. [url=http://classicdb.ch/?quest=2784]Fall From Grace[/url] 2. [url=http://classicdb.ch/?quest=2621]The Disgraced One[/url] 3. [url=http://classicdb.ch/?quest=2622]The Missing Orders[/url] 4. [url=http://classicdb.ch/?quest=2623]The Swamp Talker[/url] Chain 2: 1. [url=http://classicdb.ch/?quest=2783]Petty Squabbles[/url] 2. [url=http://classicdb.ch/?quest=2801]A Tale of Sorrow[/url] 3. [url=http://classicdb.ch/?quest=2681]The Stones That Bind Us [/url] 4. [url=http://classicdb.ch/?quest=2702]Heroes of Old [/url] 5. [url=http://classicdb.ch/?quest=2701]Heroes of Old [/url] Chain 3: 1. [url=http://classicdb.ch/?quest=2721]Kirith [/url] 2. [url=http://classicdb.ch/?quest=2743]The Cover of Darkness [/url] 3. [url=http://classicdb.ch/?quest=2744]The Demon Hunter [/url] 4. [url=http://classicdb.ch/?quest=3141]Loramus [/url] 5. [url=http://classicdb.ch/?quest=3508]Breaking the Ward [/url] 6. [url=http://classicdb.ch/?quest=3509]The Name of the Beast [/url] 7. [url=http://classicdb.ch/?quest=3510]The Name of the Beast [/url] 8. [url=http://classicdb.ch/?quest=3511]The Name of the Beast [/url] 9. [url=http://classicdb.ch/?quest=3602]Azsharite [/url] Chain 4: 1. [url=http://classicdb.ch/?quest=3621]The Formation of Felbane [/url] 2. [url=http://classicdb.ch/?quest=3625]Enchanted Azsharite Fel Weaponry [/url] 3. [url=http://classicdb.ch/?quest=3626]Return to the Blasted Lands [/url] 4. [url=http://classicdb.ch/?quest=3627]Uniting the Shattered Amulet [/url] 5. [url=http://classicdb.ch/?quest=3628]You Are Rakh'likh, Demon [/url] Completing the entire chain gives you the following: 103,685XP at appropriate level Shard of Afrasa Enchanted Azsharite Felbane (Dagger, Sword or Staff) Necklace of Sanctuary Demon's Blood Demon Hide Sack	he will point toward the west and the guy you turn the quest into will spawn across the road from you, (towards the west) not behind you :)
/?quest=2602	Infallible Mind	50	45	Both	Item: Cerebral Cortex Compound	Eastern Kingdoms	Bring ten Basilisk Brains and two Vulture Gizzards to Bloodmage Lynnore. Basilisk Brain (10) Vulture Gizzard (2)	Have you returned with the requested organs?	Bloodmage Lynnore	Bloodmage Lynnore	This is one of several 'compound' quests started by both [url=http://classicdb.ch/?npc=7506]Bloodmage Lynnore[/url] and [url=http://classicdb.ch/?npc=7505]Bloodmage Drazial[/url]. These are repeatable, but you can only carry one of any of the items. Once used, you have to go farm up another. The repeatable rewards are [url=http://classicdb.ch/?item=8423]Cerebral Cortex Compound[/url], [url=http://classicdb.ch/?item=8423]Gizzard Gum[/url] (both from Lynnore); [url=http://classicdb.ch/?item=8411]Lung Juice [i]DRINK[/i][/url] (lol word filter), [url=http://classicdb.ch/?item=8412]Ground Skorpok Assay[/url] and, everyone's favorite, [url=http://classicdb.ch/?item=8410]R.O.I.D.S[/url] (all three from Draziel). This is the version that is repeatable only for the item - the version of the quest that nets XP is [url=http://classicdb.ch/?quest=2601]The Basilisk's Bite[/url].	Just did this, kickass reward, stacks with my AI buff	Listed as Un'Goro but isn't.	I finished this quest and it comes up with (Infallible Mind Failed.....Duplicate Item Found)....is this normal?	I've done all the q's these Alves gives..and when i am going to complete all it comes up to me too is ''Infallible Mind Failed: Duplicate Item Found'' what the hell ?
/?quest=2721	Kirith	58 Group	45	Both	6200 XP	Eastern Kingdoms	Find out what became of Lieutenant Kirith.	N/A	Fallen Hero of the Horde	Spirit of Kirith	This is a quest in a chain of 23 that runs pretty much all over the map. However, it all starts with the Fallen Hero of the Horde. (Hat tip to Xeir for the initial connectors between chains.) Technically, it's four chain quests that tie into each other: Chain 1: 1. [url=http://classicdb.ch/?quest=2784]Fall From Grace[/url] 2. [url=http://classicdb.ch/?quest=2621]The Disgraced One[/url] 3. [url=http://classicdb.ch/?quest=2622]The Missing Orders[/url] 4. [url=http://classicdb.ch/?quest=2623]The Swamp Talker[/url] Chain 2: 1. [url=http://classicdb.ch/?quest=2783]Petty Squabbles[/url] 2. [url=http://classicdb.ch/?quest=2801]A Tale of Sorrow[/url] 3. [url=http://classicdb.ch/?quest=2681]The Stones That Bind Us [/url] 4. [url=http://classicdb.ch/?quest=2702]Heroes of Old [/url] 5. [url=http://classicdb.ch/?quest=2701]Heroes of Old [/url] Chain 3: 1. [url=http://classicdb.ch/?quest=2721]Kirith [/url] 2. [url=http://classicdb.ch/?quest=2743]The Cover of Darkness [/url] 3. [url=http://classicdb.ch/?quest=2744]The Demon Hunter [/url] 4. [url=http://classicdb.ch/?quest=3141]Loramus [/url] 5. [url=http://classicdb.ch/?quest=3508]Breaking the Ward [/url] 6. [url=http://classicdb.ch/?quest=3509]The Name of the Beast [/url] 7. [url=http://classicdb.ch/?quest=3510]The Name of the Beast [/url] 8. [url=http://classicdb.ch/?quest=3511]The Name of the Beast [/url] 9. [url=http://classicdb.ch/?quest=3602]Azsharite [/url] Chain 4: 1. [url=http://classicdb.ch/?quest=3621]The Formation of Felbane [/url] 2. [url=http://classicdb.ch/?quest=3625]Enchanted Azsharite Fel Weaponry [/url] 3. [url=http://classicdb.ch/?quest=3626]Return to the Blasted Lands [/url] 4. [url=http://classicdb.ch/?quest=3627]Uniting the Shattered Amulet [/url] 5. [url=http://classicdb.ch/?quest=3628]You Are Rakh'likh, Demon [/url] Completing the entire chain gives you the following: 103,685XP at appropriate level Shard of Afrasa Enchanted Azsharite Felbane (Dagger, Sword or Staff) Necklace of Sanctuary Demon's Blood Demon Hide Sack	A good strat to do this and avoid the respawn rate is to avoid looting, I know its hard, but then the corpses will lay on the ground for about 12 mins before despawning which should give you PLENTY of time to finish Kirith and be out of there before the respans pop!	The cave is on the eastern side of the Blasted Lands. After killing the 55 elite demon Kirith (https://classicdb.ch/?npc=7728), his spirit will appear (https://classicdb.ch/?npc=7729). Talk to the spirit to complete the quest.	Location is 65,34 end of the cave Good luck )	Ok, here are the directions.. 1. Fly To Nethergarde Keep 2. Go to The Seprents Coil, near where you kill ashmane boars/basilisks and above The Dark Portal. 3. Clear all addons remember Servant Of Allistarj cannot be killed. 4. Enter The Cave. 5. Kill Everything in the way. 6. Follow the path. 7. You will reach a place where you must turn left to continue. 8. If it is the wrong place there will be 2 normal mobs. 9. If it is the RIGHT place (second time it looks the same as the first) there will be 2 mobs and a GIANT felhunter. 10. Kill the mob standing on the correct direction to continue walking into the cave. 11. Kill the mob that can be pulled. 12. If you are alone, there are 2 types of tactics: - Go allout against Kirith The Damned and either kill him and quickly talk to his spririt for the followup or.. - Kill the adds and die then kill Kirith.. WARNING- The mobs spawn VERY fast. 13. If you are in a group 1 person takes out the addons and 1 goes againts Kirith. AS long as adds die ure good. 14. The person fighting Kirith may die, the look at Kiriths health, either go allout against him or die and go together. 15. Talk to the spirit. 16. If your a miner there is a Small Thorium Vein behind Kirith, mine it. 17. Then either: -Stealth out -Hearthstone out -Kill all the spawns (basically everything u killed before) and exit the cave. 18. Go to the Fallen Hero Of The Horde to handin your quest and get the followup to go to Azshara.
/?quest=2522	Kum'isha's Endeavors	55	45	Both	5650 XP | Item: Emerald Encrusted Chest	Eastern Kingdoms	Find and return a Flawless Draenethyst Sphere to Kum'isha the Collector. Flawless Draenethyst Sphere	Have you found another flawless draenethyst sphere?	Kum'isha the Collector	Kum'isha the Collector	Prior to the release of TBC, this was one of the few 'lost ones' Draenei that you could communicate with. This, like any other of Kum'isha's quest, has both the non-repeatable version which nets XP and the repeatable version, which just nets a satchel or box. The spheres and shards for these quests have a chance to drop from any mob in the Blasted Lands.	You just have to find the guy. He roams around. The gem only drops from Teremous as far as I know.	I have been grinding for this second one for over 2 hours and have stacks of the components for the other repeater quests. I am starting to think that I have to kill the big guy and he is a skull to me at 57. any suggestions or further information?	I got the thing before i made the quest i didn't noticed i had it until i started the quest. and i got it from the mobs araund the quest giver so it's likely a chanse to get it it's not imposible	is this a quest that you can get? and why is there no comments other then mine?
/?quest=3502	One Draenei's Junk...	55	45	Both	Item: Kum'isha's Junk	Eastern Kingdoms	Bring Kum'isha Imperfect Draenethyst Fragments. Any form of monster in the Blasted Lands could be carrying a fragment. Imperfect Draenethyst Fragment	Well? Draenethyst? Remember?<Kum'isha clenches his fist and knocks on your head.>Is anybody home?	Kum'isha the Collector	Kum'isha the Collector	He's at 52,36	The quest dialog seems to contain a reference to the 'Back to the Future' trilogy of motion pictures: [quote]Well? Draenethyst? Remember? <Kum'isha clenches his fist and knocks on your head.> Is anybody home?[/quote] That's exactly the same thing Biff Tannen does to Marty's father in the past (first movie).	I've found him standing still at a camp near the SE side of the rise of the defiler.&nbsp Once I found him wandering, but he was still on the east side of the rise of the defiler. He looks like a portal seeker, only greener. It looks like everything in the Blasted Lands has about a 1% chance to drop the fragment (except maybe the MOBs right around the portal), even if you don't have the quest yet.	I have been farming in GA in the Blasted lands for the last few nights, got a couple of Blues plenty of greens and a fair ammount of mining, thorium and mithral. I have had one of these drop in the mine on EVERY excursion, trouble is thier ODD these items, mostly just vendor trash if you can't or don't want to use them, and you don't get the XP more than once, LOL..... GA is HUGE instance sized and takes about 90 mins to clear safely solo, I am a lvl 49 Cow Hunter. Best of luck and good hunting. If your on Bloodhoof and fancy a tour, I'll be thier most nights again this week. Just look for Weirdythecow.	i think best drop rate boars. got 3 in 2 days just from boars.
