# Quest Data for Eastern Kingdoms - Eastern Plaguelands
# Generated: 2025-08-18 16:42:26
# Total quests: 108
# Comment scrape timestamp: 2025-08-18 17:22:38

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5153	A Strange Historian	56 Group	50	Both	4350 XP	Eastern Kingdoms	Bring Joseph's Wedding Ring to Chromie. Joseph's Wedding Ring	There is something timely about your visit. You're not from the future, are you?	Marlene Redpath	Chromie	[url=http://www.site-jump.com/files/WPL.jpg]http://www.site-jump.com/files/WPL.jpg[/url]	Leave the house, turn left and go to the graveyard straight ahead. It's a white tombstone, coords: 49, 76.	With the latest patch Andorhal has been moved around. Chromie is now upstairs at the coords 39,66.	Ring: 49,76 in Western Plaguelands Inn: 39,68	All in Western Plaguelands 1. ring is 49,76 2. hand in to Chromie at 39,66
/?quest=8947	Anthion's Strange Request	60	58	Both	6600 XP	Eastern Kingdoms	Bring 3 Dark Iron Bars, 20 Enchanted Leather, 3 Mooncloth and 4 Cured Rugged Hides to Anthion Harmon in the Eastern Plaguelands. Dark Iron Bar (3) Enchanted Leather (20) Mooncloth (3) Cured Rugged Hide (4)	Did you obtain the materials I asked for, <name>?	Anthion Harmon	Anthion Harmon	The cured rugged hide is 10g each on Haomarush (been at 18g each before).	Dark Iron Bars 3x10 Mooncloth 3x5 Enchanted Leather 20x2 Cured Rugged 4x5 These prices are a bit on the low side u might have to pay more.	[quest=8948]	How much reputation do you get from doing this quest ?	Drop this quest here and now. And save a lot of money. This crap only gets harder and harder, it is basically impossible to complete the whole heroism set in less than a month if you are not in a, say very helpful guild that's doing MC.(If you are, you shouldn't be doing this quest at all anyway). This part cost me 140g. And now im gonna drop the quest. Still, I will have to pay about 70-80g before I get my legs,boots,shoulders. Thing is only the boots are better than my current one. So yes, expensive boots. (Plus all the time put into it!) Just dump this quest ASAP. For your own good.
/?quest=5503	Argent Dawn Commission	55	50	Both	550 XP | Item: Argent Dawn Commission	Eastern Kingdoms	N/A	N/A	Argent Officer Garush	Argent Officer Garush	It can be upgraded via this quest: [quest=5213]	Dinged 50 yesterday and was able to get this.	Anyone know the starting level for this quest? I'm 49 and can't get it yet, I'm guessing 50 maybe?	Also dinged to 50 today and was able to get this. If you're a Horde char. and dont know where to go then speak to [npc=10839] and he simply gives it to you. He's in Tirisfal Glades on the border of Western Plagelands If you're alliance and want to know where to go.. tough :D Edited, Sun Oct 30 19:30:52 2005	N/A
/?quest=6164	Augustus' Receipt Book	55	50	Both	1400 XP	Eastern Kingdoms	Bring Augustus' Receipt Book to Augustus the Touched in Terrordale. Augustus' Receipt Book	Do you have my receipt book? I can't wait to get back to business!	Augustus the Touched	Augustus the Touched	The book can be found in the Terrordale inn, which is the largest building in the town. Walk upstairs and turn right. The book lies in the back of the room.	More specifically, the inn is the largest building, in the center on the east side of town.&nbsp Go upstairs, turn right, and check the floor in the back of the room.	As of 1.11 this quest is now available to Alliance players. Augustus has moved out of the Terrorweb tunnel and now sits in the corner of Egan's house in Terrordale.	If you are interested in completing the quest, the receipt book can be found at 17,31.&nbsp The inn is obviously the inn just like all other inns that you've been in throughout the game.&nbsp :)	The correct coordinates are 18,33 as previously corrected. I found the receipt book on the second floor of the inn, in the room to the right. Go inside the room and there should be another room. The book should be inside the second room.
/?quest=5152	Auntie Marlene	56	50	Both	2900 XP	Eastern Kingdoms	Speak with Marlene, south of the Ruins of Andorhal.	N/A	Pamela Redpath	Marlene Redpath	She is in WESTERN plaguelands. Coords is 49,78	She is found in a house at 49.79 in Western Plaguelands	49,79 just inside of a building	You can refer to the map on this link for her location. [url=/npc=10927][npc=10927]]	Yes the cords are correct. 49,78 In western plagues tho
/?quest=9131	Binding the Dreadnaught	60	55	Both	6600 XP | Item: Insignia of the Dawn	Eastern Kingdoms	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Friendly Korfax at Light's Hope Chapel in the Eastern Plaguelands wants 30 Dark Iron Scraps. Dark Iron Scraps (30)	<Korfax growls at you.>What do you want? Directions? I can provide those...	Korfax, Champion of the Light	Korfax, Champion of the Light	You must be at least [b]Friendly[/b] rep with [b]Argent Dawn[/b] to see this quest.	This is the first quest that starts the repeatable version of 'Dark Iron Scraps' which returns an 'Insignia of the Dawn' for every 30 scraps you turn in.	Do you have to be friendly w/ Argent Dawn to get this quest? I'm lvl 60, and he's not giving it to me.	They also drop from Firegut Orges in the Buring Steppes.	You should get a couple hundred from BRD if you kill everything.
/?quest=5543	Blood Tinged Skies	56	52	Both	5800 XP	Eastern Kingdoms	Slay 30 Plaguebats and return to Tirion Fordring. Plaguebat slain (30)	Do not underestimate the winged vermin, <race>. The Plague has given them supernatural abilities.	Tirion Fordring	Tirion Fordring	Around (37,69) is great.&nbsp Full of Plaguebats.&nbsp Easy as a hunter - 'no fear'!&nbsp Have fun.	For multitasking, pick up: Carrion Grubbage - http://classicdb.ch/?quest=5544 and Demon Dogs - http://classicdb.ch/?quest=5542 At the same NPC you picked this quest, as the mobs you need for the quests all roam in the same area. The Plaguebats have an annoying ability that fears you in one direction for 5 - 6 seconds, but aren't that difficult to kill.	There is a great spot for working on three quests at the same time.&nbsp you won't complete all three here but it will complete one of the three a give you progress on the other two. Enter the Eastern Plaguelands after you have the following quests Demon Dogs, Blood Tinged Skies, Carrion Grubbage.&nbsp The proceed to 30, 71 and just keep going in farther you will find all the bats you need for Blood tinged Skies.&nbsp The 20 Runts you need for Demon Dogs and there are Grubs in there also for Carion Grubbage. 33,77 and 23,64 all great spots as well and you will find yourself in these spots when you start grinding.&nbsp Good Luck and Happy Hunting.	Apparently noxious plaguebats do not count as plaguebat kills - go figure :/	Warriors, if you have the skill Berserker Rage (https://classicdb.ch/?sp=18499) you&nbsp will find this quest is a cakewalk. Berserker Rage makes you immune to fear and stun effects for 10 seconds (so you will need to time it right but this is not hard at all) and causes additional rage to be generated upon attack. I am of corse refering to the bats annoying spell: Terrifiying Screech which can send you into all kinds of trouble the most hazourdous running into other aggro mobs. So definately go to IF or UC and consult the warrior trainer if you dont already have the skill because it makes the quest WAY easier. Also, because you need to kill 30 of them i would wait until your 58 or higher so you can whizz through them. Thanks for reading my comment. Orccheiften 58 Warrior Kil'Jaeden
/?quest=9665	Bolstering Our Defenses	60 PvP	55	Horde	6600 XP	Eastern Kingdoms	Capture Crown Guard Tower, Eastwall Tower, Northpass Tower and Plaguewood Tower in the Eastern Plaguelands, then return to Emmisary Gormok at Light's Hope Chapel. Capture Crown Guard Tower Capture Eastwall Tower Capture Northpass Tower Plaguewood Capture Quest Doodad slain	They must be fools to think that we would allow them to establish bases so close to one of our capitals.We will bleed their numbers until they turn tail and retreat back to the south.	Emissary Gormok	Emissary Gormok	Put your [b]pvp on[/b] and sit in the tower until its taken.	Some extra good information: all the towers have a special ability wich i'll write down here: Crown Guard Tower: if it's captured, the specific faction that holds it will get a Graveyard with a spirit healer near it. East Wall Tower: 5 guards will spawn, mount up and run to Northpass Tower IF Northpass Tower is controlled by the opposite faction, else, no guards will spawn. Northpass Tower: if captured, the Shrine of Lordaeron will appear, when you click on it, you'll get 5% extra health in Stratholme, Eastern Plaguelands and Scholomance. Plaguewood Tower: this tower has a flight master, wich can only be used by the faction that controls it. You can fly only to the other towers, not back. You can even fly to a tower that is controlled by the opposite faction. The 'flying mount' is a ghost and is the same speed as a normal flight path.	To capture a tower you have to wait inside it until it's captured. You will see a slider bar appear showing the progress toward capture.	A: You have to stand inside the tower, or very close to tower. B: You must have PVP enabled if you're in non-pvp server. C: There is an line that shows on right corner of your screen, it shows how much you need to capture tower. Once it is in your faction's colour, you have captured it. D: Multiple people capture towers faster than just one.	If you capture a tower and an tower of the alliance is nearby, 5 guards will spawn, mount up with like 40% extra speed and will run to the next tower, follow them, they will guard you while you are capturing the tower. If you captured it, you will gain 18 honor + a grave stone will appear, click on it and you'll get Lordaeron's Blessing, wich will give 5% extra health in Eastern Plaguelands, Scholomance and Stratholme. You get 1% extra damage against undead for each tower, if the horde/alliance controls all 4 towers you/they will gain 5% extra damage, wich is a bonus of 1%. This effect is passive, and will just come back when u ressurect. The Blessing won't last through death. You gain 560xp for discovering the towers aswell.
/?quest=9127	Bone Fragments	60	55	Both	Item: Insignia of the Crusade	Eastern Kingdoms	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Friendly A man in my line of work can never have too many bone fragments, <name>. Whenever you have a surplus of fragments, bring them to me and I'll reward you with another insignia. Bone Fragments (30)	N/A	Rohan the Assassin	Rohan the Assassin	Im surprised nobody has linked the rest of the Argent Dawn turn ins, so here they are. http://classicdb.ch/?quest=9136 Savage Flora http://classicdb.ch/?quest=9127 Bone Fragments http://classicdb.ch/?quest=9132 Dark Iron Scraps http://classicdb.ch/?quest=9125 Crypt Fiend Parts P.S. Its a good idea to buy the items off of the AH before you come to EPL for the first time, so you can get a quick burst of xp ;).	When you turn in the first 30 bone fragments, you receive 9,550 xp, 1,000 rep with Argent Dawn. Afterwards you can continue to turn in 30 bone fragments for 20 rep each turn in.	This quest (and the other related quests) require that you have friendly reputation with the Argent Dawn. You don't have be level 60 though (i was lvl 59 when I did them).	The Scarlet Crusade dude in the corner to the right as you walk into the chapel. The one in the purple hat, I believe.	Before BC, it made sense to hold off on doing these quests until you had a large amount of argent dawn rep. That way you could turn in when enemies stopped giving you rep, and get a free 500. Now, however, it makes sense to hold off doing these till lvl 57, then turn them all in, as each one gives you 6000 exp the first time. The parts are readily available and can even be bought and sold on the AH. This is an easy way to get that last exp boost to get you to outland.
/?quest=9126	Bonescythe Digs	60	55	Both	6600 XP | Item: Insignia of the Crusade	Eastern Kingdoms	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Friendly Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands wants 30 Bone Fragments. Bone Fragments (30)	I can direct you to skeleton infested locales, <class>.	Rohan the Assassin	Rohan the Assassin	Bone Fragments are used for a quest in EPL called 'Bonescythe Digs'. After you collected 30 Bone Fragments you turn them in for a Insignia of the Crusade. The Bone Fragments drops off Undeads in Scholomance, Stratholme and all over WPL/EPL. The quest itself requires Friendly reputation with Argent Dawn to get.	These drop of SKELETON type undead only - Not off spectres/horrors/flayers and the like. A good place to farm for them is Andoral in WPL, since there is a large number of lower lvl skeletons there, which respawn quite quickly. Oh, and the semi bosses (55-56 elite) that appear inside the towers in Andoral will drop 2-3 bone fragments each. I am yet to find out if this quest is repeatable... ... but will know soon.	You must be level 55 to get this quest. You must be FRIENDLY with Argent Dawn to get this quest. You must meet BOTH qualifiers to get this quest and the others like it.	You must be at least [b]Friendly[/b] rep with [b]Argent Dawn[/b] to see this quest.	It drops off skeleton mobs level 50+. Felstone field in wester plaguelands is a great place to farm them.
