# Quest Data for Eastern Kingdoms - Ironforge
# Generated: 2025-08-18 16:43:01
# Total quests: 78
# Comment scrape timestamp: 2025-08-18 17:24:38

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5090	A Call to Arms: The Plaguelands!	50	50	Alliance	470 XP	Eastern Kingdoms	Seek out Commander Ashlam Valorfist. His base camp is located at Chillwind Camp, north of the Alterac Mountains.	N/A	Courier Hammerfall	Commander Ashlam Valorfist	This quest is available from any courier in any capital city, with the resulting destination being the same.	He is in Western Plaguelands at 42,84.	For you without coords. Follow the road that goes against Western Plaguelands. And there on the left just as you get into WP.	42,84	can i get some coordinits?
/?quest=7809	A Donation of Mageweave	60	40	Alliance	3300 XP	Eastern Kingdoms	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by the Gnomeregan Gnomes, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Bubulo Acerbus	Bubulo Acerbus	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	N/A	N/A	N/A	N/A
/?quest=7804	A Donation of Mageweave	60	40	Alliance	3300 XP	Eastern Kingdoms	If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Mistina Steelshield	Mistina Steelshield	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	for this quest in Ironforge, you're looking for Mistina Steelshield, who is on the north side of the great forge, right outside the tailoring trainer.	Is there any repeatable quests to get rep with IF? I'm trying to get exalted with IF, SW, and DA.	N/A	N/A
/?quest=7811	A Donation of Runecloth	60	50	Alliance	6600 XP	Eastern Kingdoms	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Bubulo Acerbus	Bubulo Acerbus	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	Could anyone try helping me find more repeatable quests to get reputation with gnomeregan exiles? Thanks!	@Lvl60 Donation of Wool (+150 Faction, +165 for Humans) Donation of Silk (+150 Faction, +165 for Humans) Donation of Mageweave (+150 Faction, +165 for Humans) Donation of Runecloth (+150 Faction, +165 for Humans) Additional Runecloth (+50 Faction, +55 for Humans)	Get 75rep instead AND help the war effort! [url=https://classicdb.ch/quest=8523]War Effort Quest[/url] Same amount of runecloth (20) and 75rep instead of 50rep.	They are always near the tailors, sept the gnome one is in tinerktown.
/?quest=7805	A Donation of Runecloth	60	50	Alliance	6600 XP	Eastern Kingdoms	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Mistina Steelshield	Mistina Steelshield	You have to turn in 60 each of Wool, Silk, and Mageweave to be able to turn in 60 Runecloth. Once you have turned in 60 of each cloth, you can do the repeatable turning of 20 Runecloth for reputation only. Wool, silk, and mageweave are not repeatable.	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	Mergele is right. Disregard my previous post. the important part on this quest is that you have to complete first the donation of wool, silk and mageweave [u]before[/u] or the runecloth donation option won't show up.	She is not receiving Runecloth. (08/03/05) She only receives Wool, silk and mageweave.	What level do you have to be to turn in runecloth? I've currently turned in all the lower quality cloths to the quartermaster in Exodar, but it has a gray '!' over the quartermaster and I can't get the runecloth quest. I'm level 47 currently.. Do I need to hit 50, or 60?
/?quest=7808	A Donation of Silk	60	26	Alliance	1650 XP	Eastern Kingdoms	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Mistina Steelshield	Mistina Steelshield	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	1650 xp 385 IF reputation Was a level 37 human pally at the time.	For some reason, I'm not able to get these quests from her. Any reason why? 34 Night Elf.	I turned in 60 each silk to Mistina Steelshield near the leather trainer in Iron Forge. I was ALOT lower than level 60. Probably like level 22 or something. I don't know why it says this quest is level 60 that is wrong. Just go get the 60 silk, THEN go talk to her. It worked like a charm. Oh.. [b]the reason you want faction is when you buy your mount it will make it cheaper[/b] for you if they like you. A lot cheaper. Also, if you want to get a mount that your race can't normally get...then you have to greatly improve your faction with that races city. Good luck. Malhavox, 42 Druid, Malfurion [i][small]Edited, Dec 3rd 2006 12:35am by abak[/small][/i]	N/A
/?quest=7803	A Donation of Silk	60	26	Alliance	1650 XP	Eastern Kingdoms	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Bubulo Acerbus	Bubulo Acerbus	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	At level 32 I got 150 Rep from this	im only lvl 29 but i still think that this quest suks unless ur going for ur epic mount... and want a ram for a mount	At lvl 32 I got 2450 XP and greatly increased reputation. The slight increase must have been someone who did the quest at mich higher than the quest level of 30. All quests give much lower reputation increases if they are 'grey', so do this quest at lvl 60 and you will get virtually no reputation increase.	Increases your reputation slightly...worth it to get discounts with dwarves only if you have tons of silk and high FA
/?quest=7807	A Donation of Wool	60	12	Alliance	650 XP	Eastern Kingdoms	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by Ironforge for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Mistina Steelshield	Mistina Steelshield	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	Anyone done this? What do you get? I'm torn between wasting the Wool Cloth instead of using it for tailoring... If it's worth it than I'll do this quest...	Got the quest at lvl 12. 650XP and 350 rep. Same on all cities.	Word to the wise, you get 110 experience and a very slight reputation increase, not worth it at all IMHO. There are much easier ways to increase your reputation.	I got 1050 exp and a nice chunk of Gnome reputation
/?quest=7802	A Donation of Wool	60	12	Alliance	650 XP	Eastern Kingdoms	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by Gnomeregan Gnomes for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Bubulo Acerbus	Bubulo Acerbus	Next to Stonebrow's Clothier @43,31	loc 73,47 see [b]Bubulo Acerbus[/b] to donate to exiles of Gnomeregan	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	You can turn in 60 Wool Cloths to Bubulo Acerbus in IF. After getting off Deeprun Tram in IF, go into the city then turn to the right and he's in the shop next to the mailbox. Coords are 74.1, 48.2	In the City of Ironforge, this quest is offered by two NPCs. You can go to either one. First NPC: [orange]Mistina Steelshield.[/orange] She stands in front of Stonebrow's Clothier in [yellow]the Great Forge.[/yellow] For Cosmos UI users, that's 43, 32. Second NPC: [orange]Bubulo Acerbus.[/orange] He can be found inside [yellow]Tinker Town.[/yellow] For Cosmos UI users, 74, 47. Edited, Fri Sep 9 08:23:27 2005
/?quest=2964	A Future Task	50	45	Alliance	4700 XP	Eastern Kingdoms	Speak with High Explorer Magellas in Ironforge.	N/A	Historian Karnik	High Explorer Magellas	The quest line to obtain these rewards can be confusing, so here is a quick rundown on how to get to the end....on the Horde side. The Alliance side is almost exactly the same except it involves chatting up NPCs in Ironforge instead of Thunderbluff. [ol] [li]You can't start this quest line until you are level 40. The lineage is in 2 parts and the second part has a minimum level of 45. This is where a lot of folks get messed up......so start it at 40 and come back at 45 to finish it.[/li] [li]The first thing that has to be done is for the last boss in Uldaman ([url=/?npc=2748]Archaedas[/url]) to be killed by any group whether you are in it or not. It takes a minimum of 3 folks to summon him so don't get a single high level friend to run you through. 3 have to click on an altar to summon him and then he can be killed.[/li] [li]Once he dies a set of doors behind him open up into a closed room. Here is where the quest line will start. At this point, anyone in this group's instance level 40 or above can start the quest line. So if you have a level 40 alt you can log off your high level main, log on your alt, get invited to the group by its leader, and come in and start the quest line without having to have killed anything in the instance.[/li] [li]In the room is a pile of discs which you will click on. These are the [url=/?object=131474]Discs of Norgannon[/url] and you will click on them and take the quest offered.[/li] [li]Now you will be asked to talk to a Watcher. He will appear on the side of the room as a ghost and you MUST click on him and then click every page of comments he gives you until you get the Quest Completed notice. It is several pages of 'tell me more' 'how does this all affect us' sort of things. When done with him, go back and click on the Discs one more time and you will receive a miniature version of them in your pack. Make sure to have room and Do Not lose them. [/li] [li]Click on the discs in your pack or you may have already gotten the instructions (can't remember) to take the discs to: [url=/?npc=5387]Ironforge Explorers League[/url] if Alliance or [url=/?npc=3978]Sage Truthseeker[/url] in Thunder Bluff. I am Horde so the specifics will be for Horde. Alliance is the same with just NPCs being in Ironforge instead.[/li] [li]Sage will give you this quest: [url=/?quest=2440]The Platinum Discs[/url], where you will talk to [url=/?npc=3009]Bena Winterhoof[/url], the alchemy trainer in Thunderbluff, for your reward. The Alliance talk to [url=/?npc=7292]Dinita Stonemantle[/url], who is in the Bank in Ironforge, with the same type of quest and the same rewards.[/li] [li]Now here is The Key to Happiness for this quest line that messes up a lot of folks: The NPCs will tell you when they send you off to get your reward 'Come back and see me soon, there is much left to do!' This means in reality 'Come back to me at Level 45 or above and start the rest of the quest line!' So your minimum start was level 40 and now you must be 45 to come back to [url=http://classicdb.ch/?npc=5387]this quest[/url] for Alliance or [url=http://classicdb.ch/?npc=3978]this one[/url] for Horde to continue. Come back and you will get a quest called Portents of Uldum ([url= /?quest=2963]Horde[/url]) and [url=/?quest=2963]Alliance[/url]). These send you across Thunderbluff and Ironforge to one more NPC. They will tell you to head off to Uldum in Tanaris with this quest: [url=http://classicdb.ch/?quest=2946]Alliance[/url] and [url=http://classicdb.ch/?quest=2966]Horde[/url]. This quest is called Seeing What Happens and requires you to have your Discs with you so make sure you have it in your pack. Fly to Gadgetzan and head to a [url=/?object=142343]pedestal[/url] in the far south of the map.[/li] [li]This pedestal is to the left side of a gate surrounded by level 49 and 50 elite giants. It is at the base of a pillar/column. If you can stealth then just do your thing up to it along the side. If you can't stealth, then go around the left hand (as you face the gates) hills to a ruins called Southmoon Ruins. Directly in front of the ruins gate is a sand path up the hills at location [39, 78] Take this path up and you will come down the hill right at the pedestal/column. Wait for a pathing elite to walk on by, slowly come up to the pedestal until your cursor/gear will activate it. Activate it and another ghost [url=/?npc=7918]The Stone Watcher[/url] will appear and you will have to run through pages of conversation again clicking each page until you get Quest Complete. This is the quest for both sides: [url=http://classicdb.ch/?quest=2954]The Stone Watcher[/url]. Do it quickly as the pathing elite will come back by you. Now Do Not Forget to click the pedestal again!!! It will give you the quest back to Ironforge and Thunderbluff.[/li] [li][url=/?quest=2977]Alliance[/url] and [url=/?quest=2967]Horde[/url] are the pedestal quests it gives. You just go back to the NPC that sent you to Uldum, turn it in, take the quest to the next Ironforge/Thunderbluff NPC and get your rewards: [url=/?quest=2968]A Future Task[/url] for Horde and [url=/?quest=2964]A Future Task[/url] for Alliance. Now you know how to do it from front to back. Good luck and have fun. Rate the post up if it helped you.[/li] [/ol]	Ok, here is what i was thinking. Not sure if it has been said elsewhere, but will post it anyways. The Stone Watcher talks about the Creators wanting to revisit Azeroth. They also state that the Plates of Uldum have been distributed to those that deserve them, or something to that effect. **Spoilers** From the spirit in Uldaman we know that the Creator's made a matrix and created two races. The Troggs, and the Dwarves. What if leaders of these two races, or maybe not leaders but spiritual/historicaly ancestral characters were given the Plates of Uldum to hold until the Creators return. To me it seems that the Troggs work for the Creators, and the Dwarves work agianst the Creators. What if the Troggs were holding the plates, waiting for the Creators to return to open back up Uldum? Maybe the Giants as well, as they were placed at Uldum as guardians? Anyone know wof any boss encounters with Giants or Troggs around lvl 48+? Just some thoughts	We know for sure Blizzard is not intending to make an instance for each element (earth, water, air, fire) or at least not make them one after the other. [ul] [li][b]Molten Core[/b] - Ragnaros (God of Fire) [/li] [li][b]Blackwing Lair[/b] - Nefarian (no god but big brother of Onyxia, another part of WoW lore different from the gods of elements) [/li] [li][b]Onyxia[/b] - epic vendor (i personally don't know what the lore is about her) [/li] [li][b]Ahn'Qiraj[/b] - defenitly not linked to Thunderaan (God of Air) but connected to the great war between the Brood of Nozdoromu and the God of ?bugs? C'Tun (who on a sidenote seemed to me from the lore to act like Pinky and the Brain, planning to take over the world :P) [/li] [li][b]Naxxramas[/b] - Kel'Thuzad, Lich King (totally not connected to Uldaman, Uldam and Uldea) [/li] [/ul] So if i'm not mistaken from what we have ingame at this time there is no promise of when they will make the continuation available for us. So, do not ask or search for continuation for this quest as it seems it's a high lvl instance to come in the far future. Then again ... i might be wrong )	One theory I've had about Warcraft Lore is that it tries to play on double entandres (sp?) and multiple meanings. Much of Warcraft history reflects the developement process of the Warcraft series. Thus, one idea I have come up with is that the Titans who are supposed to 'not come back' makes it so that we will not have to encounter them as bosses. Though the guardian at Uldum states that the 'Creators' will come back. Possibly a reference to the Game Devs, maybe a little credit to them for their Hard work. The guardian even comments on their constant reshaping of the bioshpere that is Azeroth. Just as we see with each new content update how Azeroth is reshaped and rebuilt. The 'One's who are Worthy' could refer to GMs or the Map Terrain Testers and Game Engine Testers. Thus Uldum itself being the physical representation of a 'Test Zone' within the game. Therefore I believe that Uldum is a homage to the Developers who created this great game.	This quest starts from: http://classicdb.ch/?quest=2279 It is mandatory in order to get this quest. However if your reading this then congrats!! You just finished the following chains and quests: http://classicdb.ch/?quest=2279 Which leads to the following Quest/Chains: http://classicdb.ch/?quest=2963 Which leads to this quest: http://classicdb.ch/?quest=2954 Which leads to this chain: http://classicdb.ch/?quest=2977
