# Quest Data for Eastern Kingdoms - Loch Modan
# Generated: 2025-08-18 16:44:31
# Total quests: 39
# Comment scrape timestamp: 2025-08-18 17:25:06

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=161	A Dark Threat Looms	18	16	Alliance	1350 XP	Eastern Kingdoms	Chief Engineer Hinderweir wants you to take the strange smelling powder to Ashlan Stonesmirk, the explosives expert in Dun Modr. Strange Smelling Powder Provided Item: Strange Smelling Powder	You say somethin', sonny? Can't hear a bloody thing besides the ringin' in me ears. Say, what's that you got there?	Chief Engineer Hinderweir VII	Ashlan Stonesmirk	Dun modr is right at the wetlands straight in the north, situated some meters south of the thandol span. Gotten there you cant pass the guy you search. Tip:When you are there, go to Menethil and get the fly point there if you dont have it already. Very useful when you want to sail to the 'other big island' ) greetz mychy	Ashlan Stonesmirke is situated at 50,18 in Wetlands /tloc 50,18 @ Wetlands	Ashlan Stonesmirk is situated at 50, 18 in Wetlands (https://classicdb.ch/?npc=1073). The next part of the quest sends you back to the dam in Loch Modan.	stop acusing people of telling lies! he IS at 50,18 wetlands	The trick to this one is just to stay on the road and dont stop to fight. THe mobs tend to be about 20-25 through the wetlands, but if you stay on the road and keep running you can make it. Your only real trouble will be making it past the dragonspawn guys that are sitting in the open space between two of the tunnel passes... Dont try and fight them, just run on by and let them get their two or three hits in before they get bored and run off. Follow the roadsigns to Dun Modr, the guy you have to talk to is right by the road beside a broken down cart jsut before the great span (Or whatever that big bridge was called). Ya cant miss him.
/?quest=199	A Dark Threat Looms	18	16	Alliance	1350 XP	Eastern Kingdoms	Return to Chief Engineer Hinderweir and show him the clue that you discovered. Strange Smelling Powder Provided Item: Strange Smelling Powder	Did you happen to discover any clues, <name>?	Suspicious Barrel	Chief Engineer Hinderweir VII	I shot at them from the bridge too, but instead of jumping down and grabbing it and running into them again ... this is what I did. Shoot at them from the bridge, then when they are on the bridge shoot at them again.&nbsp Run back to the level 30 guard who will kill them for you. Too easy, got the powder and got my points.	Ok.... you just need to pick up a red bottle near the dan. Kill the two Dark Iron Sappers standing in the corner at 52,12. The bottle is hidden in the corner [i][small]Edited, Feb 8th 2007 3:22pm by noizy[/small][/i]	N/A	N/A	N/A
/?quest=250	A Dark Threat Looms	18	16	Alliance	675 XP	Eastern Kingdoms	Investigate the area near the eastern ramp of the Dam and bring Chief Engineer Hinderweir a clue that might reveal what the Dark Iron Dwarves are up to.	N/A	Chief Engineer Hinderweir VII	Suspicious Barrel	I had a hard time finding this.&nbsp I kept going to the 3 Dark Irons around the corner by the clifts.&nbsp Finally I found the correct ones.&nbsp As soon as you go down the end of the dam turn LEFT and then follow along the landward side of the dam.&nbsp There were only 2 Dark Iron Sappers there.&nbsp That's the keg you need. -Vorax	56,13	56,13 are the correct coordinates.&nbsp This is the second time I've done this quest, and the second time I've done it this way.&nbsp )&nbsp If you find yourself thinking how the hell am I gonna kill those 2 guards to get to that barrel... Then may I suggest running like a sissy to the mountaineers on the bridge.&nbsp =)&nbsp As a druid (or any kind of caster), I stood on the side of the bridge and moonfired so they'd come running, and continued till I managed to drag them to the first mountaineer (Mountaineer Haggil) who incidentally doesn't like Dark Iron Dwarves.&nbsp )&nbsp He'll help you kill them without hesitation as long as you drag the confrontation into his face.&nbsp You even get the xp and the loot!&nbsp For my rogue I just threw something at them and sprinted like mad.&nbsp =) Easy way for the lower levels to complete that quest since it seems to be 17's or higher guarding that damn barrel.&nbsp	Map: [b]Thelsamar[/b] Area: [b]Stonewrought Dam[/b] There is 'Stonewrought Dam' in the north of 'The Loch lake'. Cordinates: [b](55.51)[/b] 1.You may goes down 'the east stairs' of the Stonewrought dam. 2.There are two Level 17 'Dark Iron Sapper'(Dark Dwarf). Let's kill them. 3.Let's open the '[b]Suspicious Barrel[/b]'. 4.You may return to '[b]Chief Engineer Hinderweir VII'[/b](Dwarf) at the Stonewrought Dam.	This quest has nothing to do with 'Investigate the Scourge of ...' and you do not need to complete that quest (it was part of the Scourge Invasion so you can't do it anymore anyway) to get this one.
/?quest=274	A Dark Threat Looms	18	16	Alliance	340 XP	Eastern Kingdoms	Ashlan Stonesmirk wants you to return to Chief Engineer Hinderweir and inform him of the new discovery. Disarming Colloid Provided Item: Disarming Colloid	What is that you bring from Ashlan?	Ashlan Stonesmirk	Chief Engineer Hinderweir VII	Coords, [b]46,13[/b]&nbsp - Loch Modan As the above post mentions, he is standing in the middle of the Stonewrought Dam beneath a tent.	ok i found him, he is not in the wetlands, he located on the stonewrought dam in the loch.	This little dude is on the Dam - he's right about in the middle.	You get 340 exp. for this quest.	N/A
/?quest=278	A Dark Threat Looms	18 Group	16	Alliance	1350 XP	Eastern Kingdoms	Chief Engineer Hinderweir wants you to gather Lurker Venom, a Mo'grosh Crystal, and a Crocolisk Tear. Lurker Venom Mo'grosh Crystal Crocolisk Tear	Do you have the needed items? Time is of the essence!!	Chief Engineer Hinderweir VII	Chief Engineer Hinderweir VII	Brutes will also drop this item.	Alright, this is not easy, but if your smart its not hard. The Croc tear you can solo on croc island there in the middle of the lake. The Lurker Venom drops now off all the spiders. The Crystal? That's a real @$%$. It drops off the Mystics inside the caves. Someone said lastnight that they drop off shamans and brutes too, but I cant confirm that as all 7 I have seen people get have been off of Mystics. Your going to need to group to do this, and if no one has healing magic, then you need to get your mage to cast dampen magic, cause the mystics will lightning bolt you for days. Be careful in here, they swarm up like mad. If you can, grab a mage to sheep the adds and if someone says run, then run. Dont question it, just run. If your going to do this quest, then be smart and run over and talk to Magistrate Bluntnose and get the Mercenaries quest too since that requires you to kill ogres and needs a group. Mercenaries also requires brutes, which live in the caves with the mystics, and so your going to have to drop a mystic or two to get your 4 brutes, so there's a chance you will get a crystal out of it.	Just finished this.... Here is the key Start at the edge of the DAM (where the 2 insurgents r with the strange powder) Kill the following: Loch Crocks lvl 15 or more Lurkers lvl 18+ (19 is better) and Mo'grosh Enforcers (yes enforcers b/c they drop crystals) lvl 19+ Elite Crocks and Lurkers are right off the edge Enforcers are a little ways up on the left (right where lvl 18 bears start appearing) and the first one i killed dropped it. Nice XP... Lvl 22 Warlock...Fear and Voidwalker is an excellent strategy for solo against elites	For the ones too bored to give the coords Here they are: Lurkers&nbsp 74.38&nbsp ( LVl 18-19 Lurkers ) Crystal&nbsp 65.21&nbsp ( Drops drom enforcers 18-19 Elite ) Dark Iron Agents&nbsp 59.18&nbsp ( easy drop lvl 19	As of 2.2, this is no longer a group chain. Easily soable, and I soloed the ogres as a level 17 rogue - no problems. Keep in mind that a lot of the above comments are pre-2.2, and really don't apply anymore.
/?quest=280	A Dark Threat Looms	18	16	Alliance	675 XP	Eastern Kingdoms	Chief Engineer Hinderweir wants you to swim down to the base of the dam, locate the powder keg and stir in the Disarming Mixture to prevent an explosion. Disarming Mixture Provided Item: Disarming Mixture	The top of the keg slowly twists off.	Chief Engineer Hinderweir VII	Explosive Charge	One way to find the barrel without coordinates: 1. Run along the dam to the east.&nbsp 2. Bring up your world map. 3. When you get to the 'U' in Stonewrought Dam, jump in and swim down.&nbsp 4. The barrel is very small and hard to see, but it's there in the corner.&nbsp Good luck!	coordinates 50, 14	Located around 51, 14 at the bottom of the dam. It's a small brown keg that can be hard to see, I had to swim around several times before I noticed it. It's slightly hidden in a corner.	It is a small keg located near the center of the dam, at the bottom of the Loch against the dam wall. I had to look twice to find this, it is easily over looked. Just swim against the wall at the floor and scroll over the ground.	51,14 right in the corner
/?quest=283	A Dark Threat Looms	20	16	Alliance	1950 XP | Pick: [Dwarven Tree Chopper, Thornblade]	Eastern Kingdoms	The Disarming Mixture seemed to take effect. Return to Chief Engineer Hinderweir to report the good news.	N/A	Explosive Charge	Chief Engineer Hinderweir VII	It was a pain to find cause it's murky and the keg blends in real well with the ground, but this is exactly where it is: Looking at the dam in the mini map, locate the middle of the dam.&nbsp The keg is located here (*X*) between the middle and the east ramp at the base of the dam.&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp V&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp V West&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp *X*&nbsp &nbsp &nbsp &nbsp East ramp&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp V&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp KEG&nbsp &nbsp &nbsp ramp&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp Middle &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp of dam	The Explosive Barrel is At Coordinates 50,14	Significant Ironforge faction from completing this quest.&nbsp Pushed me from Friendly to the next level. ~ a Dwarf	Does the reward seem a little weak for the end of this line of quests? While killing the Ogres for the gem I got a better weapon drop then the ultimate reward choices. Sad.	I was 21 when finished this and had not been to deadmines, so would love to have this sweep blade for my rogue. However, upon return to the guy he is not lit up so guess I lost the reward. Bah!
/?quest=257	A Hunter's Boast	16	11	Alliance	875 XP | Pick: [Daryl's Hunting Bow, Daryl's Hunting Rifle]	Eastern Kingdoms	Kill 6 Mountain Buzzards and return to Daryl the Youngling in the Farstrider Lodge within 15 minutes. Mountain Buzzard slain (6)	No luck? Don't feel too bad, <name>...Not everyone can be me.	Daryl the Youngling	Daryl the Youngling	Easy quest Plenty of time, Plenty Buzzards 78-65, Plenty Boars 76-44, Plenty Fun (dont know why, but it was!)	Easy quest Plenty of time, Plenty Buzzards 78-65, Plenty Boars 76-44	When I did this quest, within a minute we ran into those 3 level 20-21 elite ogres that roam around the eastern Loch.&nbsp Needless to say, my level 17 Warlock was creamed and I failed the quest.	Pretty easy. The buzzards hang out in the valley at the entrance to the lodge (you probobly killed one of two of them on your way in).	They take for ever to spawn so DON'T kill any on the way in...
/?quest=258	A Hunter's Challenge	17	11	Alliance	950 XP | Item: Fine Cloth Shirt | Item: Daryl's Shortsword	Eastern Kingdoms	Kill 5 Elder Mountain Boars and return to Daryl the Youngling in the Farstrider Lodge within 12 minutes. Elder Mountain Boar slain (5)	It's only natural to feel sorry for yourself when shown up by someone so new to this world. You shouldn't feel bad, <name>.Hm? Did I get your name wrong?	Daryl the Youngling	Daryl the Youngling	I did this quest as a level 17 hunter. Very easy at that level. Probably doable at 16. As a metric, I don't think the Elder boars are harder than the buzzard, so if you did the buzzards with a few minutes to spare, you can probably do this one. 15 might be pushing it, but I dunno.	Very easy, did it in five minutes on my 16 Hunter. Just avoid the other mobs and head north. http://img76.imageshack.us/img76/1417/smallermapqz3.png - area to find 'em.	The quest is pretty easy to do. The boars are level 16-17. The only problem you might have is finding the boars in time. But if you're the only one doing the quest you will find plenty of boars quite easily. :) Just watch out for other mobs that wander around as they could slow your progress down a lot, if you have to kill them too. Simply avoid them. )	Pretty easy. Just run north. Go through the buzzards (they'll leave you alone once you get to the boars) and avoid the grizzilies. I found the boars north of the retreat at 75, 46. Killed five, mined some tin and handed in the quest with time to spare.	I failed this one, for one reason and one reason only. There happend to be three of us doing this quest at the same time. With three of us competing for kills, there just wasnt enough to go around. Of course, this is also the first weekend for the game, so its expected for there to be a lot of lvl 16-18's.
/?quest=454	After the Ambush	15	10	Alliance	110 XP	Eastern Kingdoms	Speak with Miran.	N/A	Huldar	Miran	start at cordinates 52,69&nbsp ends at 66,66	Follow-up: https://classicdb.ch/?quest=309	So there are two 20 elites and a 21 elite that patrol the area. Watch for them -- their path crosses with the escort, and they're a little tough for a 15.	start at cordinates 52,69 ends at 66,66	No problem escorting him, I didn't see any spiders but there was a player who was roaming around a little beforehand and could have killed them. For being squishy wasn't a problem here. Just freeze them and blast them all with your fire and arcane spells. Easy as pie. Just make sure a boar doesn't get frozen too, that's what killed me the first time. Stupid pig :p
