# Quest Data for Eastern Kingdoms - Redridge Mountains
# Generated: 2025-08-18 16:45:01
# Total quests: 36
# Comment scrape timestamp: 2025-08-18 17:25:40

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=124	A Baying of Gnolls	20	15	Both	1150 XP	Eastern Kingdoms	Kill 10 Redridge Brutes and 8 Redridge Mystics, then return to Verner Osgood. Redridge Brute slain (10) Redridge Mystic slain (8)	Yes? Is there something I can do for you?	Verner Osgood	Verner Osgood	found a camp of brutes and mystics at 21,35	There is a quest you get that asks you to run an errand to goldshire this is a pre requisite for this quest.	Do the Everstill bridge quest at the same time. You get it from Foreman Oslow right there in town. it is totally worth it cause you do both at the same time and are getting credit for both. its really handy for xp and time savers	In order to get the 'Baying of Gnolls' quest, which leads to 'Howling in the Hills', and 'Underbelly Whelp Scales' quest, you need to do 'The Price of Shoes' quest and 'Return to Verner'.	if ur looking for those gnolls then go look in the valley just beyond Lakeshire its full of em! the valley entrance and exit is from 38,31 to 23,36 XD
/?quest=129	A Free Lunch	15	12	Alliance	550 XP	Eastern Kingdoms	Bring Parker's lunch to Guard Parker. He patrols the road leading to Darkshire. Parker's Lunch Provided Item: Parker's Lunch	Darcy sent me a lunch, did she? Such a kind heart she has. Well...let's have it!	Darcy	Guard Parker	just a quick note...Its 15.71 in Redridge at the three corners on the way to duskwood, not in duskwood.	For people that dosent have cord Addon he is at the place called Three Corners in redridge. For people that does have Cord Addon he is at 15.71	A quick walk to 15, 71 (https://classicdb.ch/?npc=464).	I held on to this quest until i needed to kill spiders for the Leg gathering quest out of Lakeshire... Another simple quest but dont just pick up and head right out...get the other quests around the area that you can get done while your out here...	15,71
/?quest=94	A Watchful Eye	21	20	Alliance	1250 XP	Eastern Kingdoms	Take the Glyph of Azora to the Lion Statue near the Tower of Ilgalar in Redridge. Glyph of Azora Provided Item: Glyph of Azora	This Lion Statue has sat here for decades, and keeps a lonely watch over the infamous Tower of Ilgalar.There is a depression at the base of the statue, where a gem or glyph might be set...	Theocritus	Old Lion Statue	Its at 84,46	Here's the scoop, guys.&nbsp Approach the statue from the south, following the trail that leads from Render's Valley to the Tower.&nbsp If you follow the edge of the mountains when approaching the statue you should have no problems.&nbsp Do NOT approach the tower by following the road east from Alther's Mill.&nbsp That direction is thick with mobs lvl 24-26. North from Renders Valley: Extrememly easy East from Alther's Mill:&nbsp Painfully annoying	The statue is on 84, 46 for those who can't find it...If you don't have Cords..its up the path from Lakeshire then follow the fork to the right. Head east till you see the tower on the right (past the castle) the statue is on the left facing the tower. Just right click on the statue. Remember to accept the follow on quest.	Statue coords for Cosmo = 84, 47	It's actually right in front of the tower. I'm a level 22 Priest and had no trouble getting there (avoiding groups of mobs) while killing a few of them here and there.
/?quest=34	An Unwelcome Guest	24	18	Alliance	1950 XP | Item: Bouquet of Scarlet Begonias	Eastern Kingdoms	Martie Jainrose of Lakeshire wants you to kill Bellygrub. Bring her his tusk as proof. Bellygrub's Tusk	Is Bellygrub still at it or were you able to rid Lakeshire of the pest once and for all?	Martie Jainrose	Martie Jainrose	He spawns at exactly [b]15,49[/b] For those who don't have cosmos or some loc mod for their game, go directly west of where you get the quest, through her garden and down the hill a bit. This is an incredibly easy solo quest as there is nothing else around Bellygrub, so it's just you and him.&nbsp He's a lvl 24. [b]Note: Bellygrub has a SLOW repop, so if you don't find him immediatly, be patient and allow him to repop.[/b]	found/slain at 16,49	Word of advice to hunters: tame Bellygrub, he makes an awesome pet, for MM at least and probably other specs as well. When leveling a marksman spec hunter it's extremely important for your pet to hold aggro from your ranged DPS; if your pet loses aggro, fights can go from 'afkshot for a few seconds, then loot' to 'sacrifice pet just to get away alive' very quickly. Boars are the only pets in the game at the moment with Charge, which makes the pet rush toward the target, immobilizing it for a quick second. Charge also increases the pet's attack power for the next attack by a lot, and given the way Growl works, the boar will typically charge the enemy, taunt, and instantly have around 1k-1.5k threat - basically, you wouldn't be able in most cases to pull aggro off of your pet from then on before the enemy dies. Boars can also learn Gore, which is an instant, zero-cooldown focus ability that does damage (also known as a focus dump) that will make talents like Go for the Throat well worth getting. They can also get Bite (a 10-sec cooldown damage ability) and Dash (which shares a cooldown with Charge, so it's not that great). They also have decent health and armor. Once you've got decent ranged damage, all you really need to watch for is the occasional resist on the first taunt and the mobs around you and your pet. Bellygrub comes with Charge and Gore automatically, and you won't be able to get another rank of either until around level 50. Learn Bite from a spider in Arathi Highlands around level 32 and you're set for a long time...	Bellygrub hits hard!!! if you can look for others in the area to do this quest with... She's a lvl 24. Sure the reward isnt much to look at but hey its yet another easy Bliz quest... Pretty tough solo unless your well above lvl 24... She's located just behind the garden where you get the flowers for the other quest here...Re-spawn time is roughly 3-5 min just in case you come in on others doing the quest...	coords 16.49
/?quest=246	Assessing the Threat	17	11	Alliance	950 XP	Eastern Kingdoms	Kill 10 Redridge Mongrels and 6 Redridge Poachers, then report back to Deputy Feldon in Lakeshire. Redridge Mongrel slain (10) Redridge Poacher slain (6)	Excuse me, <name>, but we have a lot to keep our hands tied here. If you have nothing to report, then I must put my mind to other matters.	Deputy Feldon	Deputy Feldon	Poachers at 31,80 (/tloc 31,80 with Cosmos)	[b]COMFIRMED. /tloc 31,79[/b]	Follow the path south. You come to a little U bend (easy to see on the map). There is a dirt track (lakeridge highway) leading east. Take this to poacher heaven.	Standing in the center of a camp of Mongrels and Poachers @ 43, 70.	south of the questgiver
/?quest=128	Blackrock Bounty	25	20	Alliance	2000 XP	Eastern Kingdoms	Kill 15 Blackrock Champions and Guard Howe in Lakeshire will reward you. Blackrock Champion slain (15)	Return once you have slain 15 Blackrock Champions.	Guard Howe	Guard Howe	The actual location is at 33,6. There are only a few champions on the outside camp, but in the cave there are more.	The coords given above are wrong......the champs are located in the cave at 33, 8, just past the Render's camp at Render's Rock.	And another thing to note, most Champions have a few buddies nearby, it's a good idea to bring along a Tank, Healer, and some support.	The Warlock style mobs in this area are the biggest pain...they are all grouped up in packs of 2-3...Expect to kill at least that many with each pull...another note is that they run...and will bring other party's to kill you just that much faster...grab a friend or 3 and hit this hard...look inside the cave for the escort quest...that should make this worth wild...(hes in the cave follow the left most path round the little pond inside and in the back cave there...)	Missing in Action (https://classicdb.ch/?quest=219), an escort quest, begins in the cave these mobs are in.
/?quest=20	Blackrock Menace	21	18	Alliance	1650 XP	Eastern Kingdoms	Bring 10 Battleworn Axes to Marshal Marris in Lakeshire. Battleworn Axe (10)	Have you been slaying orcs, <name>? If so, then show me...	Marshal Marris	Marshal Marris	Definitely easier to complete this quest in the South Eastern part of Redridge Mountains. Approx Loc: [b]71,78[/b]	You don't have to kill the elite ones in stonewatch keep to get these. You can get them from the non-elite level 20's or so up the path from lakeshire.	Easiest place I found for this quest was in the South East.&nbsp The orcs there are level 18-20 and there were no elites either.	You can do Blackrock Menace, Blackrock Bounty, and an escort quest at the same time in the cave on (35,10)	Orc encampment at 69, 79, or just a bit south of Stonewatch Keep. Orc level lies around 19-21.
/?quest=131	Delivering Daffodils	15	12	Alliance	270 XP | Item: Sauteed Sunfish 10	Eastern Kingdoms	Give Darcy the Daffodil Bouquet. Daffodil Bouquet Provided Item: Daffodil Bouquet	Hello again, <name>. Did Parker like the lunch I sent him?	Martie Jainrose	Darcy	She is a waitress inside the inn of Lakeshire.	she's at (27,45)	She's at 21,46 left from herbalist shop west of inn.	Drop the flowers off to Darcy in the Inn...yet another easy bliz quest.	darcy is in the inn....
/?quest=116	Dry Times	15	12	Alliance	1050 XP | Item: Finely Woven Cloak | Item: A Bulging Coin Purse	Eastern Kingdoms	Barkeep Daniels of Lakeshire needs a keg of Thunderbrew Lager, a cask of Merlot, a bottle of Moonshine and a skin of Sweet Rum. Keg of Thunderbrew Lager Cask of Merlot Bottle of Moonshine Skin of Sweet Rum	I need you to pick up a keg of Thunderbrew Lager from Grimbooze Thunderbrew in the Westfall hills, a cask of Merlot from Stormwind, a bottle of Moonshine from Darkshire and a skin of Sweet Rum from Goldshire. Bring those back to me and I will see to it you are rewarded.	Barkeep Daniels	Barkeep Daniels	OK, for those, who like me have ADD, and get lost with the data all over, I kind of pulled it all together, well most of the info. What, Who, Where, Other Info Thunderbrew Lager,Grimbooze Thunderbrew, Westfall Hills (dagger hills), Kill golems for hops Merlot,Gallna Winery (52,68), Stormwind,8S 15C speak to the Merlot Connoiseur Moonshine, inn, Darkshire, 12S 65C Sweet Rum, Lion�s Pride Inn Barkeep Dobbins, Goldshire, 6S 75C	Gallina Winery - 51, 68 In SW in a corner in canals. Thunderbrew - 44, 80 Hes up in the eastern hills in westfall... Rum - 43, 65 Goldshire Inn...(easy) Moonshine - 73, 44 Take short walk thru Duskwood to get this from the inn in Darkshire. (quickest walk is from redridge...get FP when you get to Darkshire) Make sure you kill the Harvesters for the needed Hops for thunderbrew...they drop quickly so it should only take 5 min to get the needed 5 for the turn in...	Keg of Thunderbrew Lager: Westfall Need to do quest 'Thunderbrew Lager' in The Dagger Hills just behind Moonbrook (44, 80) Need 5 hops for quest, Gardian Golems are the best drop rate however Harvesters drop them too. Cask of Merlot: Stormwind - Gallina Winery 52, 67 Along the canal, west edge of the trade district (behind the inn) speak to Roberto Pupellyverbos. Bottle of Moonshine Duskwood, Darkshire Buy From Barkeep�Hann the barteeder in the Inn Skin of Sweet Rum: Goldshire Buy from Barkeep Dobbins (43, 65) in the Inn.	Gallna Winery is where you get the Cask of merlot (8 s, 15 C). Its behind the visitors (Inn) ********************************************* Skin of Sweet Rum: Lion's Pride Inn (stable master is out side of building) Cost:6 S, 75 C Name: Barkeep Dobbins ********************************************* Bottle of Moonshine is at the inn. Cost: 12 S, 65 C Finished and got 44 S, 54C Cloak Armor 14 +2 sprint This quest i did solo! so it might be different with group or class Ashesesh	The Merlot is sold in the Gallina Winery in Stormwind. The Rum is sold by the barkeeper in the Inn in Goldshire. The Keg of Lager is given to you by a Dwarf in the Dagger Hills in Westfall after you have finished a quest for him. You must collect 5 Hops (dropped by Mechanical Harvesters and Golems in Westfall) and return to him. This quest is repeatable. The Moonshine is sold by the barkeeper at the Inn in Darkshire. You can reach Darkshire by going to the Three Corners, then taking the road south. A short/medium walk down the road and you will reach the Inn. Make sure you get the Flight Path while you're there.
/?quest=244	Encroaching Gnolls	16	11	Alliance	290 XP	Eastern Kingdoms	Report to Deputy Feldon.	N/A	Guard Parker	Deputy Feldon	Cords = 30,60	Deputy Feldon is located next to the Gryphon Master on the outskirts of Lakeshire in the Redridge Mountains. Location: 30, 60	290xp and 25 stormwind rep at 19 wonder why the site seems to divide all xp by 10 and list it that way	290 xp at level 15	N/A
