# Quest Data for Eastern Kingdoms - Searing Gorge
# Generated: 2025-08-18 16:45:36
# Total quests: 30
# Comment scrape timestamp: 2025-08-18 17:26:01

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=4449	Caught!	45	43	Both	3900 XP	Eastern Kingdoms	Kill 8 Dark Iron Geologists and bring 15 pieces of Silk Cloth to the person locked in the outhouse in Searing Gorge. Dark Iron Geologist slain (8) Silk Cloth (15)	I ain't got all day! Get me those pieces of silk cloth! I mean geologists. Get those geologists! They deserve to feel my, well... your wrath.	Wooden Outhouse	Wooden Outhouse	The droprate of silk off the nearby dwarves is horrible. I suggest that you bring silk prior to getting this quest. If you decide to clear the camp over and over, don't forget about the second camp to the north along the road. Clear one camp then run back to the other and repeat the cycle for minimum downtime.	Didn't have any silk so I just took the pass (start coord 69,53 in Searing Gorge) over to the Badlands and killed about 12 Shadowforge Tunnelers (coords 53,34 at Hammertoe Dig site. Fast drops on silk.	Go to 65,62 for finish quest.	i found some at loc: 69,35 in Dustfire Valley	I picked up this quest after releasing the guy who was in the outhouse. It let me get the quest , so I figure it will let me turn it in....I don't think so! I complete it and go back to the outhouse to turn it it and it won't let me : ( so, just in FYI, don't free the guy before you do this quest. Or it will be all for naught.
/?quest=7723	Curse These Fat Fingers	49	45	Both	4550 XP | Item: Slagplate Gauntlets	Eastern Kingdoms	Hansel Heavyhands wants you to kill 20 Heavy War Golems. The Heavy War Golems wander the areas surrounding the Cauldron in the Searing Gorge. When you've killed enough, return to Hansel in Searing Gorge. Heavy War Golem slain (20)	Did ye pound 'em?	Hansel Heavyhands	Hansel Heavyhands	they r all over searging gorge 35,46 37,44 34,48 ...	I picked the lower lvl's off @ around 43,34 & I solo'ed this with my lvl 45 Human Warrior.	These guys are in the cauldron and all over the place near Thorium Point. Pretty easy quest for good rep/exp.	did this as a lvl 48 rogue. really easy quest if you use some sort of attack that makes their armour go down. i used expose armour on them early in the fight and it went pretty easy from there	These guys are awesome, easy kills and easy XP. They are dotted all around the cauldron, especially near the towers where the Dark Iron Lookout's (http://classicdb.ch/?npc=8566) are and around the camps where the Dark Iron Taskmaster's (http://classicdb.ch/?npc=5846) are.
/?quest=3441	Divine Retribution	48	40	Both	440 XP	Eastern Kingdoms	Listen as Kalaran Windblade tells his story. Kalaran Story	Allow me to finish mo... <race>.	Kalaran Windblade	Kalaran Windblade	It is easy to listen to the story.&nbsp Below the ? is a Say Balloon. Click it to listen to his story. You click it several times. Then You get the Flawless Flame Quest	Leads to this [url=?quest=3442]quest[/url].	Don't be as stupid as me... I was waiting he starts the story by himself, but we need to talk to him to finish the quest.	YOU JUST HAVE TO TALK WITH THE SAME PERSON :)	I walked away from the guy&nbsp where is he?
/?quest=7724	Fiery Menace!	49	45	Both	4550 XP | Item: Seared Mail Girdle	Eastern Kingdoms	Hansel Heavyhands wants you to kill 20 Greater Lava Spiders in the Searing Gorge. You can find Greater Lava Spiders in the plateaus and lava pools of the Searing Gorge. Return to Hansel Heavyhands in the Searing Gorge when you have killed enough Greater Lava Spiders. Greater Lava Spider slain (20)	Was he right? Does it come out their rumps?	Hansel Heavyhands	Hansel Heavyhands	add three points on you map: a - 32,38 b - 30,77 c - 22,81 start questing from point 'a' and head to point 'c' through point 'b'. you should be done b4 you reach point 'c'	Some are outside of the [u]Blackchar Cave[/u] [b]30,60[/b] [b]30,40[/b] [b]25,65[/b] [b]25,66[/b] [b]25,67[/b] [b]25,67[/b]...so on [b]40,70[/b] [i](2-3 Greater Lava Spiders)[/i] Their levels 47-48	29, 62	south west of the crater	Lots of these guys running from the north side of the Cauldron right over to Blackrock Mountain. Very easy quest for good rep/exp.
/?quest=3443	Forging the Shaft	48	40	Both	4400 XP	Eastern Kingdoms	Bring 8 Thorium Plated Daggers to Kalaran Windblade. Thorium Plated Dagger (8)	Eight, <name>. I need eight!	Kalaran Windblade	Kalaran Windblade	Coords 39, 39 for those who forgot from where they picked it up.	Although the quest text says Slavers and Taskmasters drop the daggers, you can also get them from Lookouts and Slave Workers.	39,49 alot of drops in that area	I got them from Watchmen & Geologists at 62,62 too. There is a dwarf lying in the pit that starts the [url=https://classicdb.ch/quest=3367]Suntara Stones[/url] quest. It's also not far from the [url=https://classicdb.ch/quest=4451]The Key to Freedom[/url] quest.	Yes, these Daggers drop from all of the Dark Iron mobs in the area.
/?quest=7737	Gaining Acceptance	60 Dungeon	45	Both		Eastern Kingdoms	Additional requirements to obtain this quest: Your reputation with Thorium Brotherhood must be at least Friendly Your reputation with Thorium Brotherhood must be lower than Honored You've worked your way up through the Brotherhood's corporate hierarchy, <race>. We have begun to look favorably upon you. Quite an accomplishment!	N/A	Master Smith Burninate	Master Smith Burninate	your fingers will cry if you dont spam this macro. I learned it the hard way /script SelectGossipAvailableQuest(1) /script CompleteQuest() /script GetQuestReward()	must be friendly with thorium brotherhood inorder to complete quest 25 points of reputation for each turnin	neutral --> friendly = 3000 rep friendly --> honored = 6000 rep honored --> revered = 12000 rep revered --> exalted = 21000 rep [b]neutral --> friendly [/b] * turn in: 4x kingsblood, 2x incendosaur scale, 1x coal turn = 25 rep (27.5 for humans) each turn in = 1200x heavy leather, 240x incendosaur scale, 120x coal (-10% for humans) * turn in: 10x heavy leather, 2x incendosaur scale, 1x coal = 25 rep (27.5 for humans) each turn in = 480x kingsblood, 240x incendosaur scale, 120x coal (-10% for humans) * turn in: 4x Iron Bar, 2x incendosaur scale, 1x coal = 25 rep (27.5 for humans) each turn in = 480x Iron Bar, 240x incendosaur scale, 120x coal (-10% for humans) [b]friendly --> honored [/b] * turn in: 4x dark iron residue = 25 rep (27.5 for humans) each turn in = 960x Residue (-10% for humans) [b]honored --> revered [/b] * turn in: 10x dark iron ore = 50 rep (55 rep for humans) each turn in = 2400 ore (-10% for humans) * turn in 2x core leather = 150 rep (165 rep for humans) each turn in = 160 leather (-10% for humans) * turn in 1x fiery core or 1x lava core or 1x blood of the Mountain = 200 rep (220 for humans) each turn in = 60 cores/botm (-10% for humans) [b]revered --> exalted[/b] same as above except: 4200 ore (-10% for humans) 280 leather (-10% for humans) 105 cores/botm (-10% for humans) Have fun getting exalted :) Sunburst, lvl 60 Paladin [Emerald Dream] Edited, Thu Oct 6 19:33:56 2005	and here you got the rewards while im at it :) [B]Friendly:[/B] - Plans: Dark Iron Bracers [-Armorsmith-] - Pattern: Corehound Boots [-Tribal Leatherworking-] - Pattern: Flarecore Gloves [-Tailoring-] - Pattern: Molten Helm [-Elemental Leatherworking-] [B]Honored:[/B] - Plans: Fiery Chain Girdle [-Armorsmith-] - Plans: Dark Iron Helm [-Armorsmith-] - Plans: Dark Iron Reaver [-Swordsmith-] - Plans: Dark Iron Destroyer [-Axesmith-] - Pattern: Flarecore Mantle [-Tailoring-] - Pattern: Flarecore Robe [-Tailoring-] - Pattern: Black Dragonscale Boots [-Dragonscale Leatherworking-] - Pattern: Lava Belt [-Leatherworking-] - Formula: Enchant Weapon - Mighty Spirit [-Enchanting-] - Formula: Enchant Weapon - Strength [-Enchanting-] [B]Revered:[/B] - Plans: Fiery Chain Shoulders [-Armorsmith-] - Plans: Dark Iron Gauntlets [-Armorsmith-] - Plans: Dark Iron Leggings [-Armorsmith-] - Plans: Blackfury [-Weaponsmith-] - Plans: Black Amnesty [-Weaponsmith-] - Pattern: Chromatic Gauntlets [-Dragonscale Leatherworking-] - Pattern: Corehound Belt [-Tribal Leatherworking-] - Pattern: Molten Belt [-Elemental Leatherworking-] - Pattern: Flarecore Leggings [-Tailoring-] - Formula: Enchant Weapon - Mighty Intellect [-Enchanting-] [B]Exalted:[/B] - Plans: Ebon Hand [-Hammersmith-] - Plans: Blackguard [-Swordsmith-] - Plans: Nightfall [-Axesmith-] - Plans: Dark Iron Boots [-Armorsmith-] Edited, Thu Oct 6 19:31:56 2005	If I see Burninate's heiny wave in my face one more time, I'll explode. Rewards unchanged in patch 2.3.
/?quest=7727	Incendosaurs? Whateverosaur is More Like It	49	45	Both	4550 XP | Item: Luffa	Eastern Kingdoms	Hansel Heavyhands wants you to kill 20 Incendosaurs. You will find Incendosaurs occupying the lava pools inside the Slag Pit. The Slag Pit can be found in the Cauldron of the Searing Gorge. Return to Hansel Heavyhands in the Searing Gorge when you have killed enough Incendosaurs. Incendosaur slain (20)	<Hansel is busily rubbing his bunions.>Don't just stand there, grab some oil and a luffa and get to scrubbin' these bunions.Ye don't have a luffa? Well then! Perhaps it's time I sent you out to find a luffa?%Hey, where are ye goin'?	Hansel Heavyhands	Hansel Heavyhands	If you go in the second-from-the-right entrance to the Slag Pit, go past the 2 dwarves, and take a right, they're all in there.&nbsp There's one that's actually in the lava pit that's bugged, but if you go past the lava pool, there's a whole area in there that has nothing but incendosaurs in it.&nbsp The mobs and the quest work just fine. As far as I can tell, to go in the second-from-the right entrance, you have to jump down from the rim of the cauldron onto the metal railing between the rightmost and second-from-the-right entrances.&nbsp Or you can get to the rightmost entrance from inside the slag pit, then take the bridge to the second-from-the-right entrance.	On the map (https://classicdb.ch/?npc=9318), there are a bunch of caves in The Cauldron, in the center. The 2 caves farthest east are connected by a walkway. The easiest way to the Incendosaurs is to go in the lower of these 2 caves and take a right. There are plenty of mobs to kill, and they respawn fairly quickly. They drop Incendosaur Scales, which are useful for Thorium Brotherhood rep as well.	At approx 47,46 you should be able to jump over the ledge on to the top of the cave. When you get to the ledge near these coordinates make sure to check below. Look for the cave entrance as well as any patrols. When you jump down and enter the cave, there should be two slave workers. After defeating them, take a right and head deeper down in to the cave.	Front of the cave cor. (47.47)	You guys are showing all these complicated ways to go, when really, it's very simple. Get on the cliff above the second cave from the right according to the map. Once you're above it, you can just jump down, and go in... there's 2 miners there, 47-49, but very easy to kill. After that, turn right, and you've found them! =D
/?quest=7729	JOB OPPORTUNITY: Culling the Competition	48	45	Both	4400 XP	Eastern Kingdoms	Slay 15 Dark Iron Taskmasters and 15 Dark Iron Slavers. Return to Taskmaster Scrange in the Searing Gorge once you have accomplished this task. Dark Iron Taskmaster slain (15) Dark Iron Slaver slain (15)	We're gonna need to weigh you with and without clothes to be sure.	Wanted/Missing/Lost & Found	Taskmaster Scrange	They are near 43, 42&nbsp and surrounding areas in little camps.	There are lots of them in 41,28. Go to around 40,50 look for a hole in the ground with a broken lift... then jump onto the life and jump the rest of the way... be prepared for battle though when you drop. There are 100's of Taskmasters and Slavers down here. you can also go in via the cave entrance.	These guys populate camps just southeast from Thorium Point and you can also find some inside the Cauldron.	After the Burning Crusade release, the Thorium Brotherhood Reputation gained from these 7 quests was increased to 250 a piece.	There is an abundance of Task Masters in the Slag Pit.
/?quest=4450	Ledger from Tanaris	46	43	Both	5050 XP | Pick: [Charged Lightning Rod, Girdle of Reprisal]	Eastern Kingdoms	Take the copy of Goodsteel's Ledger and then find the items listed in it before seeking Krinkle Goodsteel in Tanaris. Goodsteel Ledger Solid Crystal Leg Shaft (20) Overdue Package Goodsteel's Balanced Flameberge	Yes, yes? What can I do for you, <race>? I'm awfully busy and have many patrons requesting my services. Perhaps you can speed things up. I don't mean to be rude, but I just don't have the time if I'm to catch up on all my work.	Wooden Outhouse	Krinkle Goodsteel	The Godsteel Ledger is outside the outhouse. The Leg Shafts are off of spiders in searing gorge The Overdue Package is 54,55 in Dustwallow Marsh. Godsteel's Balanced Flameberge is 91,66 in the Swamp of Sorrows. - SJ	Don't forget to pick up the ledger - you don't get it automatically. It appears in front of the outhouse. You can talk to him again if you miss it. The leg shafts drop from Glassweb Spiders in Searing Gorge. The Overdue Package is in Dustwallow Marsh, and the sword is by the eastern coast of Swamp of Sorrows, carried by a named murloc. Check the links in the quest description above for exact positions.	These items listed below are the items required for the quest Ledger from Tanaris. 1. Krinkle Goodsteel's Ledger &nbsp -Appears by outhouse after accepting this quest 2. Crystal Leg Shafts &nbsp -Dropped from Glassweb spiders in Searing Gorge (these spiders can be found directly North and West of where you accapt this quest) 3. Goodsteel's Balanced Flamberge &nbsp -Dropped from Jarquia(?) in Swamp of Sorrows&nbsp (spawns near the mmiddle of the beach on the&nbsp Eastern edge of SoS) 4. An Overdue Package &nbsp -By far the hardest item to find. Found in Dustwallow Marsh by a crashed Zeppelin (Beezil's Wreck). The easiest way to find this is to go to the mountains surrounding Dustwallow Bay (not the mountains surrounding the entire region), then to head south until it says that you've discovered Beezil's Wreck (if you've got your minimap open and zoomed all the way out, it'll look like a tiny black line on the ground when you get close enough). It's a tiny package on the ground, so just search around, it'll be there. I hope these directions help those who are having trouble completing this quest, and those who are too lazy to figure these things out on their own.	When you accept the quest the ledger appears on the ground by the outhouse. If its not there, just talk to him again and he'll drop it on the ground. I thought I never recieved it either, but you you have to actively pick it up.	The ledger reads: Goodsteel Ledger _________________________________________ page 1 Greetings and Salutations. Adventurers! I, Krinkle Goodsteel, have need of Those willing to put themselves at risk in order to complete some of my most arduous tasks. Because of my many duties and the workload I've managed to take upon myself, I ensure that anyone brave enough to complete this list of items and return them to me intact will be paid handsomely. The list is contained on the following pages... ___________________________________________ page 2 Solid Crystal Leg Shafts - The Glassweb spiders of Searing Gorge are made of an incredible crystal-like material. Their legs, if not damaged when they're killed, make for a wonderful conductor in some of my companions' engineering experiments. I will need a number of them to test upon. The spiders having eight possible legs themselves should be no problem for a stalwart warrior or practiced mage. __________________________________________ page 3 An Overdue Package - I hired someone who I thought was a reliable pilot to bring me a package from Theramore. I was apparently wrong. And even though the pilot lived to tell the tale, he left his entire zepplin and all it's cargo behind to save his own neck. Well, I need that package back. From what Beezil tells me, he crashed just west of the bay in Dustwallow Marsh. It went down just after he crossed the hills along the water's edge. Hmmm... never did tell me what caused him to crash... ________________________________________ page 4 Goodsteel's Balanced Flameberge - Finally, I want one of my finest works of blacksmithing to date. This flameberge was an incredible sword that I bestowed upon what I thought was a very honorable and great warrior. Well, he was tronced by a murloc named Jarquai? Something like that. It was while he was traveling along the coast of the Swamp of Sorrows when he thought to attack the creature. He failed and aperantly fled, but not before leaving the weapon behind for this murloc to take. _______________________________________ page 5 Find me these items and return to gadgetzan with them all, along with this ledger, and I will reward you. _____________________________________________ Additional note: To aquire the ledger be sure to look at the ground next to the outhouse as it is slid under the door and you need to click on it to pick it up, he does not actually hand it to you. Edited, Wed Jan 19 13:40:43 2005
/?quest=3377	Prayer to Elune	50	40	Both	470 XP	Eastern Kingdoms	Hear Zamael tell his tale. Zamael Story	Allow me to finish my story.	Zamael Lunthistle	Zamael Lunthistle	i just soloed this on my 52 lock, ran in with mount and accepted the quest clicked on 'continue story' or whatever button really fast, sacrificed void then click on him gain to finish it. btw dont stand in the lava lol	As of patch 2.3, these mobs are no longer elites and some seem to be bugged to your benefit. This is now easily solo'd and gave me no problem as a level 46 shaman.	N/A	N/A	N/A
