# Quest Data for Eastern Kingdoms - Stormwind City
# Generated: 2025-08-18 16:42:44
# Total quests: 77
# Comment scrape timestamp: 2025-08-18 17:27:38

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5066	A Call to Arms: The Plaguelands!	50	50	Alliance	470 XP	Eastern Kingdoms	Seek out Commander Ashlam Valorfist. His base camp is located at Chillwind Camp, north of the Alterac Mountains.	N/A	Crier Goodman	Commander Ashlam Valorfist	my bad by the entrance jus follow the road into the plaguelands there is a camp there	its by the plagueland entrance	Any1 knows the co ord for the guy in camp when u get the first quest in StormWind please can someone help me?	I believe there is an error in the dialogue above. Correct me if I'm wrong, but why would Valorfist say, 'I am glad to hear that the call of duty and service to the Horde did not fall on deaf ears with you!'? Service to the Horde? This is an Alliance quest.	Found him at 42,84 in Western Plaguelands
/?quest=7794	A Donation of Mageweave	60	40	Alliance	3300 XP	Eastern Kingdoms	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by the Stormwind, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Clavicus Knavingham	Clavicus Knavingham	Go to duncan's texttiles at 44,72 go up stairs and the guy is up there to get the quest.	He is located in the mage quarters in the Tailoring shop. Just head up the stairs and you will find him.	Talk to Clavicus Knavingham upstairs in Duncan's Textiles in the Mage Quarter (45, 74). He has 3 quests: A Donation of Wool (650 Exp.) A Donation of Silk (1650 Exp.) A Donation of Mageweave (3300 Exp.)	This quest also gives 350 rep with the city you do this in.	Can be done with all the alliance factions (races). The Gnomeregan turn in can be found in Ironforge. XP will vary according to level. They are all found close to tailoring trainers.
/?quest=7795	A Donation of Runecloth	60	50	Alliance	6600 XP	Eastern Kingdoms	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Clavicus Knavingham	Clavicus Knavingham	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	Isnt this quest for level 50?	As people have sawowhead:1,id: You have to complete the three other donations, (Wool - Silk - Mageweave) Before you can donate Runecloth. If you have done so, this donation will be aviable at lvl 50. The runecloth donation is repeatable, means that you can continue to donate runecloth. I don't know if you still can donate it, after you are exalted. However, who wanna donate if you are exalted?! The people you have to talk to, to donate this stuff is allways found in a tailor shop. If you ask a guard for direction, they might lead you to one, which have a 'donate guy'	He is located in the mage quarters in the Tailoring shop. Just head up the stairs and you will find him.	how much rep does ea one give?
/?quest=7793	A Donation of Silk	60	26	Alliance	1650 XP	Eastern Kingdoms	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Clavicus Knavingham	Clavicus Knavingham	Talk to Clavicus Knavingham upstairs in Duncan's Textiles in the Mage Quarter (45, 74). He has 3 quests: A Donation of Wool (650 Exp.) A Donation of Silk (1650 Exp.) A Donation of Mageweave (3300 Exp.)	He is located in the mage quarters in the Tailoring shop. Just head up the stairs and you will find him. As to being a waste of silk. Yes and No. My 37 Priest is up to 250+ in tailoring and I am about 3/5 the way to Revered for faction. I have done about every quest I can think of to raise SW faction so I can get the 10 gp discount for my steed so this helps out. Granted this is my third toon (58 warrior, 43 warlock too) so they help by sending all the cloth to my priest. If I really figured out how much I lost by giving him silk, etc I would realize that I lost over 10gp of items, hehe. I just want to get my faction up though.	You need to be level 26 to obtain this.	At lvl 36, my NE priest got 1950 exp for this quest in Stormwind ( Clavicus Knavingham ). The reputation bar did move, but not sure by how much.	2400 xp since 2.3
/?quest=7791	A Donation of Wool	60	12	Alliance	650 XP	Eastern Kingdoms	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by Stormwind for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Clavicus Knavingham	Clavicus Knavingham	Location is 44,73 He is in the Mage Quarter in the Shop called Duncan's Textiles. You go inside and up the stairs.	Talk to Clavicus Knavingham upstairs in Duncan's Textiles in the Mage Quarter (45, 74). He has 3 quests: A Donation of Wool (650 Exp.) A Donation of Silk (1650 Exp.) A Donation of Mageweave (3300 Exp.)	Received 350 reputation from Stormwind after completing.	950 xp since 2.3	This gives 650xp on all levels. Earliest possible turnin is level 14. Reputation will go down at higher levels.
/?quest=212	A Meal Served Cold	40	35	Alliance	4700 XP	Eastern Kingdoms	Kill a Cold Eye Basilisk, get a Chilled Basilisk Haunch, and return it to Angus Stern in the Blue Recluse. Chilled Basilisk Haunch	<name>! Do you have that haunch? I must begin preparing it soon, or the banquet will be ruined!	Angus Stern	Angus Stern	even if you get the meat but fail the quest just abandon the quest and he should give u the quest again but u already have the meat so just turn it in. therefor no timelimit	I don't know if it was a recent patch, but it seems the concept of abandoning the quest and handing in the quest item is no longer valid. I started the quest, ignoring the time, got the meat and returned to Stormwind. After I abandoned the quest, I found the quest item in my inventory missing. I thought I threw it away on accident, so I did the quest again only to find it missing for the second time. So, I'm assuming it has to be done the proper way now. /sad	When you accept the quest, you get a 30 minute timer. It takes about four minutes to fly the Stormwind to Booty Bay route, and the Cold-Eye Basilisks are along the road and on the west shore in the middle of Stranglethorn.	Treat this quest like any other that doesn't have a timer. Fail it, but keep it in your log.&nbsp Then kill the mob when you see it while on another quest. [b]The quest item will drop even after you've failed the quest, so ignore the timer.[/b] Once you have the quest item, abandon the quest. Next time you are in Stormwind, talk to the Quest Giver (Mage Quarter, Blue Recluse) and get the quest. Instantly turn it in. I killed the mob about 1 week after getting the quest, and I turned in the quest about 2 days after that. Mobs: North of the Arena. (around [b]37,40 - 34,40[/b]) Quest item will drop on first kill [i]regardless if the quest has failed or not.[/i]	A 30 minute timer starts as soon as you accept the quest. It takes about 4 minutes to fly the Stormwind-Booty Bay route. The cold eye basilisks are along the road and on the west shore in mid-Stranglethorn, not in the northwest as the quest suggests. See https://classicdb.ch/index.cgi?m=137884
/?quest=335	A Noble Brew	30	25	Alliance	2450 XP	Eastern Kingdoms	Zardeth the Black Claw wants you to bring him a Tear of Tilloa from Darkshire and a Musquash Root from the Wetlands. Tear of Tilloa Musquash Root	Wishock will soon garner enough support to cause us much grief. Were you able to obtain the Tear of Tilloa or Musquash Root yet?	Zardeth of the Black Claw	Zardeth of the Black Claw	Ok... did this in less than 20 minutes, lvl 27. This quest is easy if you are a Warlock, if you're not, don't do this quest ) It'd be nonsense. The coords are: 78,35 in Duskwood and 64,75 in Wetlands In Duskwood just get to the little fenced garden, use your pet to occupy the two zombies while you get the flower and use sacrifice to get away. Wetlands practically works the same only the mobs are not as dangerous. Don't forget to make stormwind your 'home' first, so you have an easy way back from the wetlands. If you're a lvl 26/27 Warlock and you can't do this you should think about changing class. Elvador, lvl 27 warlock	Coords for Tear of Tiloa is 78, 36.	The Tear of Tilloa is at Manor Mistmantle, north of Duskshire. It's a small bundle of flowers in the fenced-in area next to Stalvan's house it might be a bit hard to spot. The Musquash Root is by the lake with a small island in the middle, straight east of Dun Algaz on the map. There's a small cave with Dark Iron Insurgents in it the root is to the left of this cave between two waterfalls. It looks like a spiky thing poking out of the ground.	Coords for Musquash Root is 65, 75 in the Wetlands.	Tear of Tilloa can be found in Duskwood just north of Darkshire at Manor Mistmantle. It is in the center of the garden next to the house. This area is crawling with [url=/npc=1270]Fetid Corpse[/url] and [url=/npc=315]Stalvan Mistmantle[/url] is in the house. After a few deaths, I resurected near the garden, summoned a voidwalker and had him distract a mob while I looted the flower and ran out of there.
/?quest=336	A Noble Brew	30	25	Alliance	2450 XP	Eastern Kingdoms	Take the Black Claw Stout to Lord Wishock in the Hall of Petitioners. Black Claw Stout Provided Item: Black Claw Stout	Can you not see that I am busy? My words must be heard! I am very important to the future of this Kingdom!Oh... what have you there? Why it looks like a refreshing drink...	Zardeth of the Black Claw	Lord Baurles K. Wishock	The Hall of Petitioners is in the Stormwind keep first hallway to the right.	The Cloth helm is given to Warlocks only.	Make sure you go back to Zardeth of the Black Claw to actually finish up the quest [You Have Served Us Well]. It won't tell you to do this but you get a decent Cloth helm for doing so.	[Dread Mage Hat] stats: 35 Armor +7 Intellect +7 Spirit 45/45 Durability Classes: Warlock Picture: http://wow.allakhazam.com/images/fashion/dread_mage_hat.jpg	What you get for Warlock only, is Dread Mage Hat. &nbsp A 35 Armor +7 Int, +7 Spi hat that looks like a black witch hat. &nbsp Not bad, but I prefer my Aurora Cowl. Level 34 - 45 Armor +10 Stam, +10 Int
/?quest=7796	Additional Runecloth	60	50	Alliance		Eastern Kingdoms	Whenever you are ready to hand in the stack of runecloth, I'll accept it. Runecloth (20)	N/A	Clavicus Knavingham	Clavicus Knavingham	Gain +75 Stormwind reputation for every 20 runecloth you turn in to [url=https://classicdb.ch/?m=654310]Clavicus Knavingham[/url], the Alliance Cloth Quartermaster, on the 2nd floor of 'Duncan's Textiles' in Stormwind's Mage Quarter	After you finish the [url=http://classicdb.ch/?quest=7795]A Donation of Runecloth[/url] quest, you can continue donating stacks of Runecloth (20 each time) for 75 reputation with Stormwind. This is usually done for non-human classes to be able to use a Horse mount. The NPC is located (in Stormwind ofc) at 44.3 , 74.0 up the stairs. If you don't use coords, then ask a guard to point you to the Tailoring Trainer. Enjoy!	Post patch 2.0 the rep you gain is 75 (I assume 80 for a human? Not sure I don't play humans.)	Humans get +10% so about 82.5?	@Lvl60 Donation of Wool (+150 Faction, +165 for Humans) Donation of Silk (+150 Faction, +165 for Humans) Donation of Mageweave (+150 Faction, +165 for Humans) Donation of Runecloth (+150 Faction, +165 for Humans) Additional Runecloth (+50 Faction, +55 for Humans)
/?quest=396	An Audience with the King	31	16	Alliance	3750 XP | Item: Seal of Wrynn (1.9)	Eastern Kingdoms	Deliver Baros Alexston's report on the Defias Brotherhood to King Varian Wrynn in Stormwind Keep. Report on the Defias Brotherhood Provided Item: Report on the Defias Brotherhood	<name>, yes? I was informed by Baros Alexston that you would be coming. I must say, I am most interested in what you have to say.	Baros Alexston	Lady Katrana Prestor	The ring well outways all the running around you have to do for this story arc, well worth it, plus all the xp from the Deadmines and the Stockades. But if your doing the stockades, make sure you have all the quest that go with it: Bazill Thredd (Stormwind) Crime and Punishment (Duskwood) Quell the Uprising (Stormwind) The Color of Blood (Stormwind) The fury Runs Deep (Wetlands) The Stockade Riots (At the Stockades itself) What Comes Around (Redridge)	This chain is definitely one of the best quest chains in the entire game. The ring is good too.	I disagree with the previous poster.&nbsp I completed this quest series at level 24.&nbsp I had help along the way, but that's how you maximize your quest rewards.&nbsp Not only did I get a ring that is somewhat helpful to me as a caster (gnome/mage), but I got 3750 XP, which bumped me to level 25.&nbsp All in all, I thought it was a very long, but rewarding quest chain. I do wish that Anonymous would get the quests from 'The Attack!' to 'An Audience with the King' appended to the nine-step Defias/Van Cleef quest chain.&nbsp They are all part of the same series.	To the person who talked to the GM: [b] The king has not moved location. [/b] He is the Missing Diplomat, trapped on Altraz Island. His son is now king. Since the son is now king, Lady Katrana speaks for him.	Very nice twink ring. Keep in mind that if you're going to use it for your twink, you should start 'The unsent letter' quest from Van Cleef immediately at lvl 16. The whole quest chain gives you 12515XP, mobs excluded. For your other ring you should choose the Warsong Gulch PvP reward ring.
