# Quest Data for Eastern Kingdoms - Swamp of Sorrows
# Generated: 2025-08-18 16:45:43
# Total quests: 23
# Comment scrape timestamp: 2025-08-18 17:29:20

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1428	Continued Threat	45	35	Horde	3900 XP	Eastern Kingdoms	Kill 10 Marsh Inkspewers, 10 Marsh Flesheaters, and 10 Marsh Oracles, then return to Katar in the Swamp of Sorrows. Marsh Inkspewer slain (10) Marsh Flesheater slain (10) Marsh Oracle slain (10)	Not until the sea and all her children are silenced will I be pleased... especially those disgusting fish men.	Katar	Katar	An excuse to kill murlocs is reward enough for me.	There are plentiful supplies of Inksprayers, Flesheaters and Marsh Oracles in Stagalbog Cave, at 67,76	The cave in Stalebog contains all three types of the murlocs you need to kill, and personally was much nicer then trying to pull single oracles out of large packs off the beach or underwater. The only issue I had was trying not to run into Swamp Talker, who I think has two different spawn points from within the cave. Running into a level 50 surrounded by level 44 mobs at 43 wouldn't have gone well I'm sure.	No reward, even though the quest hints to one. :( Note: Quest isn't repeatable.	You can find Oracles further up the coast, to the north.
/?quest=1425	Deliver the Shipment	42	30	Alliance	2550 XP	Eastern Kingdoms	Bring the Shipment to Nethergarde to Quartermaster Lungertz in Nethergarde Keep. Shipment to Nethergarde Provided Item: Shipment to Nethergarde	You have business with me?	Watcher Biggs	Quartermaster Lungertz	Going south out of Swamp of Sorrows, once you get into Blasted Lands head left and go in the mine.&nbsp Then follow the tunnel to the right and you come out right on the gates of the Keep.&nbsp That way you avoid aggroing stuff on the road.	The reward is to feel good about yourself because you saved this guy 2 minutes of walking to nethergarde keep.	How odd. 'I have packed the most vital supplies saved from the ogre attacks' When the whole line says he was attacked by Lost Ones.	From what I've seen, if you are too low a level for a given area you will aggro like mad.....	This chain starts with 'help watcher biggs' This is the last step. As a lvl42 I received 3450 at the end of step 4 and 2550 at this step. In addition to that, consider the 3 or 4K you get killing the mobs along the way. My biggest problem was to avoid the horde NPCs so as to not get PvP flagged. There are almost always high lvl horde hanging around just waiting to gank you.
/?quest=1389	Draenethyst Crystals	35	30	Both	2750 XP	Eastern Kingdoms	Bring 6 Draenethyst crystals to Magtoor at The Harborage in the Swamp of Sorrows. Draenethyst Crystal (6)	Do you have the crystals?	Magtoor	Magtoor	I found the crystals on the northern road around 55,27 and they don't drop from something, you pick them up.&nbsp Beginning/end of this quest is at 25,31 ish	This quest can be deceptively difficult. You only have to harvest crystals from the big crystal formations found throughout the Draeni village called The Fallow Sanctuary. It's the area in the north-northeast of the zone. I found that the Draeni character models blend VERY well with the surrounding swamp, so what looks like an easy one-on-one kill can become two-on-one or even three-on-one. It doesn't help that the mobs are level 37-38. If you have the patience and want to play it extremely safe, you will usually find one or two crystal formations with only one nearby mob. Just loot those and wait on a respawn. Due to the fact that the Draeni blend in, and they tend to run when their health is low, you can end up with some very nasty fights, so it's not a bad idea to bring one or two friends for backup. You can accomplish much more than this quest in this area, though. If you are allied with the Gelkis centaur in Desolace, one of their later quests sends you to retrieve a gem from Ongeku, who is found in the northwestern part of the village. Near him you can find a caged human that starts an escort quest. Finally there is a rare spawn chieftan that tends to spawn near Ongeku.	These crystals look like giant Lesser Moonstones (turqoise crystals, can't miss 'em) jutting out of the ground near the Forsaken encampment.&nbsp They spawn pretty quickly, so just get the easy ones at the western edge of the encampment if you're solo. For another quest in this immediate area, go to the eastern edge of the encampment and pick up the escort quest from the NPC in the cage (a group is recommended for this one).&nbsp He is right next to the broken wagon where you get the supplies that the other NPC (in SW part of map) wanted (after you do the kill spiders, crocs, etc quest). You may also find a supply box on the water's edge.&nbsp This starts an (Alliance only?) delivery quest that is really easy (you have to go to Nethergarde anyway).&nbsp Be sure and get the gryph point, to the right and up the wooden tower from the turn-in NPC in Nethergarde.	If you need Where? ... the coors are near 53,29 Good luck	Galen's Escape 1700xp for completion. Reward: 85s in cash Reward: Visionary Buckler (sells for 62s) After helping Galen to escape the immediate area, he directs you to his camp just north of Stonard (The Shifting Mire - 47,39). Find his lockbox next to his tent and from there you can finish it. Good Luck and Enjoy (while you're there)!
/?quest=1116	Dream Dust in the Swamp	36	30	Both	3500 XP	Eastern Kingdoms	Bring 10 Specks of Dream Dust to Krazek in Booty Bay. Dream Dust is gathered from the dragon whelps of the Swamp of Sorrows. Speck of Dream Dust (10)	Back so soon? Do you have my dream dust?	Krazek	Krazek	To reach the swamp as alliance (horde has a flight path in) get to Darkshire, then take the road out of town to the east. Keep looking to go east and you wil reach the swamp. Once in the swamp, take the road down the hill. When the road turns east, immediately exit it on the south side. You will find an area with a small pool, around which are a number of flying dragon whelps. These were level 34-36, and dropped the dust with reasonable frequency.	Go to bootybay, run to Grom'gol or take the windrider.. follow the path up north.. then you come in Duskwood.. follow to road to the east and you will end up in Deadwind Pass.. keep heading east, watch out for the birds they're nasty.. ) and you'll see where Swamp of Shadows is then. the first co-ords are the right one to go to. (1st post)	For those with Cosmos. I believe around the coordinates 16,57	These also drop off of the Green Scalebanes and the Scalebane Captins near the Pool of Tears. They are level 42-44.	14, 65 Swamp of Sorrows (Specks of Dream Dust drops from Dreaming Whelps)
/?quest=1398	Driftwood	42	30	Alliance	3450 XP	Eastern Kingdoms	Bring 8 pieces of Sundried Driftwood to Watcher Biggs in the Swamp of Sorrows. Sundried Driftwood (8)	Did you find any driftwood, <name>?	Watcher Biggs	Watcher Biggs	Here's a map to find the wood (https://classicdb.ch/?object=24798) Reward: 250 reputation with Stormwind 3450 experience. - - - The next part is, 'Deliver the Shipment' (https://classicdb.ch/?quest=1425)	The Driftwood can be found all along the eastern shores. They dont drop from mobs, but are lying all around the shore to pick up.	The north part of the shore is easy there are no murlocs on yellow crabs I did this quest at level 36.	Some of the 'sundried' driftwood is actually underwater slightly, so if you don't find much onshore, look just offshore.	did this quest a little late hehe, lvl 49 and i got: XP: 2050 REP: Stormwind 250 ~Frimli **the wood is basically along the whole cost just theres a lot more it seems near the middle of the coase line**
/?quest=1396	Encroaching Wildlife	37	30	Alliance	2850 XP	Eastern Kingdoms	Kill 8 Young Sawtooth Crocolisks, 10 Sorrow Spinners and 10 Swamp Jaguars then return to Watcher Biggs in the Swamp of Sorrows. Young Sawtooth Crocolisk slain (8) Sorrow Spinner slain (10) Swamp Jaguar slain (10)	The swamp creatures press close, <name>. Please, you must defend the camp!	Watcher Biggs	Watcher Biggs	Super easy, all the mobs are right around him.&nbsp Crocilisks are in the rivers just to the north of him.	Be weary of the Orc scouts who patrol the road next to Biggs. It's easy to ignore them while you're grinding mobs with your back towards the road. And where there's one, there's sure to be another somewhere close.	This whole quest chain will get ya like 350 rep with SW at lvl 41.	Incredibly easy, as these 3 mob types spawn in large number in the immediate area of the quest NPC.	/tloc 26,59
/?quest=1430	Fresh Meat	44	35	Horde	3750 XP | Item: Grilled King Crawler Legs 10 | Item: Leather Chef's Belt	Eastern Kingdoms	Bring 10 Monstrous Crawler Legs to Dar in the Swamp of Sorrows. Monstrous Crawler Leg (10)	I have a cask of wine waiting for your success, <name>. It's only right I taste the goods before I have it shipped back to my customers.	Dar	Dar	The drop rate isn't the best for these guys, but make sure you're only killing Monstrous Crawlers and NOT Silt Crawlers. I had trouble finding Monstrous Crawlers along the beach, but found plenty of them under water on the ocean floor. 95,71 is a good area. Just swim up and kill along the way.	Okay, so I spent 45 minutes up at 90,12 and waited and waited for respawning.&nbsp Then on my way south, I discover the monstrous ones are all over the coast around 92, 35. Get some breathing water from the AH if you do 90,12 all underwater, killed 20 for 10 legs. Highly recommend 92,35 instead, most on the beach. 42 Undead Rogue-completed quest in 45 minutes.&nbsp Why abandon this quest?&nbsp	Here are my findings on this quest at [i]level 42[/i]: [b]Killing location:[/b] Misty Reed Strand 90,23 - 94,45 on land 100,23 - 100,45 in water [b]Target:[/b] Monstrous Crawler (lvl 43-44) (approximately 7~9 in the given location) [b]Drop rate:[/b] 42% (22 kills for 10 legs) [b]Rewards:[/b] ~281 XP per kill, 3750 XP Quest Reward, 250 Orgrimmar Reputation and the material quest rewards - at 45,57. [b]Comments:[/b] Simply walk up and down on the beach between the given location and / or swim between the given location until you have all the needed legs - fairly easy. ~ DeathWise	Not too tough quest for the XP (3k+), the Monster Crawlers are lvl43-44. Drop rate seems to be about 20-25%. Forget about the crabs on shore, unless you're prepared to kill Murlocks (they're 43-45, and annoying as always). There are far more crabs in the water. Go through the southern area of the Swamp, kill the spiders in the way, collect some Spider Silk. Get in the water, swim out to the drop off, and make your way north. All you have watch out for is the occasional croc, and a lvl47 Elite Coral Shark. The northernmost area, almost right by Red Mountains, has an underwater plateau, and there are a ton of crabs there. If you have the apothecary quest from Darkwoods, you can also find the Shadow Panthers (lvl43) all the way up and down along the shore. There's no other mob in the way, but the drop rate on the Panther Hearts is low. So when you're done with crabs, that's your route back. As usual, Undead will find this quest easy, as we can spend unlimited amounts of time underwater... something about being already dead? Edited, Sun May 15 20:52:15 2005	Found lots of them at 92,40 on the shore
/?quest=1393	Galen's Escape	38	30	Both	2850 XP | Item: Visionary Buckler	Eastern Kingdoms	Escort Galen out of danger, then find his camp in the Swamp of Sorrows and open his strongbox. Escort Galen out of the Fallow Sanctuary.	N/A	Galen Goodward	Galen's Strongbox	If you want the cords they are 47, 39... that is where the chest is.	The quest begins at 65,18 where you release Galen from a cage. You will escort him south, so clear the mobs directy south of the cage before starting the quest. After walking south to the waters edge he will tell you find his strongbox located at his camp at 47,39 -then Galen disappears. The camp is marked by a tent and a smoking fire pit guarded by a few jaguars and crocs. Open the the strongbox to complete the quest. [url=http://i76.photobucket.com/albums/j38/macdaddykane1969/chest.jpg]http://i76.photobucket.com/albums/j38/macdaddykane1969/chest.jpg[/url]	Before talking with Galen and starting the quest, I suggest you to clear all mobs around because this idiot NPC directly runs into them and pulls all :P Have fun!	Did this as a level 38 hunter.&nbsp It was a bit hairy clearing out the first camp with all the casters in the area, and they hurt.&nbsp Definitely clear out first though... he has almost no armor.&nbsp Couple of notes- 1)&nbsp He doesn't walk all the way to his camp.&nbsp He fades out after getting through most of the area. 2) To finish the quest you just have to go open his lockbox at his camp. 3) His camp is infested with level 37-39 things... so be prepared to spend a bit cleaning out the camp. 4) If you fail the quest... ABANDON it to get him to respawn.&nbsp He'll spawn again within a minute if you abandon the quest.	Fun fact is that 'Galen' Means Mad in Swedish wich may explain his somewhat strange behavior
/?quest=3512	In Eranikus' Own Words	55	48	Both	4200 XP	Eastern Kingdoms	Travel to the eastern part of Winterspring and speak with Umbranse the Spiritspeaker.	N/A	Itharius	Umbranse the Spiritspeaker	Okay, If you can move this post to the top so eveyone can see it you better. I have been told by blue, that you do give up the trinket for the exp.&nbsp The quest ends there.&nbsp There is no more to it.&nbsp The text reads as thou it goes further on but it does not and there is no more supportive content to the quest. I'll honestly say, the GM I spoke with seems as upset as I was about it, and made it very clear that the quest ended there. If you like the trinket, keep it.&nbsp I wish I had, but if you want the exp fine, it's a poor trade if you ask me.&nbsp There outa be a nice weapon, gold or something for all that you go thru to get the trinket.	This quest chain seems to be an incomplete one. After you turn in the Chained Essence of Eranikus to Itharius and go to visit Umbranse, the chain dead ends with its completion. He will not point you to another questgiver or give you any task to complete. Though it would seem that what he says would, logically, lead to another part, it does not, which is a disappointment. Messages to the GMs and on the forums have yielded nothing except messages that the quest is 'working as intended'.	...but this quest is still broken at this step, as of 4/16/07 Just sayin' ^^	I spoke with a GM today (04-01-2007) and he confirmed that this quest is indeed broken and will be fixed sometime in the furture.	Umbranse the Spiritspeaker is at 68,27 He gave me 2 gold, 52 silver and nothing else.&nbsp Like everyone else, I wish I had kept the trinket
/?quest=698	Lack of Surplus	40	35	Horde	3150 XP	Eastern Kingdoms	Bring 8 Unprepared Sawtooth Flanks to Tok'Kar in Swamp of Sorrows. Unprepared Sawtooth Flank (8)	Lok'tar, <class>. Traveling through the swamps isn't a risk taken lightly. You're brave to test your mettle here.	Dar	Tok'Kar	Tok'Kar is at 81,81.	The crocs you need are right outside of town. Look for the ones labelled Sawtooth Crocolisk. The Young ones will not work, neither will Sawtooth Snappers. The drop rate runs hot and cold every time I've done this quest, so hang in there. It's worth noting that you turn this quest in not in Stonard but at the orc camp to the east, near the coast. You'll have to run through level 40 spiders, and they'll chase you a long way, so be careful. This area also has stealthed Shadow Panthers, so don't stop for too long if you are level 38 or lower.	TAKE THAT MAP DOWN ! ITS WRONG WRONG WRONG	I just ran straight east, like it says, and killed lvl 38/39 crocs, and got the 8 items within minutes.&nbsp Like the last post says, take that map down... just run 15-20 seconds straight east from Stonard and voila, crocs to kill & drops to pick up.	They are on the North East side of Stonard.&nbsp I started seeing tons of them around 54.50. They are level 38 and 39, too easy for me at level 41. GL
