# Quest Data for Eastern Kingdoms - The Hinterlands
# Generated: 2025-08-18 16:45:28
# Total quests: 45
# Comment scrape timestamp: 2025-08-18 17:29:52

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=77	A Sticky Situation	48	42	Both	4400 XP	Eastern Kingdoms	Recover 10 bottles of Hinterlands Honey Ripple from the crates located around the abandoned Horde base in Skulk Rock. Hinterlands Honey Ripple (10)	I trust that your arrival here at our camp is to deliver the bottles of ripple that are integral to the task at hand, yes?	Gilveradin Sunchaser	Gilveradin Sunchaser	Note: The crates are in the cave, don't waste time looking on/above Skulk rock.	57,38 just outside cave Inside cave: 57,41 59,41 59,42 56,46	[b]Locations of the Horde Supply Crates[/b] At the troll ruins (with the green oozes): [ul] [li]loc 45,41 [/li] [li]loc 47,40[/li] [/ul] Near ruins/lake under a tree: [ul] [li]loc 47,38[/li] [/ul] Outside the cave entrance: [ul] [li]loc 57,38[/li] [/ul] Inside the cave: [ul] [li]loc 57,43 (top of ramp to right of entrance) [/li] [li]loc 57,41 (center pit) [/li] [li]loc 59,41 (east room) [/li] [li]loc 59,42 (east room up ramp) [/li] [li]loc 56,43 (west room)[/li] [/ul]	Just wanted to clarify that the crates spawn INSIDE the cave only.&nbsp The quest giver and some others were sounding like they spawned outside but I wasted a lot of time to find out otherwise.	Relatively straight forward quest. Boxes are in Skull Rock, and may require some wait in the event you don't get the required number. They respawn at a decent rate. Was able to get 10 after one trip through. If you are an Herbalist, make sure you skill level is high enough to get the 3 or 4 Ghost Mushroom spawns inside.
/?quest=7842	Another Message to the Wildhammer	48 PvP	44	Horde	5450 XP	Eastern Kingdoms	Otho Moji'ko at Revantusk Village in the Hinterlands wants you to bring him 10 Long Elegant Feathers from the gryphons that inhabit the Hinterlands. Return to him once this task is complete. Gryphons are known to inhabit every region of the Hinterlands. Long Elegant Feather (10)	The last message gonna scare them off for sure. Either that or make them very, very angry.	Otho Moji'ko	Otho Moji'ko	Make this quest easier on yourself. Go to Feralas and kill the Frayfeather Hypogryphs. They DO count towards the quest and definitely drop the long elegant feathers more often than the Hinterlands Gryphons. There are plenty of them just below the yeti cave around 55,60. Happy hunting!	These feathers are used in some crafting recipes. If you have trouble finding them off mobs, check the AH.	You know what they say about Wildhammer. [quote]They say the Wildhammer and gryphon are as close to each other as troll and mate.[/quote]	Did this in about thirty minutes, killing the trained razorbeaks quite near Aerie Peak. They have a good drop %, are low level so easy as hell to kill, & while waiting for them to respawn which doesn't take long at all you can easily pop down the path to Hillsbrad & kill Granistad, Kudros and the couple of wild gryphons flying about near them for extra feathery goodness.	Just in case nobody already saw.. yes they do drop from the Hippogryphs [b]16,54[/b] and as well they are all over the Hinterlands. But, the Witherbark Trolls at [b]31, 58[/b] also drop them. I've gotten two already from killing 5 of the Witherbark's. Uhm, that and the Hippogryph's are good. The drop rate isn't that good, but they do drop, so don't get frustrated!
/?quest=7830	Avenging the Fallen	48	44	Horde	4400 XP	Eastern Kingdoms	Huntsman Markhor at Revantusk Village in the Hinterlands wants you to kill a Razorbeak Skylord and retrieve its Skylord Plume. Return to him once the task is complete. Markhor mentioned that the Razorbeak Skylord are a rare breed that tend to occupy the wilds of the Hinterlands. Skylord Plume	The Razorbeak Skylord is a much rarer breed of gryphon: One responsible for mating and creating murderous offspring.	Huntsman Markhor	Huntsman Markhor	63, 41 in Hinterlands, on 2 occasions. Wanders in a very small area, and sometimes can't be seen til you are on top of him. Thendar / Skullcrusher	55,50.&nbsp For those of you without any coordinates addon, that's due south of Skulk rock, south of the road, north of the creeping ruin.	&nbsp &nbsp ()> &nbsp /=== &nbsp &nbsp &nbsp L That's what he looks like. 54,48.&nbsp usually see him on the south side of the road	Just so people are clear and not mistaken by some misinformation being put by some here, the plume drops off a gryphon like those used in Alliance flight paths, and are easy to find if you wonder about a bit. It is [b]not a named mob[/b], 'Razorbeak Skylord' is the name of the gryphon type.	Saw some at 53,50 as well. Edited, Sun Aug 14 00:05:03 2005
/?quest=7844	Cannibalistic Cousins	48	44	Horde	4400 XP	Eastern Kingdoms	Mystic Yayo'jin at Revantusk Village in the Hinterlands wants you to kill 15 Vilebranch Scalpers and 10 Vilebranch Soothsayers. Return to her when this task is complete. Yayo'jin indicated that these trolls could be found near the Shaol'watha and Agol'watha temples in the north by northeastern region of the Hinterlands. Vilebranch Scalper slain (15) Vilebranch Soothsayer slain (10)	The Vilebranch Soothsayers and Scalpers inhabit the north by northeast region of the Hinterlands.	Mystic Yayo'jin	Mystic Yayo'jin	The soothsayers spawn in groups of two inside the wooden forts at 65,44 and 70, 49.&nbsp The rest of the Vilebranch that you need are positioned around these two areas.&nbsp Watch out for the walkers, there is a pair of them at each site.	There are two areas where these mobs spawn. The first (and most popular) are the three enclosed camps near the river, east of Skulk Rock. The camps have two Soothsayers inside them, and are guarded by about six Scalpers, two of which patrol all the way around the camp. As there are only three camps, one run through all three will only net you a little over half the mobs you need. The other area is the Altar of Zuul. This is the same place where you get the sacred mallet needed in Zul'Farrak. All around the altar (without going up the steps) you can find scalpers and soothsayers. There are also axe-throwers and wolf pups though, so watch for wandering mobs. If you clean out the three camps first, then kill all the soothsayers/scalpers near the altar, you can go back to the camps to get the last few kills you need. Things should have respawned by then. While you're going through the camps, be sure to grab the quest from the blacksmith in Revantusk Village. You'll likely find his tools in one of the camps.	There are A LOT of soothsayers in the Altar of Zul area, 48,66, a few scattered scalpers too, just be careful going to the top of the temple, there are two lvl 50 elites up there. :D	There is another camp that has more soothsayers. In the general area of 49,64	The best place to find them, that I have found, is around the small forts around Shaol'watha. Loc 69, 47. Between the two of them, you will find all the scalpers you need in no time.
/?quest=2935	Consult Master Gadrin	45 Group	40	Horde	2900 XP	Eastern Kingdoms	Speak with Master Gadrin in Sen'jin Village.	N/A	Apothecary Lydon	Master Gadrin	I found him in Durotar at coors 55,74 thats in Sen'jin village	It seems like a lot of you don't really understand probability. See, there's a chance every time kill a spider that it will drop the item in question.&nbsp Let's say that chance is 5%, or 1/20. Now, it's probable that you'll get the drop within the first 20 times you do the quest -- probable, because you receive 20 chances to roll the 1/20.&nbsp And the average of all people doing the quest will average out to about 20 kills. That doesn't mean you'll get it within 20, though.&nbsp On that 21st try, regardless of the fact that you've already killed 20 spiders to no avail, the chance is still only 5%.&nbsp And on that 22nd try, it's STILL only 5%.&nbsp It's not impossible that you'd kill 100 or more spiders, still never having hit that percentage.&nbsp Call it luck if you like, but extended periods of 'improbable' missing are to be expected. All you can do is keep trying.&nbsp It's not Blizzard's fault that the computer rolled you up a long streak of &*!@ty numbers.&nbsp And keep in mind: it's that same random number generator that just might you a sweet blue weapon drop from a worthless quillboar. The randomness makes the game, and you gotta take the bad with the good.	this guy above is the only helpfull person. thankyou	This is NOT an elite quest. It's simply an info gathering quest from an NPC. You don't necessarily have to kill a soul to complete this quest.	did u guys not see the chain of quests...the venom sack comments are in the quest thingy before this one...this is supose to be about the dude in durotar.&nbsp im trying to figure out where he is.&nbsp lets keep the drop rate where its suposed to be in the right quest log comments section.&nbsp not this quest.&nbsp ugh.&nbsp someone tell where the durotar guy is, perhaps description or coords if possible.&nbsp
/?quest=7850	Dark Vessels	50 Group	46	Horde	5900 XP | Item: Nature's Breath	Eastern Kingdoms	Primal Torntusk at Revantusk Village in the Hinterlands wants you to recover 10 Vessels of Tainted Blood from Jintha'alor. Return to Primal Torntusk when this task is complete. Vessel of Tainted Blood (10)	Be cautious in battling the Vilebranch, <name>. Their minds are clouded - they fight to the death.	Primal Torntusk	Primal Torntusk	Vessels can be found everywhere. TLOC locations I have seen them at include 61,73&nbsp 64,82&nbsp 67,80&nbsp 67,81&nbsp 66,80&nbsp 64,79&nbsp 65,77 61,82&nbsp 67,66&nbsp 63,68&nbsp 67,72&nbsp 65,73&nbsp 65,68&nbsp 64,67 59,67&nbsp 63,80	If you actually use thottbot properly, you will see they are objects lying around. Took me about half hour to pick them all up, they look like bubbling cauldrons, mini ones.	Actually they (the Dark Vessels) are located at the ends of each level of the temple. I found that a good tactic (for those that are very patient) is to run along the wall and get a little camp setup on the wall. The nice thing there is that if U R on a PvP server as I am, then you have the ability to keep access to yer back limited and can see someone coming if they walk up. The bad thing is that the respawn is very slow. I camped near the emerald oozes, got some munchies and settled back to a movie on my little TV at the desk. Not everyone is as 'dynamic' as I am so that may drive some of u nuts. But - safe and silent is the thing on PvP and soloin elites is a bad place to get ganked. I hope to get the respawn time soon.	Sometimes I feel I've got to Run away I've got to Get away From the pain that you drive into the heart of me The blood we share Seems to go nowhere And I've lost my light For I toss and turn I can't sleep at night Once I ran to you (I ran) Now I'll run from you This tainted blood you've given I give you all a boy could give you Take my tears and that's not nearly all Oh...tainted blood Tainted Blood Now I know I've got to Run away I've got to Get away You don't really want IT any more from me To make things right You need someone to hold you tight And you'LL think blood is to prey But I'm sorry I don't prey that way Once I ran to you (I ran) Now I'll run from you This tainted blood you've given I give you all a boy could give you Take my tears and that's not nearly all Oh...tainted blood Tainted Blood Don't touch me please I cannot stand the way you tease I love you though you hurt me so Now I'm going to pack my things and go Tainted blood, tainted blood Tainted blood, tainted blood Touch me baby, tainted blood Touch me baby, tainted blood Tainted Blood Tainted Blood Tainted Blood	To be a bit more precise, look all around the upper levels of Jintha'alor. The screenshot provided will show you exactly what you are looking for. Don't worry if you have a large group and all have the quest either. There are more than enough 'Vessels of Tainted Blood' to go around.
/?quest=485	Find OOX-09/HL!	48	43	Both	4400 XP	Eastern Kingdoms	Take the distress beacon to Oglethorpe's homing robot at the head of the river in the Hinterlands, near Skulk Rock. OOX-09/HL Distress Beacon Provided Item: OOX-09/HL Distress Beacon	You appear to have uncovered the wreckage of... a robotic chicken? The voice from within the egg crackles to life again:'Yes, excellent work! This is indeed my homing robot, though my sensors indicate that it needs a jump start before it can fly back to Booty Bay for repairs. Go ahead and place the beacon inside the rover - the beacon will take care of the rest!'	OOX-09/HL Distress Beacon	Homing Robot OOX-09/HL	You can find the robot at 49,38 in the Hinterlands. It's in the lake that lies west of Skull Rock.	49,37 :))	He's at 49,38	I'm going to post this message on all three of these 'Find' quests, just in case someone doesn't see it on one of the other two. If you plan to do these quests in a group (which is very helpful, as any escort quest) everyone must first have completed the 'Find' part of the quest, which means you have to find the chicken, choose 'Complete' and then be *offered* the next part of the quest, which is the actual escort part. But do not accept this part until everyone has done the 'Find' part, otherwise it won't be offered to them as escort quests normally are, because technically you are not on the same stage of the quest yet. So just complete the 'Find' part, then when the next part is offered, decline it until everyone is ready to accept it.	The robot looks like a chicken. It is sitting on top of the western most island in the lake at the head of the river at loc 49,38. It's a little northeast of Agol'watha. Don't go all the way to Skull Rock. Edited, Sat Jan 29 19:08:24 2005
/?quest=7816	Gammerita, Mon!	48 Group	44	Horde	4400 XP	Eastern Kingdoms	Katoom the Angler at Revantusk Village in the Hinterlands wants you to kill Gammerita and retrieve Katoom's Best Lure from her corpse. Katoom mentioned that Gammerita hangs out on the coast with the other turtles. Katoom's Best Lure	Did you get it yet?	Katoom the Angler	Katoom the Angler	Found her at 81,50 on land.	Gammerita goes up and down the coast, she turn around from north and starts heading south at 80,57.	Well, Gammerita is just a nod at the legendary Gamera from Japanese films. I like the way Blizzard reference other area of film, movies, cartoon and video games into their game. They even have reference to Mario & Luigi in Un'Goro. What a hoot. As for Gammerita, every time I go along the coast I can't find her or I find her already dead. Blizzard need to low the respawn time on this mob to like 5 or 10min. Right now it seems like an hour or more.	I found her at the coastline at 81.50	She is an easy kill for any class that can kite. Just kite her to the guards at Revantusk Village, and they will attack her. Just make sure you've done enough damage to her that you are still able to loot her.
/?quest=2932	Grim Message	42	35	Both	3450 XP	Eastern Kingdoms	Gather Witherbark Skulls and place on Nimboya's Pike. Place Nimboya's Laden Pike at one of the Witherbark Villages in the Hinterlands, then return to Nimboya in Stranglethorn. Place the grim message. Provided Item: Nimboya's Pike	You have not completed my task, <name>.	Nimboya	Nimboya	Even though you pick this up in STV, the quest takes place in the Hinterlands (you get there through Hillsbrad if you haven't already). Any of the Witherbark troll villiages work. If you can't find one 29,58. To do this quest, kill 20 trolls. There is a 100% drop rate and you'll get a Witherbark Skull. Once you've gathered the skulls (you need 20), right click on the Pike that was given to you to 'Use'. It'll make a new pike with the heads on it. Go inside one of the villages and right-click on the new pike and you should get your (Complete). Most of the village areas have at least one patrol, and the way the stones and walls are setup it's hard to see soemtimes. You can easily get a pull of 3 or 4 if you're not careful. Also be advised that the alliance base is pretty close by so on a PvP server keep an eye out for alli as you'll probably see at least one or two while questing. Quest mobs are 41-43.	The troll camp Hiri'watha is at [b]32,58[/b] in Hinterlands. You need to gather [b]20[/b] [url=https://classicdb.ch/?i=Witherbark%20Skull]Witherbark Skull[/url]s (I got 1 skull from every whitherbark troll kill) and then [b]right-click Nimboya's Pike[/b] which was provided to you from quest giver. Your toon then puts the skulls and pike together and you create Nimboya's Laden Pike. [b]Right-click the pike inside Hiri'watha camp[/b] and quest is complete.	I did this quest entirely around one village, which is just south-east of the Alliance outpost Eagle's Nest (around coords 19-21, 55 -- sorry, didn't check while I was there).&nbsp The mobs around the village (wolves, eagles) are all range 40-42, as are the trolls you have to snuff. It's not very hard to pull one at a time, even when you're working your way into the center of the village to plant the spear.&nbsp One useful note : the Zealots don't pull a runner when they get low on health the other trolls will.&nbsp And, final bonus, the trolls drop tons of stuff -- each one dropped at least money and a skull (skull drop rate 100%), plus other stuff like mageweave, wildvine, troll sweat, mojo, etc.&nbsp I was rested when I did this, and the total kills plus quest XP (3450) was over 10,000.&nbsp	I just completed this quest, and when I drove the pike into the ground, it spawned right in my toon. I got stuck and couldn't move. I figured maybe some combat would dislodge me, so I hucked an axe at a nearby troll. Silly me, instead of the troll coming to fight me, he just threw axes back! Being a warrior, my ranged damage is almost nil. It was starting to look grim (haha) when after what seemed like ages the pike despawned and I was free to go kick his toll butt.	I was a little loss finding the way to Hinterlands. So for first timers you can get there from Hillsbrad Foothills, just northeast of Durnholde Keep, there is a path through the mountains that heads north. Watch out for Aerie Peak (the Alliance city), unless you feel adventurous
/?quest=1450	Gryphon Master Talonaxe	43	38	Alliance	900 XP	Eastern Kingdoms	Speak with Gryphon Master Talonaxe inside the Aerie Peak Aviary.	N/A	Falstad Wildhammer	Gryphon Master Talonaxe	This is one of the ever-exciting 'talk to the guy who's ten feet behind me' quests! Just head to the top of the aviary and into the hill. You'll find Talonaxe there.	900 xp at lvl 39, no Faction. The Aviary is the building by the Gryphon Master.	N/A	N/A	N/A
