# Quest Data for Eastern Kingdoms - Undercity
# Generated: 2025-08-18 16:42:32
# Total quests: 27
# Comment scrape timestamp: 2025-08-18 17:30:36

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=4294	... and a Batch of Ooze	56	48	Horde	5800 XP	Eastern Kingdoms	Gather Un'Goro Slime Samples from any of the slimes in Un'Goro Crater. Then, using the Testing Equipment next to Chemist Fuely in Undercity, see which of your samples are the most pure. Bring 5 of the Pure Un'Goro Samples you find to Chemist Fuely. Pure Un'Goro Sample (5)	Yes, <name>? How goes your search?	Chemist Fuely	Chemist Fuely	Just a hint: test all your samples before ending the quest. E.g. imagine you have 20 samples and after testing 15 of them you have your 5 questitems. If you now end the quest you cannot test the remaining 5 samples because the testset is inactive. So you have to drop the remaining samples. But if you test all you may get some items which can be sold.	All the oozes and slimes I encountered had 100% drop rate for the samples. I gathered 20, just to be on the safe side, and had more than enough. Back in UC, there are two testing bowls on the table. Use the green one for the Un'Goro samples, and the red one for the Felwood samples.	Took me 20 samples to get 5 pure ones. I'd get 20-30 to be safe.	I've got both the Felwood and Un'goro quests.&nbsp It's not bugged.&nbsp One bowl at the chemist's table in UC is for Felwood and the other is for Un'Goro.&nbsp I didn't have to bank anything. You'll need 50 for the Un'goro quest to be safe.&nbsp You'll probably not use this many, but if you have this many it'll save you the trip back.&nbsp The worst I got was 1:10. // Shodinia ----- UPDATE ----- I ended out needing 32 samples to complete this quest.&nbsp Use that info as you will.	God this quest sucks. Spend your time elsewhere folks. Hardly any oozes, you spend all your time looking for them. Gather 12 oozes only 4 quest items. Go back and gather 5 more, not 1 item. Give me a break. Waste of time, you'd make more XP grinding and probably enjoy it more.
/?quest=7817	A Donation of Mageweave	60	40	Horde	3300 XP	Eastern Kingdoms	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by the black Lady, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Ralston Farnsley	Ralston Farnsley	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	350 rep and 4,750 xp at level 59	At level 49, got 3300 XP and 350 reputation with UC	I've already done A Donation of Runecloth and An Additional Donation of Runecloth but it still won't offer me the quest A Donation Of Mageweave, despite being at level 60 now. Any ideas?	N/A
/?quest=7818	A Donation of Runecloth	60	50	Horde	6600 XP	Eastern Kingdoms	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Ralston Farnsley	Ralston Farnsley	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	May I ask exactly HOW much rep is gained? A million lol?	[li]Requires level [b]50[/b][/li] as of 2.4	[2. Trade - City]:WTB 8400 Mageweave, pst with offer	420x20 runecloth to be exalted )
/?quest=7814	A Donation of Silk	60	26	Horde	1650 XP	Eastern Kingdoms	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Ralston Farnsley	Ralston Farnsley	rep with undercity increased by 350	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	Can you get the XP bonus again by turning this in at the other cities after already turning it in at one? Or does that just generate rep? Edit: Yes, you can turn this in at each faction's quest giver and get the XP as well as the rep.	it could be considered a waste, but the way i look at it for about a Gs worth of silk you get 1650exp and i dont know how much rep with whatever place your turning it in to, which is pretty good if your trying to get money off your mount or a mount that isnt your default choice.	1650 xp and 150 reputation @ level 38. I dont think it is that much of a waste, if you already have first aid done!
/?quest=7813	A Donation of Wool	60	12	Horde	650 XP	Eastern Kingdoms	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Ralston Farnsley	Ralston Farnsley	Ralston Farnsley: Horde Cloth Quarteremaster can be found @ 72 : 29 in the undercity.	rep with undercity increased by 350	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	this seem to miss alot of information. the quest is for lvl 25ish or something, the xp given is 650, and you get +350 Undercity reputation for finishing it.	rep +350 exp +650 :-)
/?quest=4293	A Sample of Slime...	52	48	Horde	5100 XP	Eastern Kingdoms	Gather Felwood Slime Samples from any of the slimes in Felwood. Then, using the Testing Equipment next to Chemist Fuely in Undercity, see which of your samples are the most corrupt. Bring 5 of the Corrupted Felwood Samples you find to Chemist Fuely. Corrupted Felwood Sample (5)	I will need at least five corrupted samples for our control group, <name>. Continue to gather Felwood slime samples until you're able to give me that which we'll need. The Lady Sylvanas decrees it...	Chemist Fuely	Chemist Fuely	All the oozes and slimes I encountered had 100% drop rate for the samples. I gathered 20, just to be on the safe side, and had more than enough. Back in UC, there are two testing bowls on the table. Use the green one for the Un'Goro samples, and the red one for the Felwood samples.	Once you have enough samples for the quest, test your remaining samples. Between the two testing quests, I managed to pull out some decent herbs and a stack of Superior Healing Potions. After you turn in the quest, you can no longer use the testing equipment.	Got 20 samples and as I returned to UC to check them I barely got the 5 items needed... Had no spare samples afterwards. Based on my experience I'd recommend to get at least 30. [edit] Btw... the duplicate item message appears because you haven't 'opened' the analyzed sample. A sample from the slimes turns into an analyzed sample. Then you open the analized sample and check if the needed quest item is in there.	There is no bug, gravedanger has just ridden too many short buses.&nbsp I just completed both of these and ran into no problems. While the Un'Goro samples took more than the Felwood, it also seems to be the luck of the draw based on other's experiences. The worst I got with the Felwood samples was 1:6.&nbsp The worst for the Un'Goro was 1:10.&nbsp I ended out using I think 15 for the Felwood samples. Use this info as you will.&nbsp Better to have more samples than necessary so you don't have to make the trip back. Lastly, there are some nice items yielded from those samples (superior healing pots for example), so don't turn the quest in until you've tested all the samples.&nbsp After you turn the quest in, the bowls on the table become unusable.	I took 29 samples to the UC and here's what I got: 5 Decomposed Boots 2 Raw Black Truffles 3 Slimy Ichors 3 Extinguished Torches 2 Large Slimy Bones 3 Lifeless Skulls 13 Broken Arrows 1 Strangekelp 4 Gelatinous Goos 1 Moonberry Juice 1 Arthas' Tears 0 Quest Items I don't like this quest.
/?quest=7819	Additional Runecloth	60	50	Horde		Eastern Kingdoms	Greetings once again, <name>! Our need for runecloth is constant, and we can always use additional resources if you are willing to part with them. For an additional stack of twenty runecloth, I will make sure that you are recognized for your continuing efforts on behalf of the Undercity. Whenever you are ready to hand in the stack of runecloth, I'll accept it. Runecloth (20)	N/A	Ralston Farnsley	Ralston Farnsley	Finally somewhere to get off of our Runecloth... If there was just more info )	Here is a list of what you get when you do the hand ins. A Donation of Wool = 60x Wool Cloth (at lvl 50 you get 400 xp and 350 Undercity Rep). A Donation of Silk = 60x Silk Cloth (at lvl 50 you get 1000 xp and 350 Undercity Rep). A Donation of Mageweave = 60x Mageweave Cloth (at lvl 50 you get 2000 xp and 350 Undercity Rep). A Donation of Runecloth = 60x Runecloth Cloth (at lvl 50 you get 3950 xp and 350 Undercity Rep). Additional Runecloth = 20x Runecloth Cloth (at lvl 50 you get 75 Undercity Rep).	This seems to be the only method of gaining reputation with Undercity other than the Quests. The first quest to gather 60 Runecloth gives 150 reputation points if i remember right. This quest that comes available after that should give 50 reputation points for each 20 stack of Runecloth returned. U can repeat as many times as u want.	It's called reputation not faction. A faction is a group that you can get reputation with.	@Lvl60 Donation of Wool [60] (+150 Faction) Donation of Silk [60] (+150 Faction) Donation of Mageweave [60] (+150 Faction) Donation of Runecloth [60] (+150 Faction) Additional Runecloth [20] (+50 Faction) ( Additional Runecloth [60] (+150 Faction) )
/?quest=3784	Assisting Arch Druid Runetotem	50	47	Horde	470 XP	Eastern Kingdoms	Speak with Arch Druid Hamuul Runetotem in Thunder Bluff.	N/A	Innkeeper Norman	Arch Druid Hamuul Runetotem	U find him at 78, 28 in TB!	He's at 77, 28	http://wow.allakhazam.com/db/quest.h...wquest=3761	N/A	N/A
/?quest=232	Errand for Apothecary Zinge	45	38	Horde	390 XP	Eastern Kingdoms	Take the purchase order to Alessandro Luca in the Undercity. Zinge's Purchase Order Provided Item: Zinge's Purchase Order	Yes, and what may I assist you with? Are you here on business for the Royal Apothecary Society, or have you arrived here merely to brighten my day?	Apothecary Zinge	Alessandro Luca	luca's at 58,55 in undercity	Walk out of the Apothecary lab.&nbsp The shop is right across from you.&nbsp It's got a huge sign hanging down that you can mouse over, and the quest tells you the name of the shop.	The cloak isn't so much for casters as it is really, really crappy. The shoulders are decent for a rogue, the gloves decent for a cloth caster.	Alessandro Luca is at the Apothecarium. Coordinates are 58, 55. http://classicdb.ch/?npc=7683	Vendor is in the inner ring of the Apothecarium, in case you can't find her.
/?quest=238	Errand for Apothecary Zinge	45	38	Horde	390 XP	Eastern Kingdoms	Bring the Field Sampling Kit to Apothecary Zinge in the Undercity. Field Testing Kit Provided Item: Field Testing Kit	Yes, I think Luca is as disturbing as you do. It matters not - hand me the field sampling kit. I will need to make some adjustments to it in order to survey for the proper base materials.You have the kit, don't you?	Alessandro Luca	Apothecary Zinge	He is at 58,55.	if u accidently throw it away you can purchase it from luca for 9s	N/A	N/A	N/A
