# Quest Data for Eastern Kingdoms - Western Plaguelands
# Generated: 2025-08-18 16:43:42
# Total quests: 92
# Comment scrape timestamp: 2025-08-18 17:31:42

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5093	A Call to Arms: The Plaguelands!	50	50	Horde	470 XP	Eastern Kingdoms	Seek out High Executor Derrington. His base camp is located at the Bulwark, east of Tirisfal Glade and the Undercity.	N/A	Warcaller Gorlach	High Executor Derrington	N/A	N/A	N/A	N/A	N/A
/?quest=5094	A Call to Arms: The Plaguelands!	50	50	Horde	470 XP	Eastern Kingdoms	Seek out High Executor Derrington. His base camp is located at the Bulwark, east of Tirisfal Glade and the Undercity.	N/A	Harbinger Balthazad	High Executor Derrington	N/A	N/A	N/A	N/A	N/A
/?quest=5095	A Call to Arms: The Plaguelands!	50	50	Horde	470 XP	Eastern Kingdoms	Seek out High Executor Derrington. His base camp is located at the Bulwark, east of Tirisfal Glades and the Undercity.	N/A	Bluff Runner Windstrider	High Executor Derrington	N/A	N/A	N/A	N/A	N/A
/?quest=4971	A Matter of Time	56	53	Both	5800 XP | Pick: [Orchid Amice, Gold Link Belt]	Eastern Kingdoms	Use the Temporal Displacer near one of Andorhal's silos and uncover Temporal Parasites. Slay 10 Temporal Parasites, and then return the Temporal Displacer to Chromie in the Andorhal Inn, Western Plaguelands. Temporal Parasite slain (10) Temporal Displacer Provided Item: Temporal Displacer	Temporal parasites are a common malady present wherever the flow of time has been tampered with. I sense that many are present, and this is disturbing.Rooting out whatever ones you can find will help me be able to take a better hold on the deteriorating temporal situation here. I will be able to sense when this has been achieved.	Chromie	Chromie	if u wanna make it easier , if ur solo'in just run to the near lake or river, and fight on the cliffs edge, once u killed one and dont think u can handle the second, jump into the water and wait for aggro to go.	Looks like this is one of those things they changed in a patch. New Coordinates are 49,70 and the water trick does still work	this can be a very simple quest. get in the water S of the ruins, and go E of the east bridge. come up near 50,70 (or on the map what looks like just E of the ruins) and kill the 1 or 2 single mobs on the hills.&nbsp look for big silos with blue light streaking out of them.&nbsp clear out any stray mobs and blow horn. I've seen the parasites come in mobs of 2 or 3.&nbsp back up to the hills to fight them so you don't aggro any of the undead in the area, and use the water as an escape if necessary (or for more room, as there are no mobs in the water). when you kill the last parasite of the current group- another parasite can immediately spawn in the exact same spot, and this can happen multiple times.&nbsp I have seen the parasites heal and do something like a self-banish, where they regain all health, wont attack, but can't be hit for probably 15-20 seconds.&nbsp took me 10-15min solo with a lvl57wrlk	Just a guess, but don't stand between two silos when you summon. You may end up summoning from both. After you summon, the glow goes away from the silo for awhile. These are beasts. A hunter can freeze-trap one, put a pet on another and scare yet another, so three are manageable, if you're not surprised by them (as I was). A druid could sleep one. With the constant re-spawning and the 'slow' spell, these are long fights. Mana users should wear +Spirit gear, or they may run out of mana from healing the pet/themselves, casting spells, etc. Use whatever crowd control you have for bandages, heals, etc. Fortunately, they don't hit too hard.	[b]/tloc 49 69[/b] 56 Frost Mage It seems as though their health has been nerfed as of the 2.3 patch. I did this on 12/19/07 and each of the worms had approx. 710 health. If you are not an aoe class and cannot take the worms, jump into the water and they should evade; making it so you can take them one by one and heal between the waves of worms.
/?quest=5903	A Plague Upon Thee	55	48	Alliance	5650 XP	Eastern Kingdoms	Use the Empty Termite Jar on the Termite Mounds in Eastern Plaguelands. After you've gathered 100 Plagueland Termites, return to Nathaniel Dumah at Chillwind Camp in Western Plaguelands. Empty Termite Jar Plagueland Termites (100) Provided Item: Empty Termite Jar	Did you find the termite mounds, <name>? I've heard they are all over Plaguewood.	Nathaniel Dumah	Nathaniel Dumah	The termite mounds are found in random locations throughout the area of Plaguewood in the NW part of Eastern Plaguelands. Mobs of level 53-57 are in the area. Each termite mound will yield a large number of termites (around 20-30). Soloed by a level 53 druid by prowling around to find the termite mounds. Example locations: 32, 33 25, 26	[url=http://img125.imageshack.us/img125/3186/strattermitesbo9.jpg]http://img125.imageshack.us/img125/3186/strattermitesbo9.jpg[/url] Map of where to get them gl hf :) happy Xmas :D	Took me 7 mounds to collect 109 termites. The mounds I found were at: 42,38 - 43,34 - 42,35 - 39,35 - 37,34 - 33,37 - 26,34	You need to go to the zone named Plaguewood, it's on the west side of the Eastern Plaguelands. Once there, you need to run around spotting big blobs of white/cream mounds, theseare the termites lair (nest?) You just need to clik on it to get the termites, usually 15-20 termites, per nest. It's pretty easy solo, you just gotta keep your eyes open for the numerous undead in the zone and specially one nasty Scarlet Courrier Patrol.	Took my 55 Druid an hour. It wasn't really hard as much as frustrating. Remember, when you're travelling along the road, you must go around Corin's Crossing if you're less than about lvl 58. It's filled with a bunch of trash mobs. Watch out for the Courier (60 Elite)& his bunch (about 5 or 6 57s) patrolling along the road. Thanks to the previous posters, I went to the town in the north. Stealthed in and looked for termite mounds. Nowhere in town. Looked off both sides of the road. Nope. Looked along the bank of the lake. Nope. Looked to the north. Nope. Hmmm. Finally found my first one southwest of the town along the edge of the hills. Found the second one there too. Great, at last! Nope. That was it. Serached the hills in the east searched the rest of the hills in the west. Nope. Niente. Nada. Went back to the southwest. Aha! Two more mounds that looked strangely familiar, in a strangely-familiar location, guarded by strangely-familiar mobs. You got it - same two mounds respawned. OK, whatever. Got those two and then only 10 termites left. Stealthed North. Stealthed East. Went back to my old pals. Respawned again! Success. I never saw more than those two mounds and I covered that town for an hour. I went everywhere and was on a first-name basis with everyone. Bugged? Who knows but I finally got it done. Keep in mind, each of those two mounds was either guarded by a mob or (in 2 out of the 5 cases) I was attacked, when the loot timer was still running, by lvl 57 or 58 unfriendlies. I had no problem as a 55 Druid (except with the 58 bats - they have a tricky spell called Silence) but lower levels need to be prepared. By the way, can anyone tell me why there is no flight path between the Eastern Plaguelands and the Western Plaguelands? Or between Aerie Peak and the Western Plaguelands? What's that all about?
/?quest=5904	A Plague Upon Thee	55	48	Alliance	2800 XP	Eastern Kingdoms	Find someplace suitable in the center of the Northridge Lumber Mill in Western Plaguelands to place the Barrel of Plagueland Termites. Provided Item: Barrel of Plagueland Termites	N/A	Nathaniel Dumah	Termite Barrel	The Northridge Lumber Mill Crate is at 48,32	3 guys in the mill/house attacking one pulled 3, they are lvl 55 and i killed them all as rogue using a heal and blind. 1. Click on crate 2. Quest window pops that says to put barrel on crate 3. Click on white talk balloon in quest window. This is what puts barrel on crate 4. click on barrel after it is on crate get XP and quest window 5. go back to camp and get more XP This took me way too long until i figured out how to do step 3 and click on talk balloon in quest window. No other way to put barrel on crate. There is no way in the game to place objects, but i tried to drop that barrel on the crate for a while. I feel really stupid now. HTH someone else.	Easyst quest in PlagueLands by me i had to kill 5 lumberjacks in total and the guards are not evin close if you now how to avoid them (not to hard) The coord for the mill are : [ul] [li]48,32 [/li] [/ul]	This quest was fairly easy for level 57 Hunter. There were only several Scarlet Lumbermill workers around the area. Once you place the barrell on the crate you must stay there and release the termites by clicking on the barrell again to relase. Many have left after placing the barrell not realizing it has two parts and you actually finish quest right there.	Coords WP 48.32
/?quest=6389	A Plague Upon Thee	55	48	Alliance	5650 XP	Eastern Kingdoms	Release the Plagueland Termites in the Northridge Lumber Mill, then return with the Barrel of Plagueland Termites to Nathaniel Dumah at Chillwind Camp in Western Plaguelands. Barrel of Plagueland Termites Provided Item: Barrel of Plagueland Termites	Have you done it, <name>? Have you released the termites? The Light help us if the Scarlet Crusade were able to hold onto both the mill and Hearthglen. They should have neither. They're just capitalizing on the victims of the last war and should be put down like rabid animals!	Termite Barrel	Nathaniel Dumah	just return the barrel to complete quest	47 32, that is the EXACT location. Good Luck! =) Demonspeller, Shadowsong.	You need to go to EASTERN PLAGUELANDS to collect the termites. Then go back to WESTERN PLAGUELANDS and put them in the box in the lumbermill.	run in from back of mill kill two mobs right click on large crate small barrel will appear on top of it black &*!@ will spew out right click on barrell insects will fly out run back to Chillwind camp redeem quest with Nathaniel	you need to click on the barrel after the smoke comes out to complete the quest.
/?quest=6390	A Plague Upon Thee	55	48	Horde	5650 XP	Eastern Kingdoms	Release the Plagueland Termites in the Northridge Lumber Mill, then return with the Barrel of Plagueland Termites to Mickey Levine at the Bulwark in Tirisfal Glades. Barrel of Plagueland Termites Provided Item: Barrel of Plagueland Termites	Have you done it, <name>? Have you released the termites in the lumber mill?It was bad enough that my family lost their jobs and lives, but then to see the place where my childhood was spent taken over by those disgusting so-called holy men... pfah!!	Termite Barrel	Mickey Levine	The crate where you release the termites is at 48,32	OK, the last part of this quest is pretty straightforward, but it's multi-step. Go to where the lumber camp is.&nbsp Find the big building, and the crate is at the center... (WPL: 48,32 ish.) When you hover over the crate, you get the little gear-mouse-icon. (Like every other object when it's actionable.)&nbsp Right click the crate, and you get a window... It says 'Put the barrel on the crate', or something like that.&nbsp You'll notice it doesn't say 'open it'. When you do, the barrel appears atop the crate, with smoke coming out.&nbsp Now, you can right click the barrel.&nbsp Another window: something like 'open the barrel'.&nbsp That's when you complete the quest... and get to see all the buggies run all over. Now just go back to the bulwark and talk to chicky-babe with no skin.	And to the players without coords http://classicdb.ch/?maps=28:481320 And if you now don't have coords you can get it through this link http://wow.curse.com/downloads/details/1978/download/34067/ Good Luck!	There is a northridge lumber mill crate at 48.3 32.0 that you use to set the barrel of termites on. After that, use the barrel that is now on top of the crate to release the termites and complete the quest.	Once you place the termites barrel on top of the crate and you see the green smoke, click on the barrel again and it will give u another quest, as soon as you accept it the termites will pop all and go every where. This is when you go back to the npc in Tirisfal glades.
/?quest=105	Alas, Andorhal	60 Group	50	Horde	8300 XP | Item: Mark of Resolution	Eastern Kingdoms	Bring Araj's Phylactery Shard to High Executor Derrington at the Bulwark, Western Plaguelands. Araj's Phylactery Shard	Your task has been given to you, <name>. Do you have a shard from the lich's phylactery as proof of the task being accomplished?	High Executor Derrington	High Executor Derrington	Comment no longer applies after cataclysm	The 'Scholomance' quest chain will also make you kill this lich, as the last step in its chain. You might as well do them together -- otherwise you will have to kill him twice. See https://classicdb.ch/quest=838 for the other quest chain.	Good to pair this quest with last quest in chain for Key to Scholomance (http://classicdb.ch/?quest=838). so you wont need to kill Araj twice.	Need to finish All Along the Watchtowers before able to complete this one.	Araj is just on a static repop timer nowaday.
/?quest=211	Alas, Andorhal	60 Group	50	Alliance	8300 XP | Item: Mark of Resolution	Eastern Kingdoms	Bring Araj's Phylactery Shard to Commander Ashlam Valorfist at Chillwind Camp, Western Plaguelands. Araj's Phylactery Shard	Your task has been given to you, <name>. Do you have a shard from the lich's phylactery as proof of the task being accomplished?	Commander Ashlam Valorfist	Commander Ashlam Valorfist	around 45,69. u cant miss em, right next to a fountain i did it with 57 shaman, 57 druid and 57 warlock (me).	You can pull the undead on the front (east) side without aggroing Araj. This makes it a little easier to kill him.	Also need to kill him for the key to Scholomance quest chain final quest http://classicdb.ch/?quest=5803, saves having to kill him twice. (chain starts at http://classicdb.ch/?quest=5533) As a side note, completing the quest http://classicdb.ch/?quest=4972 provides a handy talisman that causes damage to Araj, and reduces the damage he dishes out by 25%, though only use it AFTER he has been wounded.	Don't forget to complete the quest that Chromie gives you to get the device that hurts only Araj.&nbsp It's attuned to him, but she doesn't tell you that. Attuned Dampener: https://classicdb.ch/item=5126 But yeah, make sure the folks you are grouping with are patient but focused and get rid of all the guards first.&nbsp And watch for wandering Abomination patrol.	He was already dead when I arrived to kill him. He corpse is some sort of a relic, right click on the relic to receive the Shard.
