# Quest Data for Eastern Kingdoms - Wetlands
# Generated: 2025-08-18 16:41:35
# Total quests: 40
# Comment scrape timestamp: 2025-08-18 17:32:36

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=304	A Grim Task	34 Group	26	Both	3350 XP | Pick: [Gold Lion Shield, Tranquil Ring]	Eastern Kingdoms	Kill Balgaras the Foul and bring his ear to Longbraid the Grim outside of Dun Modr. Ear of Balgaras	Were you able to locate Balgaras the Foul yet, <class>? He has been evading us for quite some time.	Longbraid the Grim	Longbraid the Grim	I've seen Balgaras in three different places: the second building on both the right and left of Dun Modr as you walk in, and at Direforge Hill, which is along the mountains southeast of Dun Modr.	I think they must have moved him. I've had 3 people SWEAR he was in the town looking place in the north, but after spending well over an hour there I never saw him. When I went to the eastern camps he was there. No fuss, no muss, no waiting.	Those of you who rely on shadow (warlocks, shadow priests), make sure you don't waste your time with shadow spells 'cause he's immune.	He spawn at camps on East and in Dun Mord. Where he is spawned u can find blue Minion. If you see Minion u found exact location of the mage you have to cut ear off.	61,27
/?quest=471	Apprentice's Duties	26	18	Both	2100 XP | Pick: [Malleable Chain Leggings, Resilient Poncho] | Item: Recipe: Crocolisk Gumbo	Eastern Kingdoms	Collect 6 Giant Crocolisk Skins and bring them to James Halloran in Menethil Harbor. Giant Crocolisk Skin (6)	My apprentice is like a son to me. It's going to be hard for him to live his life with only one leg.Ah, <name>, how goes it? Do you have my skins?	James Halloran	James Halloran	Between 22,20-28,20	&nbsp You have to go for the GIANT croc's , not the young ones. &nbsp Right across from the raptors, towards the coast, you will see an Ole WIndmill..On the coast,&nbsp there you will find the GIANT crocs. They are everywhere, and everyone of them dropped. &nbsp Easy XP and I wanted the recipe :)	Yes - between 26,22 and the coast - and I received 100% drop rate.	Look to the Sundown Marsh and the Saltspray Glen in the north of the Wetlands. For me they dropped the skins one after the other. Happy Hunting!	along the west bank of the lake beside menethil is good...
/?quest=275	Blisters on The Land	26	20	Both	2650 XP | Pick: [Fen Keeper Robe, Forest Chain, Phytoblade]	Eastern Kingdoms	Kill 8 Fen Creepers, then return to Rethiel the Greenwarden in the Wetlands. Fen Creeper slain (8)	The Wetlands still weep, and the Fen Creepers still rage. Return to me when your task is done.	Rethiel the Greenwarden	Rethiel the Greenwarden	Since these things are invisible, thought I would help give some of the locations of the Fen Creepers that I found. If you have Cosmos you can use these coordinates. (20,28), (20,24), (48,37), (47,32) (46,34),(47,36), (54,37), (56,46), (55,46), (51,32), (37,33). Hope this helps and good luck hunting.	55,46 55,37 53,36 51,32 48,37 47,35 46,34 Simple! :)	The place around broken molen (Sundown Marsh, loc 20,30) has good chance for some Fen Creepers. In the east (Ironbeard's Tomb) is too dangerous with another visible enemies, west place is more safe with only crocolisks's.	just type a macro /target den creeper and run across waterways hitting macro. sure it will save you much time :)	I just did this quest today, and these Fen Creepers are found in the water channels of the Wetlands between The Sundown Marsh (where murlocs/giant crocolisks are) and The Green Belt (the area with the Greenwarden and eastward). I found the greater number of these in the shallow pool areas of the water channels.
/?quest=279	Claws from the Deep	22	20	Both	1750 XP	Eastern Kingdoms	Kill 12 Bluegill Murlocs. Slay Gobbler and take his head. Bring Gobbler's Head to Karl Boran in Menethil Harbor. Bluegill Murloc slain (12) Gobbler's Head	Our merchants will not be safe until we are rid of Gobbler and those Murlocs.	Karl Boran	Karl Boran	He resspawns att 16,39 exactly .. have killed him twice now.. //Dennis �	They are just outside Menethil in the Bluegill Marsh. Found Gobbler at 15,41 and the Murlocs are all around him.	He must move around a bit - working on my Mage alt I found him at 17,41	For quests like this, dont forget about /target. For example, a macro with '/target Gobbler' will target him as soon as you get within range.	Use '/target gobbler' i had the coords u all told me but in the end one of the games devices found him. blizzard done this right for once.
/?quest=293	Cleansing the Eye	30	22	Both	2450 XP | Item: Eye of Paleth (1.4)	Eastern Kingdoms	Bring Archbishop Benedictus the Cursed Eye of Paleth. Benedictus is in the Cathedral of Light, in the city of Stormwind. Cursed Eye of Paleth Provided Item: Cursed Eye of Paleth	What is that orb you have? It looks...soiled.	Glorin Steelbrow	Archbishop Benedictus	he is in Stormwind City, hes in the Cathedral of light in Cathedral Square 39,27	Everyone who posts that they did this quest so easily, or that they soloed the quest at such a low unbelievable level is probably not telling the whole truth.&nbsp That being said, even the hardest quest can be made [i]easier[/i] by scanning these forums and picking up the tips and hints from other users.&nbsp In the end, don't brag that you did a quest '[b]So Easily[/b]', instead, post your methods, tips and hints so that others can revel in your genius.	Archbishop Benedictus is in Stormwind Cathedral coords 39,27	You just head to SW for this part and go to Cathedral of Light, hes by the walking Alter Boy in there.	Seems odd that the quest ended here... I thought you would actually do something with the eye.
/?quest=469	Daily Delivery	21	18	Both	825 XP	Eastern Kingdoms	Deliver the Bundle of Crocolisk Skins to James Halloran, the tanner, in Menethil Harbor. Bundle of Crocolisk Skins Provided Item: Bundle of Crocolisk Skins	Hello there, <class>. Could I interest you in a pair of boots? Perhaps some newly cured skins?	Einar Stonegrip	James Halloran	Quest is in Menethil Harbor Start: 49,39 End:&nbsp 8,55	Dude above me is Right with locations:)	It says attain at 14. I'm lvl 17 and can't get the quest.......	No killing at all, just carry a package to Menethil Harbor.	This quest is easy. All you do is kill a few young crockolisks and your done.
/?quest=474	Defeat Nek'rosh	32 Group	23	Both	2550 XP | Pick: [Ancient War Sword, Barreling Reaper]	Eastern Kingdoms	Kill Chieftain Nek'rosh Bring Nek'rosh's Head to Captain Stoutfist. Nek'rosh's Head	Have you killed Nek'rosh?	Dragonmaw Catapult	Captain Stoutfist	He's standing at a ring of tents which have level 28 and 29 non-elites. You can sneak up the hill behind him from the road (near a tree guarded by a level 21 slime) and avoid having to clear to him through the camp. There are a couple mobs near him you can pull solo. Depending on your pull timing and clearing you can get Nek'rosh with two, one, or none of the other mobs at the camp. If you can't use either of the rewards (2h sword or 1h axe) the sword sells for more.	He is at 54,56	Hes at 53.54	There is a 'backdoor' to Nek'rosh, just go to 55,56 (coming from the street) and climb/go up the ridge. You will just stand at the back of his camp and direct back of Nek'rosh. It's possible to pull him alone or when you a bit unlucky with a Lvl.29 Centurion (non-elite) add. However, I was NOT able to solo Nek'rosh as a Lvl.29 priest. He always took my 'bouble' (shield) down with one hit only. Needed assistants. Nek'rosh exact LOC is @ 53,54.	Just duo'd him as a 28 Hunter and 28 Warrior (both poorly equipped). Strategy: Firstly I went around the mountain to the back entrance and went around the mountain to the right (to his right) so there was just a captain between him and me, I then pulled & killed the captain. Next I marked the warlock that is linked with him (to his left), laid a freezing trap, aimed shotted Nek'rosh & jumped off behind the hill, where my warrior friend was waiting. Nek chased, got stuck in freezing trap, shadowcaster followed, we easily killed him. I then shot Nek'rosh with a concussive shot, serpent sting, & arcane shot. From here I basically set my pet on him with bite and claw on auto cast, jumpshot-fired concussive shot/serpent sting/arcane shot repeatedly and ran around in a circle the warrior hamstringed & added some more dps. When he was affected by both hamstring & concussive shot, id get some distance & fire a couple of autoshots or an aimed shot. Keys here are keeping aggro on the hunter at all times, and keeping Nek slowed. That way he spends all his time chasing after you and doing no damage, while his health is slowly whittled away.
/?quest=470	Digging Through the Ooze	24	19	Both	2400 XP | Item: Ooze-covered Bag	Eastern Kingdoms	One of the oozes at Ironbeard's Tomb has Sida's bag, retrieve it and bring it back to her in Menethil Harbor. Sida's Bag	Did you find my bag?	Sida	Sida	I have a funny story to tell about this quest. On my last server, everybody told me to AVOID this quest because it was such a pain in the neck. And it was. It took me forever to get the stupid bag. A few months later I migrated to Gnomeregan and 'started over from scratch'. I realized this morning that I hadn't done any of the Wetlands quests, and there was nobody from the guild on so I decided to load up on them and try to burn through them as fast as possible. After visiting the Greenwarden, I was on my way to assassinate some gnolls when I saw a whelp and remembered that a beloved friend of mine in the guild wanted a whelpling pet, so I spent the next four hours farming whelps. I got the bag OVER THERE. Like in the 60,40 neighbourhood. NOWHERE NEAR where the quest says to get it from. I was farming whelps when one of the larger oozes jumped on me and I killed it outta self defense and the bag dropped. I just about died laughing.	killed about 25 oozes and it dropped off a crimson ooze	Got it on 1st ooze I killed!	I found it on the hill close to Greenwarden. It's at 56,43. But I didn't find it till I killed 6 Black Oozes there.	Anyone saying anything else don't have a clue. I've done this q 4 times now, this is a random drop. First time I got it after 3 kills. Currently doing the q, and I've got over 100 kills now... :| The thing about higher drop rate behind Green Warden = bull%^&*.
/?quest=472	Fall of Dun Modr	25	25	Both	1000 XP	Eastern Kingdoms	Search for Longbraid near the town of Dun Modr.	N/A	Harlo Barnaby	Longbraid the Grim	The road that heads north across the wetlands will lead you to this location. When you start to enter the hills towards Arathi it will be on your left before the bridge. It is most north center part of Wetlands.	49 18 is where he is at	confirmed	Its right next to Dun Modr, once you complete that quest for 1000 xp, there are 3 more quests that you can do! Go at it! Also, the quests are Elites, so be carefull now.	Leads to quest: A Grim Task http://classicdb.ch/?quest=304
/?quest=1132	Fiora Longears	20	18	Alliance	775 XP	Eastern Kingdoms	Speak with Fiora Longears in the tavern at Theramore Isle in Dustwallow Marsh.	N/A	Red Jack Flint	Fiora Longears	An NPC named Adam Lind will tell you if you are on the correct dock to Theramore.	leads to quest 'Journey to Astranaar'	Fiora Longears is in the inn at 66,45	I'm only posting this because a player on my server was confused about boat routes - there is a boat directly from Menethil to Theramore. It departs Menethil on the dock opposite from the Auberdine boat.	How do u know the coordinates?
/?quest=277	Fire Taboo	23	20	Both	1850 XP | Item: Spongy Morel 10	Eastern Kingdoms	Bring Rethiel the Greenwarden 9 Crude Flints. Crude Flint (9)	Do you have the Gnolls' tools for fire?	Rethiel the Greenwarden	Rethiel the Greenwarden	Note to self and anyone else that keeps forgetting where to turn in quest 56,40	Confirmed - 42,30 to 32, 30 has easy pulls. Many singles around the camps in this area but still a poor drop rate.	Loot - [b]Mosshide Fenrunners[/b] - [b]S/W[/b] of [b]IRONBANDS TOMB[/b] Simple :)	Did this at 26. I was killing Brutes and Trappers these were more my level but also dropped the flints and alot more often was done in like 15 min by trimming camps (taking outer ones only) Also reward is 1850 Edited, Fri Dec 24 19:36:22 2004	The Fenrunners drop significantly higher than anything I saw. I got my 9 flint off of 12 or 13 kills. I found lots of them running around by themself in the northernmost part of Mosshide Fen, but there are probably easier places to find them.
/?quest=305	In Search of The Excavation Team	24	21	Alliance	975 XP	Eastern Kingdoms	Tarrel Rockweaver wants you to travel to the Excavation Site and contact Merrin Rockweaver.	N/A	Tarrel Rockweaver	Merrin Rockweaver	Wetlands 34, 41 is the entrance to the Excavation site.&nbsp You can see a ramp up the hill from here.&nbsp Take it.&nbsp Go into cave.&nbsp Talk some and go back to Menthol Harbor for reward. AT lvl 21 Mage: Got 975 xp for finding the lady. Got 490 xp for taking here note back to Menthol. Level 1 could do this quest.	Yeah, there's a lot of faulty info in this thread. Seems some people have confused East with West, or perhaps are just jerks trying to get people killed. Here's the correct info, combining the 3 correct bits of info from various posts here into one. -The entrance to the excavation site is at 34,41. -Once at the entrance, go up the ramp on the WEST side, or to your left as you enter. -Merrin is at 38,52 in a cave at the top of the ramp.&nbsp Level 22-23ish raptors may be guarding the ramp.	Found Merrin at 38.8, 52.3 in the cave at the top of the hill stay to the left .. up the hill ... as you enter the camp area had to kill one small 22 lvl raptor ....	Just uploaded a screenshot of where the quest ends. To get to the cave, head south from the road and when your screen flashes 'Discovered Whelgar Excavation Site,' look to your left (East). You should see a steep path running straight up the mountain. Follow that path up -- kill the raptor that gets in your way -- and cross a small bridge and the cave you need to get to should be right in front of you. Also, in front of the cave is another dwarf who will give you the quest 'Ormer's Revenge' (https://classicdb.ch/?quest=294).	i tried the coordinates that u guys posted, and all of then were incorrect, except for the one telling u where the excavation starts. merrin is at 38, 52. u need to go up a ramp on the western part of the site.
/?quest=306	In Search of The Excavation Team	24	21	Alliance	490 XP	Eastern Kingdoms	Return to Tarrel Rockweaver with Merrin's note. Merrin's Letter Provided Item: Merrin's Letter	Were you able to find Merrin? Did she send word?	Merrin Rockweaver	Tarrel Rockweaver	Merrin, I just delivered your plea for help to your husband. His reaction was less than enthusiastic. Despite the fact that he's about less than a mile from where you are being forced to live out your existence in a cave surrounded by hungry reptiles, he doesn't seem to be moving rapidly to your rescue. You may want to have a back-up plan. - Tai Shar 24th level Gnome Mage Llane Server	Tarrel Rockweaver is at 11,52	Merrin Rockweaver is in a cave at 38, 52. The excavation site is filled with 26-27 raptors, so try not to attract their attention- you need to go up the hill on the left side.	Tarrel Rockweaver can be found at 11,52. That's on the bridge just outside of Menethil Harbor.	Very easy the site is 34,43 and the guy i just to the left up the hill
/?quest=1302	James Hyal	35	30	Alliance	700 XP	Eastern Kingdoms	Speak with Clerk Lendry at Foothold Citadel in Theramore.	N/A	Vincent Hyal	Clerk Lendry	Part of the Shady Rest In quest chain - completed in patch 2.3 From WoWWiki - the whole chain as of patch 2.3 [35] James Hyal (2) (from Wetlands) [35] They Call Him Smiling Jim [35] Inspecting the Ruins (2.3) Black Shield [35] The Black Shield (1) [35] The Black Shield (2) [35] The Black Shield (3) Hoofprints [35] Suspicious Hoofprints Theramore Guard Badge [40] Lieutenant Paval Reethe (1) [40] Lieutenant Paval Reethe (2) [38] Daelin's Men [38] The Deserters (1) [38] The Deserters (2) Conclusion [38] A Grim Connection [38] Confirming the Suspicion [38] Arms of the Grimtotems [39] Tabetha's Assistance [39] Raze Direhorn Post! [39] Justice for the Hyals [39] Peace at Last	The Shady Inn location is at [b]29,48[/b] 3 Quests to pick up here 1) Shield on top of fireplace 2) Plank in middle of inn 3) Hoofprint in front of inn You can skip talking to the captain before this quest..I couldnt find him :)	For those who have trouble trying to find the badge its on the planks that are in the Inn. I had trouble finding them (believe it or not) howveer there are three planks inside.&nbsp two are crossed and the other one isn't.&nbsp THe one that isn't is the one with the badge on it. Hope this helps.	Talk to Captain Garran Vimes (https://classicdb.ch/?npc=4944) afterwards. Kinda leads to The Black Shield (https://classicdb.ch/?quest=1253), Suspicious Hoofprints (https://classicdb.ch/?quest=1284) and Lieutenant Paval Reethe (https://classicdb.ch/?quest=1269).	Inside keep, 'war room' on the second floor
